facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,44644,JEWISH COMMUNITY CENTER,3600 DUTCHMANS LN,LOUISVILLE,KY,40205,28,1991/06/20 00:00:00,67
695,SWIMMING AREA,191,SWIMMING POOL,44751,GRAYSTONE MANOR CONDOS,3200 GRAYSTONE MANOR PARKWAY,LOUISVILLE,KY,40241,21,1991/07/08 00:00:00,68
695,SWIMMING AREA,191,SWIMMING POOL,45506,MOCKINGBIRD GARDENS,299 MOCKINGBIRD GARDENS DR,LOUISVILLE,KY,40207,26,1991/11/19 00:00:00,69
695,SWIMMING AREA,199,WADING POOL,45507,MOCKINGBIRD GARDENS,299 MOCKINGBIRD GARDENS DR,LOUISVILLE,KY,40207,26,1991/11/19 00:00:00,70
695,SWIMMING AREA,199,WADING POOL,45508,LOUISVILLE BOAT CLUB,4200 RIVER ROAD,LOUISVILLE,KY,40207,26,1991/11/19 00:00:00,71
695,SWIMMING AREA,191,SWIMMING POOL,45509,LOUISVILLE BOAT CLUB,4200 RIVER ROAD,LOUISVILLE,KY,40207,26,1991/11/19 00:00:00,72
695,SWIMMING AREA,191,SWIMMING POOL,46780,LAKESIDE SWIM CLUB,2010 TREVILLIAN WAY,LOUISVILLE,KY,40205,27,1992/06/16 00:00:00,73
695,SWIMMING AREA,191,SWIMMING POOL,46900,PROMENADE COURT TOWNHOMES,152 PROMENADE CT,LOUISVILLE,KY,40223,29,1993/05/28 00:00:00,74
695,SWIMMING AREA,191,SWIMMING POOL,46985,CANTERBURY PLACE,1005 EAST BRIDGE COURT,LOUISVILLE,KY,40223,25,1992/07/21 00:00:00,75
695,SWIMMING AREA,191,SWIMMING POOL,47145,WOODLANDS ON HARROD CREEK,5630 TIMBER CREEK CT,LOUISVILLE,KY,40059,21,1996/07/25 00:00:00,76
374,SWIMMING AREA,191,SWIMMING POOL,47281,YMCA NORTHEAST-FAMILY POOL,9400 MILL BROOK RD,LOUISVILLE,KY,40223,25,1992/09/02 00:00:00,77
697,SWIMMING AREA,191,SWIMMING POOL,47537,SPRINGHURST SWIMMING POOL,4200 SPRINGHURST BLVD,LOUISVILLE,KY,40241,21,1996/09/03 00:00:00,78
695,SWIMMING AREA,199,WADING POOL,47538,SPRINGHURST WADING POOL,4200 SPRINGHURST BLVD,LOUISVILLE,KY,40241,21,1996/09/03 00:00:00,79
695,SWIMMING AREA,191,SWIMMING POOL,29012,CHARLESTOWN OF DOUGLASS HILLS,407 CHARLESTOWN COURT,LOUISVILLE,KY,40243,25,1988/08/02 00:00:00,80
695,SWIMMING AREA,191,SWIMMING POOL,78634,SPRING HILL SUITES LOU AIRPORT,820 PHILLIPS LANE,LOUISVILLE,KY,40209,27,2007/07/24 00:00:00,81
695,SWIMMING AREA,191,SWIMMING POOL,98346,STAYBRIDGE SUITES,11711 GATEWORTH WAY,LOUISVILLE,KY,40299,22,2015/09/15 00:00:00,82
695,SWIMMING AREA,191,SWIMMING POOL,29022,RESIDENCE INN BY MARRIOTT,120 N HURSTBOURNE PKWY,LOUISVILLE,KY,40222,29,1988/06/02 00:00:00,83
695,SWIMMING AREA,191,SWIMMING POOL,93087,CLAIBORNE CROSSING,14601 PULPIT DRIVE,LOUISVILLE,KY,40245,25,2014/04/10 00:00:00,84
695,SWIMMING AREA,191,SWIMMING POOL,29371,DERBY RUN APTS,6600 OUTER LOOP,LOUISVILLE,KY,40228,27,1988/06/07 00:00:00,85
695,SWIMMING AREA,191,SWIMMING POOL,29025,SHELBY HOUSE,8605 SHELBYVILLE ROAD UNIT 231,LOUISVILLE,KY,40222,29,1988/06/02 00:00:00,86
419,SWIMMING AREA,191,SWIMMING POOL,98844,ALOFT LOUISVILLE EAST,10700 WESTPORT RD,LOUISVILLE,KY,40241,21,1988/06/07 00:00:00,87
695,SWIMMING AREA,191,SWIMMING POOL,78639,PARK LAKE APARTMENTS,7100 LEISURE LANE,LOUISVILLE,KY,40229,27,2007/07/24 00:00:00,88
998,SWIMMING AREA,191,SWIMMING POOL,48379,STONECREST CONDOMINIUMS,750 ZORN AVE,LOUISVILLE,KY,40206,26,1993/03/16 00:00:00,89
695,SWIMMING AREA,191,SWIMMING POOL,29372,STONEHENGE CONDOS,245 STONEHENGE DR,LOUISVILLE,KY,40207,26,1988/06/07 00:00:00,90
695,SWIMMING AREA,191,SWIMMING POOL,78766,HILTON GARDEN INN,9850 PARK PLAZA AVE,LOUISVILLE,KY,40241,21,2007/08/02 00:00:00,91
695,SWIMMING AREA,191,SWIMMING POOL,29141,HURSTBOURNE COUNTRY CLUB,9000 HURSTBOURNE CLUB LN,LOUISVILLE,KY,40222,29,1988/06/06 00:00:00,92
695,SWIMMING AREA,197,SPA,93920,COMFORT SUITES,1850 RESOURCE WAY,JEFFERSONTOWN,KY,40299,22,2013/09/25 00:00:00,93
695,SWIMMING AREA,191,SWIMMING POOL,48976,HILLVIEW WOODS APTS SWIM POOL,4800 BIRCH TREE LANE,LOUISVILLE,KY,40229,27,1993/06/18 00:00:00,94
891,SWIMMING AREA,191,SWIMMING POOL,29373,METRO PARKS SUN VALLEY,6506 BETHANY LN,LOUISVILLE,KY,40272,23,1988/06/07 00:00:00,95
695,SWIMMING AREA,191,SWIMMING POOL,98913,HOLIDAY INN EXPRESS,1921 BISHOP LANE,LOUISVILLE,KY,40218,28,1988/06/07 00:00:00,96
710,SWIMMING AREA,191,SWIMMING POOL,78826,HOLIDAY INN LOU. AIRPORT SOUTH,6551 PARAMOUNT PARK,LOUISVILLE,KY,40213,27,2007/08/22 00:00:00,97
695,SWIMMING AREA,191,SWIMMING POOL,29156,1616 CONDOMINIUMS,1616 GARDINER LN,LOUISVILLE,KY,40205,28,1988/06/06 00:00:00,98
695,SWIMMING AREA,191,SWIMMING POOL,93922,COMFORT SUITES,1850 RESOURCE WAY,JEFFERSONTOWN,KY,40299,22,2013/09/25 00:00:00,99
695,SWIMMING AREA,191,SWIMMING POOL,49413,SUTHERLAND,6800 WINDHAM PKWY,PROSPECT,KY,40059,21,1993/09/02 00:00:00,100
695,SWIMMING AREA,191,SWIMMING POOL,29376,SYCAMORE CONDOS,217 SYCAMORE DR,LOUISVILLE,KY,40223,25,1988/06/07 00:00:00,101
464,SWIMMING AREA,198,SPLASH PAD,98925,ROBSION PARK SPLASH PAD,8125R LAGRANGE RD,LYNDON,KY,40222,29,1988/06/07 00:00:00,102
695,SWIMMING AREA,191,SWIMMING POOL,78986,HOLIDAY INN,447 FARMINGTON AVE,LOUISVILLE,KY,40209,23,2007/09/12 00:00:00,103
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,29161,LAKE FOREST - THE LODGE,511 WOODLAKE DR,LOUISVILLE,KY,40245,25,1988/06/06 00:00:00,104
695,SWIMMING AREA,197,SPA,94109,KORT - BROWNSBORO CROSSING,9880 ANGIES WAY,LOUISVILLE,KY,40241,21,2014/01/22 00:00:00,105
695,SWIMMING AREA,191,SWIMMING POOL,94177,MERIDIAN AT SHELBYVILLE,12900 OBSERVATION CIRCLE,LOUISVILLE,KY,40243,25,2014/07/03 00:00:00,106
695,SWIMMING AREA,191,SWIMMING POOL,94925,U OF L - SOCCER COMPLEX #1,337 BYRNE AVE,LOUISVILLE,KY,40209,23,2014/08/01 00:00:00,107
695,SWIMMING AREA,191,SWIMMING POOL,94926,U OF L - SOCCER COMPLEX #2,337 BYRNE AVE,LOUISVILLE,KY,40209,23,2014/08/01 00:00:00,108
