tuple_id,act_dep_time,act_arr_time
100,6:57 a.m.,7:49 a.m.
101,7:31 a.m.,9:26 a.m.
102,5:09 p.m.,7:43 p.m.
103,7:39 a.m.,10:43 a.m.
104,4:44 p.m.,6:28 p.m.
105,4:37 p.m.,7:23 p.m.
106,8:23 p.m.,9:47 p.m.
107,,
108,7:30 a.m.,10:43 a.m.
109,11:02 a.m.,2:58 p.m.
110,1:48 p.m.,4:20 p.m.
111,12:42 p.m.,2:50 p.m.
112,,
113,12:11 a.m.,5:52 a.m.
114,4:28 p.m.,12/2/11 12:01 a.m.
115,9:06 p.m.,11:49 p.m.
116,8:29 p.m.,11:35 p.m.
117,7:23 a.m.,9:45 a.m.
118,8:52 a.m.,11:33 a.m.
119,8:37 a.m.,9:13 a.m.
120,1:41 p.m.,3:29 p.m.
121,,
122,7:41 a.m.,8:33 a.m.
123,,
124,5:38 p.m.,6:19 p.m.
125,1:50 p.m. (+8:00),7:50 a.m.
126,11:47 a.m.,1:52 p.m.
127,8:40 p.m.,9:12 p.m.
128,3:04 p.m.,4:22 p.m.
129,,
130,,
131,2:44 p.m.,3:36 p.m.
132,3:28 p.m.,5:39 p.m.
133,7:22 a.m.,11:04 a.m.
134,12:11 p.m.,1:42 p.m.
135,8:04 a.m.,10:58 a.m.
136,,
137,1:20 p.m.,2:49 p.m.
138,8:55 a.m.,10:12 a.m.
139,3:38 p.m.,6:30 p.m.
140,8:04 a.m.,7:59 a.m.
141,4:12 p.m.,6:11 p.m.
142,11:52 a.m.,2:21 p.m.
143,,
144,11:55 a.m.,5:34 p.m.
145,10:55 a.m.,12:37 p.m.
146,6:58 a.m.,7:37 a.m.
147,,
148,6:11 a.m.,6:15 a.m.
149,7:40 a.m.,10:52 a.m.
150,7:32 a.m.,3:12 p.m.
151,7:16 a.m.,9:22 a.m.
152,7:42 p.m.,10:23 p.m.
153,6:54 a.m.,9:12 a.m.
154,8:49 a.m.,11:35 a.m.
155,9:01 a.m.,9:40 a.m.
156,7:59 p.m.,10:39 p.m.&nbsp(Estimated)
157,12:12 p.m.,3:10 p.m.
158,3:50 p.m.,5:17 p.m.
159,12:37 p.m.,3:25 p.m.
160,10:53 a.m.,11:18 a.m.
161,Not Available,Not Available
162,6:10 a.m.,7:10 a.m.
163,12:58 a.m.,5:23 a.m.
164,4:10 p.m.,6:25 p.m.
165,7:56 a.m.,9:09 a.m.
166,10:35 a.m.,1:09 p.m.
167,10:11 a.m.,1:18 p.m.
168,8:26 a.m.,9:54 a.m.
169,7:25 a.m.,9:42 a.m.
170,4:30 p.m.,7:35 p.m.
171,10:55 a.m.,1:34 p.m.
172,2:59 p.m.,6:59 p.m.
173,8:18 a.m.,11:26 a.m.
174,3:04 p.m.,4:45 p.m.
175,12:13 p.m.,4:09 p.m.
176,12:06 p.m.,1:12 p.m.
177,6:09 a.m.,9:00 a.m.
178,11:45 a.m.,5:03 p.m.
179,6:17 a.m.,10:18 a.m.
180,9:01 a.m.,10:47 a.m.
181,10:19 a.m.,11:50 a.m.
182,2:04 p.m.,3:19 p.m.
183,8:07 a.m.,1:27 p.m.
184,12:56 p.m.,3:20 p.m.
185,12:14 p.m.,2:01 p.m.
186,2:43 p.m.,5:28 p.m.
187,12:08 p.m.,1:14 p.m.
188,5:38 p.m.,7:55 p.m.
189,8:36 p.m.,9:38 p.m.
190,11:06 a.m.,2:37 p.m.
191,,
192,3:36 p.m.,3:25 p.m.
193,7:22 a.m.,10:29 a.m.
194,Not Available,Not Available
195,6:56 p.m.,8:43 p.m.
196,Not Available,Not Available
197,2:38 p.m.,7:53 p.m.
198,9:58 a.m.,12:03 p.m.
199,6:57 a.m.,7:51 a.m.
200,7:31 a.m.,9:29 a.m.
201,5:09 p.m.,7:53 p.m.
202,4:46 p.m.,6:36 p.m.
203,4:37 p.m.,7:26 p.m.
204,8:23 p.m.,9:49 p.m.
205,10:37 a.m.,6:13 p.m.
206,7:31 a.m.,10:45 a.m.
207,11:02 a.m.,2:56 p.m.
208,1:48 p.m.,4:18 p.m.
209,12:42 p.m.,2:52 p.m.
210,2:01 p.m.,4:06 p.m.
211,,
212,Not Available,Not Available
213,Not Available,Not Available
214,Not Available,Not Available
215,7:23 a.m.,9:58 a.m.
216,8:52 a.m.,11:40 a.m.
217,8:37 a.m.,9:11 a.m.
218,Not Available,Not Available
219,3:17 p.m.,4:55 p.m.
220,7:41 a.m.,8:41 a.m.
221,,
222,,
223,12:45 a.m.,7:58 a.m.
224,11:47 a.m.,2:02 p.m.
225,8:40 p.m.,9:11 p.m.
226,3:04 p.m.,4:24 p.m.
227,2:59 p.m.,6:59 p.m.
228,9:43 a.m.,12:10 p.m.
229,2:44 p.m.,3:36 p.m.
230,3:28 p.m.,5:34 p.m.
231,7:23 a.m.,11:07 a.m.
232,12:11 p.m.,1:40 p.m.
233,8:05 a.m.,11:00 a.m.
234,9:05 a.m.,12:00 p.m.
235,1:20 p.m.,3:01 p.m.
236,8:56 a.m.,10:10 a.m.
237,3:38 p.m.,6:36 p.m.
238,8:04 a.m.,7:57 a.m.
239,11:41 a.m.,4:52 p.m.
240,4:12 p.m.,6:09 p.m.
241,11:52 a.m.,2:18 p.m.
242,7:40 a.m.,10:53 a.m.
243,4:02 p.m.,5:09 p.m.
244,11:55 a.m.,5:35 p.m.
245,10:55 a.m.,12:48 p.m.
246,6:58 a.m.,7:32 a.m.
247,4:15 p.m.,6:33 p.m.
248,6:11 a.m.,6:07 a.m.
249,7:40 a.m.,11:00 a.m.
250,7:32 a.m.,3:09 p.m.
251,,
252,6:54 a.m.,9:09 a.m.
253,8:49 a.m.,11:34 a.m.
254,,
255,,
256,6:56 p.m.,7:35 p.m.
257,,
258,,
259,,
260,,
261,11:58 p.m.,7:02 a.m.
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,6:09 a.m.,8:50 a.m.
272,,
273,,
274,,
275,,
276,10:19 a.m.,11:50 a.m.
277,,
278,2:04 p.m.,3:13 p.m.
279,,
280,10:11 a.m.,1:11 p.m.
281,,
282,,
283,7:40 a.m.,10:52 a.m.
284,11:52 a.m.,2:17 p.m.
285,11:06 a.m.,2:36 p.m.
286,7:22 a.m.,10:34 a.m.
287,,
288,,
289,12:12 p.m.,3:09 p.m.
290,,
291,,
292,,
293,,
294,7:31 a.m.,9:23 a.m.
295,,
296,,
297,,
298,,
299,,
300,11:02 a.m.,2:52 p.m.
301,,
302,12:11 a.m.,5:49 a.m.
303,4:30 p.m.,11:56 p.m.
304,,
305,8:44 p.m.,11:54 p.m.
306,7:23 a.m.,9:56 a.m.
307,8:52 a.m.,11:39 a.m.
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,7:23 a.m.,11:04 a.m.
321,,
322,,
323,,
324,,
325,1:20 p.m.,2:49 p.m.
326,8:07 a.m.,1:23 p.m.
327,,
328,,
329,,
330,,
331,,
332,,
333,6:58 a.m.,7:40 a.m.
334,,
335,,
336,7:40 a.m.,10:49 a.m.
337,,
338,7:16 a.m.,9:22 a.m.
339,,
340,6:54 a.m.,9:14 a.m.
341,8:48 a.m.,11:30 a.m.
342,9:00 a.m.,9:29 a.m.
343,7:59 p.m.,10:31 p.m.
344,3:50 p.m.,5:14 p.m.
345,,
346,11:41 a.m.,4:54 p.m.
347,10:53 a.m.,11:11 a.m.
348,11:29 p.m.,12/2/11 6:35 a.m.
349,6:10 a.m.,7:04 a.m.
350,,
351,4:10 p.m.,6:25 p.m.
352,,
353,,
354,10:11 a.m.,1:11 p.m.
355,8:26 a.m.,9:56 a.m.
356,7:25 a.m.,9:29 a.m.
357,4:29 p.m.,7:37 p.m.
358,10:54 a.m.,1:36 p.m.
359,,
360,,
361,3:04 p.m.,4:43 p.m.
362,12:13 p.m.,4:08 p.m.
363,,
364,6:09 a.m.,8:50 a.m.
365,11:45 a.m.,5:00 p.m.
366,,
367,,
368,10:19 a.m.,11:50 a.m.
369,2:03 p.m.,3:13 p.m.
370,8:07 a.m.,1:23 p.m.
371,12:56 p.m.,3:09 p.m.
372,12:14 p.m.,1:55 p.m.
373,2:43 p.m.,5:22 p.m.
374,12:07 p.m.,1:11 p.m.
375,,
376,,
377,11:06 a.m.,2:39 p.m.
378,1:43 p.m.,5:24 p.m.
379,,
380,7:22 a.m.,10:34 a.m.
381,6:47 p.m.,7:25 p.m.
382,6:56 p.m.,8:38 p.m.
383,12:12 p.m.,3:04 p.m.
384,,
385,2:04 p.m.,7:20 p.m.
386,,
387,6:57 a.m.,7:49 a.m.
388,7:31 a.m.,9:26 a.m.
389,5:09 p.m.,7:43 p.m.
390,7:39 a.m.,10:43 a.m.
391,4:44 p.m.,6:28 p.m.
392,4:37 p.m.,7:23 p.m.
393,8:23 p.m.,9:47 p.m.
394,,
395,7:30 a.m.,10:43 a.m.
396,11:02 a.m.,2:58 p.m.
397,1:48 p.m.,4:20 p.m.
398,12:42 p.m.,2:50 p.m.
399,,
400,12:11 a.m.,5:52 a.m.
401,4:28 p.m.,12/2/11 12:01 a.m.
402,9:06 p.m.,11:49 p.m.
403,8:29 p.m.,11:35 p.m.
404,7:23 a.m.,9:45 a.m.
405,8:52 a.m.,11:33 a.m.
406,8:37 a.m.,9:13 a.m.
407,1:41 p.m.,3:29 p.m.
408,,
409,7:41 a.m.,8:33 a.m.
410,,
411,5:38 p.m.,6:19 p.m.
412,1:50 p.m. (+8:00),7:50 a.m.
413,11:47 a.m.,1:52 p.m.
414,8:40 p.m.,9:12 p.m.
415,3:04 p.m.,4:22 p.m.
416,,
417,,
418,2:44 p.m.,3:36 p.m.
419,3:28 p.m.,5:39 p.m.
420,7:22 a.m.,11:04 a.m.
421,12:11 p.m.,1:42 p.m.
422,8:04 a.m.,10:58 a.m.
423,,
424,1:20 p.m.,2:49 p.m.
425,8:55 a.m.,10:12 a.m.
426,3:38 p.m.,6:30 p.m.
427,8:04 a.m.,7:59 a.m.
428,4:12 p.m.,6:11 p.m.
429,11:52 a.m.,2:21 p.m.
430,,
431,11:55 a.m.,5:34 p.m.
432,10:55 a.m.,12:37 p.m.
433,6:58 a.m.,7:37 a.m.
434,,
435,6:11 a.m.,6:15 a.m.
436,7:40 a.m.,10:52 a.m.
437,7:32 a.m.,3:12 p.m.
438,7:16 a.m.,9:22 a.m.
439,7:42 p.m.,10:29 p.m.
440,6:54 a.m.,9:28 a.m.
441,8:49 a.m.,11:58 a.m.
442,9:01 a.m.,9:43 a.m.
443,7:59 p.m.,
444,12:12 p.m.,3:16 p.m.
445,3:50 p.m.,5:17 p.m.
446,12:37 p.m.,3:31 p.m.
447,10:53 a.m.,11:21 a.m.
448,,
449,6:10 a.m.,7:17 a.m.
450,12:58 a.m.,5:26 a.m.
451,4:10 p.m.,6:25 p.m.
452,7:56 a.m.,9:09 a.m.
453,10:35 a.m.,1:19 p.m.
454,10:11 a.m.,1:18 p.m.
455,8:26 a.m.,9:56 a.m.
456,7:25 a.m.,9:45 a.m.
457,4:30 p.m.,7:39 p.m.
458,10:55 a.m.,1:40 p.m.
459,2:59 p.m.,7:10 p.m.
460,8:18 a.m.,11:32 a.m.
461,3:04 p.m.,5:00 p.m.
462,12:13 p.m.,4:09 p.m.
463,12:06 p.m.,1:14 p.m.
464,6:09 a.m.,9:05 a.m.
465,11:45 a.m.,5:03 p.m.
466,6:17 a.m.,10:27 a.m.
467,9:01 a.m.,10:56 a.m.
468,10:19 a.m.,11:50 a.m.
469,2:04 p.m.,3:19 p.m.
470,8:07 a.m.,1:30 p.m.
471,12:56 p.m.,3:21 p.m.
472,12:14 p.m.,2:01 p.m.
473,2:43 p.m.,5:42 p.m.
474,12:08 p.m.,1:14 p.m.
475,5:38 p.m.,8:03 p.m.
476,8:36 p.m.,9:38 p.m.
477,11:06 a.m.,2:46 p.m.
478,1:43 p.m.,5:34 p.m.
479,3:36 p.m.,3:25 p.m.
480,7:22 a.m.,10:29 a.m.
481,,
482,6:56 p.m.,8:43 p.m.
483,,
484,2:38 p.m.,7:58 p.m.
485,9:58 a.m.,12:09 p.m.
486,6:57 a.m.,7:51 a.m.
487,7:31 a.m.,9:29 a.m.
488,5:09 p.m.,7:53 p.m.
489,4:46 p.m.,6:35 p.m.
490,4:37 p.m.,7:36 p.m.
491,8:23 p.m.,9:49 p.m.
492,10:37 a.m.,6:34 p.m.
493,7:31 a.m.,10:45 a.m.
494,11:02 a.m.,3:04 p.m.
495,1:48 p.m.,4:23 p.m.
496,12:42 p.m.,2:52 p.m.
497,2:01 p.m.,4:17 p.m.
498,,
499,,
500,,
501,,
502,7:23 a.m.,10:04 a.m.
503,8:52 a.m.,11:44 a.m.
504,8:37 a.m.,9:13 a.m.
505,,
506,3:17 p.m.,4:59 p.m.
507,7:41 a.m.,8:45 a.m.
508,,
509,,
510,1:45 p.m.,8:02 a.m.
511,11:47 a.m.,2:02 p.m.
512,8:40 p.m.,9:11 p.m.
513,3:04 p.m.,4:24 p.m.
514,2:59 p.m.,7:10 p.m.
515,9:43 a.m.,12:12 p.m.
516,2:44 p.m.,3:36 p.m.
517,3:28 p.m.,5:34 p.m.
518,7:23 a.m.,11:07 a.m.
519,12:11 p.m.,1:43 p.m.
520,8:05 a.m.,11:00 a.m.
521,9:05 a.m.,12:09 p.m.
522,1:20 p.m.,3:01 p.m.
523,8:56 a.m.,10:10 a.m.
524,3:38 p.m.,6:43 p.m.
525,8:04 a.m.,7:57 a.m.
526,11:41 a.m.,4:56 p.m.
527,4:12 p.m.,6:09 p.m.
528,11:52 a.m.,2:27 p.m.
529,7:40 a.m.,11:06 a.m.
530,4:02 p.m.,5:26 p.m.
531,11:55 a.m.,6:17 p.m.
532,10:55 a.m.,12:48 p.m.
533,6:58 a.m.,7:32 a.m.
534,4:15 p.m.,6:36 p.m.
535,6:11 a.m.,6:19 a.m.
536,7:40 a.m.,11:12 a.m.
537,7:32 a.m.,3:14 p.m.
538,7:16 a.m.,9:32 a.m.
539,7:14 p.m.,10:29 p.m.
540,6:54 a.m.,9:28 a.m.
541,8:29 a.m.,11:58 a.m.
542,8:42 a.m.,9:43 a.m.
543,7:58 p.m.,10:30 p.m. (Estimated)
544,12:13 p.m.,2:10 p.m.
545,6:47 p.m. (Estimated runway),7:25 p.m. (Estimated runway)
546,3:28 p.m.,5:17 p.m.
547,11:32 a.m.,3:31 p.m.
548,11:29 p.m. (Estimated runway),6:35 a.m. (Estimated runway)
549,5:56 a.m.,7:17 a.m.
550,12:41 a.m.,5:26 a.m.
551,3:58 p.m.,6:28 p.m.
552,7:29 a.m.,9:14 a.m.
553,10:19 a.m.,1:19 p.m.
554,7:25 a.m.,9:45 a.m.
555,8:12 a.m.,9:56 a.m.
556,4:29 p.m.,7:39 p.m.
557,10:10 a.m.,1:27 p.m.
558,2:48 p.m.,7:10 p.m.
559,5:22 p.m.,8:03 p.m.
560,12:12 p.m.,4:09 p.m.
561,11:56 a.m.,1:14 p.m.
562,6:08 a.m.,9:05 a.m.
563,11:30 a.m.,5:05 p.m.
564,6:02 a.m.,10:27 a.m.
565,8:40 a.m.,10:56 a.m.
566,8:04 a.m.,11:01 a.m.
567,10:18 a.m.,11:56 a.m.
568,8:04 a.m.,8:06 a.m.
569,2:04 p.m.,3:20 p.m. (runway)
570,6:57 a.m.,7:40 a.m.
571,12:41 p.m.,2:50 p.m.
572,12:35 p.m.,3:21 p.m.
573,11:51 a.m.,1:15 p.m.
574,8:25 p.m.,9:52 p.m. (Estimated)
575,11:52 a.m.,2:27 p.m.
576,11:05 a.m.,2:46 p.m.
577,1:32 p.m.,5:34 p.m.
578,3:36 p.m.,3:33 p.m.
579,7:21 a.m.,10:36 a.m.
580,8:00 a.m.,11:32 a.m.
581,6:55 p.m.,8:53 p.m.
582,12:11 p.m.,3:16 p.m.
583,7:15 p.m. (Estimated),12:21 a.m. (Estimated)
584,2:10 p.m.,7:58 p.m.
585,9:14 a.m.,12:09 p.m.
586,6:56 a.m.,7:51 a.m.
587,7:30 a.m.,9:31 a.m.
588,5:08 p.m.,7:55 p.m.
589,7:39 a.m.,11:06 a.m.
590,4:28 p.m.,6:38 p.m.
591,4:15 p.m.,7:36 p.m.
592,8:23 p.m.,9:53 p.m.
593,10:20 a.m.,6:34 p.m.
594,7:07 a.m.,10:47 a.m.
595,11:01 a.m.,3:04 p.m.
596,1:31 p.m.,4:23 p.m.
597,1:48 p.m.,4:17 p.m.
598,12:10 a.m. (Estimated runway),5:42 a.m. (Estimated runway)
599,4:28 p.m. (Estimated runway),12:01 a.m. (Estimated runway)
600,9:06 p.m. (Estimated runway),11:49 p.m. (Estimated runway)
601,8:29 p.m. (Estimated runway),11:35 p.m. (Estimated runway)
602,2:46 p.m.,4:47 p.m.
603,7:22 a.m.,10:04 a.m.
604,8:51 a.m.,11:44 a.m.
605,2:26 p.m.,5:42 p.m.
606,8:26 a.m.,9:13 a.m.
607,3:01 p.m.,4:59 p.m.
608,,
609,5:30 p.m. (Estimated),6:40 p.m. (Estimated)
610,11:15 a.m.,2:00 p.m.
611,8:39 p.m.,9:19 p.m. (Estimated)
612,2:52 p.m.,4:44 p.m.
613,2:48 p.m.,7:10 p.m.
614,2:44 p.m.,3:43 p.m.
615,3:27 p.m.,5:43 p.m.
616,7:22 a.m.,11:06 a.m.
617,12:10 p.m.,1:43 p.m.
618,1:19 p.m.,3:13 p.m.
619,7:49 a.m.,1:30 p.m.
620,8:56 a.m.,10:16 a.m.
621,3:36 p.m.,6:43 p.m.
622,4:12 p.m.,6:15 p.m.
623,7:31 a.m.,3:14 p.m.
624,3:31 p.m.,5:26 p.m.
625,11:43 a.m.,5:38 p.m.
626,10:54 a.m.,12:50 p.m.
627,3:58 p.m.,6:36 p.m.
628,6:10 a.m.,6:19 a.m.
629,7:39 a.m.,11:12 a.m.
630,7:16 a.m.,9:22 a.m.
631,7:42 p.m.,10:29 p.m.
632,6:54 a.m.,9:28 a.m.
633,8:49 a.m.,11:58 a.m.
634,9:01 a.m.,9:43 a.m.
635,7:59 p.m.,
636,12:12 p.m.,3:16 p.m.
637,3:50 p.m.,5:17 p.m.
638,12:37 p.m.,3:31 p.m.
639,10:53 a.m.,11:21 a.m.
640,,
641,6:10 a.m.,7:17 a.m.
642,12:58 a.m.,5:26 a.m.
643,4:10 p.m.,6:25 p.m.
644,7:56 a.m.,9:09 a.m.
645,10:35 a.m.,1:19 p.m.
646,10:11 a.m.,1:18 p.m.
647,8:26 a.m.,9:56 a.m.
648,7:25 a.m.,9:45 a.m.
649,4:30 p.m.,7:39 p.m.
650,10:55 a.m.,1:40 p.m.
651,2:59 p.m.,7:10 p.m.
652,8:18 a.m.,11:32 a.m.
653,3:04 p.m.,5:00 p.m.
654,12:13 p.m.,4:09 p.m.
655,12:06 p.m.,1:14 p.m.
656,6:09 a.m.,9:05 a.m.
657,11:45 a.m.,5:03 p.m.
658,6:17 a.m.,10:27 a.m.
659,9:01 a.m.,10:56 a.m.
660,10:19 a.m.,11:50 a.m.
661,2:04 p.m.,3:19 p.m.
662,8:07 a.m.,1:30 p.m.
663,12:56 p.m.,3:21 p.m.
664,12:14 p.m.,2:01 p.m.
665,2:43 p.m.,5:42 p.m.
666,12:08 p.m.,1:14 p.m.
667,5:38 p.m.,8:03 p.m.
668,8:36 p.m.,9:38 p.m.
669,11:06 a.m.,2:46 p.m.
670,1:43 p.m.,5:34 p.m.
671,3:36 p.m.,3:25 p.m.
672,7:22 a.m.,10:29 a.m.
673,,
674,6:56 p.m.,8:43 p.m.
675,,
676,2:38 p.m.,7:58 p.m.
677,9:58 a.m.,12:09 p.m.
678,6:57 a.m.,7:51 a.m.
679,7:31 a.m.,9:29 a.m.
680,5:09 p.m.,7:53 p.m.
681,4:46 p.m.,6:35 p.m.
682,4:37 p.m.,7:36 p.m.
683,8:23 p.m.,9:49 p.m.
684,10:37 a.m.,6:34 p.m.
685,7:31 a.m.,10:45 a.m.
686,11:02 a.m.,3:04 p.m.
687,1:48 p.m.,4:23 p.m.
688,12:42 p.m.,2:52 p.m.
689,2:01 p.m.,4:17 p.m.
690,,
691,,
692,,
693,,
694,7:23 a.m.,10:04 a.m.
695,8:52 a.m.,11:44 a.m.
696,8:37 a.m.,9:13 a.m.
697,,
698,3:17 p.m.,4:59 p.m.
699,7:41 a.m.,8:45 a.m.
700,,
701,,
702,1:45 p.m.,8:02 a.m.
703,11:47 a.m.,2:02 p.m.
704,8:40 p.m.,9:11 p.m.
705,3:04 p.m.,4:24 p.m.
706,2:59 p.m.,7:10 p.m.
707,9:43 a.m.,12:12 p.m.
708,2:44 p.m.,3:36 p.m.
709,3:28 p.m.,5:34 p.m.
710,7:23 a.m.,11:07 a.m.
711,12:11 p.m.,1:43 p.m.
712,8:05 a.m.,11:00 a.m.
713,9:05 a.m.,12:09 p.m.
714,1:20 p.m.,3:01 p.m.
715,8:56 a.m.,10:10 a.m.
716,3:38 p.m.,6:43 p.m.
717,8:04 a.m.,7:57 a.m.
718,11:41 a.m.,4:56 p.m.
719,4:12 p.m.,6:09 p.m.
720,11:52 a.m.,2:27 p.m.
721,7:40 a.m.,11:06 a.m.
722,4:02 p.m.,5:26 p.m.
723,11:55 a.m.,6:17 p.m.
724,10:55 a.m.,12:48 p.m.
725,6:58 a.m.,7:32 a.m.
726,4:15 p.m.,6:36 p.m.
727,6:11 a.m.,6:19 a.m.
728,7:40 a.m.,11:12 a.m.
729,7:32 a.m.,3:14 p.m.
730,7:16 a.m.,9:22 a.m.
731,7:59 p.m.,10:28 p.m.
732,7:41 p.m.,10:22 p.m.
733,8:47 a.m.,11:30 a.m.
734,9:01 a.m.,9:39 a.m.
735,,
736,11:41 a.m.,4:54 p.m.
737,10:53 a.m.,11:16 a.m.
738,,
739,6:09 a.m.,7:04 a.m.
740,12:57 a.m.,5:25 a.m.
741,12:42 p.m.,2:50 p.m.
742,7:25 a.m.,9:29 a.m.
743,4:30 p.m.,7:37 p.m.
744,10:11 a.m.,1:19 p.m.
745,12:13 p.m.,4:08 p.m.
746,12:05 p.m.,1:06 p.m.
747,6:09 a.m.,8:50 a.m.
748,8:05 a.m.,10:58 a.m.
749,10:19 a.m.,11:50 a.m.
750,8:04 a.m.,7:59 a.m.
751,2:04 p.m.,3:13 p.m.
752,12:55 p.m.,3:07 p.m.
753,12:14 p.m.,1:55 p.m.
754,2:41 p.m.,5:22 p.m.
755,11:52 a.m.,2:21 p.m.
756,11:06 a.m.,2:39 p.m.
757,,
758,3:36 p.m.,3:26 p.m.
759,7:22 a.m.,10:34 a.m.
760,6:56 p.m.,8:38 p.m.
761,12:12 p.m.,3:04 p.m.
762,9:56 a.m.,12:02 p.m.
763,6:57 a.m.,7:49 a.m.
764,7:31 a.m.,9:26 a.m.
765,5:09 p.m.,7:43 p.m.
766,7:40 a.m.,10:43 a.m.
767,4:35 p.m.,7:23 p.m.
768,8:23 p.m.,9:47 p.m.
769,10:55 a.m.,1:36 p.m.
770,1:46 p.m.,4:20 p.m.
771,1:59 p.m.,4:05 p.m.
772,,
773,,
774,,
775,7:23 a.m.,9:45 a.m.
776,8:52 a.m.,11:33 a.m.
777,8:37 a.m.,9:13 a.m.
778,,
779,11/30/2011 11:34 p.m.,5:24 a.m.
780,,
781,8:17 a.m.,11:27 a.m.
782,2:44 p.m.,3:36 p.m.
783,7:23 a.m.,11:04 a.m.
784,,
785,7:41 a.m.,8:33 a.m.
786,12:11 p.m.,1:42 p.m.
787,1:20 p.m.,2:49 p.m.
788,7:32 a.m.,3:12 p.m.
789,10:55 a.m.,12:37 p.m.
790,6:58 a.m.,7:37 a.m.
791,6:11 a.m.,6:13 a.m.
792,7:40 a.m.,10:52 a.m.
793,,2:46P
794,,10:08A
795,,7:39P
796,,9:04A
797,,11:06A
798,12:30,
799,,
800,,
801,,
802,,
803,,
804,,Thu  22:25
805,,Thu  17:40
806,,Thu  19:33
807,,Thu  7:31
808,,Thu  6:50
809,,
810,,Thu  10:28
811,,
812,7:16 a.m.,9:32 a.m.
813,7:14 p.m.,10:29 p.m.
814,6:54 a.m.,9:28 a.m.
815,8:29 a.m.,11:58 a.m.
816,8:42 a.m.,9:43 a.m.
817,,
818,12:11 p.m.,3:16 p.m.
819,3:28 p.m.,5:17 p.m.
820,11:32 a.m.,3:31 p.m.
821,10:33 a.m.,11:21 a.m.
822,,
823,5:56 a.m.,7:17 a.m.
824,12:41 a.m.,5:26 a.m.
825,3:58 p.m.,6:28 p.m.
826,7:29 a.m.,9:14 a.m.
