indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-5 yars,2,"Percent of population, crude",1,Sex,1,1.2,Female,001-2004,3,2-5 years,0.1,11.7,1.6,***
Obesity among children and adolescents aged 2-19 years,2- 5years,2,"Percnet of population, crude",1,Sex,1,1.2,Female,2003-2006,4,2-5 years,0.1,12.2,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.2,mFemale,2005-2008,5,2-5 years,0.1,11.2,1.2,***
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of popultaion, crude",1,Sex,1,1.2,Female,2007-2010,6,2-5 yeras,0.1,10.2,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, zcrude",1,Sex,1,1.2,Female,2009-2012,7,2-5 years,0.1,8.4,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex,1,1.2,Female,2011-2014,8,2-5 years,0.1,8.6,1.3,-
Obesity among children and adolescents aged 2-19 years,25- years,2,"Percent of population, crude",1,Sex,1,1.2,Female,2013-2016,9,2-5 years,0.1,11.7,1.1,-
Obesity among children and adolescents aged 2-19 years,2-5 yeasr,2,"Percent of population, crude",1,Age,2,2.1,2-5 years,1988-1994,1,2-5 years,0.1,7.2,0.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,gAe,2,2.1,2-5 years,1999-2002,2,2-5 ears,0.1,10.3,1.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of oppulation, crude",1,Age,2,2.1,2-5 years,2001-20t04,3,2-5 years,0.1,12.4,1.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Age,2,2.1,-5 years,20032-006,4,25- years,0.1,12.5,1.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Age,2,2.1,2-5 years,2005-2d008,5,2-5 years,0.1,10.5,0.9,-
Obesity among children and adolescents aged 2-19 years,2-5y ears,2,"Percent of population, crude",1,Age,2,2.1,2-5 years,2007-2010,6,2-5 years,0.1,11.1,0.8,-
Obesity among children and adolesceynts aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Age,2,2.1,2-5 years,2009-2012,7,2-5 years,0.1,10.2,0.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Age,2,2.1,2-5 years,2011-2014,8,2-5 years,0.1,8.9,0.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,iAge,2,2.1,2-c5 years,2013-2016,9,2-5 years,0.1,11.6,0.9,-
Obesity among children and adolescents aged 2-19 years,-5 years,2,"Percent of population, crude",1,Age,2,2.1,2-5 years,2015-2018,10,2-5 years,0.1,13.7,0.9,
Obesity among children and adolescents aged 2-19 years,-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,1988-1994,1,2-5 years,0.1,5.2,0.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,1999-2002,2,2-5 years,0.1,8.7,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population,c rude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2001-2004,3,2-5 years,0.1,10.2,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2003-2006,4,2-5 years,0.1,10.8,1.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,005-2008,5,2-5 years,0.1,9.3,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2007-2010,6,2-5 years,0.1,9.0,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,009-2012,7,2-5 years,0.1,6.4,1.2,
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of popualtion, crude",1,Race and Hispanic origin,3,3.11,Not Hpispanic or Latino: White only,2011-2014,8,2-5 years,0.1,5.2,1.2,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Not Hispanic or Latino: White only,2013-2016,9,2-5 years,0.1,9.9,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 yars,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.11,Nto Hispanic or Latino: White only,2015-2018,10,2-5 years,0.1,12.4,1.4,***
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population ,crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,1988-1994,1,2-5 years,0.1,7.8,0.7,-
Obesity amonlg children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hikspanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,1999-2020,2,2-5 years,0.1,8.8,1.5,***
