crimeid_UK_CSV0000000000007276,monthvalue_UK_CSV0000000000007276,reportedby,fallswithin,longitude_UK_CSV0000000000007276,latitude_UK_CSV0000000000007276,locationvalue_UK_CSV0000000000007276,lsoacode,lsoaname,outcometype,crimeid_UK_CSV0000000000010195,monthvalue_UK_CSV0000000000010195,longitude_UK_CSV0000000000010195,latitude_UK_CSV0000000000010195,locationvalue_UK_CSV0000000000010195
48a35560b959ca6518cc76765b0bbe9c3d1ca34387cef31390e016e6060bccb3,2022-03,South Wales Police,South Wales Police,-3.199177,51.465751,On or near HADFIELD ROAD,W01001759,Cardiff 046A,Investigation complete; no suspect identified,,,,,
7120ca4f8b76b22ff9ecb70e5a90ace579d50161e7dd8826b58f02d80a8e9b4e,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
a9fd2466c3575f8dfb698ff5d5e35c0759474911eb76db1af7ede3bc0e32e77f,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
fed528806644f65f6b90a9a4cf492ecbcd73d95f7b92b29550322f0f0f913a89,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
23910f4438ace5f22506580d4930272e133867e715856e69cfd481b40ffe7ae0,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
6121b96fd1882f552fcde0ef7f35a981db1c4defb766b3aadaad54ba46e3c9b7,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
51df5b30251cf18049db27cb2a123bec173aa32b105c5368423ccdf59c64e402,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
baec3eed916d636bde984e8ef41817692a284dac3624d1cb8ebe1bcd18d53c17,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
cc2fff922342a5a98f357d35977aad05bc12a48f7c3f433ab8eb5477b19ccbe4,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
b85f5c9c59b984bd763991a256eb5fb1a1a2390dbc3a8c65d086f17ea399893b,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
a4f666b30f67a98bcb87cb8b6facf70b0ae0c5512af96d57721edde25771ea08,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
f4c53ac0132ae6c2a2dca0b589e471001cd11f30991d9c2480013c6edc92ed50,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
2fc1c1238790de2a1c5e3c0248035ebc835786ef80137f4df9f8a26f66929aef,2022-03,South Wales Police,South Wales Police,-3.658828,51.634723,On or near TUDOR ESTATE,W01000991,Bridgend 001A,Investigation complete; no suspect identified,,,,,
06aa59b9b3dccaae88701526f0ea7886eaf033684cf0f374c5d981a84ebd7e44,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
d3ae35174a3653d33b0dcfe6b95f5b0e824fe57d414020a217614cfe8e7028c9,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
392c8f8c3405049ce38c9d1942c866171d4d02ad9f7bb6541c917322703d4cb2,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
43b8b85af8fa59aea8f1c6775d7b6ccae2aafe2086e49ff56591f801ac4d5b16,2022-03,South Wales Police,South Wales Police,-3.159462,51.499969,On or near WINCHESTER AVENUE,W01001822,Cardiff 029A,Investigation complete; no suspect identified,,,,,
d9f37cdf81991b74a72b7dcafe1bf8976385de959f8df485a302427971d450b9,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
89842b8e5bc7bb0515b8aa8407b87277b6bafd4db854669dab1098cedca09056,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
9571a21cb2aed33ccb716923bed7cbe9f01ed7b93ce840d5e440d5d10cde437f,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
6c8a50005c6a1ba6a63122487806789b522153500365f85c2c011dcaffd2d5cd,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
2bff4e146c0439e5b73df898ecbab797a3ca3320d1b0ef065071bc0bb80d0fa0,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
0dc46b8cf5524430f7b3dc2e8606e4ae5e3cc6f9cf59cdb9242135a6170f0ca2,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
716bb09f1bf65605b6c5a4f212f0255cd5384851d972e33773147ab690997246,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
e20265d44ad9fa4aa325867d29c29cd5e489f0e56bfebb46165e7c44fb30cf49,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
5c59fc6045f8de5c9e5205d1db3d3627e20c20e3bab8045598d13663c422acbb,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
f949457dcd01af5176c123217f5173f7fd9b755f0efccee44c89cf246101acdc,2022-03,South Wales Police,South Wales Police,-3.168279,51.472357,On or near LETTON ROAD,W01001944,Cardiff 048C,Investigation complete; no suspect identified,,,,,
995a9e355fa015b901bb1f41afdd238cd3f65f34252996cf7243f2232a60af44,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
d1ab28e0de69e2aed5e8abc1af5220cb73710ff51c57fc344f436c7440dd6b1a,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
394753868170b0163b68d6ce0897bdd224b9cb39c86b18bd8580f53c523b96bf,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
78eb5847ccd4cb65ea92b39d056b244529a772a6078b679240e99608e34a6398,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
6eabd1213b0f94e807ea5611be8b3c6fe2dcfaefbfc1c8d8095c82d939de9809,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
1eccca98acabc54c15a14fd0300cd4996c7c5c5deb51e1e15cb5fcd6d9d964c5,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
40b3357b4c07c0876ea72f019bc26f92983f3ede29d76a057f8029ee424b549a,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
e4b4fcba405c536f142300ef3d10e5a8bf782e76c0361f859ee955e04ab54522,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
b5b77aa2ddeafb7ac21e2371fee3ff28f953128ad0d47c9f7ac1cfda55973732,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
68f1058d13ec4a4f66ff39aabb37fde94dfa163f0a21e63d40c6e9f0d1054907,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
69d8b6ff8f3ae6ae2a6a1ea76a991fc9c43e078f4e35c0a226fe289629dd26e2,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
978fcf0857c3aa89ba1c5f0b59bed7adf29997e6e3a6878f7dc8b9793c0547ed,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
7c975c6a056c89ce444570b5003049ba9604c0eef1a03abc28d5d395a58e5e18,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
9d4038a17f80fa0e010c4b0ac7522926fc2b6919c8e49c2a174964f161debb1e,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
72beb2c84fbf5dd43d9424f2bebfe2d92b18630de78ba2f1bf0c4a18164a50dc,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
e4ca83daeafd7cbdfc373d39cca6be58a4e1ea426e4244e9dcb480856f33b26e,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
edef20bd8eaf4f265c079d05ca40c96126e0b621ea3e2e4875419c7b77a8174e,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
580cbb7dfcb3ed28dca0d555e745e7a543c71178f7a07d655dfcf033c2ff7a12,2022-03,South Wales Police,South Wales Police,-3.689077,51.528624,On or near Parking Area,W01001050,Bridgend 008D,Investigation complete; no suspect identified,,,,,
b2bc735cb1ef72b2fab31c090dc34836160a9d529069e83b931afbae1732fd8f,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
8765c4c3a9a34b242fce641f5033de47640deb6cf5cb14270e0ebe61d8a1e190,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
779b009fc4546f4a721803e5ecbb80bd18dde9fb4a7413cfd8e5a70dad037023,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
3483325ecb42231ad13c8e12cabf47541195b5869c65fed50a654cfed8508e1e,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Investigation complete; no suspect identified,,,,,
d1d65bcb9d67d9d907306b68462f8ab1c93fe31bb0913b67c4b50d57dee08fee,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
e65da5adcce4f9a169de69a785d9212d394e23f585959f846f13ab44a9db0d6e,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
6e4c2049e4ebfc92a448a7a8e5695c3b097034a38c78deb9671db21034180cf7,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
44bcb084a8f31364cf7ce350504b3461752ba0521e5deb8382dba49740d58745,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
3b05a41a374425c5e5053cf9779da854b9434d959a98480869b0cc7460f16f60,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
d0119ac78f911e84531950ee38df3c38427372e3e656fbf74fe05c27795daa79,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
056512bdc9a37d59d07a762066570e66a5d06280ce1570d4a797b5e578dcf8ff,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
7902ba6a04fadd6ed590f33eaaf5453071d54dec1e32233b6170eef7d8c2b8ee,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
cfca5660b0e2ae87259527cc53f40506120a702ad916f60f1a8fb39f275611a2,2022-03,South Wales Police,South Wales Police,-3.368553,51.762121,On or near HILLCREST,W01001309,Merthyr Tydfil 008E,Unable to prosecute suspect,,,,,
4db857fe56907fd930c1b365032ca2619e84f5e9f985393506e32fed57397f14,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
84a32b8038d011ad9c7b5593f8efaf2e539334e52a07135b80ec2fcd7da587bc,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
9ebe62b4e531848111cf6ec564c6f6ec7fc6b18c4d3894cc9faebee049728b7e,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
cd399d21ee02fc2dea30b414bed3da0c42c20c4983573d0bc75bdf2aed7de7d2,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
ab1166ffc311d60b75af534c58ef91686064757659fea5353ac7d05664f25ef6,2022-03,South Wales Police,South Wales Police,-3.124331,51.518987,On or near CLEVEDON ROAD,W01001803,Cardiff 015A,Unable to prosecute suspect,,,,,
c89e92c43ad444ae9e9a050937ad57cd511489f8b89df31dbd5ad2b53c8f9335,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
f3d044f75b660a191f88e6c389065af69feeecb0b5ca0ba367c95fa2cd80eba0,2022-03,South Wales Police,South Wales Police,-3.367601,51.668744,On or near HAWTHORN TERRACE,W01001209,Rhondda Cynon Taf 008A,Unable to prosecute suspect,,,,,
da1aa862e96710c61bc0595eaa1db4c10d8e223718eead46ac7bd5fb2a685b2a,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
2b014c7dc4190f7cace250ed78b287a8043906fe528b4a46483780551b3ebc2e,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
5b2eddbbaa98b4f9648c72c376b5b2bf692b479545e38df2c774a9bae1efc67e,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
f260bc7a890f5ca635c8c035d09f0f32aceab8aedf5177dd6f98698fd34e4bea,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
2c60122d040c447ef257b5ef3aa1c3e7442ba871dd51f3c591bd4f862808f2e4,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
91e6e285c92a576074fad03b6d8dd0f37e8c9641caf4c746803232c5a9070ee4,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
d2a22fbbbd42377827994f2309a15c31823a14cdebae2a47536ce6d20ecfacb6,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
4e7216a34fa61f2c890f06996beb0124b0a198d2fa849f9c1bef5429579b0a4f,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
b293fa1b6688320cfc91e31bafb454e9c4a5f82b6ad46194585d4d6afe5af403,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
fc447a9b122f6ed2d1260be1e675742e1458147e77d57d337c7539ad7f6ad1b6,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
268f9a134dbf5922a68d3bfac858046d2b05ff930268de14b3bb3ff659afa8e7,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
3a3918948adf0932ca06ff8ea2226f865ed1d89ba14c38d32eda0892d868f027,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
a7fe017e3aca7e921b5aba3ccdd27265a3d59de767f1291e6fe8bb5e91c9f774,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
05bff14f3b976af5244b43334d2c582bc45e3a20d9bf14d9028749bb7f9b1902,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
f73f5c395426febe34c500aabc86f8ba2c0ef15951877498fe6a0ad532a3ee27,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
1886638aa142db81f0121b5d8a6f64ab1cb3e46887285d7884be3a626893e8ef,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
5f1b20adb40a04f005757dbac1f7e685a2ba1cbb84822de9217360abbf81d103,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
264222771eec8e57db5559d1ddeb22a511fb99bb727388ed13c4f893a22ed4d9,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
aedb996a53f035270e3a4a422db6ca7abd8d199aceaa110d21c1472faa05e241,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
f02210bcec14f451633755e3d9e8c86fa867dcec175f081c3af3e8c74c616a27,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
ea09af14ad2fb928e454e0b9801a27b66d2c9a0cb782bf39c7f50b87a3ad7ac3,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
89e2c4e81bb1a0479f39cd7b11494baaf90e1b59adf1b4f15a63f3be8661213b,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
f08d3794e972149abe8ef6693ec8ac1093e35ca42f362ed26855a68dde8cc393,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
dc6f6c63e089ddc7d4a388da68d6f1ad8fad9ba6c8d407149159b4c036be2212,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
109bdc02c275e5e19dcdafe5ac92a35a5ec78e37dac8e943a8ed6e1dc6e06b5d,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
ab2b91faab665e5caa8e44a2d97b933a9a6c6ec185a39f72c9d2578e3d6d9bb1,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
14c5af1011f33d24ece55dd9c82d374a23025189b2f50984dee3569f621ee39b,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
8e47aad40b489539375ca4f2b51a94cd31aee2cae9def78c4f41c87ecdaaa61b,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
65011dfa01923924974fd2c21b3bb41e0326dbc40004d136507bf854144933b2,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
e14b9a7b86e04b889102a71f9f482d3246c31a5d97680f9a2bab9494e55917ed,2022-03,South Wales Police,South Wales Police,-3.282297,51.411189,On or near WOODHAM CLOSE,W01001093,The Vale of Glamorgan 013C,Unable to prosecute suspect,,,,,
bf1297c0a7ec31733c95376f796fa7ffa9c9d99f3d9b8f1ee7a8630d22887e2d,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
877454422547bfccbfe44d456e957911fbbf97c0254c1d8b5b57cfc2f6a29aee,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Unable to prosecute suspect,,,,,
8dff1cefa61bef526dc84e4009d57ea7c650e860bd0cec113ed277718bb5340a,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Suspect charged,,,,,
d665b92a09b7819611c67f3382a161564c7012ff4dffd6d5d56adde7431fd4c1,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Suspect charged,,,,,
3f3e4e2601db566d4268a03c58a0dc1087eb947f5ad57d1ac7dfff3dc709c326,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Suspect charged,,,,,
335183e2ea6fb761d0723d8ecceae6eda8c0d991f7b024dd9398b29ea7973c1d,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Suspect charged,,,,,
46e4904ee6c59290e6da4181b09110b35d28ee1127e14d0f2c6d4451c5ac4ec3,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Suspect charged,,,,,
d929aa0b250d758af2afad228597c0d8cb31de40bb0091c4d728d795a74959bd,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Suspect charged,,,,,
bd2e9a20d5f89a5ba71eecf35f97294a5f17841517f0f872d6f3caf3a0f22be7,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Suspect charged,,,,,
51acd582f0755198b834212be5cbeb796b004b5ecaf5d5b731a1fde0889d0725,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Suspect charged,,,,,
bec32a33d2c4c4bf586f00401584319219c207c236a62b6e44738a18e8260c54,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Suspect charged,,,,,
d0af1716a971965ac3f2d2eb6894a9d1c2be05a11c65a00e18422767f7c1d8ef,2022-03,South Wales Police,South Wales Police,-3.663023,51.609953,On or near SMITH STREET,W01001017,Bridgend 002C,Suspect charged,,,,,
2816aeefc1a3968b8baaead0803fc95a93c83f002210b09d0ce12450514464e8,2022-03,South Wales Police,South Wales Police,-3.562601,51.532832,No location,W01001939,Cardiff 032F,Suspect charged,,,,,
d0f8af110b777bef50686d0ed2547f516721ba7e080de98a07dd4cee867705fc,2022-03,South Wales Police,South Wales Police,-3.378277,51.745993,On or near HIGH STREET,W01001315,Merthyr Tydfil 004D,Suspect charged,,,,,
