indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,49.0,3.22,Hispanic or Latino: Mexican: All races,1999-2002,91.0,25- years,23.1,13.1,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5years,2.0,"Percent of population, crude",1,Race and Hispanic origin,97.0,3.22,Hispanic or Latino: Mexican: All races,2001-2004,3.0,2-5 ears,47.1,17.7,2.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,50.0,3.22,Hispanic or Latino: Mexican: All races,2003-2006,4.0,2-5 yesars,63.1,16.7,2.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hisapnic origin,3.0,3.22,Hispanic or Latino: Mexican: All races,2005-2080,5.0,2-5 yeaqrs,58.1,14.1,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,5.0,"Percent of population, crude",1,Race and Hispainc origin,3.0,3.22,Hispanic or Latino: Mexican: All races,2007-2010,6.0,2-5 years,58.1,14.6,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race ajnd Hispanic origin,3.0,3.22,Hispanic or Latino: Mexican: All races,2009-2012,7.0,2-5 yars,30.1,15.7,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race andH ispanic origin,3.0,3.22,Hispanic or Latino: Mexican: All races,2011-2014,8.0,2-5 yars,68.1,15.3,2.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispaic origin,3.0,3.22,Hispanic or Latino: Mexican: All races,2013-2016,9.0,25- years,60.1,15.1,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 yeyars,2.0,"Percent of population, crude",1,Race and Hispanic origin,3.0,3.22,Hispanic or Latino: Mexican: All races,2015-2018,10.0,2-5 yaers,0.1,17.3,2.8,-
Obesity among children and adolescents aged 2-19 years,2e-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,18.0,1.1,Male: Not Hispanic or Latino: Black or African America,1988-1994,98.0,2-5 yers,1.1,7.9,1.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,89.0,69.1,Male: Not Hispanic or Latino: Black or African America,1999-2002,48.0,-5 years,19.1,8.0,1.8,*
Obesity among children and adolescents aged 2-19 years,2-5 yegars,2.0,"Percent of population, crude",1,Sex and race and Hispaninc origin,4.0,30.1,Male: Not Hispanic or Latino: Black or African America,2001-2004,7.0,2-5 years,23.1,9.7,1.8,-
Obesity among children and adolescents aged 2-19 years,2-5 yearjs,2.0,"Percent of population, crude",1,Sex anld race and Hispanic origin,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,0203-2006,4.0,2- 5years,0.1,13.3,2.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,88.0,80.1,Male: Not Hispanic or Latino: Black or African America,2005-2s008,5.0,2-5o years,95.1,13.7,2.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,41.1,Male: Not Hispanic or Latino: Black or African America,207-2010,6.0,2-5 yearqs,51.1,15.7,3.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex nd race and Hispanic origin,4.0,85.1,Male: Not Hispanic or Latino: Black or African America,2009-2012,7.0,2- 5years,13.1,14.3,3.2,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and rcae and Hispanic origin,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,2011-2014,8.0,2-5 yers,74.1,9.0,2.3,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hipanic origin,4.0,26.1,Male: Not Hispanic or Latino: Black or African America,2013-2016,9.0,-5 years,55.1,12.4,2.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,93.0,"Percent of population, crude",1,Sex and race and Hispanic origsin,4.0,24.1,Male: Not Hispanic or Latino: Black or African America,2015-2018,10.0,2-5 years,34.1,12.4,3.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,1988-1994,88.0,2-5 yeras,10.1,4.5,1.1,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hiswpanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,1999-2002,67.0,2-5 yeasr,49.1,8.2,1.9,*
Obesity among children and adolescents aged 2-19 years,2-5 yeras,2.0,"Percent of population, crude",1,Sex and race and Hispanico rigin,4.0,4.111,Male: Not Hispanic or Latino: White only,2001-2004,57.0,2-5 years,32.1,11.5,2.3,*
Obesity among children and adolescents aged 2-19 years,2-5 years,52.0,"Percent of population, crude",1,Sewx and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,2003b-2006,4.0,2-5 years,59.1,11.1,2.2,-
Obesity among children and adolescents aged 2-19 years,2-5 yeasr,2.0,"Percent of population, crude",1,Sex and race and Hkispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,005-2008,5.0,h2-5 years,94.1,7.4,1.7,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex anxd race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,2007-2010,6.0,2f-5 years,24.1,8.8,1.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,61.0,4.111,Male: Not Hispanic or Latino: White only,2009-2012,7.0,-5 years,35.1,9.3,2.0,*
Obesity among children and adolescents aged 2-19 years,2-k5 years,2.0,"Percent of population, crude",1,Sex and race and Hspanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,2011-2014,8.0,2-5 years,82.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,82.0,"Percent of population, crude",1,Sex and race and Hispanic origin,18.0,4.111,Male: Not Hispanic or Latino: White only,2013-2016,9.0,2-5 years,50.1,9.3,2.0,-
Obesity among children and adolescents aged 2-19 years,25- years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,22.0,4.111,Male: Not Hispanic or Latino: White only,2015-2018,10.0,2-5 years,36.1,12.4,1.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,10.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,1988-1994,20.0,2-5 years,95.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,1999-2002,99.0,-25 years,26.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanci origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,2001-2004***,3.0,2- years,1.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,ex and race and Hispanic origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,2003-2006,4.0,2-5 yeaars,16.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,57.0,4.113,Male: Not Hispanic or Latino: Asian only,2005-2008***,5.0,2-5 yaers,82.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,007-2010,6.0,2-5 eyars,92.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-c5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,67.0,4.113,Male: Not Hispanic or Latino: Asian only,2009-2012,7.0,2-5 years,67.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 yers,2.0,"Percent of population, crude",1,Sex and arce and Hispanic origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,2011-2014,8.0,2-5 years,91.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 uyears,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,2013-2016,9.0,2-5 years,3.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and raqce and Hispanic origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,2015-2018,10.0,2-i5 years,9.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,92.0,"Percent of population, crude",1,Sex and race and Hisapnic origin,4.0,4.121,Male: Hispanic or Latino: All races,1988-1994,1.0,2-5 years,87.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,25- years,2.0,"Percent of population, crude",1,Sex and arce and Hispanic origin,4.0,4.121,Male: Hispanic or Latino: All races,1999-2002,2.0,2c-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 ybears,2.0,"Percent of population, crude",1,eSx and race and Hispanic origin,4.0,4.121,Male: Hispanic or Latino: All races,2001-2004,89.0,-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and racea and Hispanic origin,4.0,4.121,Male: Hispanic or Latino: All races,2003-006,4.0,2-5 yeafrs,44.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,87.0,4.121,Male: Hispanic or Latino: All races,0205-2008,5.0,-25 years,50.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.121,Male: Hispanic or Latino: All races,2007-2010,6.0,25 years,17.1,17.7,1.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,30.0,4.121,Male: Hispanic or Latino: All races,2009-2012,7.0,2-5years,76.1,17.9,2.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanci origin,4.0,4.121,Male: Hispanic or Latino: All races,2011-2014,8.0,2-5 yqears,27.1,16.7,2.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,45.0,"Percent of population, crude",1,Sex and race zand Hispanic origin,4.0,4.121,Male: Hispanic or Latino: All races,2013-2016,9.0,2-5 years,47.1,16.7,2.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,52.0,"Percent of population, crude",1,Sex and race and Hispanic orgiin,4.0,4.121,Male: Hispanic or Latino: All races,2015-2018,10.0,2-5 years,91.1,22.3,3.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and rac eand Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,1988-1994,77.0,2-5 yeas,79.1,12.4,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,78.0,4.122,Male: Hispanic or Latino: Mexican: All races,1999-2002,49.0,2-5 yars,52.1,14.1,2.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,75.0,4.122,Male: Hispanic or Latino: Mexican: All races,200-12004,3.0,-5 years,37.1,19.8,3.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,2003-2006,4.0,h2-5 years,46.1,18.8,2.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,81.0,4.122,Male: Hispanic or Latino: Mexican: All races,2005o-2008,5.0,2-5 yeras,50.1,17.1,1.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,eSx and race and Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,2007-2010,6.0,25 years,20.1,19.1,1.8,-
