order_id,customer_id,location_code,location_id,total_cost,shipping_length,region_code,region_name,package_length,package_area
A37446,32A880NR,E00030012,E08000007,256789.997432,3161.44344238,A1,Urban major conurbation,0.040848943368264,3.57690587223995e-05
ORD12345,348276,E00043053,E08000022,18273.450912,946.072831754478,A1,Urban major conurbation,0.0114388114959652,5.27367318571567e-06
ORD-75931,CUST20231234,E00131155,E07000132,63000.55,1093.81015377,C1,Urban city and town,0.0126033963281873,6.35257269090745e-06
ORD134390,78245,E00108125,E07000066,$48320.57,1221.07765102,C1,Urban city and town,0.0156985045268745,7.64158595828309e-06
#96585,48392,E00018091,E09000025,88213.759462,825.941354552435,A1,Urban major conurbation,0.0095565424277396,4.50663227173111e-06
ORD002314,CST-20231019,E00083732,E06000040,67432.184702,1402.39429278,C1,Urban city and town,0.0152137749341854,1.14416707417142e-05
ORD-965374,AB123456C,E00037295,E08000016,"$31,500.00",1463.23639947,B1,Urban minor conurbation,0.0184641103153567,7.7462085970075e-06
ORD-001236,A73920,E00020032,E09000028,15005000.75,323.146617848328,A1,Urban major conurbation,0.0038545874949671,8.19914926614532e-07
A123B456,348276,E00168194,E09000018,256789.997432,697.410061686169,A1,Urban major conurbation,0.0081379747454665,2.04829042683907e-06
#RD20231020,312B57,E00176602,E08000012,6547891.34275,754.710081885537,A1,Urban major conurbation,0.0077959302098884,1.30263204463788e-06
ORD-9857,CST20231234,E00140149,E06000048,72340.50,1675.7867862,D1,Rural town and fringe,0.0207021535132984,1.04606216206064e-05
ODR102948,8923746258361,E00040670,E08000019,72340.50,4715.92063838,B1,Urban minor conurbation,0.0543676246823752,8.09861399101321e-05
ORD-001236,AB123456C,E00031342,E08000009,378194.367092,1857.369291,A1,Urban major conurbation,0.0216057425068219,7.25822084022207e-06
ORD789321,45678,E00064433,E06000010,18392.37526,1577.19071954,C1,Urban city and town,0.0193148174784219,1.00933466145355e-05
ORD789321,A839BX,E00094126,E06000049,8547312.62,3494.44438798,D1,Rural town and fringe,0.0451173644601282,5.76716211342732e-05
48219,CST-20231019,E00046710,E08000025,67432.184702,1125.05341695,A1,Urban major conurbation,0.0131355323300817,6.5642528501941e-06
ORD19859,99123,E00041688,E08000020,892463.212980,1613.96326434,A1,Urban major conurbation,0.0211977338057836,1.70116992093522e-05
ORD-001236,48392,E00105405,E06000047,89420.15,9204.19495855,E1,Rural village,0.119308388564721,0.0004501050182227
ORD12345,CUST20231234,E00072876,E06000022,"$1,800,719.56",2354.86063272,C1,Urban city and town,0.0286727145679126,1.53193157301278e-05
OID78356,CUSTID12345,E00027074,E08000004,6547891.34275,2496.13812707,A1,Urban major conurbation,0.0307259791490555,4.20431949895046e-05
OID78356,48392,E00007603,E09000010,78712345.678,1470.13844757,A1,Urban major conurbation,0.0191092109305149,1.02178724253118e-05
95031,78245,E00045300,E08000025,75000.00,1482.29266952,A1,Urban major conurbation,0.0174334774384574,6.25798617888863e-06
ORD12345,282838,E00158828,E07000220,378194.367092,7903.8417227,E1,Rural village,0.0972941543651827,0.0003787720055765
10492,45678,E00027298,E08000004,89420.15,5644.65275564,A1,Urban major conurbation,0.0697205027656273,0.0001846446124875
ORD12345,99123,E00052596,E08000031,179.99,1181.49941054,A1,Urban major conurbation,0.0148253507053104,5.38681833967054e-06
ORD12345,32A880NR,E00005826,E09000008,72340.50,633.999625339051,A1,Urban major conurbation,0.0072557866545423,1.80740680100946e-06
ODR102948,AB123456C,E00176520,E09000011,303145.759214,743.784038760954,A1,Urban major conurbation,0.0091973682394975,3.82727777471601e-06
ORD-98765,AB123456C,E00133027,E07000139,15005000.75,7209.62442808,E1,Rural village,0.0948984511438916,0.0003357693877283
ORD-98765,CSTMR-123456,E00004044,E09000006,256789.997432,1341.3067031,A1,Urban major conurbation,0.0161863550256718,4.52351630256266e-06
ORD-98234,A29374612,E00059767,E08000036,78534.67321,888.509271342329,C1,Urban city and town,0.0117849676942479,4.70604122868505e-06
1023A7,48392,E00156590,E07000213,6547891.34275,1267.28719366,A1,Urban major conurbation,0.013690980711307,6.22870572737771e-06
ORD-9857,A693X47B,E00063176,E06000007,15876.459120,976.93044751294,C1,Urban city and town,0.0115617389629264,4.25709241390104e-06
B374785,A38265,E00057789,E08000035,378194.367092,3629.92372114,A1,Urban major conurbation,0.043932657062929,4.29370869216605e-05
48219,312874,E00126317,E07000117,52437.64,7181.61398469,C1,Urban city and town,0.0884459803629367,0.0002541411022915
ORD12345,99123,E00035812,E08000014,52437.64,1085.79591374,A1,Urban major conurbation,0.0138137283121108,4.34683914533031e-06
ORD19859,A693X47B,E00124573,E07000112,63000.55,1429.43617993,D1,Rural town and fringe,0.0160128570216548,1.09844456076208e-05
48219,99123,E00029014,E08000006,67432.184702,893.760544652152,A1,Urban major conurbation,0.010877568146036,5.46174302274223e-06
10492,50439,E00124038,E07000111,18392.37526,5400.35687389,E1,Rural village,0.0605143904306965,0.0001224001051819
#96585,528401BXT,E00053229,E08000031,10549.3267802,1507.78693629,A1,Urban major conurbation,0.0180284111410726,1.07436939804201e-05
ORD-98765,A4829237,E00130480,E07000130,8547312.62,1507.79436929,C1,Urban city and town,0.0180505044672197,1.66658107437755e-05
A97853,CST-20231019,E00078580,E06000030,52437.64,2068.73738022,C1,Urban city and town,0.0253555236988664,1.1284591603903e-05
ORD-001236,345XYZ999,E00148577,E07000189,15876.459120,6770.87623707,D1,Rural town and fringe,0.079336219697052,0.0001374873562297
ORD-98765,A29374612,E00015277,E09000022,5600.99,418.049361434299,A1,Urban major conurbation,0.0051035505660008,1.41258563088053e-06
O584012,CST20231234,E00022650,E09000032,5600.99,1310.67203437,A1,Urban major conurbation,0.0152668302416662,7.86285537954731e-06
ODR987654,AB123456C,E00147666,E06000051,15005000.75,21555.8306836,F2,Rural hamlets and isolated dwellings in a sparse setting,0.264144079375391,0.0016044216950015
8349B1,78521,E00060541,E06000001,278530.459203,1624.23722999,C1,Urban city and town,0.0196659236486611,9.94308526975427e-06
A123B456,A4829237,E00083875,E06000041,8547312.62,2768.76116793,C1,Urban city and town,0.0353746781183528,2.08266541492189e-05
A37446,99123,E00022289,E09000031,10549.3267802,1682.76876227,A1,Urban major conurbation,0.0195158558662491,8.98947240405354e-06
ORD-98234,CST20231234,E00037003,E08000015,$48320.57,1598.64757101,A1,Urban major conurbation,0.019466971182774,1.28172735628485e-05
ORD002314,ID23597,E00172917,E06000043,6547891.34275,9103.60651243,F1,Rural hamlets and isolated dwellings,0.111241131058521,0.0004060886140501
4598,312B57,E00007082,E09000010,5600.99,760.615893480247,A1,Urban major conurbation,0.0086551791721816,2.20869105118319e-06
ORD-75931,A73920,E00118274,E07000094,18746.493281,923.898003776454,D1,Rural town and fringe,0.0107196513813701,5.03535488817355e-06
O584012,348276,E00130625,E07000130,"$252,894.07",1735.01837756,C1,Urban city and town,0.0207838039560425,8.34565392827004e-06
ORD002314,345XYZ999,E00086633,E06000045,52437.64,750.370144241031,C1,Urban city and town,0.0092495587218888,2.15640215628665e-06
ORD-98765,A839BX,E00163583,E06000054,378194.367092,23626.4517134,F1,Rural hamlets and isolated dwellings,0.278671653869623,0.0016861319010544
845927,45678,E00019363,E09000027,"$252,894.07",644.905555451828,A1,Urban major conurbation,0.0078119629065186,3.25251730920094e-06
ORD12345,A38265,E00155923,E07000211,256789.997432,1563.7487604,C1,Urban city and town,0.0188622287413396,7.52322421254465e-06
#RD20231020,345XYZ999,E00035571,E08000014,72340.50,1003.71515829,A1,Urban major conurbation,0.011771578100455,3.44889683645465e-06
10492,AB123456C,E00114745,E07000085,278530.459203,2299.0506057,C1,Urban city and town,0.0274229211035468,1.10738558889282e-05
A97853,348276,E00075397,E06000025,"$31,500.00",1318.7250327,C1,Urban city and town,0.015178642877714,1.0123342918402e-05
ORD-98765,CST20231234,E00041795,E08000020,75000.00,909.131176491125,A1,Urban major conurbation,0.0117850154593977,5.86043514037576e-06
95031,CUST567890,E00008581,E09000012,"$8,179,034.50",1425.20703584,A1,Urban major conurbation,0.0168787050147759,4.93544496807079e-06
OID78356,348276,E00004089,E09000006,"$252,894.07",1818.84014961,A1,Urban major conurbation,0.0215117947445098,1.49220108545554e-05
ODR987654,523980,E00008891,E09000012,18392.37526,579.686544927212,A1,Urban major conurbation,0.0074017459360723,1.60700074425967e-06
95031,48392,E00155406,E07000209,892463.212980,1898.43126883,C1,Urban city and town,0.0224840809924808,1.21438533852866e-05
ODR987654,AB123456C,E00116056,E07000088,15005000.75,1106.3264471,C1,Urban city and town,0.0135606050025616,4.08594769264282e-06
A97853,CUST20231234,E00136782,E07000149,15005000.75,3166.77753286,D1,Rural town and fringe,0.0361683357715286,2.67681442025791e-05
845927,CUST567890,E00073975,E06000023,15005000.75,729.246328320843,C1,Urban city and town,0.008965036042904,3.73478427154226e-06
845927,CUSTID12345,E00053724,E08000032,378194.367092,2094.17311713,D1,Rural town and fringe,0.0267738349419058,1.23892287189613e-05
ORD19859,CST20231234,E00150038,E07000193,10549.3267802,793.616909378238,C1,Urban city and town,0.0087641193031507,3.39210211597267e-06
#RD20231020,282838,E00129761,E07000128,32549.639182,932.396335372266,C1,Urban city and town,0.0116338475844365,4.54940241515142e-06
ORD12345,CST574839,E00026768,E08000003,18746.493281,1381.79698434,A1,Urban major conurbation,0.0171302998357592,6.95341156501478e-06
O584012,A73920,E00106964,E07000063,$48320.57,1621.37403502,C1,Urban city and town,0.0191600693489238,6.6531551891192e-06
ODR987654,CST20231234,E00144179,E07000175,5600.99,4601.66750925,D1,Rural town and fringe,0.056636131335942,7.63989802287331e-05
4598,CSTMR-123456,E00129491,E07000127,$48320.57,1870.60094241,C1,Urban city and town,0.0225387475738002,1.18528537904691e-05
4598,48392,E00079946,E06000033,72340.50,4211.11934891,C1,Urban city and town,0.0517457276475377,8.02585104602209e-05
845927,78245,E00068688,E06000016,75000.00,1136.52736119,C1,Urban city and town,0.0128793798279186,5.33641714549754e-06
8349B1,AB123456C,E00019853,E09000028,72340.50,3243.6402427,A1,Urban major conurbation,0.0381874655425576,3.78833868849033e-05
845927,282838,E00044228,E08000024,15876.459120,647.946727620379,A1,Urban major conurbation,0.0081363548616191,2.73943319155244e-06
ORD98247,CSTMR-123456,E00001649,E09000004,15005000.75,1051.95738865,A1,Urban major conurbation,0.0120776103990727,3.72247692730575e-06
ORD19859,CST-20231019,E00063254,E06000007,89420.15,1551.88847008,C1,Urban city and town,0.0189760893250241,1.20792103088558e-05
1023A7,CST-20231019,E00018099,E09000025,303145.759214,1210.51995439,A1,Urban major conurbation,0.0137943000292711,4.49762574137983e-06
4598,282838,W00005345,W06000013,179.99,1972.30638425,C1,Urban city and town,0.0234180507853144,2.25656017074701e-05
ORD789321,312B57,E00001811,E09000004,18273.450912,1575.63014077,A1,Urban major conurbation,0.0185121104339611,1.1742035875086e-05
#96585,A2B-673849,E00138089,E07000154,6547891.34275,1242.65627356,C1,Urban city and town,0.0142050642479272,5.75092951399295e-06
ORD98247,CST20231234,E00030789,E08000009,15876.459120,733.947416803521,A1,Urban major conurbation,0.0078576966896988,3.96623549689987e-06
ORD19859,ID23597,E00061120,E06000003,"$1,800,719.56",1731.19420953,C1,Urban city and town,0.0202795443192595,1.52991081679082e-05
ORD-75931,A839BX,E00075721,E06000025,8547312.62,1966.68515937,C1,Urban city and town,0.0235929425918309,1.27409705454448e-05
4598,A29374612,E00167201,E09000030,256789.997432,2773.43052468,A1,Urban major conurbation,0.0348530360515473,3.11542011141603e-05
1023A7,CSTMR-123456,E00107801,E07000065,18746.493281,2006.52600002,C1,Urban city and town,0.0240050265617303,1.55451598794355e-05
ORD789321,A2B-673849,E00060874,E06000002,378194.367092,11714.6100754,C1,Urban city and town,0.155731727429053,0.0001708387950711
ORD12345,A2B-673849,E00053272,E08000031,67432.184702,2338.27007251,A1,Urban major conurbation,0.0281306885236974,2.59329498957982e-05
ODR987654,CSTMR-123456,E00101645,E07000042,256789.997432,8928.98639528,E1,Rural village,0.10902156929539,0.0003800175573822
95031,32A880NR,E00102342,E07000045,$48320.57,2544.22499689,D1,Rural town and fringe,0.0303676566896612,1.32713828298422e-05
ORD19859,345XYZ999,E00022501,E09000032,78712345.678,575.168278131583,A1,Urban major conurbation,0.0069732636489995,2.18714827050361e-06
A37446,A38265,E00105487,E06000047,67432.184702,1254.71792198,D1,Rural town and fringe,0.0155265175701052,6.30065025257388e-06
A37446,A73920,E00023616,E09000033,67432.184702,806.094444920311,A1,Urban major conurbation,0.0092311311831353,1.25227289432437e-06
ORD-98234,A839BX,E00033553,E08000012,67432.184702,1239.6837811,A1,Urban major conurbation,0.0152594856799329,6.01590691901224e-06
ORD19859,348276,E00129868,E07000128,89420.15,1932.25630968,C1,Urban city and town,0.0217850350076572,1.43710871029107e-05
#RD20231020,48392,E00020251,E09000028,"$1,800,719.56",512.572958034997,A1,Urban major conurbation,0.0058024205349627,2.03868705715105e-06
A37446,312B57,E00150870,E07000195,63000.55,1130.59891213,C1,Urban city and town,0.0145002472122138,5.17562324052449e-06
ORD-965374,A38265,E00069031,E06000016,"$1,800,719.56",1243.36746232,C1,Urban city and town,0.0170434195390826,4.83662325733954e-06
ORD-75931,CUSTID12345,E00069020,E06000016,278530.459203,1300.34591042,C1,Urban city and town,0.015291028282025,6.53268869924306e-06
10492,ID23597,W00004955,W06000012,78534.67321,6853.6005788,F1,Rural hamlets and isolated dwellings,0.0801509697473915,0.0001651394598763
1023A7,A29374612,E00158094,E07000218,25489.7593209,4254.16751549,C1,Urban city and town,0.0528993165645829,5.86055210165012e-05
ORD12345,32A880NR,E00089536,E07000005,72340.50,1904.17947575,C1,Urban city and town,0.0238095818595856,2.01549784365353e-05
ORD19859,ID23597,E00028152,E08000005,10549.3267802,2040.98647162,A1,Urban major conurbation,0.0236134329646788,8.42475376058888e-06
#96585,282838,E00138440,E07000154,8547312.62,1771.55700989,C1,Urban city and town,0.0211265298872849,1.54014388208977e-05
#RD20231020,523980,W00002608,W06000023,63000.55,48718.5452732,F2,Rural hamlets and isolated dwellings in a sparse setting,0.618378690165042,0.0028747190836728
ODR987654,A38265,E00098569,E07000033,18392.37526,1577.79059216,C1,Urban city and town,0.0200249273768352,1.28613426285519e-05
ORD19859,A2B-673849,E00045112,E08000025,10549.3267802,1201.31885953,A1,Urban major conurbation,0.0127271872681398,4.96012798056997e-06
48219,523980,E00082791,E06000038,75000.00,643.21600730876,C1,Urban city and town,0.0073646081128669,2.79547785582987e-06
A37446,CST20231234,E00078503,E06000030,18392.37526,1230.87470655,D1,Rural town and fringe,0.0134351067008416,7.08625451522961e-06
ORD-98234,AB123456C,E00031013,E08000009,256789.997432,1285.96502705,A1,Urban major conurbation,0.016321330193045,9.00069097662419e-06
ODR102948,CUSTID12345,E00005380,E09000008,88213.759462,1355.80030268,A1,Urban major conurbation,0.0162971490196713,1.1605610701568e-05
#RD20231020,8923746258361,E00141170,E07000165,"$31,500.00",1113.26867242,C1,Urban city and town,0.0137588582758574,6.12580285430212e-06
ORD789321,312874,E00069692,E06000018,"$8,179,034.50",1103.66595638,B1,Urban minor conurbation,0.0142604487088796,5.08901324319082e-06
1023A7,ID23597,E00017896,E09000025,72340.50,812.136454061649,A1,Urban major conurbation,0.0106149779729318,3.11544454375514e-06
ORD-9857,8923746258361,E00127725,E07000121,18273.450912,1986.81155335,C1,Urban city and town,0.0255521818105012,1.61566724812904e-05
ORD-98765,ID23597,E00166481,E06000030,$48320.57,401.503311909169,C1,Urban city and town,0.0047173904565024,1.4082871210218e-06
#96585,99123,E00134314,E07000143,256789.997432,7712.26092541,E1,Rural village,0.0883668652255027,0.0001781229983823
A37446,528401BXT,E00131794,E07000135,88213.759462,1588.8031268,C1,Urban city and town,0.0188942865211511,1.16361447112219e-05
ORD-98765,345XYZ999,E00089440,E07000004,88213.759462,14483.8555747,E1,Rural village,0.175875852574005,0.0006392845910619
A97853,AB123456C,E00087588,E06000046,88213.759462,1267.76707042,C1,Urban city and town,0.0152590784872085,7.90814690432318e-06
A37446,45678,E00019482,E09000027,5600.99,1425.16886497,A1,Urban major conurbation,0.0163219921429427,6.05588184454791e-06
ORD-98765,8923746258361,E00052904,E08000031,88213.759462,1199.17569496,A1,Urban major conurbation,0.0140039193511256,4.86263231109533e-06
ORD12345,AB123456C,E00088376,E06000055,$48320.57,4981.89256198,D1,Rural town and fringe,0.0546711713766236,6.3955689247416e-05
95031,CST20231234,E00090753,E07000008,179.99,1412.10158175,C1,Urban city and town,0.0179191117338139,1.55552436096187e-05
ORD002314,CUSTID12345,E00076527,E06000026,8547312.62,1913.80801016,C1,Urban city and town,0.0235761141901765,1.02285308684001e-05
#RD20231020,348276,E00076240,E06000026,15876.459120,1741.84647195,C1,Urban city and town,0.0224821604506624,9.07061359534723e-06
1023A7,A2B-673849,E00151226,E07000196,10549.3267802,766.734918304082,A1,Urban major conurbation,0.0090961260252313,3.96097038980017e-06
ORD-001236,ID23597,E00114344,E07000084,"$252,894.07",8770.85017777,E1,Rural village,0.102600467675468,0.0001487708923676
#96585,348276,E00085593,E06000043,378194.367092,390.227087684848,C1,Urban city and town,0.0041922610537972,7.06048759925176e-07
ORD-98765,A2B-673849,E00076068,E06000026,18392.37526,1124.14501962,C1,Urban city and town,0.0134072330222768,6.09641916143036e-06
ORD-001236,523980,E00033490,E08000012,8547312.62,1003.14114301,A1,Urban major conurbation,0.0132674418144902,4.55267692421888e-06
ORD12345,CUSTID12345,E00121970,E07000105,5600.99,2294.40181914,D1,Rural town and fringe,0.0277813859622215,1.7744445531559e-05
ORD789321,AB123456C,E00138082,E07000154,892463.212980,1123.73923184,C1,Urban city and town,0.012831718933847,8.12573483690274e-06
ORD-98234,CST20231234,E00013078,E09000018,5600.99,1883.51145069,A1,Urban major conurbation,0.0231675544651884,8.1436216071009e-06
A97853,A2B-673849,E00128688,E07000125,15876.459120,1253.25962078,C1,Urban city and town,0.0152976653227972,7.2370376298231e-06
ODR102948,345XYZ999,E00124541,E07000112,88213.759462,7929.67313942,D1,Rural town and fringe,0.099132692389461,0.0001955560234178
ORD12345,AB123456C,E00020084,E09000028,25489.7593209,922.080056577061,A1,Urban major conurbation,0.0100836889466205,4.02070388359672e-06
ORD-98765,CUST567890,E00071234,E06000020,78534.67321,1691.61722965,C1,Urban city and town,0.0195198273514123,9.88624509952922e-06
ORD-965374,ID23597,E00017509,E09000024,"$1,800,719.56",613.902229754626,A1,Urban major conurbation,0.0080649006367742,2.33479841756689e-06
O584012,78245,E00042564,E08000021,278530.459203,867.262867883928,A1,Urban major conurbation,0.0098193260372683,4.8278803638738e-06
O584012,45678,E00086088,E06000044,256789.997432,1064.25486908,C1,Urban city and town,0.0128308631624589,2.86885557484439e-06
8349B1,78521,E00000337,E09000002,6547891.34275,1712.93351364,A1,Urban major conurbation,0.0198902274392179,7.2492046099837e-06
ORD-98234,CUST20231234,E00026647,E08000003,15005000.75,1125.16428478,A1,Urban major conurbation,0.0134470614381526,5.70436190906072e-06
O584012,99123,W00006239,W06000016,15876.459120,1405.55792988,C1,Urban city and town,0.0178277963830718,5.04112850774167e-06
48219,32A880NR,W00009269,W06000015,89420.15,1327.73924951,C1,Urban city and town,0.0153046122398471,5.22833233386678e-06
A97853,312B57,E00169542,E06000016,18273.450912,1190.04904895,C1,Urban city and town,0.0133409388566194,6.10801037772762e-06
ORD-98765,CST574839,E00108503,E07000067,15876.459120,1745.83737854,D1,Rural town and fringe,0.0208624590227511,1.54007174717786e-05
ORD789321,AB123456C,E00023428,E09000033,18746.493281,596.416070334344,A1,Urban major conurbation,0.0073387257508811,1.55250297659335e-06
845927,50439,E00049335,E08000027,$48320.57,1297.50452441,A1,Urban major conurbation,0.0148664905895607,6.43861458711126e-06
8349B1,45678,E00160722,E07000225,"$252,894.07",23071.3868643,E1,Rural village,0.268570564571174,0.0011268250209492
845927,A29374612,E00142865,E07000171,5600.99,13295.7286349,D1,Rural town and fringe,0.173968157051515,0.0007787742180237
95031,348276,E00113783,E07000082,"$252,894.07",3865.23938915,C1,Urban city and town,0.0453023270228825,5.20444183967893e-05
B374785,282838,E00080057,E06000033,256789.997432,1703.09345497,C1,Urban city and town,0.0191727900358004,8.54568151528693e-06
#RD20231020,CSTMR-123456,W00004430,W06000011,63000.55,4298.48796211,D1,Rural town and fringe,0.0529548889226377,3.55573343337151e-05
ORD98247,CUSTID12345,E00123801,E07000110,378194.367092,3675.44978095,E1,Rural village,0.0440035442665928,6.95206205372799e-05
A97853,CUST20231234,E00024110,E09000033,15005000.75,1107.57251871,A1,Urban major conurbation,0.0128479494692089,2.95833609103898e-06
ORD98247,523980,E00149541,E07000192,88213.759462,1569.80099892,C1,Urban city and town,0.0187271809967661,1.48600370673292e-05
845927,99123,E00067554,E06000014,88213.759462,1147.95321671,C1,Urban city and town,0.0141509152071086,7.10130765914544e-06
ODR987654,A29374612,E00072986,E06000022,378194.367092,4019.12345875,D1,Rural town and fringe,0.0469935649654799,7.34928985759849e-05
ORD002314,282838,E00091012,E07000009,10549.3267802,10543.8454529,D1,Rural town and fringe,0.121421292853556,0.000523852013035
ODR987654,48392,E00140238,E06000048,63000.55,1816.25064018,D1,Rural town and fringe,0.0202265728643879,9.37991316714449e-06
A97853,50439,E00013662,E09000019,303145.759214,608.457853673149,A1,Urban major conurbation,0.0063738452804491,2.50121485244106e-06
OID78356,282838,W00002264,W06000006,303145.759214,1870.0749832,C1,Urban city and town,0.0238368356683661,2.32647933971415e-05
48219,A4829237,E00047227,E08000025,25489.7593209,1397.90130435,A1,Urban major conurbation,0.0179279892984385,9.5943051313621e-06
#96585,312874,E00138043,E07000154,15005000.75,773.764894423076,C1,Urban city and town,0.0079628191079723,3.02994543325204e-06
ORD-98234,348276,E00156254,E07000211,8547312.62,2532.42893432,A1,Urban major conurbation,0.0287448806354246,1.67571079628051e-05
ODR102948,312874,E00063253,E06000007,256789.997432,2496.37735319,C1,Urban city and town,0.0318529658438207,3.70170880921165e-05
845927,78521,E00014477,E09000020,"$31,500.00",859.28983037383,A1,Urban major conurbation,0.0096150723988691,4.06345944229461e-06
ORD-98765,50439,E00062622,E06000006,"$31,500.00",1904.86865358,C1,Urban city and town,0.0249120547887005,8.22885760704237e-06
A97853,A38265,E00061684,E06000004,15005000.75,1160.38034208,C1,Urban city and town,0.0144761559973589,6.71651390242183e-06
ORD-9857,99123,E00143174,E07000172,78534.67321,1445.37931871,B1,Urban minor conurbation,0.0190979354223832,1.06750956131678e-05
