indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesit yamong children and adolescents aged 2-19 years,2-5 yeas,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asain only,2005-2008,5,2-5y ears,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percet of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2007-2010,6,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian oinly,2009-2012,7,2-5 yeasrs,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2011-2014,8,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-w5 years,2,"Percent of population, crude",1,Race and Hispanic roigin,3,3.13,Not Hispanic or Latino: Asian only,2013-2016,9,2-a5 years,0.1,17.9,1.4,*
Obesity among chilxdren and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2015-2018,10,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 yaers,2,"ePrcent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,1988-1994,1,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 yearzs,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,1999-2002,2,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2001-2004,3,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hiospanic origin,3,3.21,Hispanic orL atino: All races,2003-2006***,4,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: Anll races,2005-2008,5,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hipanic origin,3,3.21,Hispanic orL atino: All races,2007-2010,6,2-5 years,0.1,15.3,1.3,o-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,2009-2012,7,2-5 yaers,0.1,16.5,1.5,-
Obesiyt among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,011-2014,8,2-5 years,0.1,15.6,1.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of populatoin, crude",1,Race and Hispanic origin,3,3.21,Hispanic or Latino: All races,213-2016,9,2-o5 years,0.1,16.5,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 yeajrs,2,"Percent of population, crude",1,Race and Hisbpanic origin,3,3.21,Hispanic or Latino: All races,2015-2018,10,2-5 years,0.1,19.3,2.3,-
Obesity among children and adolescents aged 2-19 years,-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: eMxican: All races,1988-1994,1,2-5years,0.1,12.3,1.1,***
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanci origin,3,3.22,Hispanic or Latino: Mexican: All races,1999-2002***,2,2-5 years,0.1,13.1,2.0,c-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: Al races,2001-2004,3,2-5 years,0.1,17.7,2.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2003-2v006,4,2-5 yevars,0.1,16.7,2.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2005-2008,5,2-5 years,0.1,14.1,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2007-2010,6,2-5 years,0.1,14.6,1.5,
Obesity among children and adolescents aged 2-19 years,-25 years,2,"Percent of population, crude",1,Race and Hipsanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2009-2012,7,2-5 years,0.1,15.7,2.0,-
Obesity among children and adolescents aged2 -19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2011-2014,8,2-5 years,0.1,15.3,2.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent o population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2031-2016,9,2-5 years,0.1,15.1,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Perceant of population, crude",1,Race and Hispanic origin,3,3.22,Hispanic or Latino: Mexican: All races,2015-2018,10,2-5 years,0.1,17.3,2.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Mamle: Not Hispanic or Latino: Black or African America,1988-1994,1,2-5 years,0.1,7.9,1.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,1999-2002,2,2-5 yers,0.1,8.0,1.8,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crtude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or Arfrican America,201-2004,3,2-5 years,0.1,9.7,1.8,***
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origni,4,1.1,Mal: Not Hispanic or Latino: Black or African America,2003-2006,4,2-5 years,0.1,13.3,2.5,-
Obesitpy among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African Aumerica,2005-2008,5,2-5 years,0.1,13.7,2.5,z-
Obesity among children and adolescents aged 2-19 years,2n-5 years,2,"Perczent of population, crude",1,Sex adn race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or AfricanA merica,2007-2010,6,2-5 years,0.1,15.7,3.0,-
Obesty among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2009-2012,7,i2-5 years,0.1,14.3,3.2,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2011-2014,8,2-5 years,0.1,9.0,2.3,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,1.1,Male:r Not Hispanic or Latino: Black or African America,2013-2016,9,2-5 years,0.1,12.4,2.8,***
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race nd Hispanic origin,4,1.1,Male: Not Hispanic or Latino: Black or African America,2015-2018,10,2-5 yerars,0.1,12.4,3.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,1988-1994,1,2-5 years,0.1,4.5,1.1,*
Obtesity among children and adolescents aged 2-19 years,-25 years,2,"Precent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,1999-2002,2,2-5 years,0.1,8.2,1.9,*
Obesity among children and adolescents aged 2-19 years,-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispaniec or Latino: White only,20i01-2004,3,2-5 years,0.1,11.5,2.3,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2003-2006,4,2-5 years,0.1,11.1,2.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percen tof population, crude",1,Sex nd race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2005-2008,5,2-5 years,0.1,7.4,1.7,*
Obesity among children and adolescents aged 2-19 years,-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic olr Latino: White only,2007-2010,6,-5 years,0.1,8.8,1.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of populpation, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2009-2012,7,2-5 yeras,0.1,9.3,2.0,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2011-2014,8,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percenvt of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: White only,2013-2016,9,2-5 years,0.1,9.3,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.111,Male: Not Hispanic or Latino: Whoite only,2015-2018,10,2-5 years,0.1,12.4,1.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic orign,4,4.113,Male: Not Hispanic or Latino: Asian only,1988-1994,1,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,1999-2002,2,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2001-2004,3,2-5 ears,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2003-2006,4,2-5 ears,0.1,17.9,1.4,-
Obesity among children and adolsecents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2b005-2008,5,2-5 years,0.1,17.9,1.4,***
Obesity among children and adolescents aged 2-19 eyars,2-5 yeoars,2,"Percent gof population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2007-200,6,2-5 ears,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2009-2012,7,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2011-2014,8,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Perent of population, crude",1,Sex andn race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2013-2106,9,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.113,Male: Not Hispanic or Latino: Asian only,2015-2018,10,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: yAll races,1988-1994,1,-25 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,1999-2002,2,2-5 years,0.1,17.9,1.4,-
Obesity among chldren and adolescents aged 2-19 years,2-5 ywears,2,"Percent of population, wcrude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2001-2004,3,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 yearvs,2-5 years,2,"Percent of population, rude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2003-2006,4,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic oriign,4,4.121,Male: Hispanic or Latino: All races,2005-2008,5,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2007-2010,6,2-5y ears,0.1,17.7,1.6,-
Obesity among childreyn and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,009-2012,7,2-5 years,0.1,17.9,2.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2011-2014,8,2-5 years,0.1,16.7,2.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race nad Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2013-2016,9,2-5 yars,0.1,16.7,2.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of popuation, crude",1,Sex and race and Hispanic origin,4,4.121,Male: Hispanic or Latino: All races,2015-2018,10,2-5 years,0.1,22.3,3.4,
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,198-1994,1,2-5 years,0.1,12.4,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, ocrude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latin: Mexican: All races,1999-2002,2,2-5 years,0.1,14.1,2.1,-
Obesity among children and adolescents aged 2-19 years,2- 5years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2001-2004,3,2-5 years,0.1,19.8,3.3,-
Obesity among children fand adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All rcaes,2003-2006,4,2-5 years,0.1,18.8,2.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2005-0208,5,2-5 years,0.1,17.1,1.9,-
Obesity among children and adlescents aged 2-19 years,2- 5years,2,"Percent of population, crude",1,Sex anhd race and Hispanic origin,4,4.122,Male: Hispanic or Latino: Mexican: All races,2007-2010,6,2-5 years,0.1,19.1,1.8,
