agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
32600,OFFICE OF DISABILITY CONCERNS,200,Office Of Handicapped Concerns,"TITLE 74, SEC. 9.33",2011,7,$15.66
32600,OFFICE OF DISABILITY CONCERNS,400,Client Assistance Fed Funds,"TITLE 62, SEC. 34.9 & 34.48",1804,7,$194.23
34000,STATE DEPARTMENT OF HEALTH,200,Primary Hlth Care Dvlpment Rev,,2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,202,Kidney Health Revolving Fund,"TITLE 63, SEC. 1-2603",2011,7,$625107.75
34000,STATE DEPARTMENT OF HEALTH,203,Genetic Counseling Licen. Rev,"TITLE 63, SECTION 1-570",2011,7,$6328.50
34000,STATE DEPARTMENT OF HEALTH,205,Plumbing License Law Rev Fund,"TITLE 59, SEC. 1018",1814,5,$0.00
34000,STATE DEPARTMENT OF HEALTH,207,Alternatives to Abortion Servi,"TITLE 63, SECTION 1-740.12",2011,7,$87154.83
34000,STATE DEPARTMENT OF HEALTH,210,Public Health Special Fund,"TITLE 63, SEC. 1-107",2011,7,$5937443.88
34000,STATE DEPARTMENT OF HEALTH,211,Nursing Facil Adm Penalty,"TITLE 63, SECTION 1-1908.1B",2011,7,$199014.58
34000,STATE DEPARTMENT OF HEALTH,212,Home Health Care Revolving Fd,"TITLE 63, SEC. 1-1971",2011,7,$268392.87
34000,STATE DEPARTMENT OF HEALTH,215,Okla Inspectors Revolving Fund,"TITLE 59, SEC. 1042",2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,217,Home Inspec Lic Act Revol Fund,"TITLE 59, SECTION 858-626",2531,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,218,Fire Extinguisher Ind Rev Fund,,1026,7,$43719.89
34000,STATE DEPARTMENT OF HEALTH,222,Oklahoma Organ Donor Education,"TITLE 63, SECTION 2220.3",2011,7,$369200.15
34000,STATE DEPARTMENT OF HEALTH,225,Breast Cancer Act Revolving Fd,"TITLE 63, SECTION 1-557",2011,7,$150765.12
34000,STATE DEPARTMENT OF HEALTH,228,OK Leukemia and Lymphoma,"TITLE 68, SECTION 2368.15",2011,7,$41220.00
34000,STATE DEPARTMENT OF HEALTH,229,MS Society Revolving Fund,,1640,8,$4489.00
34000,STATE DEPARTMENT OF HEALTH,230,Lic Marital & Fam Therpst Fnd,"TITLE 59, SECTION 1925.17",2011,7,$192413.67
34000,STATE DEPARTMENT OF HEALTH,233,"OK Prev Birth Def, Pre Birth &","TITLE 47, SECTION 1104.14",2011,7,$920.00
34000,STATE DEPARTMENT OF HEALTH,236,Trauma Care Assistance Revolv,"TITLE 63, SECTION 1-2530.9",2011,7,$18353286.24
34000,STATE DEPARTMENT OF HEALTH,245,Electrical Revolving Fund,"TITLE 59, SEC. 1694",1890,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,250,Regional Guidance Centers,"TITLE 63, SEC. 1-208.1 (B)",1742,7,$2640.98
34000,STATE DEPARTMENT OF HEALTH,255,Lic. Prof. Counselors Rev. Fd.,"TITLE 59, SEC. 1918",2011,7,$451041.38
34000,STATE DEPARTMENT OF HEALTH,257,Lic Behavrl Practnr Revl Fund,"TITLE 59, SECTION 1946",2011,7,$71893.82
34000,STATE DEPARTMENT OF HEALTH,264,Health Dept Media Campaign Fnd,TITLE 63 SECTION 1-107.3,1436,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,265,Child Abuse Prevention Fund,"TITLE 63, SEC. 1-227.8",2011,3,$274664.75
34000,STATE DEPARTMENT OF HEALTH,266,Children First Fund,,2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,267,EMP Death Benefit Revolv Fund,,2679,4,$92820.00
34000,STATE DEPARTMENT OF HEALTH,268,Okla Emerg Resp Syst Stab & Im,,2011,7,$2124813.78
34000,STATE DEPARTMENT OF HEALTH,270,Okla Barber Licensing Rev Fund,"TITLE 59, SEC. 61.3",2011,5,$103564.17
34000,STATE DEPARTMENT OF HEALTH,275,Okla Mech Licensing Rev Fund,"TITLE 59, SEC. 1850.13",2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,280,Alarm Industry Revolving Fund,"TITLE 59, SEC. 1800.14",1164,7,$1035959.84
34000,STATE DEPARTMENT OF HEALTH,284,Dental Loan Repayment Revolvin,,2011,7,$33205.35
34000,STATE DEPARTMENT OF HEALTH,285,OK Ins Disaster & Emer Med Rev,"TITLE 63, SEC. 1-2523",2011,7,$265838.49
34000,STATE DEPARTMENT OF HEALTH,290,Ok Safe Kids Asso Rev Fund,"TITLE 47, SEC 1135.5.B.13",2011,7,$860.00
34000,STATE DEPARTMENT OF HEALTH,295,Ok State Ath Comm Revolving Fd,"TITLE 3A, SECTION 616",2011,7,$144380.53
34000,STATE DEPARTMENT OF HEALTH,300,Tobacco Settlement Fund,"TITLE 62, SECTION 50",2011,7,$0.00
34000,STATE DEPARTMENT OF HEALTH,340,CMIA Programs Disbursing Fund,"TITLE 62, SECTIONS 34.9 AND 34.48",2011,7,$11883.66
34000,STATE DEPARTMENT OF HEALTH,400,Federal Funds,"TITLE 63, SEC. 1-108",1466,7,$6609459.51
34000,STATE DEPARTMENT OF HEALTH,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.9 & 34.48",2011,7,$236328.38
34200,BD. OF MEDICOLEGAL INVESTIGATIONS,200,Medical Examiner Special Fund,"TITLE 63, SEC. 954",2011,8,$443188.04
34200,BD. OF MEDICOLEGAL INVESTIGATIONS,215,Toxicology Laboratory Fund,SB 1589 2004 LEGISLATURE,2011,7,$13770.82
34200,BD. OF MEDICOLEGAL INVESTIGATIONS,400,Federal Funds,"TITLE 62, SEC. 34.48",1146,7,$73097.61
34300,ST. BD. OF EXAMINERS OF PERFUSIONISTS,200,Perfusionists Licensure Fund,"TITLE 59, SECTION 2058",2011,7,$72973.33
34500,DEPARTMENT OF TRANSPORTATION,210,Railroad Mainten Rev Fund,"TITLE 66, SEC. 309",2011,7,$9362211.13
34500,DEPARTMENT OF TRANSPORTATION,211,Okla Tourism And Passenger Rai,"TITLES 66, SECTION 325",2011,7,$8036384.73
34500,DEPARTMENT OF TRANSPORTATION,220,Highway Construction Materials,"TITLE 69, SECTION 1963",2011,7,$184382.64
34500,DEPARTMENT OF TRANSPORTATION,225,Public Transit Revolving Fund,"TITLE 69, SEC. 4031 (1990)",2011,7,$602051.51
34500,DEPARTMENT OF TRANSPORTATION,230,County Road Mach & Equip Fund,"TITLE 69, SEC. 636.1",2011,7,$7059215.37
34500,DEPARTMENT OF TRANSPORTATION,235,County Road Improvement Fund,"TITLE 69, SEC. 690",2011,7,$3952035.87
34500,DEPARTMENT OF TRANSPORTATION,250,Cty Bridge And Road Imprv Fund,"REPEALED BY LAWS 2010, SB 2173, C. 256, § 13, EMERG. EFF. JULY 1, 2010.",2011,7,$4874165.98
34500,DEPARTMENT OF TRANSPORTATION,265,Weigh Station Imprv Rev Fnd,"SB 141, SECTION 3E",2011,7,$22309021.07
34500,DEPARTMENT OF TRANSPORTATION,270,Income Tax Checkoff Revolv Fnd,"TITLE 68, SECTION 2368.6",2011,9,$21032.00
34500,DEPARTMENT OF TRANSPORTATION,275,Rebldg Ok Access & Drvr Safety,"HB 1078, SECTION 1A",2011,7,$36843130.85
34500,DEPARTMENT OF TRANSPORTATION,280,High Priority State Bridge Rev,TITLE 69 SECTION 506,2011,7,$1381612.98
34500,DEPARTMENT OF TRANSPORTATION,285,CO Improve for Roads & Bridges,TITLE 69 SECTION 507,2011,7,$194943855.80
34500,DEPARTMENT OF TRANSPORTATION,290,State Transportation Fund,TITLE 69 SECTION 1501.1,2011,7,$9000000.00
34500,DEPARTMENT OF TRANSPORTATION,310,Const & Maintenance Fund,"TITLE 69, SEC. 1501",2011,3,$52079143.83
34500,DEPARTMENT OF TRANSPORTATION,340,CMIA Programs Disbursing Fund,"TITLE 62, SEC 34.48, 34.9",2011,7,$43774720.93
34500,DEPARTMENT OF TRANSPORTATION,400,County Bridge Revolving Fund,"TITLE 69, SEC. 664",2011,7,$2010640.38
34500,DEPARTMENT OF TRANSPORTATION,490,American Recov. & Reinv. Act,,2672,7,$115673.70
34600,OKLA. SPACE INDUSTRY DEV. AUTH.,200,Ok Space Industry Devl Auth Fd,"TITLE 74, SECTION 5208.1",2011,7,$1433843.43
34600,OKLA. SPACE INDUSTRY DEV. AUTH.,210,OK Spaceport Mgmt,"TITLE 74, SECTION 5208.2",1974,7,$230874.30
34600,OKLA. SPACE INDUSTRY DEV. AUTH.,215,Aerospace Industrial Park Fund,,2011,7,$113138.56
34600,OKLA. SPACE INDUSTRY DEV. AUTH.,400,Federal Fund - NASA,"TITLE 62, SEC 34.48, 34.9",2011,7,$0.42
35000,HISTORICAL SOCIETY,200,Revolving Fund,"TITLE 53, SEC. 1.10",2011,7,$86593.52
35000,HISTORICAL SOCIETY,210,Cherokee Strip Museum Wing Rev,"TITLE 62, SECTION 7.5",2011,7,$46618.63
35000,HISTORICAL SOCIETY,220,Capitol Improvement Revolv Fnd,"TITLE 53, SECTION 1.10A",2011,7,$16588.69
35000,HISTORICAL SOCIETY,225,OK Hist Soc Cap Imprv&Op Revl,,2011,7,$423486.55
35000,HISTORICAL SOCIETY,230,Centennial Commission Rev. Fd.,"TITLE 73, SECTION 98.5",2011,7,$3502.00
35000,HISTORICAL SOCIETY,240,1921 Tulsa Race Riot Cm Rev Fd,"HB 2468, SECTION 4",2011,7,$0.00
35000,HISTORICAL SOCIETY,250,Commissioning of Art in Public,"TITLE 74, CH 110A, SEC 9030.6",2962,7,$495164.75
35000,HISTORICAL SOCIETY,260,Art in Public Places Administr,"TITLE 74, CH 110A, SEC 9030.7",2623,7,$267183.66
35000,HISTORICAL SOCIETY,400,Fed Gr 69-1-Restor Histor Site,"TITLE 62, SEC. 34.48",2011,7,$46272.79
35300,OKLA. HORSE RACING COMM.,200,Equine Drug Testing Rev. Fund,"TITLE 3A, SECTION 204.1 B",2011,7,$-17357.01
35300,OKLA. HORSE RACING COMM.,205,Breeding Development Administr,"TITLE 3A, CHAPTER 2, SECTION 208.3",2011,7,$11.55
35300,OKLA. HORSE RACING COMM.,210,Law Enforcement Revolving Fnd,"TITLE 62, SEC 34.9",2176,7,$136005.63
35300,OKLA. HORSE RACING COMM.,215,Gaming Regulation Revolving Fd,"TITLE 3A, CH 2, SEC 282",1086,7,$1261477.72
