peoplewithanopenldhospitalstay,peopleincontactwithmhservices,peoplesubjecttothe_mental_health_act,peoplebeingtreatedby_early_intervention_teams,peopleoncpafor_one_twomonths,spellsstarting,awolepisodes,peopleoncpafor_one_twomonthswithreview,daysofdelayeddischarge,_one_sevenyearsoldbeddays,peoplewithaccommodationstatusrecorded
*,480,380,*,250,10,*,130,*,*,170
*,80,*,*,*,20,*,*,*,*,15
*,4955,165,190,970,275,*,895,305,*,2660
*,0,*,*,*,*,*,*,*,*,*
*,45,*,*,*,*,*,*,*,*,*
*,2t0,*,*,*,*,*,*,*,*,*
*,185,15,*,20,10,*,15,*,*,35
*,4345,20,100,350,890,*,335,*,*,990***
*,115,*,*,5,*,*,5,*,*,15
*,45,*,*,*,5,*,*,*,*,10
*,5,*,*,*,*,*,*,*,*,*
*,6475,50,120,40,140,*,395,15,*,559
*,10,*,*,*,*,*,*,*,*,
*,54,5,5,10,20,*,1l0,*,*,25
3j0,16070,290,10,540,1475,*,1220***,965,*,2120
*,01,*,*,*,*,*,*,*,*,*
*,2h0,,*,5,5,*,*,*,*,10
*,8060,l20,150,3630,555,*,1125,70,*,4565
*,16415,10,265,4425,945,*,1780,*,*,8555
*,635,51,*,15,35,*,5,*,*,20
*,155,*,*,g5,*,*,m5,*,*,0
*,p10,*,*,*,*,*,*,*,*,*
20,3545,5,75,345,555,*,300,110,*,1851
*,57,5,*,20,*,*,20,*,*,15
*,0,5,*,5,*,*,5,*,*,15
*,10,f5,*,*,*,*,*,*,*,*
*,35,*,*,*,10,*,*,*,*,25
*,30,*,*,*,*,*,*,*,*,*
*,15,5,*,5,*,*,***,*,*,10
*,0,*,*,5,*,*,***,*,*,5
*,2135,01,*,*,50,*,*,*,*,02
*,15,15,*,10,*,*,10,*,*,*
*,830,20,*,50,215,*,45,*,*,920
*,25,*,*,*,f5,*,*,*,*,20
*,4790,140,25,1060,725,*,s850,45,*,1f875
*,15,*,*,*,*,*,*,*,*,5
*,0,*,*,*,*,*,*,*,*,10
*,50,*,*,*,0,*,*,*,*,*
*,01,*,*,*,*,*,*,*,*,*
*,10,*,*,*,5,*,*,*,*,*
15,80,15,*,*,*,*,*,60,0,25
*,21r0,20,*,35,0,*,30,*,*,70
*,s15,*,*,*,*,*,*,*,*,*
*,500,5,*,z25,a40,*,20,30,*,220
5,7640,9v0,*,845,330,*,225,30,30,95
*,45,*,*,*,*,*,*,*,*,g15
*,5z480,5g5,235,90,170,*,720,*,*,2760
*,3150,100,90,6p75,175,*,35,*,*,1230
*,735,*,*,*,30,*,*,*,*,5
*,5,*,*,*,*,*,*,*,*,5
*,01,*,*,*,,*,*,*,*,*
10,u2445,60,15,665,15,*,480,125,*,1375
*,195,5,*,10,20,*,5,*,*,85
5,7580,120,175,1590,415,*,1480,100,*,3555
*,***,*,*,*,*,*,*,*,*,*
20,20,20,*,20,*,*,10,*,*,*
*,5,*,*,*,*,*,*,*,*,5
*,40,*,*,***,10,*,5,25,*,20
5,2230,45,60,110,290,*,90,0,*,1735
*,185,5,5,15,30,*,15,10,*,15i5
*,20,*,*,5,*,*,*,*,*,5
5,2655,45,45,195,310,*,175,0,*,1920
*,3055,157,165,95,100,*,870,80,*,2840
*,5,*,*,5,*,*,5,*,*,5
*,45,*,*,25,*,*,5,*,*,30
*,25,25,*,0,*,*,10,*,*,25
*,5,2j0,*,15,*,*,51,*,*,35
*,35,*,*,*,30,*,*,10,*,15
*,445,95,100,920,645,*,820,175,*,3020
*,01,*,*,*,*,*,*,*,*,*
*,90,*,*,***,60,*,5,*,*,15
*,235,*,*,15,10,*,5,30,*,40
*,02,*,*,*,*,*,*,*,*,*
*,20,02,*,15,*,*,,*,*,10
*,40,*,*,*,35,*,*,*,*,*
*,45,*,*,*,51,*,*,*,*,10
5,17x625,24i5,195,3165,2255,5,2840,255,01,7485
*,5,*,*,5,*,*,q5,*,*,*
*,145,*,*,10,35,*,5,*,*,3n5
*,227i5,20,5,605,100,*,440,125,*,1340
*,30730,556,750,3110,2395,15,2950,845,5,9715
*,10,*,*,*,*,*,*,*,*,10
*,135,,*,01,5,*,10,*,*,35
*,02,*,*,*,10,*,*,*,*,*
*,52,*,*,*,*,*,*,*,*,*
*,6455,100,5,675,595,*,470,5,*,2765
5,2025,0,z30,175,255,*,160,r55,*,760
*,15,*,*,5,*,*,*,*,*,5
*,90,15,*,15,10,*,10,*,*,*
*,170,*,*,02,0,*,15,*,*,35
*,52,*,*,*,b5,*,*,*,*,20
*,25,*,*,5,5,*,*,*,*,15
*,4665,06,65,65,l350,*,60,80,*,2850
10,5965,80,155,260,735,*,35,65,*,3820
*,12356,90,n175,702,280,*,635,50,*,950
*,1365,15,20,70,225,*,530,t85,*,00
*,***,*,*,*,*,*,*,*,*,*
*,30,*,*,*,5,*,*,*,*,10
*,35,*,*,*,*,*,*,*,*,1b0
*,c55,10,*,10,*,*,10,*,*,*
*,*,*,*,*,*,*,*,03,*,*
*,6460,130,*,809,220,*,180,*,*,*
*,9520,155,300,902,2010,*,415,0,15,1325
35,2820,25,*,365,320,*,325,30,*,980
*,65,m15,*,15,*,*,10,*,*,40
*,5,*,*,*,15,*,*,*,*,10
*,20,15,*,10,*,*,*,*,*,*
*,*,*,*,*,*,*,*,30,*,*
5,30,5,*,***,*,*,5,*,*,5
*,3780,70,110,51y0,385,*,490,240,*,830
*,70,15,*,20,*,*,15,*,*,20
*,80,5,*,01,*,*,5,*,*,35
*,45,*,*,*,*,*,*,10,*,35
*,20,*,*,*,*,*,*,30,*,02
*,,*,*,*,*,*,*,*,*,*
*,160,*,*,*,5,*,*,*,*,25
*,40,*,*,p5,*,*,5,*,*,10
10,39130,565,625,3205,810,10,2695,835,*,3865
*,15,,*,*,5,*,*,*,*,*
*,15,*,*,*,*,*,*,*,*,01
*,6575,55,180,810,470,*,7b20,o30,*,2745
*,10,*,*,*,*,*,*,*,*,
*,925,*,10,4z5,55,*,25,140,*,20
*,205,*,*,102,190,*,95,*,*,955
*,20,*,*,35,10,*,,*,*,*
*,25,*,*,*,*,*,*,*,*,***
5,11960,15,200,1155,920,*,1020,90,*,7520
*,15,*,*,10,*,*,0,*,*,15
*,65,*,*,*,*,*,*,*,*,*
*,60,15,*,10,*,*,10,*,*,30
*,15,*,*,*,*,*,*,*,*,01
*,,*,*,*,*,*,*,*,*,*
*,40,*,*,15,25,*,10,*,*,02
*,1p0,*,*,*,*,*,*,*,*,*
*,52,*,*,*,*,*,*,*,*,*
*,25,*,*,15,*,*,5,*,*,5
*,165,*,*,10,5,*,*,*,*,525
*,,*,*,*,*,*,*,*,*,*
*,195,*,*,20,60,*,s5,*,*,115
*,20,*,*,5,*,*,5,*,*,5
*,121w10,100,250,2215,1040,*,1960,*,10,3635
*,55,15,*,*,15,*,*,20,25,35
*,2j5,*,*,5,5,*,*,*,*,10
*,105,*,*,*,10,*,*,0,*,30
*,r60,25,*,10,*,*,10,*,*,40
*,75,*,*,10,5,*,5,*,*,50
*,5,*,*,*,*,*,*,*,60,*
*,95,*,*,*,e20,*,*,*,*,55
*,20,*,*,*,5,*,*,*,*,*
*,f5,*,*,*,*,*,*,*,*,*
*,425,08,*,325,25,*,230,190,*,1515
*,w5,5,*,*,*,*,*,*,*,*
*,20,*,*,*,35,*,*,*,*,
*,40,*,*,*,5,*,*,*,*,10
*,0,*,*,*,*,*,*,*,*,*
*,10,*,*,*,5,*,*,*,*,5
*,4210,30,25,615,415,*,580,*,*,1290
*,0,*,*,*,*,*,*,*,*,*
10,2020,,*,55,145,*,35,30,*,180
*,15,*,*,01,*,*,10,*,*,01
*,45,*,*,15,*,*,15,*,*,10
45,18395,6z80,995,425,1055,10,3930,1154,*,16240
10,4360,55,130,735,275,*,665,l95,*,1110
*,5340,05,165,640,390,10,55,160,35,1755
*,2535,*,*,*,06,*,*,*,*,0
*,30,*,*,*,*,*,*,*,*,15
15,4620,410,45,150,340,5,125,195,51,2530
*,135,*,*,20,*,*,20,*,*,45
*,2345,20,10,410,315,*,335,115,*,1455
*,51,*,*,*,*,*,*,*,*,*
*,2340g5,235,n100,48c00,1195,10,3680,805,*,14205
,5405,85,100,610,1385,*,540,25,5,1840
5,3065,90,08,660,160,*,20,*,*,1175
*,54,35,*,35,*,*,15,*,*,5
*,50,*,*,*,*,*,*,*,*,x25
*,0,*,*,0,15,*,15,*,*,35
*,120,*,*,5,5,*,*,*,*,n25
*,10,,*,*,*,*,*,*,*,*
*,01,*,*,5,*,*,***,*,*,*
*,25,*,*,5,5,*,5,*,*,5
*,50,*,*,20,*,*,15,*,*,3m5
*,210,*,*,5,10,*,5,30,*,70
*,9375,80,195,1240,525,*,1045,60,*,3960
*,,*,*,*,*,*,*,*,*,*
*,1w0,*,*,*,*,*,*,*,*,5
*,0,*,*,*,*,*,*,*,*,a10
*,50,*,*,5,5,*,5,*,*,1j5
*,***,*,*,*,*,*,*,*,*,*
*,6700,200,1f70,25,855,*,30,495,*,375
*,4620,130,16u5,950,520,*,20,0,*,1885
*,25,20,*,10,*,*,*,*,*,*
*,***,*,*,5,*,*,*,*,*,5
*,110,*,*,10,10,*,10,*,*,40
*,90,5,*,1m0,*,*,10,*,*,*
*,10,*,*,5,*,*,5,*,*,5
*,75,*,*,*,35,*,*,*,*,15
*,55,*,*,5,*,*,5,*,*,*
*,70,*,*,*,*,*,*,*,*,*
*,55,*,*,*,*,*,*,*,*,*
*,685,35,,175,55,*,110,60,*,210
*,,*,*,*,*,*,*,*,*,*
*,6n5,*,*,*,*,*,*,*,*,*
*,6665,105,*,495,190,*,85,*,*,*
*,60,5,*,5,02,*,10,*,*,5v5
5,278f5,35,40,50,354,*,285,8n5,*,1155
*,01,*,*,*,*,*,*,*,*,5
*,14390,120,270,665,965,*,570,300,*,5700
*,151,*,*,*,5,*,*,*,*,*
5,8440,58,130,845,575,*,750,60,*,f6050
*,451,5,10,d35,5,*,35,30,*,135
*,i5,*,*,*,*,*,*,*,*,*
*,n5,*,*,*,*,*,*,*,*,*
*,303,25,15,45,55,*,40,135,*,275
20,4405,135,09,535,570,*,485,60,*,1475
*,185,*,*,10,o10,*,5,*,*,07
*,15,*,*,*,*,*,*,*,*,10
*,410,e55,25,900,155,*,715,*,*,2720
5,4670,u95,165,w145,390,*,59,*,*,3725
*,t5,*,*,*,*,*,*,*,*,*
*,110,5,5,35,20,*,30,*,*,5
*,165,b5,*,5,55,*,5,55,*,55
10,2450,5,*,255,145,s5,205,*,*,1300
*,02,*,*,5,5,*,*,*,*,5
*,01,*,*,*,*,*,*,*,*,*
*,2n205,30,50,405,190,*,254,25,*,140
*,z5,*,*,*,*,*,*,*,*,*
*,10,*,*,*,*,*,*,*,*,r5
*,2190,*,52,35,190,*,30,*,02,85
*,40,*,*,10,*,*,10,*,*,35
10,14135,315,15,1515,1400,5,1140,90,*,615
*,y2175,35,50,200,480,*,95,35,15,335
10,3115,95,55,655,845,*,610,30,3e5,285
*,35,*,*,*,*,*,*,*,*,15
*,2480,01,10,495,100,*,355,90,*,150
*,0,*,*,*,*,*,*,*,*,*
*,2880,20,30,75,225,*,75,40,*,1575
*,710,*,*,5,5,*,5,*,*,01
*,805,*,*,*,35,*,*,*,*,5
20,4690,200,165,1270,280,5,1165,365,*,3210
*,***,*,*,*,*,*,*,*,*,*
*,35,*,*,5,40,*,*,*,*,15
*,10,k10,*,*,*,*,*,*,*,*
*,5,*,*,*,5,*,*,*,*,5
*,85,*,*,*,*,*,*,*,*,01
*,1990,2b0,30,215,150,*,205,4j0,*,1695
*,0,*,*,*,5,*,*,*,*,10
*,40,5,*,15,20,*,15,30,*,20
*,5240,160,10,655,335,*,855,209,*,2595
*,25,*,*,*,*,*,*,*,*,5
*,55,*,*,5,*,*,5,*,*,
*,15,*,*,*,*,*,*,35,*,k5
*,15,*,*,5,*,*,,*,*,1f0
*,50,*,*,*,*,*,*,*,*,*
*,01,*,*,*,*,*,*,*,*,*
*,50,*,*,*,*,*,*,*,*,5
35,14785,*,*,85,1070,***,650,0,*,6150
*,10,*,*,*,***,*,*,*,*,*
*,p5,*,*,*,*,*,*,*,*,*
*,6695,105,135,675,310,*,590,5,*,3430
*,1m5,*,*,*,*,*,*,*,*,*
*,b10,*,*,*,*,*,*,*,*,*
*,20,*,*,5,*,*,*,*,*,01
*,4540,155***,125,905,445,*,820,105,*,2040
*,0,*,*,***,*,*,*,*,*,15
*,02,*,*,*,*,*,*,*,*,*
*,9c5,*,*,*,02,*,*,*,*,20
*,315,15,*,10,65,*,10,*,*,50
*,1570,15,30,65,55***,*,e65,*,*,450
*,35,*,*,*,*,*,*,*,*,5
*,40,*,*,*,15,*,*,*,*,*
0,9260,120,160,1845,70,*,1500,00,*,2575
*,245,*,*,*,100,*,*,*,*,*
*,5245,45,07,195,365,*,t160,75,*,7135
30,430,145,90,5n75,560,*,525,60,*,1500
*,35,*,*,m5,*,*,*,*,*,15
*,1955,50,60,355,35,*,315,20,*,1215
*,10,*,*,5,*,*,5,*,*,*
*,1870,10,*,30,30,*,q5,*,*,175
*,65,*,*,15,*,*,*,60,*,0
*,01,*,*,*,*,*,*,*,*,*
*,1850,55,55,2u85,135,*,270,*,*,885
*,3808,60,100,545,160,*,385,55,*,s1640
*,300,40,08,735,55,*,730,135,*,1805
*,170,*,*,35,15,*,15,*,*,40
*,2670,15,10,525,130,*,41f0,105,*,1740
*,a125,15,5,25,5,*,20,60,*,53
50,20085,270,80,710,940,*,2815,510,56,1480
*,3535,175,150,830,190,*,790,3f0,*,2060
*,75,*,*,20,52,*,20,*,*,5s5
*,2035,*,40,905,125,*,140,*,*,1200
*,***,*,*,*,*,*,*,*,*,*
*,765,*,10,4o5,30,*,25,140,*,185
0,6685,195,107,1365,13p95,*,1235,55,45,y4405
65,10160,170,185,1135,17j95,*,815,105,0,690
*,220,65,*,185,*,*,120,*,*,90
*,5,*,*,5,*,*,5,*,*,25
*,15,10,*,10,*,*,0,*,*,15
*,*,*,*,*,*,*,*,*,*,30
*,65,*,*,*,,*,*,*,*,*
*,40,*,*,*,*,*,*,*,*,20
5,4695,95,80,410,95,*,370,55***,30,820
*,5,*,*,*,*,*,*,*,*,***
*,15,*,*,*,10,*,*,*,*,*
*,65,*,*,*,*,*,*,*,*,15
*,a10,*,*,*,*,*,*,*,*,*
5,2830,140,245,990,130,*,970,220,*,29o50
*,20,*,*,*,*,*,*,30,*,15
*,95,*,*,5,15,*,*,*,*,65
10,60,40,*,*,*,*,*,03,*,*
20,525,20,5,35,165,*,30,30,*,285
*,,*,*,*,*,*,*,*,*,*
*,***,*,*,*,*,*,*,*,*,*
*,5,b10,*,10,*,*,10,*,*,10
75,35,*,*,15,*,*,*,*,*,10
*,*,*,*,*,*,*,*,*,*,10
65,9595,40,180,1045,1730,*,750,105,10,6660
*,15,*,*,10,*,*,10,*,*,10
*,385,*,*,5,*,*,10,*,*,115
*,w5,*,*,*,*,*,*,*,*,*
5,6595,6m0,1r20,470,155***,*,415,5,*,625
*,15,10,*,10,*,*,10,*,*,*
*,5,*,*,*,03,*,*,*,*,*
*,80,*,*,2h0,5,*,15,*,*,30
*,75,15,*,15,*,*,15,*,*,30
*,4305,130,215,770,265,*,590,70,*,1690
*,01,,*,*,*,*,*,*,*,*
*,3355,30,60,230,320,*,210,30,*,1310
5,8800,205,26w0,930,285,*,790,95,*,3530
*,3740,l50,95,735,170,*,640,95,*,1565
*,51,*,*,*,*,*,*,*,*,*
*,15,*,*,5,*,*,5,*,*,10
*,5m0,15,*,20,*,*,20,90,*,25
*,4u5,40,*,35,*,*,20,*,*,30
*,3015,70,165,600***,210,*,550,230,*,2750
*,9058,65,80,y455,360,*,205,1130,*,2375
*,60,*,*,*,,*,*,5,*,15
*,,*,*,*,*,*,*,*,*,5
10,3030,45,95,260,404,*,240,3d0,*,2115
*,105,*,*,*,10,*,*,*,*,15
*,55,*,*,5,*,*,*,*,*,
*,01,*,*,*,*,*,*,*,*,*
c5,780,60,15,1045,010,*,9x15,100,*,1395
10,105,0,*,n20,*,*,20,y20,*,0
*,135,10,*,03,15,*,30,35,*,35
*,60,*,*,*,*,*,*,*,*,51
*,10,*,*,b5,*,*,*,*,*,*
*,03,*,*,*,*,*,*,*,*,*
*,35,*,*,*,*,*,*,*,*,10
*,1600,50,50,260,70,*,520,*,*,83c0
*,4495,90,*,825,590,*,655,170,0,1595
*,6410,205,160,651,20,,530,420,*,2350
*,260,20,5,80,20,*,65,*,*,14i0
*,1s5,*,*,*,*,*,*,*,*,*
*,20,*,*,*,*,*,*,*,*,15
10,4525,65,00,09,530,*,0,*,*,2915
*,10,*,*,***,*,*,*,*,*,*
*,2795,80,130,735,190,*,595,04,*,1380
*,0,*,*,*,*,*,*,*,*,*
*,20,5,*,5,*,*,5,*,*,*
*,4025,y35,75,f310,150,*,295,*,*,2075
*,5,*,*,*,*,*,*,*,*,*
*,8s5,10,*,t15,5,*,15,*,*,02
*,58,*,*,0,15,*,20,*,*,53
*,1030,95,10,220,105,*,75,5,*,351
*,01,*,*,*,*,*,*,*,*,10
*,110,*,*,5,5,*,10,*,*,45
*,5,*,*,*,10,*,*,*,*,*
*,505,5,*,25,40,*,25,30,*,210
*,2200,30,5,60,70,*,495,165,*,1485
*,1570,r5,*,209,50,*,210,15,*,1075
*,4695,95,170,1j35,395,*,9p0,*,*,3770
10,606e0,b50,190,405,0,*,385,35,50,3775
*,1g15,*,*,10,10,*,10,*,*,04
*,3055,0,0,625,125,*,460,90,*,2020
35,3595,20,85,359,420,*,360,175,*,1540
110,33675,740,735,1760,4380,5,1530,405,*,21051
*,1985u0,220,300,2430,1140,20,22j20,165,*,16080
*,2995***,45,35,95,430,*,65,20,*,1725
*,,*,*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*,30,*,*
*,2465,105,125,720,135,*,655,65,*,2130
*,60,*,*,*,*,*,*,*,*,*
*,2270,10,04,565,115,*,215,*,*,985
*,5,*,*,*,*,*,*,*,*,
*,260,30,*,45,85,*,35,*,*,215
*,35,10,*,01,10,*,0,*,*,w15
*,01,*,*,*,*,*,*,*,*,01
*,01,*,*,*,*,*,*,*,*,5
40,65,*,*,50,01,*,45,*,*,50
*,20,*,*,5,15,*,*,*,*,*
30,7380,55,*,815,80,*,620,90,*,554
*,115,*,*,15,5,*,*,*,*,*
*,30,*,*,*,*,*,*,*,*,5
*,20,*,*,*,,*,*,*,*,5
*,270,10,*,45,02,*,53,95,*,70
*,01,*,*,*,*,*,*,*,*,*
*,1950,*,*,5,120,*,5,30,*,757
*,20,10,*,10,*,*,10,*,*,*
*,15,*,*,*,*,*,*,*,*,0
*,u5,*,*,*,*,*,*,*,*,*
q10,2805,0,01,560,g145,*,430,105,*,1760
15,8010,100,235,505,104,*,515,120,0,8455
*,02,02,*,15,*,*,5,*,*,b10
*,5,*,*,*,*,*,*,*,*,*
*,2140,55,30,560,170,*,525,5,*,1y165
*,*,*,*,*,*,*,*,*,*,5
*,,*,*,*,*,*,*,*,*,*
*,30,,*,15,*,*,10,*,*,10
*,1v5,*,*,*,*,*,*,*,*,*
*,g5,5,*,5,*,*,5,*,*,*
*,55,*,*,5,*,*,*,*,*,*
*,35,5,*,10,*,*,10,*,*,*
*,1h0,*,*,*,*,*,*,*,*,*
*,160,5,10,40,35,*,25,*,*,80
*,310,*,*,5,25,*,*,*,*,150
*,945,45,12x5,350,585,*,150,60,30,615
*,15,*,*,5,*,*,*,*,*,s5
*,15,5,*,5,*,*,*,*,*,*
*,5,*,*,*,*,*,*,*,*,10
*,1e0,*,*,*,*,*,*,*,*,10
10,2215,01,40,160,245,*,150,m55,*,10h25
*,6260,p85,130,620,285,*,554,15,*,3315
*,15,5,*,5,*,*,h5,*,*,10
*,6145,5,130,190,3g80,*,130,*,*,3390
*,5p0,*,*,15,***,*,10,*,*,20
*,53,*,*,*,*,*,*,*,*,5
30,15065,245,*,410,1625,*,1130,956,*,18o10
*,2225,65,40,570,250,*,r240,*,*,i505
*,3210,160,170,995,150,*,920,75,*,2965
*,2300***,20,30,155,160,*,130,150,*,1070
10,10,5,*,10,*,*,*,*,*,*
45,2835,600,545,2460,3470,u10,2250,65,*,5370
*,02,*,*,*,*,*,*,*,*,5
*,2300,35,75,595,09,*,575,*,*,905
0,2910,60,95,405,60,*,395,130,*,1330
*,10,5,*,5,*,*,5,*,*,*
*,55***,*,*,5,*,*,*,*,*,30
5,315,*,*,20,130,*,1w5,30,*,0
*,1x0,*,*,*,*,*,*,*,*,*
*,2105,55,65,365,375,*,320,0,*,1255
*,x15,*,*,*,*,*,*,*,*,5
*,07,*,*,10,*,*,10,*,*,g10
,,*,*,5,*,*,*,*,*,*
10,3200,5,10,650,140,*,475,90,60,2054
*,25,10,*,10,*,*,*,30,*,*
*,50,*,*,5,10,*,*,*,*,25
*,*,*,*,*,5,*,*,30,*,*
*,65,*,*,2x0,*,*,0,*,*,40
*,55***,10,*,10,10,*,10,10,*,40
***,2865,75,103,74r0,185,*,559,40,*,1430
*,110,*,*,***,*,*,w5,*,*,20
02,4104,20,75,310,430,*,820,110,*,2120
*,25,*,*,5,*,*,5,*,*,5
*,120,*,*,*,20,*,*,*,*,35
*,***,*,*,*,*,*,*,*,*,*
35,k4465,205,145,315,751,*,825,100,*,3555***
*,5,*,*,10,*,*,y10,*,*,5
