objectid(long),cyclevalue(long),id_three_zero_five_b,namevalue,locationvalue,milessquare(double precision),marineaquaticlife,recreation,fishconsumption,shellfish,shape_length(double precision),shape_area(double precision)
179,2008,CT-vE3_004,"LIS EB Midshore - Groton, Thames River","See Map for Boundaries. Eastern portion of LIS from SB/SA water quality boundary out to 50 ft contour offshore of Goshen Point, Waterford, to approximately 1000 ft offshore, Groton Long Point, out to CT/NY State line.",6.73835391,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,81868.1818406597,187854525.838048
180,2008,CT-E3_002,LIS EB Midshore - Stonington Harbor,"See Map for Boundaries. Eastern portion of LIS from approximately 1000 ft offshore, Enders Island to Stonington Point, out to CT/NY State line.",4.41407588,NotA ssessed,Not Asessed,Fully Suppolrting,Fully Supporting Harvesting for Direct Consumption,54984.1387003132,123057373.223753
181,2008,CT-E1_014-SB,"LIS EB Inner - Thames River (Mouth), New London","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, mouth of Thames River from Eastern Point (North of Avery Point), US to I95 crossing (Includes Inner New London Harbor), Groton.",1.99402211,Not Supporting,Fully Supporting,Fully Supportign,Not Supporting Commercial Harvsting where Authorized,77299.9908392665,55590146.2484415
182,2008,CT-E1_031-SB,"LIS EB Inner - Connecticut River (upper), Chester","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Connecticut River from area just above Brockway Island, US to saltwater limit just above Chapman Pond inlet (adjacent to Gillette Castle State Park), East Haddam.",2.12967157,Not Assessed,Not Assessed,oNt Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",199013.731953061,59371835.9432631
183,2008,CT-W3_007,"LIS WB Midshore - Offshore Norwalk Islands,Norwalk","See Map for Boundaries. Western portion of LIS from line just beyond cluster of Norwalk Islands (Sheffield Island to Cockenoe Island area), out to 50 ft contour, Norwalk.",5.6634308,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Cnosumption,72857.8609507924,157887389.461176
184,2008,CT-C2_008,"LIS CB Shore - Guilford Harbor, Guilford","See Map for Boundaries. Central portion of LIS from Mulberry Point to Hogshead Point area (includes Jacobs Beach, Guilford Point), out approximately 1000 ft offshore, Guilford.",0.48054118,Not Assessed,Fully Supporting,Fully Supporting,Not Supportign Harvesting for Direct Consumption,30583.7935870412,13396719.3609791
185,2008,CT-C2_009,"LIS CB Shore - Indian Cove, Guilford","See Map for Boundaries. Central portion of LIS from Sachem Head to Mulberry Point area (includes Vineyard Point), out approximately 1000 ft offshore, Guilford.",0.43141409,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,27051.9571774708,12027134.5781372
186,2008,CT-W3_013,"LIS WB Midshore - Outer Cos Cob Harbor, Greenwich","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Bush Island to Greenwich Point area), out to 50 ft contour, Greenwich.",2.37802183,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,51319.5460962566,66295443.8295408
187,2008,CT-C2_010,"LIS CB Shore - Joshua Cove & Island Bay, Guilford","See Map for Boundaries. Central portion of LIS from Clark Point to Sachem Head area (includes Horse and Foskett Islands), out approximately 1000 ft offshore, Guliford.",0.73751323,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,46255.5490125715,20560688.9057505
188,2008,CT-W2_012,"LIS WB Shore - Outer Norwalk Harbor(East), Norwalk","See Map for Boundaries. Western portion of LIS from midpoint of outer Norwalk Harbor to just west of Canfield Island area (includes Calf Pasture Beach, Shady Beach, Calf Pasture Point) out approximately 1000 ft offshore, Norwalk.",0.25774644,Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,16017.9391514844,7185558.58465889
189,2008,CT-W2i_006,"LIS WB Shore - Southport Harbor (East), Fairfield","See Map for Boundaries. Western portion of LIS from inner Southport Harbor outlet to Pine Creek Point area (includes Sasco Beach, Kense Point) out approximately 1000 ft offshore, Fairfield.",0.18297959,Not Assessed,Fully Supporting,Fully Szupporting,Not Supporting Harvestign for Direct Consumption,12244.980140814,5101178.27439835
