indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,86.0,100%-199%,5.2,2006-2008***,4.0,Under 18 yars,0.0,9.4,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,60.0,100%-199%,5.2,2007b-2009,5.0,Under 18y ears,0.0,10.1,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,92.0,100%-199%,5.2,2008-2001,6.0,Unde 18 years,0.0,11.3,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,78.0,100%-199%,5.2,2009-2011,95.0,Under 18 yeasr,0.0,12.2,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,39.0,100%-199%,5.2,2010-2012,68.0,Under 18years,0.0,12.5,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,40.0,100%-199%,5.2,2011-2013,66.0,Under 18 yehars,0.0,12.6,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,69.0,100%-199%,5.2,2012-2014,59.0,Unedr 18 years,0.0,11.8,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,14.0,100%-199%,5.2,2013-2015,47.0,Under 18y ears,0.0,11.2,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,47.0,100%-199%,5.2,2014-2016,12.0,Under 18y ears,0.0,10.9,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty lvel,5.0,100%-199%,5.2,2015-2017,13.0,Under 18 yeairs,0.0,11.8,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,12.0,100%-199%,5.2,2016-2018,14.0,Under 18 yedars,0.0,12.5,0.6,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,20.0,200%-399%,5.3,1997-1999***,1.0,Under 18 years,0.0,7.3,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent ofp overty level,5.0,200%-399%,5.3,2000t-2002,2.0,Under 81 years,0.0,8.5,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,36.0,200%-399%,5.3,2003-2050,3.0,nUder 18 years,0.0,10.0,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,17.0,200%-399%,5.3,2006-2008***,4.0,Under 18 eyars,0.0,9.9,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,18.0,200%-399%,5.3,200-2009,5.0,Under 1 years,0.0,10.2,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,19.0,200%-399%,5.3,200-82010,6.0,Under 18 yars,0.0,12.0,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,56.0,200%-399%,5.3,2009-2011,92.0,Undler 18 years,0.0,12.6,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,6.0,200%-399%,5.3,2010-2012,75.0,Under 18 cyears,0.0,12.6,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,38.0,200%-399%,5.3,2011-2013,34.0,nUder 18 years,0.0,11.9,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,32.0,200%-399%,5.3,2012-2014,87.0,Under 18 years,0.0,11.6,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,104.0,200%-399%,5.3,2013-2015,34.0,nder 18 years,0.0,12.0,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,48.0,200%-399%,5.3,2014-2016,12.0,Unde r18 years,0.0,12.2,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,93.0,200%-399%,5.3,2015-2017,13.0,Under 1t8 years,0.0,12.7,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,57.0,200%-399%,5.3,2016-2018,14.0,Unde r18 years,0.0,12.2,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,55.0,400% or more,5.4,197-1999,1.0,Under 18 yiears,0.0,7.9,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,61.0,400% or more,5.4,2000-2020,2.0,Under 18 yeabrs,0.0,8.8,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of opverty level,5.0,400% or more,5.4,003-2005,3.0,Under 18years,0.0,10.5,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,16.0,400% or more,5.4,2006-208,4.0,Under 18 yealrs,0.0,10.7,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,96.0,400% or more,5.4,2007-2009***,5.0,Unde 18 years,0.0,11.4,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,98.0,400% or more,5.4,2008-2010,6.0,Under1 8 years,0.0,12.1,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,71.0,400% or more,5.4,2009-2011,39.0,Under 18 yeasr,0.0,12.1,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,71.0,400% or more,5.4,2010-2012,71.0,Under 81 years,0.0,11.7,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poevrty level,5.0,400% or more,5.4,2011-2013,72.0,Uxnder 18 years,0.0,11.6,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,88.0,400% or more,5.4,2012-2014,44.0,Under 18 yeasr,0.0,11.8,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,29.0,400% or more,5.4,2013-2015,41.0,Unedr 18 years,0.0,12.2,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,9.0,400% or more,5.4,2014-2016,84.0,Under 18 yeas,0.0,12.0,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,39.0,400% or more,5.4,2015-2017,13.0,Under 18z years,0.0,12.7,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Percent of poverty level,89.0,400% or more,5.4,2016-2018,14.0,Undezr 18 years,0.0,12.8,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance sttus at the time of interview,6.0,Insurd,6.1,1997-9199,1.0,Under 18 years,0.0,7.7,0.2,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the ime of interview,6.0,Insured,6.1,200-2002,2.0,Under 18 years,0.0,8.5,0.2,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Hebalth insurance status at the time of interview,6.0,Insured,6.1,200h3-2005,3.0,Under 18 years,0.0,10.0,0.2,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Helth insurance status at the time of interview,6.0,Insured,6.1,2006-2008***,4.0,Under 18 years,0.0,10.4,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the time of iterview,6.0,Insured,6.1,200-72009,5.0,Under 18 years,0.0,11.0,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the time of niterview,6.0,Insured,6.1,2008-2010,21.0,Under 18 years,0.0,12.2,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance stats at the time of interview,6.0,Insured,6.1,2009-2011,32.0,Under 18 years,0.0,12.7,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurancestatus at the time of interview,6.0,Insured,6.1,2010-2012,8.0,Under 18 years,0.0,12.7,0.2,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the time ofk interview,6.0,Insured,6.1,2011-2013,31.0,Under 18 years,0.0,12.4,0.2,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurnce status at the time of interview,6.0,Insured,6.1,2012-2014,67.0,Under 18 years,0.0,12.0,0.2,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurnace status at the time of interview,6.0,Insured,6.1,2013-2015,21.0,Under 18 years,0.0,12.0,0.2,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at th time of interview,6.0,Insured,6.1,2014-2016,12.0,Under 18 years,0.0,12.0,0.2,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the time of intverview,6.0,Insured,6.1,2015-2017,13.0,Under 18 years,0.0,12.6,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health inurance status at the time of interview,6.0,Insured,6.1,2016-2018,14.0,Under 18 years,0.0,12.9,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Heaslth insurance status at the time of interview,6.0,Insured: Private,6.11,1997-19b99,1.0,Under 18 years,0.0,7.4,0.2,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance statust at the time of interview,6.0,Insured: Private,6.11,2000-2020,2.0,Under 18 years,0.0,8.5,0.2,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the time of interview,73.0,Insured: Private,6.11,2003-200y5,3.0,Under 18 years,0.0,10.1,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the timeu of interview,6.0,Insured: Private,6.11,20062-008,4.0,Under 18 years,0.0,10.3,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the time of niterview,6.0,Insured: Private,6.11,2007-009,5.0,Under 18 years,0.0,10.7,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health inurance status at the time of interview,6.0,Insured: Private,6.11,2008-2010,25.0,Under 18 years,0.0,12.1,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Healt insurance status at the time of interview,6.0,Insured: Private,6.11,2009-2011,99.0,Under 18 years,0.0,12.6,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status a tthe time of interview,6.0,Insured: Private,6.11,2010-2012,100.0,Under 18 years,0.0,12.4,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the time of irnterview,6.0,Insured: Private,6.11,2011-2013,9.0,Under 18 years,0.0,12.0,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the time of itnerview,6.0,Insured: Private,6.11,2012-2014,102.0,Under 18 years,0.0,11.7,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at he time of interview,6.0,Insured: Private,6.11,2013-2015,21.0,Under 18 years,0.0,12.0,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at thetime of interview,6.0,Insured: Private,6.11,2014-2016,102.0,Under 18 years,0.0,11.8,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Helth insurance status at the time of interview,6.0,Insured: Private,6.11,2015-2017,13.0,Under 18 years,0.0,12.4,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status atthe time of interview,6.0,Insured: Private,6.11,2016-2018,14.0,Under 18 years,0.0,12.5,0.3,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insuance status at the time of interview,6.0,Insured: Medicaid,6.12,1997e-1999,1.0,Under 18 years,0.0,8.4,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,ealth insurance status at the time of interview,6.0,Insured: Medicaid,6.12,200k0-2002,2.0,Under 18 years,0.0,8.4,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the tiem of interview,6.0,Insured: Medicaid,6.12,20i03-2005,3.0,Under 18 years,0.0,9.5,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health inurance status at the time of interview,6.0,Insured: Medicaid,6.12,2006-200e8,4.0,Under 18 years,0.0,10.4,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the time o finterview,6.0,Insured: Medicaid,6.12,2007-20q09,5.0,Under 18 years,0.0,11.0,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Healtth insurance status at the time of interview,6.0,Insured: Medicaid,6.12,2008-2010,103.0,Under 18 years,0.0,12.0,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the time f interview,6.0,Insured: Medicaid,6.12,2009-2011,19.0,Under 18 years,0.0,12.4,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurnce status at the time of interview,6.0,Insured: Medicaid,6.12,2010-2012,103.0,Under 18 years,0.0,12.9,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance statsu at the time of interview,6.0,Insured: Medicaid,6.12,2011-2013,104.0,Under 18 years,0.0,12.8,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the timeo f interview,6.0,Insured: Medicaid,6.12,2012-2014,27.0,Under 18 years,0.0,12.3,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Hwealth insurance status at the time of interview,6.0,Insured: Medicaid,6.12,2013-2015,57.0,Under 18 years,0.0,11.9,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at tehe time of interview,6.0,Insured: Medicaid,6.12,2014-2016,77.0,Under 18 years,0.0,12.3,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the time of interyview,6.0,Insured: Medicaid,6.12,2015-2017,13.0,Under 18 years,0.0,13.0,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurnace status at the time of interview,6.0,Insured: Medicaid,6.12,2016-2018,14.0,Under 18 years,0.0,13.4,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insureance status at the time of interview,6.0,Uninsured,6.2,1997-1999***,1.0,Under 18 years,0.0,5.9,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the time o interview,6.0,Uninsured,6.2,000-2002,2.0,Under 18 years,0.0,5.3,0.4,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance sftatus at the time of interview,6.0,Uninsured,6.2,2003-2005***,3.0,Under 18 years,0.0,6.8,0.5,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at th etime of interview,6.0,Uninsured,6.2,2006-2l008,4.0,Under 18 years,0.0,6.7,0.6,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Healthi nsurance status at the time of interview,6.0,Uninsured,6.2,2007-n2009,5.0,Under 18 years,0.0,7.9,0.7,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Hefalth insurance status at the time of interview,6.0,Uninsured,6.2,2008-2010,95.0,Under 18 years,0.0,9.0,0.7,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the time of interview,37.0,Uninsured,6.2,2009-2011,89.0,Under 18 years,0.0,10.5,0.7,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the time fo interview,6.0,Uninsured,6.2,2010-2012,24.0,Under 18 years,0.0,10.2,0.7,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the time of itnerview,6.0,Unifnsured,6.2,2011-2013,100.0,Under 18 years,0.0,10.1,0.7,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance kstatus at the time of interview,6.0,Uninsured,6.2,2012-2014,107.0,Under 18 years,0.0,9.6,0.8,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the ime of interview,6.0,Uninsured,6.2,2013-2015,29.0,Under 18 years,0.0,9.1,0.9,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the time of niterview,6.0,Uninsured,6.2,2014-2016,12.0,Under 18 years,0.0,9.7,0.9,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Healt hinsurance status at the time of interview,6.0,Uninsured,6.2,2015-2017,13.0,Under 18 years,0.0,10.5,1.0,*
Health conditions among children under age 18,Skin allergy among persons under 18 years,6.0,"Percent of children, crude",1,Health insurance status at the time of intserview,6.0,Uninsured,6.2,2016-2018,14.0,Under 18 years,0.0,10.5,1.0,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,7.0,"Percent of children, crude",1,Toxtal,0.0,Under 18 years,13.0,199t7-1999,1.0,Under 18 years,0.0,17.5,0.2,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,7.0,"Percent of children, crude",1,otal,0.0,Under 18 years,47.0,20002002,2.0,Under 18 years,0.0,17.7,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,7.0,"Percent of children, crude",1,oTtal,0.0,Under 18 years,5.0,2003-20r05,3.0,Under 18 years,0.0,17.3,0.2,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,96.0,"Percent of children, crude",1,oTtal,0.0,Under 18 years,88.0,2006-200c8,4.0,Under 18 years,0.0,16.5,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,19.0,"Percent of children, crude",1,Total,0.0,Under 18 years,70.0,200-2009,5.0,Under 18 years,0.0,16.6,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,69.0,"Percent of children, crude",1,Tjotal,0.0,Under 18 years,49.0,2008-2010,6.0,Under 18 years,0.0,17.0,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,53.0,"Percent of children, crude",1,Toatl,0.0,Under 18 years,18.0,2009-2011,55.0,Under 18 years,0.0,17.0,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,7.0,"Percent of children, crude",1,otal,0.0,Under 18 years,97.0,2010-2012,75.0,Under 18 years,0.0,16.8,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,7.0,"Percent of children, crude",1,Total,0.0,Under 18 years,66.0,2011-2013,30.0,Under 18 years,0.0,16.5,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,75.0,"Percent of children, crude",1,Toatl,0.0,Under 18 years,32.0,2012-2014,68.0,Under 18 years,0.0,16.0,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,65.0,"Percent of children, crude",1,otal,0.0,Under 18 years,39.0,2013-2015,44.0,Under 18 years,0.0,15.6,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,61.0,"Percent of children, crude",1,otal,0.0,Under 18 years,32.0,2014-2016,97.0,Under 18 years,0.0,15.1,0.3,*
Health conditions among children under age 18,Hay fever or respiratory allergy among persons under 18 years,12.0,"Percent of children, crude",1,Ttoal,0.0,Under 18 years,64.0,2015-2017,13.0,Under 18 years,0.0,15.2,0.3,*
