agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
1000.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,220,Drug Abuse Ed & Treatment Fund,"TITLE 63, SECTION 2-503.2",2011,7,$222478.30
700.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,230,Capital Outlay Fund,"TITLE 43A, SEC. 2-107",2011,7,$332249.73
4000.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,240,Group Housing Loan Rev. Fund,"TITLE 62, SEC 34.9",2011,7,$63933.53
1000.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,245,Comm-Based Substance Abuse Rev,"TITLE 43A, SEC. 2-311",2011,7,$509303.88
16000.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,250,Prevention of Youth Access to,,2011,7,$31891.89
1000.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,260,MAC Disallowance Fund,,2011,7,$1477735.31
1000.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,300,Tobacco Settlement Fund,"TITLE 62, SECTION 50",2011,7,$0.00
1000.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,340,CMIA Programs Disbursing Fund,"TITLE 62, SECTIONS 34.48 AND 34.9",2011,7,$103784.43
2500.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,405,Fed Library Fund Title Iv-A,"TITLE 62, SEC. 41.8 AND TITLE 43A, SEC. 2-105",2011,7,$0.00
1000.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,410,Federal Funds,"TITLE 62, SECTIONS 34.48 AND 34.9",2011,7,$1099390.13
45200.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,440,Federal Funds,"TITLE 62, SECTIONS 34.48 AND 34.9",2011,7,$27169.17
1000.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,442,Interagency Reimbursement Fund,"TITLE 43A, SEC. 2-310",2011,7,$383198.48
1100.0,MENTAL HEALTH AND SUBSTANCE ABUSE SERV.,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.9 & 34.48",2011,7,$0.00
10000.0,ROGERS STATE UNIVERSITY,290,Edu & Gen Oper Rev Fund,"TITLE 70, SEC. 3901",2011,7,$6936512.96
1600.0,ROGERS STATE UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$1429204.52
1300.0,ROGERS STATE UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$819139.32
700.0,ROGERS STATE UNIVERSITY,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2011,7,$0.00
1000.0,ROGERS STATE UNIVERSITY,460,Donation Fund For Cap Improve,"TITLE 70, SECTION 3305F",2011,7,$1553.97
1000.0,ROGERS STATE UNIVERSITY,479,Capital Bond Projects,,2011,7,$0.00
1100.0,ROGERS STATE UNIVERSITY,480,2007 Student Facility Rev Bond,,2011,7,$0.00
1100.0,ROGERS STATE UNIVERSITY,490,American Recov. & Reinv. Act,,2011,7,$0.00
1000.0,MURRAY STATE COLLEGE,290,Edu & Gen Op Revolv Fund,"TITLE 70, SEC. 3901",2011,7,$5756551.32
1600.0,MURRAY STATE COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$740410.41
2500.0,MURRAY STATE COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$87507.35
10500.0,MURRAY STATE COLLEGE,444,Auxiliary Travel & Payroll,"TITLE 62, SEC. 7.5",2011,7,$30.00
1000.0,MURRAY STATE COLLEGE,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2011,7,$0.10
1300.0,MURRAY STATE COLLEGE,479,Capital Bond Projects,,2011,7,$0.00
1000.0,MURRAY STATE COLLEGE,490,American Recov. & Reinv. Act,,2011,7,$0.00
1000.0,OKLA. MOTOR VEHICLE COMM.,200,Revolving Fund,"TITLE 62, SEC. 155",2011,7,$602654.65
26500.0,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,210,Bureau Of Narcotics Rev Fund,"TITLE 63, SEC. 2-107",2011,7,$3551735.61
1000.0,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,215,Narcotics Drug Education Rev F,,2011,7,$52376.95
