objectid(long),cyclevalue(long),id_three_zero_five_b,namevalue,locationvalue,milessquare(double precision),marineaquaticlife,recreation,fishconsumption,shellfish,shape_length(double precision),shape_area(double precision)
10.0,2008,CT-E1_017,"LIS CB Inner - Inner Branford Harbor, Branford","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Goshen Cove from outlet at Goshen Point (Includes western side of Harkness Memorial State Park), US to Saltwater limit at Route 213 crossing, Waterford.",0.31409882,Insufficient Information,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,16372.4488744129,4374296.52055561
12.0,2008,CT-C1_018-SB,"LIS WB Inner - Black Rock Harbor, Bridgeport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth near South Benson Road, US to saltwater limit at I95, Fairfield/Bridgeport.",0.06301777,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,16372.4488744129,1226893.42780065
13.0,2008,CT-W1_007,"LIS EB Inner - Beebe Cove (Mystic Harbor), Groton","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Goshen Cove from outlet at Goshen Point (Includes western side of Harkness Memorial State Park), US to Saltwater limit at Route 213 crossing, Waterford.",0.06301777,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,17920.6845387681,1756834.61613291
17.0,2008,CT-W1_006,"LIS WB Inner - Mill River, Fairfield","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth at Fayerweather Island area, US to saltwater limit at I95 (includes Burr Creek, Cedar Creek, all SB water of Harbor area), Bridgeport.",0.06301777,Not Supporting,Not Supporting,Not Supporting,Not Supporting Harvesting for Direct Consumption,22885.8049632469,1756834.61613291
15.0,2008,CT-W1_006,"LIS WB Inner - Saugatuck River (mouth), Westport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Saugatuck River Estuary (at Bluff Point across to Owenoke), US to RR crossing, DS of I95 crossing (includes Kitts Island, Burritt Cove), Westport.",0.06301777,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,17920.6845387681,1756834.61613291
16.0,2008,CT-W1_014-SB,"LIS WB Inner - Saugatuck River (mouth), Westport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Harbor (Butlers Island to Roton Point), US to saltwater limit at Cudlipp Street Crossing (Route 136), Norwalk.",0.15690629,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,16954.2219209858,1756834.61613291
17.0,2008,CT-W1_017-SB,"LIS EB Inner - Black Hall River (upper), Old Lyme","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Harbor (Davenport Point to Shippan Point), up to Cook Road and across to Yacht Club, Stamford.",0.43553692,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,16857.7380421662,17774190.9364025
18.0,2008,CT-W1_021-SB,"LIS WB Inner - Greenwich Harbor, Greenwich","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Greenwich Harbor (Round Island to Smith Cove), US to saltwater limit just below I95 (mouth of Horseneck Brook), Greenwich.",0.10355516,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,16954.2219209858,1756834.61613291
17.0,2008,CT-E1_001-SB,"LIS EB Inner - Pawcatuck River (01), Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary in Pawcatuck River from Stanton Weir Point US to Saltwater limit, parallel to RR and Mechanic Street, Clarks Village, (Stonington).",0.10260275,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,18240.6604460157,2860400.67157374
20.0,2008,CT-E1_002-SB,"LIS EB Inner - Pawcatuck River (02), Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary in Pawcatuck River from mouth at Pawcatuck Point, US to Stanton Weir Point.",0.31280284,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,34675.4515805169,8720442.76308569
21.0,2008,CT-E1_005,"LIS EB Inner - Inner Stonongton Harbor, Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Inner Stonington Harbor from SB/SA water quality boundary at RR crossing, US to Saltwater limit near Route 1 crossing, Stonington.",0.22608703,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,26569.7945215565,6302944.70794886
