UK_CSV0000000000004306::0::survey_name,UK_CSV0000000000004306::1::start_date,UK_CSV0000000000004306::2::end_date,UK_CSV0000000000004306::3::species,UK_CSV0000000000004306::4::sample_key,UK_CSV0000000000004306::5::record_key,UK_CSV0000000000004306::6::uncertain,UK_CSV0000000000004306::7::latitude,UK_CSV0000000000004306::8::data_type,UK_CSV0000000000004306::9::projection,UK_CSV0000000000004306::10::longitude
UK_CSV0000000000004306 § 0 § 10,UK_CSV0000000000004306 § 1 § 10,UK_CSV0000000000004306 § 2 § 10,UK_CSV0000000000004306 § 3 § 10,UK_CSV0000000000004306 § 4 § 10,UK_CSV0000000000004306 § 5 § 10,UK_CSV0000000000004306 § 6 § 10,UK_CSV0000000000004306 § 7 § 10,UK_CSV0000000000004306 § 8 § 10,UK_CSV0000000000004306 § 9 § 10,UK_CSV0000000000004306 § 10 § 10
UK_CSV0000000000004306 § 0 § 11,UK_CSV0000000000004306 § 1 § 11,UK_CSV0000000000004306 § 2 § 11,UK_CSV0000000000004306 § 3 § 11,UK_CSV0000000000004306 § 4 § 11,UK_CSV0000000000004306 § 5 § 11,UK_CSV0000000000004306 § 6 § 11,UK_CSV0000000000004306 § 7 § 11,UK_CSV0000000000004306 § 8 § 11,UK_CSV0000000000004306 § 9 § 11,UK_CSV0000000000004306 § 10 § 11
UK_CSV0000000000004306 § 0 § 12,UK_CSV0000000000004306 § 1 § 12,UK_CSV0000000000004306 § 2 § 12,UK_CSV0000000000004306 § 3 § 12,UK_CSV0000000000004306 § 4 § 12,UK_CSV0000000000004306 § 5 § 12,UK_CSV0000000000004306 § 6 § 12,UK_CSV0000000000004306 § 7 § 12,UK_CSV0000000000004306 § 8 § 12,UK_CSV0000000000004306 § 9 § 12,UK_CSV0000000000004306 § 10 § 12
UK_CSV0000000000004306 § 0 § 13,UK_CSV0000000000004306 § 1 § 13,UK_CSV0000000000004306 § 2 § 13,UK_CSV0000000000004306 § 3 § 13,UK_CSV0000000000004306 § 4 § 13,UK_CSV0000000000004306 § 5 § 13,UK_CSV0000000000004306 § 6 § 13,UK_CSV0000000000004306 § 7 § 13,UK_CSV0000000000004306 § 8 § 13,UK_CSV0000000000004306 § 9 § 13,UK_CSV0000000000004306 § 10 § 13
UK_CSV0000000000004306 § 0 § 14,UK_CSV0000000000004306 § 1 § 14,UK_CSV0000000000004306 § 2 § 14,UK_CSV0000000000004306 § 3 § 14,UK_CSV0000000000004306 § 4 § 14,UK_CSV0000000000004306 § 5 § 14,UK_CSV0000000000004306 § 6 § 14,UK_CSV0000000000004306 § 7 § 14,UK_CSV0000000000004306 § 8 § 14,UK_CSV0000000000004306 § 9 § 14,UK_CSV0000000000004306 § 10 § 14
UK_CSV0000000000004306 § 0 § 15,UK_CSV0000000000004306 § 1 § 15,UK_CSV0000000000004306 § 2 § 15,UK_CSV0000000000004306 § 3 § 15,UK_CSV0000000000004306 § 4 § 15,UK_CSV0000000000004306 § 5 § 15,UK_CSV0000000000004306 § 6 § 15,UK_CSV0000000000004306 § 7 § 15,UK_CSV0000000000004306 § 8 § 15,UK_CSV0000000000004306 § 9 § 15,UK_CSV0000000000004306 § 10 § 15
UK_CSV0000000000004306 § 0 § 16,UK_CSV0000000000004306 § 1 § 16,UK_CSV0000000000004306 § 2 § 16,UK_CSV0000000000004306 § 3 § 16,UK_CSV0000000000004306 § 4 § 16,UK_CSV0000000000004306 § 5 § 16,UK_CSV0000000000004306 § 6 § 16,UK_CSV0000000000004306 § 7 § 16,UK_CSV0000000000004306 § 8 § 16,UK_CSV0000000000004306 § 9 § 16,UK_CSV0000000000004306 § 10 § 16
UK_CSV0000000000004306 § 0 § 17,UK_CSV0000000000004306 § 1 § 17,UK_CSV0000000000004306 § 2 § 17,UK_CSV0000000000004306 § 3 § 17,UK_CSV0000000000004306 § 4 § 17,UK_CSV0000000000004306 § 5 § 17,UK_CSV0000000000004306 § 6 § 17,UK_CSV0000000000004306 § 7 § 17,UK_CSV0000000000004306 § 8 § 17,UK_CSV0000000000004306 § 9 § 17,UK_CSV0000000000004306 § 10 § 17
UK_CSV0000000000004306 § 0 § 18,UK_CSV0000000000004306 § 1 § 18,UK_CSV0000000000004306 § 2 § 18,UK_CSV0000000000004306 § 3 § 18,UK_CSV0000000000004306 § 4 § 18,UK_CSV0000000000004306 § 5 § 18,UK_CSV0000000000004306 § 6 § 18,UK_CSV0000000000004306 § 7 § 18,UK_CSV0000000000004306 § 8 § 18,UK_CSV0000000000004306 § 9 § 18,UK_CSV0000000000004306 § 10 § 18
UK_CSV0000000000004306 § 0 § 19,UK_CSV0000000000004306 § 1 § 19,UK_CSV0000000000004306 § 2 § 19,UK_CSV0000000000004306 § 3 § 19,UK_CSV0000000000004306 § 4 § 19,UK_CSV0000000000004306 § 5 § 19,UK_CSV0000000000004306 § 6 § 19,UK_CSV0000000000004306 § 7 § 19,UK_CSV0000000000004306 § 8 § 19,UK_CSV0000000000004306 § 9 § 19,UK_CSV0000000000004306 § 10 § 19
UK_CSV0000000000004306 § 0 § 20,UK_CSV0000000000004306 § 1 § 20,UK_CSV0000000000004306 § 2 § 20,UK_CSV0000000000004306 § 3 § 20,UK_CSV0000000000004306 § 4 § 20,UK_CSV0000000000004306 § 5 § 20,UK_CSV0000000000004306 § 6 § 20,UK_CSV0000000000004306 § 7 § 20,UK_CSV0000000000004306 § 8 § 20,UK_CSV0000000000004306 § 9 § 20,UK_CSV0000000000004306 § 10 § 20
UK_CSV0000000000004306 § 0 § 21,UK_CSV0000000000004306 § 1 § 21,UK_CSV0000000000004306 § 2 § 21,UK_CSV0000000000004306 § 3 § 21,UK_CSV0000000000004306 § 4 § 21,UK_CSV0000000000004306 § 5 § 21,UK_CSV0000000000004306 § 6 § 21,UK_CSV0000000000004306 § 7 § 21,UK_CSV0000000000004306 § 8 § 21,UK_CSV0000000000004306 § 9 § 21,UK_CSV0000000000004306 § 10 § 21
UK_CSV0000000000004306 § 0 § 22,UK_CSV0000000000004306 § 1 § 22,UK_CSV0000000000004306 § 2 § 22,UK_CSV0000000000004306 § 3 § 22,UK_CSV0000000000004306 § 4 § 22,UK_CSV0000000000004306 § 5 § 22,UK_CSV0000000000004306 § 6 § 22,UK_CSV0000000000004306 § 7 § 22,UK_CSV0000000000004306 § 8 § 22,UK_CSV0000000000004306 § 9 § 22,UK_CSV0000000000004306 § 10 § 22
UK_CSV0000000000004306 § 0 § 23,UK_CSV0000000000004306 § 1 § 23,UK_CSV0000000000004306 § 2 § 23,UK_CSV0000000000004306 § 3 § 23,UK_CSV0000000000004306 § 4 § 23,UK_CSV0000000000004306 § 5 § 23,UK_CSV0000000000004306 § 6 § 23,UK_CSV0000000000004306 § 7 § 23,UK_CSV0000000000004306 § 8 § 23,UK_CSV0000000000004306 § 9 § 23,UK_CSV0000000000004306 § 10 § 23
UK_CSV0000000000004306 § 0 § 24,UK_CSV0000000000004306 § 1 § 24,UK_CSV0000000000004306 § 2 § 24,UK_CSV0000000000004306 § 3 § 24,UK_CSV0000000000004306 § 4 § 24,UK_CSV0000000000004306 § 5 § 24,UK_CSV0000000000004306 § 6 § 24,UK_CSV0000000000004306 § 7 § 24,UK_CSV0000000000004306 § 8 § 24,UK_CSV0000000000004306 § 9 § 24,UK_CSV0000000000004306 § 10 § 24
UK_CSV0000000000004306 § 0 § 25,UK_CSV0000000000004306 § 1 § 25,UK_CSV0000000000004306 § 2 § 25,UK_CSV0000000000004306 § 3 § 25,UK_CSV0000000000004306 § 4 § 25,UK_CSV0000000000004306 § 5 § 25,UK_CSV0000000000004306 § 6 § 25,UK_CSV0000000000004306 § 7 § 25,UK_CSV0000000000004306 § 8 § 25,UK_CSV0000000000004306 § 9 § 25,UK_CSV0000000000004306 § 10 § 25
UK_CSV0000000000004306 § 0 § 26,UK_CSV0000000000004306 § 1 § 26,UK_CSV0000000000004306 § 2 § 26,UK_CSV0000000000004306 § 3 § 26,UK_CSV0000000000004306 § 4 § 26,UK_CSV0000000000004306 § 5 § 26,UK_CSV0000000000004306 § 6 § 26,UK_CSV0000000000004306 § 7 § 26,UK_CSV0000000000004306 § 8 § 26,UK_CSV0000000000004306 § 9 § 26,UK_CSV0000000000004306 § 10 § 26
UK_CSV0000000000004306 § 0 § 27,UK_CSV0000000000004306 § 1 § 27,UK_CSV0000000000004306 § 2 § 27,UK_CSV0000000000004306 § 3 § 27,UK_CSV0000000000004306 § 4 § 27,UK_CSV0000000000004306 § 5 § 27,UK_CSV0000000000004306 § 6 § 27,UK_CSV0000000000004306 § 7 § 27,UK_CSV0000000000004306 § 8 § 27,UK_CSV0000000000004306 § 9 § 27,UK_CSV0000000000004306 § 10 § 27
UK_CSV0000000000004306 § 0 § 28,UK_CSV0000000000004306 § 1 § 28,UK_CSV0000000000004306 § 2 § 28,UK_CSV0000000000004306 § 3 § 28,UK_CSV0000000000004306 § 4 § 28,UK_CSV0000000000004306 § 5 § 28,UK_CSV0000000000004306 § 6 § 28,UK_CSV0000000000004306 § 7 § 28,UK_CSV0000000000004306 § 8 § 28,UK_CSV0000000000004306 § 9 § 28,UK_CSV0000000000004306 § 10 § 28
UK_CSV0000000000004306 § 0 § 29,UK_CSV0000000000004306 § 1 § 29,UK_CSV0000000000004306 § 2 § 29,UK_CSV0000000000004306 § 3 § 29,UK_CSV0000000000004306 § 4 § 29,UK_CSV0000000000004306 § 5 § 29,UK_CSV0000000000004306 § 6 § 29,UK_CSV0000000000004306 § 7 § 29,UK_CSV0000000000004306 § 8 § 29,UK_CSV0000000000004306 § 9 § 29,UK_CSV0000000000004306 § 10 § 29
UK_CSV0000000000004306 § 0 § 30,UK_CSV0000000000004306 § 1 § 30,UK_CSV0000000000004306 § 2 § 30,UK_CSV0000000000004306 § 3 § 30,UK_CSV0000000000004306 § 4 § 30,UK_CSV0000000000004306 § 5 § 30,UK_CSV0000000000004306 § 6 § 30,UK_CSV0000000000004306 § 7 § 30,UK_CSV0000000000004306 § 8 § 30,UK_CSV0000000000004306 § 9 § 30,UK_CSV0000000000004306 § 10 § 30
UK_CSV0000000000004306 § 0 § 31,UK_CSV0000000000004306 § 1 § 31,UK_CSV0000000000004306 § 2 § 31,UK_CSV0000000000004306 § 3 § 31,UK_CSV0000000000004306 § 4 § 31,UK_CSV0000000000004306 § 5 § 31,UK_CSV0000000000004306 § 6 § 31,UK_CSV0000000000004306 § 7 § 31,UK_CSV0000000000004306 § 8 § 31,UK_CSV0000000000004306 § 9 § 31,UK_CSV0000000000004306 § 10 § 31
UK_CSV0000000000004306 § 0 § 32,UK_CSV0000000000004306 § 1 § 32,UK_CSV0000000000004306 § 2 § 32,UK_CSV0000000000004306 § 3 § 32,UK_CSV0000000000004306 § 4 § 32,UK_CSV0000000000004306 § 5 § 32,UK_CSV0000000000004306 § 6 § 32,UK_CSV0000000000004306 § 7 § 32,UK_CSV0000000000004306 § 8 § 32,UK_CSV0000000000004306 § 9 § 32,UK_CSV0000000000004306 § 10 § 32
UK_CSV0000000000004306 § 0 § 33,UK_CSV0000000000004306 § 1 § 33,UK_CSV0000000000004306 § 2 § 33,UK_CSV0000000000004306 § 3 § 33,UK_CSV0000000000004306 § 4 § 33,UK_CSV0000000000004306 § 5 § 33,UK_CSV0000000000004306 § 6 § 33,UK_CSV0000000000004306 § 7 § 33,UK_CSV0000000000004306 § 8 § 33,UK_CSV0000000000004306 § 9 § 33,UK_CSV0000000000004306 § 10 § 33
UK_CSV0000000000004306 § 0 § 34,UK_CSV0000000000004306 § 1 § 34,UK_CSV0000000000004306 § 2 § 34,UK_CSV0000000000004306 § 3 § 34,UK_CSV0000000000004306 § 4 § 34,UK_CSV0000000000004306 § 5 § 34,UK_CSV0000000000004306 § 6 § 34,UK_CSV0000000000004306 § 7 § 34,UK_CSV0000000000004306 § 8 § 34,UK_CSV0000000000004306 § 9 § 34,UK_CSV0000000000004306 § 10 § 34
UK_CSV0000000000004306 § 0 § 35,UK_CSV0000000000004306 § 1 § 35,UK_CSV0000000000004306 § 2 § 35,UK_CSV0000000000004306 § 3 § 35,UK_CSV0000000000004306 § 4 § 35,UK_CSV0000000000004306 § 5 § 35,UK_CSV0000000000004306 § 6 § 35,UK_CSV0000000000004306 § 7 § 35,UK_CSV0000000000004306 § 8 § 35,UK_CSV0000000000004306 § 9 § 35,UK_CSV0000000000004306 § 10 § 35
UK_CSV0000000000004306 § 0 § 36,UK_CSV0000000000004306 § 1 § 36,UK_CSV0000000000004306 § 2 § 36,UK_CSV0000000000004306 § 3 § 36,UK_CSV0000000000004306 § 4 § 36,UK_CSV0000000000004306 § 5 § 36,UK_CSV0000000000004306 § 6 § 36,UK_CSV0000000000004306 § 7 § 36,UK_CSV0000000000004306 § 8 § 36,UK_CSV0000000000004306 § 9 § 36,UK_CSV0000000000004306 § 10 § 36
UK_CSV0000000000004306 § 0 § 37,UK_CSV0000000000004306 § 1 § 37,UK_CSV0000000000004306 § 2 § 37,UK_CSV0000000000004306 § 3 § 37,UK_CSV0000000000004306 § 4 § 37,UK_CSV0000000000004306 § 5 § 37,UK_CSV0000000000004306 § 6 § 37,UK_CSV0000000000004306 § 7 § 37,UK_CSV0000000000004306 § 8 § 37,UK_CSV0000000000004306 § 9 § 37,UK_CSV0000000000004306 § 10 § 37
UK_CSV0000000000004306 § 0 § 38,UK_CSV0000000000004306 § 1 § 38,UK_CSV0000000000004306 § 2 § 38,UK_CSV0000000000004306 § 3 § 38,UK_CSV0000000000004306 § 4 § 38,UK_CSV0000000000004306 § 5 § 38,UK_CSV0000000000004306 § 6 § 38,UK_CSV0000000000004306 § 7 § 38,UK_CSV0000000000004306 § 8 § 38,UK_CSV0000000000004306 § 9 § 38,UK_CSV0000000000004306 § 10 § 38
UK_CSV0000000000004306 § 0 § 39,UK_CSV0000000000004306 § 1 § 39,UK_CSV0000000000004306 § 2 § 39,UK_CSV0000000000004306 § 3 § 39,UK_CSV0000000000004306 § 4 § 39,UK_CSV0000000000004306 § 5 § 39,UK_CSV0000000000004306 § 6 § 39,UK_CSV0000000000004306 § 7 § 39,UK_CSV0000000000004306 § 8 § 39,UK_CSV0000000000004306 § 9 § 39,UK_CSV0000000000004306 § 10 § 39
UK_CSV0000000000004306 § 0 § 40,UK_CSV0000000000004306 § 1 § 40,UK_CSV0000000000004306 § 2 § 40,UK_CSV0000000000004306 § 3 § 40,UK_CSV0000000000004306 § 4 § 40,UK_CSV0000000000004306 § 5 § 40,UK_CSV0000000000004306 § 6 § 40,UK_CSV0000000000004306 § 7 § 40,UK_CSV0000000000004306 § 8 § 40,UK_CSV0000000000004306 § 9 § 40,UK_CSV0000000000004306 § 10 § 40
UK_CSV0000000000004306 § 0 § 41,UK_CSV0000000000004306 § 1 § 41,UK_CSV0000000000004306 § 2 § 41,UK_CSV0000000000004306 § 3 § 41,UK_CSV0000000000004306 § 4 § 41,UK_CSV0000000000004306 § 5 § 41,UK_CSV0000000000004306 § 6 § 41,UK_CSV0000000000004306 § 7 § 41,UK_CSV0000000000004306 § 8 § 41,UK_CSV0000000000004306 § 9 § 41,UK_CSV0000000000004306 § 10 § 41
UK_CSV0000000000004306 § 0 § 42,UK_CSV0000000000004306 § 1 § 42,UK_CSV0000000000004306 § 2 § 42,UK_CSV0000000000004306 § 3 § 42,UK_CSV0000000000004306 § 4 § 42,UK_CSV0000000000004306 § 5 § 42,UK_CSV0000000000004306 § 6 § 42,UK_CSV0000000000004306 § 7 § 42,UK_CSV0000000000004306 § 8 § 42,UK_CSV0000000000004306 § 9 § 42,UK_CSV0000000000004306 § 10 § 42
UK_CSV0000000000004306 § 0 § 43,UK_CSV0000000000004306 § 1 § 43,UK_CSV0000000000004306 § 2 § 43,UK_CSV0000000000004306 § 3 § 43,UK_CSV0000000000004306 § 4 § 43,UK_CSV0000000000004306 § 5 § 43,UK_CSV0000000000004306 § 6 § 43,UK_CSV0000000000004306 § 7 § 43,UK_CSV0000000000004306 § 8 § 43,UK_CSV0000000000004306 § 9 § 43,UK_CSV0000000000004306 § 10 § 43
UK_CSV0000000000004306 § 0 § 44,UK_CSV0000000000004306 § 1 § 44,UK_CSV0000000000004306 § 2 § 44,UK_CSV0000000000004306 § 3 § 44,UK_CSV0000000000004306 § 4 § 44,UK_CSV0000000000004306 § 5 § 44,UK_CSV0000000000004306 § 6 § 44,UK_CSV0000000000004306 § 7 § 44,UK_CSV0000000000004306 § 8 § 44,UK_CSV0000000000004306 § 9 § 44,UK_CSV0000000000004306 § 10 § 44
UK_CSV0000000000004306 § 0 § 45,UK_CSV0000000000004306 § 1 § 45,UK_CSV0000000000004306 § 2 § 45,UK_CSV0000000000004306 § 3 § 45,UK_CSV0000000000004306 § 4 § 45,UK_CSV0000000000004306 § 5 § 45,UK_CSV0000000000004306 § 6 § 45,UK_CSV0000000000004306 § 7 § 45,UK_CSV0000000000004306 § 8 § 45,UK_CSV0000000000004306 § 9 § 45,UK_CSV0000000000004306 § 10 § 45
UK_CSV0000000000004306 § 0 § 46,UK_CSV0000000000004306 § 1 § 46,UK_CSV0000000000004306 § 2 § 46,UK_CSV0000000000004306 § 3 § 46,UK_CSV0000000000004306 § 4 § 46,UK_CSV0000000000004306 § 5 § 46,UK_CSV0000000000004306 § 6 § 46,UK_CSV0000000000004306 § 7 § 46,UK_CSV0000000000004306 § 8 § 46,UK_CSV0000000000004306 § 9 § 46,UK_CSV0000000000004306 § 10 § 46
UK_CSV0000000000004306 § 0 § 47,UK_CSV0000000000004306 § 1 § 47,UK_CSV0000000000004306 § 2 § 47,UK_CSV0000000000004306 § 3 § 47,UK_CSV0000000000004306 § 4 § 47,UK_CSV0000000000004306 § 5 § 47,UK_CSV0000000000004306 § 6 § 47,UK_CSV0000000000004306 § 7 § 47,UK_CSV0000000000004306 § 8 § 47,UK_CSV0000000000004306 § 9 § 47,UK_CSV0000000000004306 § 10 § 47
UK_CSV0000000000004306 § 0 § 48,UK_CSV0000000000004306 § 1 § 48,UK_CSV0000000000004306 § 2 § 48,UK_CSV0000000000004306 § 3 § 48,UK_CSV0000000000004306 § 4 § 48,UK_CSV0000000000004306 § 5 § 48,UK_CSV0000000000004306 § 6 § 48,UK_CSV0000000000004306 § 7 § 48,UK_CSV0000000000004306 § 8 § 48,UK_CSV0000000000004306 § 9 § 48,UK_CSV0000000000004306 § 10 § 48
UK_CSV0000000000004306 § 0 § 49,UK_CSV0000000000004306 § 1 § 49,UK_CSV0000000000004306 § 2 § 49,UK_CSV0000000000004306 § 3 § 49,UK_CSV0000000000004306 § 4 § 49,UK_CSV0000000000004306 § 5 § 49,UK_CSV0000000000004306 § 6 § 49,UK_CSV0000000000004306 § 7 § 49,UK_CSV0000000000004306 § 8 § 49,UK_CSV0000000000004306 § 9 § 49,UK_CSV0000000000004306 § 10 § 49
UK_CSV0000000000004306 § 0 § 50,UK_CSV0000000000004306 § 1 § 50,UK_CSV0000000000004306 § 2 § 50,UK_CSV0000000000004306 § 3 § 50,UK_CSV0000000000004306 § 4 § 50,UK_CSV0000000000004306 § 5 § 50,UK_CSV0000000000004306 § 6 § 50,UK_CSV0000000000004306 § 7 § 50,UK_CSV0000000000004306 § 8 § 50,UK_CSV0000000000004306 § 9 § 50,UK_CSV0000000000004306 § 10 § 50
UK_CSV0000000000004306 § 0 § 51,UK_CSV0000000000004306 § 1 § 51,UK_CSV0000000000004306 § 2 § 51,UK_CSV0000000000004306 § 3 § 51,UK_CSV0000000000004306 § 4 § 51,UK_CSV0000000000004306 § 5 § 51,UK_CSV0000000000004306 § 6 § 51,UK_CSV0000000000004306 § 7 § 51,UK_CSV0000000000004306 § 8 § 51,UK_CSV0000000000004306 § 9 § 51,UK_CSV0000000000004306 § 10 § 51
UK_CSV0000000000004306 § 0 § 52,UK_CSV0000000000004306 § 1 § 52,UK_CSV0000000000004306 § 2 § 52,UK_CSV0000000000004306 § 3 § 52,UK_CSV0000000000004306 § 4 § 52,UK_CSV0000000000004306 § 5 § 52,UK_CSV0000000000004306 § 6 § 52,UK_CSV0000000000004306 § 7 § 52,UK_CSV0000000000004306 § 8 § 52,UK_CSV0000000000004306 § 9 § 52,UK_CSV0000000000004306 § 10 § 52
UK_CSV0000000000004306 § 0 § 53,UK_CSV0000000000004306 § 1 § 53,UK_CSV0000000000004306 § 2 § 53,UK_CSV0000000000004306 § 3 § 53,UK_CSV0000000000004306 § 4 § 53,UK_CSV0000000000004306 § 5 § 53,UK_CSV0000000000004306 § 6 § 53,UK_CSV0000000000004306 § 7 § 53,UK_CSV0000000000004306 § 8 § 53,UK_CSV0000000000004306 § 9 § 53,UK_CSV0000000000004306 § 10 § 53
UK_CSV0000000000004306 § 0 § 54,UK_CSV0000000000004306 § 1 § 54,UK_CSV0000000000004306 § 2 § 54,UK_CSV0000000000004306 § 3 § 54,UK_CSV0000000000004306 § 4 § 54,UK_CSV0000000000004306 § 5 § 54,UK_CSV0000000000004306 § 6 § 54,UK_CSV0000000000004306 § 7 § 54,UK_CSV0000000000004306 § 8 § 54,UK_CSV0000000000004306 § 9 § 54,UK_CSV0000000000004306 § 10 § 54
UK_CSV0000000000004306 § 0 § 55,UK_CSV0000000000004306 § 1 § 55,UK_CSV0000000000004306 § 2 § 55,UK_CSV0000000000004306 § 3 § 55,UK_CSV0000000000004306 § 4 § 55,UK_CSV0000000000004306 § 5 § 55,UK_CSV0000000000004306 § 6 § 55,UK_CSV0000000000004306 § 7 § 55,UK_CSV0000000000004306 § 8 § 55,UK_CSV0000000000004306 § 9 § 55,UK_CSV0000000000004306 § 10 § 55
UK_CSV0000000000004306 § 0 § 56,UK_CSV0000000000004306 § 1 § 56,UK_CSV0000000000004306 § 2 § 56,UK_CSV0000000000004306 § 3 § 56,UK_CSV0000000000004306 § 4 § 56,UK_CSV0000000000004306 § 5 § 56,UK_CSV0000000000004306 § 6 § 56,UK_CSV0000000000004306 § 7 § 56,UK_CSV0000000000004306 § 8 § 56,UK_CSV0000000000004306 § 9 § 56,UK_CSV0000000000004306 § 10 § 56
UK_CSV0000000000004306 § 0 § 57,UK_CSV0000000000004306 § 1 § 57,UK_CSV0000000000004306 § 2 § 57,UK_CSV0000000000004306 § 3 § 57,UK_CSV0000000000004306 § 4 § 57,UK_CSV0000000000004306 § 5 § 57,UK_CSV0000000000004306 § 6 § 57,UK_CSV0000000000004306 § 7 § 57,UK_CSV0000000000004306 § 8 § 57,UK_CSV0000000000004306 § 9 § 57,UK_CSV0000000000004306 § 10 § 57
