indicatorvalue,panel,panelnum,unit,unitnum,stubname,stubnamenum,stublabelnum,stublabel,yearvalue,yearnum,age,agenum,estimate,se,flagvalue
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,2001-2004,3.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,2003-2006,4.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,2005-2008,5.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,2007-2010,6.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,2009-2012,7.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,2011-2014,8.0,2-19 years,0.0,11.8,1.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,2013-2016,9.0,2-19 years,0.0,11.9,1.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.113,Male: Not Hispanic or Latino: Asian only,2015-2018,10.0,2-19 years,0.0,12.0,1.6,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.121,Male: Hispanic or Latino: All races,1988-1994,1.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.121,Male: Hispanic or Latino: All races,1999-2002,2.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.121,Male: Hispanic or Latino: All races,2001-2004,3.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.121,Male: Hispanic or Latino: All races,2003-2006,4.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.121,Male: Hispanic or Latino: All races,2005-2008,5.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.121,Male: Hispanic or Latino: All races,2007-2010,6.0,2-19 years,0.0,23.9,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.121,Male: Hispanic or Latino: All races,2009-2012,7.0,2-19 years,0.0,23.7,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.121,Male: Hispanic or Latino: All races,2011-2014,8.0,2-19 years,0.0,22.4,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.121,Male: Hispanic or Latino: All races,2013-2016,9.0,2-19 years,0.0,24.3,1.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.121,Male: Hispanic or Latino: All races,2015-2018,10.0,2-19 years,0.0,28.0,2.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,1988-1994,1.0,2-19 years,0.0,14.8,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,1999-2002,2.0,2-19 years,0.0,23.0,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,2001-2004,3.0,2-19 years,0.0,22.0,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,2003-2006,4.0,2-19 years,0.0,23.2,1.6,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,2005-2008,5.0,2-19 years,0.0,24.6,1.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,2007-2010,6.0,2-19 years,0.0,24.4,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,2009-2012,7.0,2-19 years,0.0,24.1,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,2011-2014,8.0,2-19 years,0.0,21.8,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,2013-2016,9.0,2-19 years,0.0,24.2,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,2015-2018,10.0,2-19 years,0.0,29.2,1.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,1988-1994,1.0,2-19 years,0.0,8.6,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,1999-2002,2.0,2-19 years,0.0,12.0,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2001-2004,3.0,2-19 years,0.0,13.8,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2003-2006,4.0,2-19 years,0.0,13.7,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2005-2008,5.0,2-19 years,0.0,13.6,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2007-2010,6.0,2-19 years,0.0,13.3,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2009-2012,7.0,2-19 years,0.0,13.6,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2011-2014,8.0,2-19 years,0.0,15.1,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2013-2016,9.0,2-19 years,0.0,14.1,1.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2015-2018,10.0,2-19 years,0.0,14.2,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,1988-1994,1.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,1999-2002,2.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2001-2004,3.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2003-2006,4.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2005-2008,5.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2007-2010,6.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2009-2012,7.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2011-2014,8.0,2-19 years,0.0,5.3,1.3,*
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2013-2016,9.0,2-19 years,0.0,7.4,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2015-2018,10.0,2-19 years,0.0,7.4,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.221,Female: Hispanic or Latino: All races,1988-1994,1.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.221,Female: Hispanic or Latino: All races,1999-2002,2.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.221,Female: Hispanic or Latino: All races,2001-2004,3.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.221,Female: Hispanic or Latino: All races,2003-2006,4.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.221,Female: Hispanic or Latino: All races,2005-2008,5.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.221,Female: Hispanic or Latino: All races,2007-2010,6.0,2-19 years,0.0,18.1,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.221,Female: Hispanic or Latino: All races,2009-2012,7.0,2-19 years,0.0,19.8,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.221,Female: Hispanic or Latino: All races,2011-2014,8.0,2-19 years,0.0,21.4,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.221,Female: Hispanic or Latino: All races,2013-2016,9.0,2-19 years,0.0,22.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.221,Female: Hispanic or Latino: All races,2015-2018,10.0,2-19 years,0.0,23.3,1.6,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,1988-1994,1.0,2-19 years,0.0,13.8,1.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,1999-2002,2.0,2-19 years,0.0,16.9,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2001-2004,3.0,2-19 years,0.0,16.5,1.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2003-2006,4.0,2-19 years,0.0,18.4,1.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2005-2008,5.0,2-19 years,0.0,18.5,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2007-2010,6.0,2-19 years,0.0,17.4,1.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2009-2012,7.0,2-19 years,0.0,19.6,1.5,-
