country,quartervalue,yearend,te_veneers,orgcode,cl_veneers,cl_endodontic,num_radiographs
England,3,2013,0.0,5NH,0.0,0.0,147.0
England,1,2012,0.0,5QP,0.0,66.0,1329.0
England,3,2011,0.0,5AT,0.0,4.0,782.0
England,4,2012,0.0,5A5,0.0,0.0,789.0
England,4,2011,99.02642114,5NJ,79.02108353,1182.094476,16472.05362
England,2,2011,0.0,5KG,0.0,36.01331361,688.2544379
England,2,2011,0.0,5QC,0.0,139.0097264,2658.185991
England,1,2011,66.0,5P6,56.0,505.0,3949.0
England,2,2011,0.0,TAL,0.0,17.00834971,278.1365422
England,4,2012,0.0,5N7,0.0,0.0,3362.166725
England,4,2011,0.0,5LD,0.0,0.0,356.0
England,1,2013,0.0,5NL,0.0,0.0,1343.0
England,1,2011,0.0,5FE,0.0,0.0,2445.0
England,1,2011,0.0,5M3,0.0,8.0,477.0
England,3,2012,0.0,5KM,0.0,358.9554148,4581.430949
England,1,2011,4.0,5P2,4.0,55.03945984,2630.39029
England,1,2011,0.0,5MX,0.0,334.0326076,4883.476716
England,4,2013,15.0,5PY,12.0,32.0,184.0
England,4,2011,0.0,5J4,0.0,0.0,1722.901689
England,4,2012,37.04630789,5C3,32.04005006,634.7625257,12325.80687
England,4,2012,77.03347826,5J6,59.02565217,719.270771,15006.70954
England,1,2011,11.0,5F5,8.0,18.0,45.0
England,2,2013,0.0,5QT,0.0,257.0,2108.0
England,4,2012,0.0,5QG,0.0,1.001411765,8396.837647
England,1,2013,0.0,5C3,0.0,335.0,4612.0
England,3,2013,0.0,5QC,0.0,26.0,359.0
England,2,2012,1.000655165,5QT,1.000655165,0.0,198.1297227
England,4,2012,53.0148314,5QQ,47.01315237,2700.341497,49674.4301
England,4,2013,48.0,5MD,45.0,1132.043157,19825.70622
England,2,2013,31.0,5J9,22.0,286.0,4852.0
England,4,2013,3.0,5QH,3.0,9.0,75.0
England,2,2011,0.0,5KG,0.0,0.0,613.0
England,4,2012,2.0,5N9,2.0,14.0,63.0
England,3,2012,12.0,5N8,6.0,107.0201783,2215.338141
England,2,2013,14.0,5PG,11.0,67.0,1517.0
England,4,2013,0.0,5F5,0.0,46.0,758.0
England,2,2012,0.0,5M8,0.0,2.0,1050.0
England,4,2013,0.0,5PT,0.0,70.0,1094.0
England,1,2011,0.0,5N4,0.0,1.0,138.0
England,4,2012,6.0,5MV,5.0,39.0212766,1148.70834
England,2,2013,3.0,5QT,3.0,0.0,5.0
England,2,2013,0.0,5KL,0.0,0.0,461.0
England,3,2012,45.01127537,5C1,39.00977199,497.1245302,3366.843398
England,3,2013,0.0,5P7,0.0,37.0,630.0
England,1,2012,2.0,5NN,2.0,32.0,1149.0
England,2,2012,0.0,5PX,0.0,8.0,1332.0
England,1,2011,0.0,5M3,0.0,327.0,4981.0
England,1,2012,0.0,5PG,0.0,0.0,78.0
England,3,2013,0.0,5P2,0.0,0.0,1323.084917
England,4,2011,4.0,TAP,3.0,40.0,911.0
England,3,2011,52.02649704,5M2,35.01771604,691.1268613,12181.36966
England,3,2011,0.0,5NM,0.0,0.0,4134.211664
England,4,2011,0.0,5N3,0.0,0.0,106.0
England,4,2013,33.0,5D8,30.0,674.0414031,11184.48967
England,1,2012,0.0,5QV,0.0,2057.045557,26569.58844
England,3,2013,0.0,5NF,0.0,0.0,61.0
England,3,2012,0.0,5H1,0.0,2.0,708.0
England,1,2011,0.0,5PN,0.0,42.0,327.0
England,2,2011,3.0,5QJ,3.0,21.0,62.0
England,4,2012,0.0,5NK,0.0,5.003381377,6741.556068
England,3,2011,0.0,5KM,0.0,1.0,47.0
England,1,2012,0.0,5.00E+01,0.0,380.0,4607.0
England,3,2011,1.000807047,5PT,1.000807047,1.000807047,11920.61273
England,1,2011,79.0,5PL,57.0,896.0,22408.0
England,3,2011,74.0,5NG,65.0,1192.000062,22657.53965
England,2,2013,6.0,5N9,5.0,10.0,61.0
England,2,2013,60.0,TAC,48.0,176.0,1538.0
England,4,2011,70.0,5PQ,54.0,481.0,4124.0
England,3,2012,0.0,5AT,0.0,0.0,721.0
England,2,2012,0.0,5A4,0.0,2.008571664,3174.547515
England,4,2011,0.0,5PC,0.0,0.0,368.0
England,3,2012,0.0,5K7,0.0,0.0,6458.627076
England,1,2011,9.0,5P6,8.0,22.0,100.0
England,1,2013,14.0,5JX,12.0,28.0,932.0
England,3,2011,5.0,5PR,5.0,34.0,936.0
England,4,2011,21.0,5C3,20.0,359.0,2698.0
England,2,2013,0.0,5K6,0.0,7.0,53.0
England,4,2012,11.01644245,TAL,8.011958147,366.1960539,9518.263628
England,3,2013,0.0,5L1,0.0,0.0,302.0
England,1,2011,0.0,5CQ,0.0,0.0,197.0195417
England,2,2013,1.0,5HY,1.0,53.0,2113.0
England,4,2013,0.0,5M8,0.0,31.0,1030.0
England,4,2012,0.0,5N2,0.0,0.0,1541.95561
England,2,2012,6.045801527,5QP,6.045801527,7.053435115,61.46564886
England,1,2012,41.01382799,5QK,34.01146712,215.0725127,1666.561889
England,3,2013,0.0,5J5,0.0,2.0,91.0
England,1,2013,5.0,5NW,4.0,44.0,1236.0
England,1,2012,0.0,5PE,0.0,0.0,676.0
England,4,2013,0.0,5P9,0.0,3.0,2277.0
England,2,2011,0.0,5KM,0.0,0.0,43.0
England,1,2011,0.0,5M1,0.0,568.0,6363.0
England,4,2012,0.0,5QF,0.0,48.0,844.0
England,3,2011,0.0,5JE,0.0,42.0,607.0
England,3,2013,0.0,5LH,0.0,7.0,1114.0
England,3,2012,0.0,5QM,0.0,1.0,67.0
England,4,2012,0.0,5LF,0.0,0.0,6036.151186
England,4,2011,5.0,5PR,4.0,44.0,930.0496894
England,4,2011,0.0,5QV,0.0,2258.133979,29049.72358
England,2,2011,4.0,5QM,4.0,55.0,1184.046645
England,2,2011,5.0,5NK,4.0,58.0101886,1664.22003
England,1,2012,0.0,5P5,0.0,4.0,3194.0
England,2,2012,0.0,5P8,0.0,1.0,546.0
England,4,2012,1.000296942,5N7,1.000296942,0.0,264.0783926
England,3,2013,0.0,5PV,0.0,550.0,7481.0
England,3,2013,0.0,5NM,0.0,552.0,8594.0
England,1,2012,0.0,5NJ,0.0,620.0916889,6590.974564
England,3,2011,0.0,5PW,0.0,1.0,1330.0
England,3,2011,0.0,5M3,0.0,6.0,531.0
England,4,2012,32.07816317,5M2,23.05617978,109.2662433,1044.545188
England,1,2012,0.0,5QM,0.0,0.0,706.0
England,4,2011,7.0,5M7,7.0,65.0,1847.0
England,2,2012,0.0,5.00E+01,0.0,0.0,82.0
England,4,2012,0.0,5QM,0.0,878.0438488,8416.005237
England,1,2013,84.0,5NY,66.0,277.0,2507.0
England,2,2012,4.097560976,5J6,4.097560976,49.24971439,1288.257632
England,1,2013,4.0,5H8,4.0,46.0,1244.0
England,4,2011,41.0,5QH,37.0,1169.364336,23096.75392
England,3,2013,3.0,5NN,2.0,5.0,39.0
England,2,2013,1.0,5QC,1.0,285.0,4407.0
England,3,2012,0.0,5NF,0.0,50.0,936.0
England,4,2011,0.0,5M1,0.0,1.0,33.0
England,4,2012,0.0,5PW,0.0,33.00888291,600.1615074
England,4,2011,0.0,5PQ,0.0,0.0,237.0
England,1,2012,0.0,5PY,0.0,3.0,1437.0
England,1,2013,0.0,5KF,0.0,14.0,487.0
England,2,2011,0.0,5PJ,0.0,0.0,366.0
England,4,2013,172.1006672,5NT,140.0819384,781.4570994,5891.446096
England,1,2011,63.0,5N9,56.0,267.0,1304.0
England,4,2012,31.0,5CN,22.0,555.1724047,8392.168572
England,4,2012,0.0,5C1,0.0,0.0,745.104123
England,2,2012,0.0,5D8,0.0,20.02928258,462.6764275
England,3,2012,0.0,5NF,0.0,647.2149359,7579.517109
England,4,2013,0.0,5N8,0.0,1.0,158.0
England,3,2011,118.0,5PK,89.0,1191.002894,20641.87225
England,2,2013,0.0,5NM,0.0,545.0,7516.0
England,3,2012,6.0,5NV,6.0,7.0,2000.0
England,2,2013,0.0,5C1,0.0,0.0,57.0
England,2,2011,82.0,5MD,72.0,1177.033923,17522.07094
England,2,2011,71.01402608,5PF,66.01303833,1004.167888,18683.01489
England,1,2013,0.0,5NG,0.0,5.0,113.0
England,4,2013,0.0,5MV,0.0,0.0,512.0
England,1,2013,47.0,5LH,28.0,695.0,13096.0
England,4,2013,0.0,5QF,0.0,4.0,11558.0
England,1,2013,31.0,5C5,28.0,1044.0,15467.0
England,1,2011,0.0,5QM,0.0,657.0,5163.0
England,2,2013,0.0,5KG,0.0,24.0,1257.0
England,4,2013,0.0,5M6,0.0,15.0,695.0
England,1,2011,31.00886221,5HY,29.00829045,963.1034877,17756.96398
England,1,2011,0.0,5F7,0.0,0.0,751.0
England,1,2011,0.0,5JX,0.0,2.0,3398.0
England,4,2011,0.0,5NR,0.0,2.0,57.0
England,3,2013,0.0,5PD,0.0,7.000731453,2476.258725
England,3,2011,0.0,5PH,0.0,0.0,315.077749
England,1,2013,0.0,5NT,0.0,1.0,919.0
England,4,2011,92.0,5N3,76.0,955.0,23117.28225
England,2,2011,0.0,5NK,0.0,727.0821005,9260.045624
England,4,2012,0.0,5D9,0.0,0.0,1554.457597
England,1,2012,0.0,5P7,0.0,35.0,557.0
England,4,2013,0.0,5F5,0.0,513.0,6426.0
England,1,2013,0.0,TAP,0.0,0.0,314.0
England,2,2013,0.0,5QV,0.0,2.0,3114.0
England,4,2011,0.0,5NH,0.0,851.1907751,11105.48904
England,3,2011,0.0,5F7,0.0,0.0,648.0569921
England,1,2011,0.0,5A3,0.0,0.0,381.0
England,2,2011,43.0748343,5P2,34.05895195,1299.30754,22827.66235
England,1,2011,0.0,5CN,0.0,23.0,396.0
England,4,2012,0.0,5J5,0.0,0.0,880.397974
England,2,2013,0.0,5M7,0.0,0.0,857.0
England,2,2013,4.0,5NK,3.0,1.0,35.0
England,3,2013,0.0,TAC,0.0,0.0,561.0
England,4,2011,92.02205526,5NY,83.01987397,1386.468521,26686.0405
England,4,2013,0.0,5N3,0.0,0.0,63.0
England,2,2013,11.0,5PA,10.0,76.00823681,2517.154955
England,4,2013,9.0,5EF,7.0,297.0,6148.0
England,4,2013,227.0753152,5PG,199.0660252,520.1725282,4474.484074
England,2,2012,0.0,5NK,0.0,2.0,92.0
England,3,2013,0.0,5QR,0.0,0.0,67.0
England,2,2011,0.0,5PM,0.0,0.0,872.0
England,1,2011,60.01092697,5PA,53.00965216,1257.156387,22666.47956
England,4,2011,0.0,5MV,0.0,0.0,422.0
England,4,2012,55.0,5LF,52.0,628.0,4507.0
England,3,2012,11.0,5NJ,9.0,15.0,50.0
England,2,2011,0.0,TAP,0.0,0.0,326.0
England,1,2013,27.0,5QW,26.0,85.0,1008.0
England,2,2011,2.0,5LD,2.0,22.0,117.0
England,3,2013,0.0,5GC,0.0,21.0,766.0
England,4,2011,1.0,5M6,1.0,2.0,20.0
England,3,2013,34.0,5J5,30.0,849.0,14827.0
England,2,2011,0.0,5NH,0.0,0.0,989.0708859
England,4,2012,0.0,5NA,0.0,2.000825878,506.208947
England,2,2013,2.0,5N7,2.0,7.0,30.0
England,2,2012,7.0,5PT,6.0,14.0,68.0
England,1,2011,0.0,5CN,0.0,3.0,999.0
England,2,2012,0.0,5A4,0.0,377.0397788,3787.444799
England,2,2011,2.000131605,5ND,2.000131605,1.000065803,7444.489834
England,2,2013,1.0,5QJ,1.0,14.0,54.0
England,4,2011,0.0,5PC,0.0,1.0,3625.0
England,1,2013,0.0,5PK,0.0,0.0,675.0
England,1,2013,30.0,5D8,28.0,579.0,10043.0
England,1,2013,37.0,5QL,35.0,1633.0,31555.0
England,3,2012,1.0,5GC,1.0,30.0,878.1034184
England,1,2011,60.01092697,5PA,53.00965216,324.0590057,2623.477691
England,2,2012,91.12896825,5NJ,72.10204082,986.967967,15783.05584
England,3,2011,0.0,5KL,0.0,665.1458547,6739.477848
England,4,2013,0.0,TAC,0.0,1.0,1094.0
England,2,2012,0.0,5N3,0.0,776.5984726,10034.65433
England,3,2011,0.0,5D7,0.0,663.0475303,8777.629221
England,1,2013,0.0,5N6,0.0,2.0,111.0
England,2,2012,0.0,5JE,0.0,0.0,63.0
England,1,2013,0.0,5QN,0.0,0.0,666.0
England,4,2013,27.0,5M2,25.0,122.0,1076.0
England,4,2013,56.0,5PC,52.0,763.0,15244.0
England,4,2012,0.0,5D9,0.0,0.0,140.0
England,2,2012,0.0,5QC,0.0,169.2807115,2546.222299
England,2,2011,0.0,5CQ,0.0,0.0,67.0
England,4,2012,0.0,5N9,0.0,1.0,199.0
England,1,2011,2.0,5QT,2.0,13.0,378.0
England,4,2011,0.0,5NP,0.0,65.0,877.0
England,1,2012,16.0,5HG,14.0,64.0,1606.0
England,1,2013,0.0,5M3,0.0,0.0,3664.0
England,2,2013,20.0,TAP,18.0,337.0,7847.0
England,2,2012,0.0,5EM,0.0,4.0,139.0
England,4,2012,0.0,5AT,0.0,0.0,5890.114503
England,3,2011,0.0,5NP,0.0,1.0,119.0
England,3,2013,0.0,5LH,0.0,39.0,652.0
England,1,2011,0.0,5J6,0.0,1.0,55.0
England,2,2013,0.0,5QV,0.0,45.0,5112.0
England,1,2011,22.0,5AT,21.0,736.0,16589.0
England,3,2012,0.0,5NG,0.0,53.04606292,946.8221797
England,4,2011,0.0,5QK,0.0,0.0,847.0493532
England,2,2012,0.0,5L1,0.0,0.0,3117.019924
England,3,2013,20.0,TAK,17.0,543.0,11825.0
England,2,2012,7.0,5D7,6.0,8.0,37.0
England,3,2011,1.0,5LC,1.0,0.0,4964.0
England,4,2013,0.0,5H8,0.0,0.0,52.0
England,3,2011,44.0,5KG,30.0,200.0,2263.0
England,3,2011,0.0,5PM,0.0,59.0,747.0
England,1,2011,95.0,5HG,81.0,223.0,1766.0
England,2,2011,1.0,5M3,1.0,2.0,3552.0
England,2,2012,0.0,5PH,0.0,0.0,296.4758842
England,2,2013,35.01046651,5C5,31.00927034,377.1127392,2419.723385
England,3,2012,0.0,5MD,0.0,0.0,489.0992188
England,4,2012,0.0,5NC,0.0,64.0,629.0
England,2,2013,1.0,5NN,1.0,29.0,515.0
England,2,2013,12.0,5QK,10.0,6.0,44.0
England,3,2012,0.0,5NW,0.0,527.2920361,6771.750475
England,4,2013,2.0,5N1,2.0,14.0,2385.0
England,4,2013,3.0,TAP,2.0,10.0,17.0
England,1,2012,19.0,TAN,14.0,48.0,401.0
England,3,2013,4.0,5QE,4.0,12.0,63.0
England,2,2011,14.0,5A3,13.0,70.0,818.0
England,4,2011,0.0,5QK,0.0,1.0,101.0
England,2,2011,0.0,5N8,0.0,1.000851789,104.088586
England,2,2011,0.0,5K7,0.0,340.0,5366.0
England,2,2011,0.0,5NV,0.0,0.0,2520.0847
England,2,2013,2.0,5N2,2.0,85.0,3504.0
England,3,2013,7.0,5QM,7.0,3.0,32.0
England,4,2013,0.0,5N4,0.0,0.0,903.0
England,2,2012,124.2565958,5QV,117.2420818,3475.788786,75538.48916
England,4,2013,1.0,5L3,1.0,0.0,5056.0
England,1,2011,0.0,5JX,0.0,0.0,321.0426069
England,4,2013,1.0,5LA,1.0,11.0,76.0
England,1,2013,0.0,5NK,0.0,0.0,584.0
England,1,2011,52.0,5LA,52.0,218.0,2062.0
England,4,2013,0.0,5J5,0.0,54.0,783.0
England,2,2012,3.0,5QJ,3.0,17.0,44.0
England,1,2013,2.0,5LQ,2.0,37.0,1199.0
England,3,2011,5.0,5ND,5.0,828.0,10569.0
England,2,2012,3.0,5QJ,3.0,93.2298984,1897.86167
England,1,2011,9.1125,5QP,6.075,3.0375,34.425
England,3,2013,2.0,5LD,2.0,23.0,203.0
England,1,2012,0.0,5CQ,0.0,1.0,967.0
England,2,2012,0.0,5M1,0.0,603.0601187,8300.354911
England,4,2011,0.0,5PP,0.0,80.0,1051.0
England,2,2011,29.0,5AT,28.0,824.0,16881.0
England,3,2013,18.0,5A3,16.0,125.0,1112.0
England,3,2013,0.0,5LC,0.0,19.0,531.0
England,4,2013,0.0,5A5,0.0,11.0,56.0
England,3,2012,0.0,5QV,0.0,9.0,404.0
England,3,2013,0.0,5NE,0.0,0.0,118.0
England,1,2011,0.0,5QP,0.0,0.0,1012.0
England,2,2011,0.0,5M7,0.0,0.0,1345.0
England,3,2013,0.0,5NC,0.0,1.0,693.0
England,4,2011,0.0,5N4,0.0,0.0,806.0
England,1,2012,0.0,5LD,0.0,24.0,515.0
England,4,2012,0.0,5QE,0.0,1485.261553,17918.28351
England,3,2011,0.0,5F5,0.0,0.0,62.0
England,1,2011,0.0,5C4,0.0,0.0,89.0
England,3,2013,16.0,5QM,15.0,166.0,1671.0
England,4,2013,11.0,5N2,8.0,12.0,111.0
England,2,2012,0.0,5MD,0.0,0.0,437.248178
England,2,2012,85.21985675,5PF,72.1862316,503.2984481,4607.887784
England,3,2013,1.0,5PE,1.0,46.0,1527.0
England,1,2013,0.0,5QV,0.0,1.0,3325.0
England,1,2011,0.0,5QA,0.0,12.0,2077.0
England,2,2012,38.0,5QA,21.0,31.0,158.0
England,4,2013,3.0,5FL,3.0,3.0,12.0
England,2,2011,0.0,5PH,0.0,305.0,4640.0
England,1,2011,3.0,5GC,3.0,8.0,45.0
England,3,2013,0.0,5JX,0.0,0.0,337.0
England,4,2012,28.0,5N7,24.0,508.2514707,10355.02729
England,4,2011,0.0,5A5,0.0,7.0,47.0
England,2,2012,0.0,5QT,0.0,300.7942688,2442.449463
England,1,2012,0.0,5K5,0.0,70.0,753.0
England,2,2011,1.0,5A3,1.0,34.0,964.0
England,4,2011,0.0,5HY,0.0,619.0541842,9004.788165
England,3,2013,0.0,5K8,0.0,0.0,6590.0
England,1,2013,0.0,5A8,0.0,1.0,99.0
England,4,2011,32.0,5QD,29.0,1102.180143,24964.51946
England,1,2013,0.0,5QT,0.0,6.0,489.0
England,1,2011,0.0,5P9,0.0,7.001167445,1757.293029
England,3,2012,6.0,5M3,5.0,40.0377095,925.7661688
England,2,2013,0.0,5C9,0.0,0.0,6937.656789
England,4,2012,0.0,5EM,0.0,0.0,125.0
England,1,2013,1.0,5PT,1.0,0.0,17513.0
England,3,2012,7.082352941,5J4,6.070588235,36.09411765,954.5689397
England,4,2012,5.0,5NA,5.0,74.02399661,1401.515858
England,1,2012,0.0,5HG,0.0,0.0,121.0
England,1,2013,5.0,5NR,4.0,36.0,1077.0
England,2,2012,0.0,5LE,0.0,0.0,274.0935633
England,2,2011,0.0,5A5,0.0,19.00817908,528.2272923
England,3,2013,26.0,5J2,24.0,183.0,1504.0
England,1,2012,7.0,5P1,5.0,16.0,104.0
England,2,2012,0.0,5QM,0.0,40.07497657,569.0646673
England,2,2012,0.0,5PF,0.0,39.10249672,788.065703
England,2,2012,0.0,5P5,0.0,0.0,3096.919059
England,1,2013,0.0,5QK,0.0,0.0,650.0
England,3,2013,38.0,5PX,34.0,506.0,3590.0
England,4,2012,74.04591995,5HG,63.03909401,220.1365188,1821.129383
England,1,2013,57.0,5M1,49.0,326.0,3445.0
England,2,2011,7.0,5KM,5.0,43.0,1075.0
England,4,2012,4.02962963,5NP,4.02962963,7.051851852,68.5037037
England,4,2012,0.0,5J4,0.0,0.0,345.0739233
England,1,2011,0.0,5F5,0.0,67.0,768.0
England,1,2012,0.0,5M1,0.0,1.0,4866.0
England,2,2012,0.0,5FE,0.0,374.6917919,4333.0
England,2,2013,6.0,5QM,4.0,2.0,18.0
England,3,2012,0.0,5NR,0.0,33.00945288,628.1798912
England,2,2012,0.0,5MK,0.0,33.0845844,643.6455511
England,2,2012,38.0,5QA,21.0,134.117096,3117.303722
England,2,2011,109.0000775,5N6,85.00007754,1548.07256,29526.03815
England,2,2013,0.0,5CN,0.0,0.0,322.0
England,2,2012,0.0,5QJ,0.0,4.0,124.0
England,3,2012,13.0,5QC,8.0,197.0518755,5563.7619
England,1,2011,1.0,5F1,1.0,3.0,9.0
England,1,2011,22.00795948,5C2,21.00759769,406.1468886,2866.036541
England,4,2011,0.0,5C5,0.0,7.001928906,1166.321301
England,2,2011,80.03793267,5J6,58.02750119,596.1491341,10951.63496
England,4,2013,0.0,5KF,0.0,0.0,513.0
England,3,2011,0.0,5A3,0.0,1.0,47.0
England,2,2012,71.43110696,5J6,59.35824381,148.8986455,1332.039234
England,2,2012,0.0,5M3,0.0,26.03466667,467.6226667
England,4,2012,0.0,5C3,0.0,1.000938615,4018.768538
England,2,2013,7.0,5L3,7.0,87.0,1807.0
England,1,2011,0.0,5N1,0.0,17.0,2518.0
England,3,2012,5.0,5C2,4.0,98.08987161,1500.572791
England,3,2011,0.0,5P2,0.0,0.0,907.0
England,1,2013,5.0,5K7,3.0,17.0,111.0
England,4,2012,0.0,5J9,0.0,27.0,673.0717588
England,3,2011,146.0008297,5ND,121.0008297,1117.0,21542.51557
England,3,2012,0.0,5PF,0.0,492.3318718,9224.217875
England,2,2012,0.0,TAP,0.0,0.0,51.0
England,4,2013,16.0,5J9,13.0,61.0,445.0
England,1,2013,0.0,5MX,0.0,0.0,3026.0
England,2,2011,0.0,5PX,0.0,2.0,1137.0
England,1,2013,0.0,5C2,0.0,11.0,627.0
England,2,2011,0.0,5N5,0.0,1.0,424.0
England,1,2011,2.0,5NR,2.0,57.0,1164.0
England,2,2012,0.0,5NQ,0.0,380.3687978,3921.802499
England,3,2011,65.0,5LF,60.0,703.0,4536.0
England,3,2012,1.0,5PN,1.0,40.01120239,777.1467513
England,1,2011,0.0,5J4,0.0,247.0,2467.0
England,4,2013,0.0,TAP,0.0,251.0,4542.0
England,4,2011,1.0,5P5,1.0,1.0,26476.0
England,4,2013,0.0,5N5,0.0,0.0,417.0
England,4,2011,0.0,5NL,0.0,736.1005465,10992.5015
England,4,2012,0.0,5P8,0.0,1.0,55.0
England,1,2011,0.0,5LE,0.0,1.0,21.0
England,3,2013,0.0,5M7,0.0,0.0,759.0
England,4,2011,3.0,5QG,3.0,71.00890307,2341.213674
England,3,2012,0.0,5M7,0.0,590.6890377,9123.642713
England,1,2013,0.0,5PX,0.0,910.0,10155.0
England,4,2013,12.0,5D7,11.0,9.0,84.0
England,4,2013,7.0,5L3,7.0,65.0,1744.0
England,1,2012,0.0,5QE,0.0,1.0,12783.0
England,2,2012,0.0,5PA,0.0,0.0,95.0
England,2,2013,2.0,5QD,2.0,6.0,74.0
England,1,2011,0.0,5N8,0.0,0.0,808.0
England,2,2013,0.0,5CN,0.0,16.0,369.0
England,2,2011,1.000420521,5J4,1.000420521,30.01261564,380.1597982
England,2,2012,0.0,5PE,0.0,25.01413627,735.4156065
England,1,2012,0.0,5PY,0.0,1.0,8457.0
England,3,2013,0.0,5NJ,0.0,1.0,1920.0
England,4,2011,0.0,5MV,0.0,0.0,31.0
England,1,2011,0.0,5N6,0.0,0.0,1230.0
England,4,2013,1.0,5PH,1.0,31.0,938.0
England,1,2012,0.0,5D8,0.0,0.0,333.0
England,4,2012,8.0,5N2,6.0,99.0,3546.95561
England,1,2011,0.0,5HG,0.0,2.0,126.0
England,3,2013,0.0,5PN,0.0,0.0,2893.0
England,1,2012,0.0,5MD,0.0,35.0,645.0
England,2,2013,0.0,5A3,0.0,521.0,5409.0
England,4,2013,0.0,5C3,0.0,0.0,5126.928623
England,3,2011,0.0,5LH,0.0,0.0,4913.0
England,3,2013,0.0,5LA,0.0,0.0,18.0
England,4,2012,0.0,5HG,0.0,0.0,7627.522229
England,3,2011,0.0,5QF,0.0,112.0,1462.0
England,4,2011,17.0,5NG,15.0,116.0,2330.0
England,2,2011,5.0,5NJ,4.0,9.0,26.0
England,2,2012,6.045112782,5M7,6.045112782,23.17293233,117.8796993
England,4,2013,0.0,5FE,0.0,0.0,436.0
England,3,2011,0.0,5QV,0.0,1.000048101,2616.125833
England,3,2011,26.0,5QN,21.0,202.0,1586.0
England,3,2013,0.0,5L3,0.0,20.0,1595.0
England,2,2012,0.0,5PE,0.0,527.0578771,8191.441341
England,1,2011,0.0,5A5,0.0,0.0,433.0
England,4,2013,0.0,5PJ,0.0,471.0,6197.0
England,1,2013,0.0,5QQ,0.0,121.0,1913.0
England,1,2012,0.0,5FE,0.0,6.0,872.0
England,4,2012,47.02910217,5NW,35.02167183,969.840464,17589.227
England,1,2012,0.0,5F7,0.0,0.0,7308.0
England,1,2012,0.0,5J4,0.0,0.0,353.0
England,4,2012,0.0,5QC,0.0,1.001031349,28028.87776
England,2,2012,1.0,5NF,1.0,3.0,622.0
England,1,2012,4.0,5C1,4.0,55.0,1652.0
England,1,2012,0.0,5QC,0.0,25.0,270.0
England,2,2013,0.0,5P8,0.0,517.0,5391.0
England,4,2013,0.0,5H8,0.0,35.0,607.0
England,1,2011,0.0,5HG,0.0,605.0,7552.0
England,2,2011,0.0,5MK,0.0,0.0,420.0
England,4,2013,0.0,5NH,0.0,87.0,1629.0
England,4,2013,14.0,5QP,10.0,91.0,2757.0
England,3,2011,0.0,5QM,0.0,0.0,63.0
England,1,2012,0.0,5NY,0.0,114.0,2340.0
England,3,2011,0.0,5LE,0.0,492.0,5348.0
England,1,2011,6.0,5PR,5.0,1.0,16.0
England,4,2012,0.0,5C4,0.0,371.2760417,5422.03125
England,4,2012,0.0,5K9,0.0,68.08653234,911.1580064
England,1,2013,71.0,5QR,52.0,112.0,1016.0
England,3,2012,1.0,5EF,1.0,1.0,7.0
England,1,2012,0.0,5NP,0.0,1.0,111.0
England,1,2013,1.0,5C3,1.0,16.0,61.0
England,1,2013,0.0,5J6,0.0,1.0,87.0
England,4,2013,0.0,5P5,0.0,91.0,2214.0
England,1,2011,46.0,5ND,40.0,83.0,1881.0
England,4,2012,0.0,5A5,0.0,11.00489324,560.2491103
England,2,2013,104.0,5F5,86.0,838.0,12803.0
England,3,2011,1.0,5NG,1.0,8.0,111.0
England,2,2012,0.0,5J9,0.0,2.0,194.0
