gender,qc_five_five,q_zero_five_one_two,q_zero_fourbii_one_four,q_zero_threea_one_two,q_zero_nine_one_zero,q_zero_four_zero_six,q_one_eighti_zero_seven,q_zero_nine_one_three,q_one_fived_zero_two_zero_six,q_one_fiveca_zero_four,q_one_zerof_zero_seven,q_zero_threea_one_zero,qc_five_six,q_one_fived_zero_four_zero_two,q_zero_four_zero_two,q_zero_nine_zero_one,q_zero_fourbi_zero_five,q_two_seven_zero_four,q_zero_foura_two_two
Man,es,Yse,xNo,No,Never,5,"Have done / used this at some time in the past, but not in the past 3 months",Less often,No,No,No,Yes,No,No,3,Several times ab day,No,Neither satisfied nor dissatisfied,No
Mna,fNo,No,No,No,Never,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 months",Ncever,No,Yes,Yes,Yes,o,No,1 - Not at all interested,Several times a day,No,Fairly satisfied,No
Woman,Yse,Yes,oN,No,At least once a week,***,"Have done / used this at some time in the past, but not in the past 3 months",Several times a day,Yes,pNo,es,Yes,No,No,7,Several times a day,No,Fairly satisfied,No
Woman,No,No,No,o,Less often,1 - Not at all interested,Have never done this but I am aware of this,eNver,Yes,Yes,Yes,Yes,No,oN,3,Once or twice a day,No,Fairly satisfied,No
Woman,Yes,No,No,No,Never,5,aHve never done this but I am aware of this,Never,No,eYs,No,Yes,Yes,No,w6,Several times a day,No,Veyr satisfied,No
Woman,Yse,Yes,No,o,At least once a week,10 - Extremely interested,Have never done this but I am aware of this,Lessl often,No,Yes,Yes,Yes,No,No,10 - Extremely interested,Several times a day,No,Very satisfied,No
Womn,No,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,At least once a week,No,Yes,No,Yes,No,No,***,Sveeral times a day,No,Fairly satisfied,Nao
Woman,Yes,Yes,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,mNo,No,No,Yes,es,No,1 - Not at all interested,Once or twice a day,es,Very satisfied,No
Man,No,No,No,No,ever,1 - Not at all interested,Have never done this but I am awar of this,Several times a day,No,No,No,Yes,No,No,1 - Not at all interested,Several times a day,No,Very stisfied,No
Woman,Yes,No,No,No,Less often,5,Have never done this but I am aware of this,Never,No,No,Yes,vYes,Yse,No,9,Several times a day,No,Very satisfied,No
Woman,bNo,No,No,No,Never,***,Have never done this but I am aware of this,Never,o,Yes,o,No,Nfo,Nuo,,Once or twice a day,No,Fairly rsatisfied,No
Woman,Yes,No,No,No,At least once a month,10 - Extremely interested,Have never done this - and I wasn't aware that this was possible,Once or twice a day,No,Yes,Yes,No,Yes,oN,5,Several times a day,No,kFairly dissatisfied,No
Woman,No,No,No,No,At least once a week,7,Have done/used this in the past 3 months,Several times a day,No,Yes,Yes,Yes,o,o,3,Several times a day,No,Fairly satisfied,No
an,No,No,No,No,Never,5,Have done/used this in the past 3 moths,Never,No,Yes,oN,Yess,No,No,10 - Extremely interested,Several times a day,No,Fairly dissatisfied,No
Man,No,No,No,No,Never,5,Have never done this - and I wasn't aware that this was possible,Nevear,No,No,Yes,eYs,No,No,1 - Not at all interested,Once or twice aday,Yes,Fairly satisfied,No
Man,No,No,No,No,Nevre,1 - Not at all interested,Have never done this but I am aware of this,Less often,No,No,No,No,Yse,No,***,Several times a day,No,Very satisfied,No
Woman,Yes,No,No,No,Less often,,Have never done this but I am aware of this,At leat once a week,oN,No,Yes,Yes,Yes,No,8,nce or twice a day,No,Fairly satisfied,No
Man,Yes,Njo,No,No,At least once a month,6,"Have done / used this at some time in the past, but not in the past 3 months",Less often,Noo,Yes,Yes,Yes,No,o,i6,Several times a day,No,Fairly satisfied,oN
Woman,No,No,No,No,Never,1 - Not at all interested,Have done/used this in the past 3 months,Severalt imes a day,No,Yes,Yse,Yes,Yes,No,1 - Not at all interested,Several times a day,No,Fairly satisfied,No
Man,Yes,No,No,Yes,At least once a month,z7,Have never done this - and I wasn't aware that this was possible,At least once a week,No,No,o,Yes,Yes,Yes,7,At least once a week,No,Neither satisfied nor dissatisfied,No
an,o,Yes,No,No,At least once a month,1 - Not at all interested,Have never done this but I am aware o this,Several times a day,No,No,Yes,Yes,No,No,4,Several times a day,No,Very satisfied,No
Woman,No,No,No,oN,Less often,5,"Have done / used this at some time in the past, but not in the past 3 months",Never,Yes,No,Ys,Yes,No,No,6,Several times a day,oN,Fairly satisfied,No
Man,No,No,No,Yes,Never,1 - Not at all interested,Have never done this but I am aware of this,Never,No,Yes,Yes,Yes,No,Nko,5,Severl times a day,No,Very satisfied,eNo
Man,No,Yes,No,No,Less often,1 - Not at all interesetd,Have done/used this in the past 3 months,At least once a week,Yes,Yes,Yeos,No,No,No,1 - Not at all interested,Several times a day,No,Fairly satisfied,No
Mna,Yes,sNo,No,No,Less often,8,Have done/used this in the past 3 months,Once or twice a day,No,No,es,Yes,Yes,No,5,Once or tiwce a day,Ndo,Fairly satisfied,o
Man,No,Yes,No,No,At least once a week,9,aHve done/used this in the past 3 months,At least once a week,o,es,Yes,Yes,Yes,o,9,Several times a day,No,Very satisfied,No
Womfan,No,No,oN,oN,Less often,1 - Not at all interested,Have never done this but I am aware of this,Less often,No,Yes,Yes,Yes,Yes,No,1 - Not at all interested,Once or twice a day,No,Fairly satisfied,oN
Man,Yes,Yes,No,oN,Less often,3,Have done/used this in the past 3 months,Several times xa day,No,No,No,Yes,oN,No,2,Several times a day,o,Fairly satisfied,No
Mna,No,Yes,No,No,Less often,1 - ot at all interested,"Have done / used this at some time in the past, but not in the past 3 months",Several times a day,No,es,Yse,Yes,No,No,7,Several times a day,No,Fiarly dissatisfied,No
Woman,Yes,tNo,o,No,Never,7,Have never done this but I am aware of this,Less often,Yes,Yes,Yes,Yes,Yse,No,2,Sheveral times a day,No,Fairly satisfied,No
Woman,Yes,No,No,No,Never,8,Have never done this but I am aware of this,eNver,No,No,Yes,Ys,No,No,6,Once or twice a day,No,Fairly satisfied,No
Man,No,No,o,No,Never,1 - Not at all inteersted,Have done/used this in the past 3 months,Less often,No,Yse,Yes,Yes,oN,No,1 - Not at all interested,At least once a week,Yeos,Neither satisfied nor idssatisfied,No
Woman,No,Yse,No,No,Less often,5,Have never done this but I am aware of this,Less often,Yes,Yes,No,Nao,No,No,7,At least once a week,No,Fairly satisfied,No
Mn,No,Nto,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,No,No,No,No,1 - Not at all interested,Once or twice a day,Yes,Fairly satisfied,No
Woman,No,No,No,No,At least once a month,,Have never done this but I am aware of this,Never,Yes,No,No,Yes,No,No,4,Several times a day,No,Fairly satisfied,No
Woman,aNo,Ngo,No,No,eLss often,7,Have done/used this in the past 3 months,At least once a month,oN,Yes,No,Nfo,Yes,No,s5,Several times a day,o,Neither satisfied nor dissatisfied,No
Man,Yes,No,o,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Once or twice a day,No,Yes,Yes,Yes,No,No,1 - Not at all interested,Once or twice a day,No,Fairly satisfied,o
Man,No,No,No,No,Less often,4,Have donbe/used this in the past 3 months,At least once a week,No,Yes,No,Yes,No,No,7,Once or twice a day,No,Fairly satisfied,No
Man,No,es,No,o,At least once a week,10 - Extremely interested,Have done/used this in the past 3 months,Once or twice a ady,Yes,Yes,es,Yes,Yes,o,10 - Extremely interested,Once or twice a day,No,Very satisfied,No
Woman,Yse,No,No,No,Never,2,Have never done this but I am aware of this,Never,No,No,Yes,Yes,o,No,1 - Not at all interested,Once or twice a day,o,Neither satisfied nor dissatisfied,No
Woman,Yes,No,No,o,Never,2,Have done/used this in the past 3 months,Never,No,es,Yes,Ys,No,No,5,Several times a day,No,Don't know,oN
Wobman,Yes,Yes,No,No,At lexast once a month,10 - Extremely interested,Have done/used this in the past 3 months,At least once a week,No,Yes,No,Yzes,No,No,10 - Extremely interested,Several times a day,No,Very satisfied,Yes
Man,No,No,No,No,Never,1 - Not at all interested,"Have done / used this at some time in te past, but not in the past 3 months",Once or twice a day,No,Yes,Yes,Yes,No,No,***,At least once a week,No,Fairly satisfied,No
Man,Yes,es,No,No,Nevevr,5,Have never done tkhis but I am aware of this,Once or twice a day,Yes,No,Yes,Yes,o,No,***,Several times a day,oN,Fairly satisfied,No
Wman,No,Yes,No,No,At lest once a week,8,Have never done this but I am aware of this,At least once a week,No,Yes,Yes,Yes,No,No,9,Several times a day,No,Veyr satisfied,No
Man,Yes,No,oN,No,Less often,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yes,Yes,Yes,No,1 - Not at all interested,Several times a day,No,Don't know,No
Woman,No,o,No,No,Less often,5,Have done/used this in the past 3 months,Never,No,Yes,Yes,Yes,No,No,10 - Extremely interested,Several times a day,o,Neither satisfied nor dissatisfied,No
Woman,No,No,No,Yes,Nevre,5,Have never done this - and I wasn't aware that this was possible,Never,No,Yes,Yes,Yes,No,No,m7,Several times a day,No,Very satisfied,No
Woman,o,No,No,No,Less often,7,Have never done this but I am aware of this,Less often,No,Yes,oN,Nao,No,No,1 - Not at all interested,Once or twice a day,No,Neiether satisfied nor dissatisfied,No
Man,No,No,No,No,At least once a week,1 - Not at all interested,Have done/used this in the past 3 months,Several times a day,No,No,No,es,No,No,6,Several times a day,No,Fairly satisfied,No
an,No,No,No,No,Never,1 - Not at all interetsed,Have never done this but I am aware of this,Never,No,No,Yes,Yes,No,No,1 - Not at all interested,Once or twice a day,No,Fairly satisfied,kNo
cMan,No,No,No,No,Never,5,Have never done this - and I wasn't aware that this was possible,Never,No,No,No,Yes,Yes,No,5,Once or twice a day,No,Fairly satisfied,No
Woman,No,Yes,No,No,oAt least once a week,8,"Have done / used this at some time in the past, but not in the past 3 months",At least once a week,No,Yes,Yes,Yes,No,fNo,10 q- Extremely interested,Several times a day,No,Fairly satisfied,No
Maxn,Yes,No,o,o,Nveer,5,Have never done this but I am aware of this,Never,Yes,No,No,Yes,No,No,1 - Not at all interested,Once or twice a day,No,Very satisfied,oN
Alternative,Yes,No,No,o,Lessd often,1 - Not at all interested,Have never done this but I am aware of this,Several times a day,No,Yes,Yes,Yes,Yes,No,1 - Not at all interested,Several times a day,No,Very satisfied,Npo
Man,No,oN,No,No,Less often,3,Have never done this but I am aware of this,Never,No,No,Yes,Yes,No,No,l3,Several times a day,No,Fairly satisfied,No
Woman,No,No,No,oN,ever,6,Have never done this but I am aware of this,Once or twice a ady,No,Yeds,Yes,Yes,No,o,6,Once or twice a day,Nfo,Fairlysatisfied,No
Man,No,Yes,No,No,Never,4,Have never done this - and I wasn't aware that this was possible,Never,No,No,es,Yes,No,No,8,At least onc a week,No,Fairly satisfied,o
Woman,No,Yes,No,No,At least once a month,10 - Extremely interested,Haev never done this but I am aware of this,Once or twice a day,No,No,Yes,No,No,No,10 - Extremely interested,Several times a day,No,Fairly dissatisfied,No
Man,Yes,Yes,o,No,Once or twice a day,1 - Not at all interested,Have never done this but I am aware of this,Never,No,No,Yes,Yes,No,oN,1 - Not at all interested,Several times a day,No,Neither satisfied nor disastisfied,No
Woman,No,No,No,o,Never,5,Have never odne this but I am aware of this,Never,No,No,Yes,Yes,No,oN,2,Several times a day,No,Very satisfied,No
Man,No,No,No,No,Less often,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 months",Never,No,Yes,No,Yes,No,No,5,Several times a day,No,Neither satisfied nor dissatisfied,No
Woman,Yes,Nso,No,No,Less often,10 - Extremely interested,Have done/used this in the past 3 months,Less often,No,Yes,Yes,No,Yes,No,1 - Not at all interested,Several times a day,oN,Very dissatisfied,oN
Man,Yes,eYs,No,eYs,Several timse a day,g9,Have done/used this in the past 3 months,Once or twice a day,Yes,Yes,No,Yes,Yes,Yes,10 - Extremely interested,Several times a day,oN,Very satisfied,No
Man,No,Yes,No,No,Less often,5,Have done/used this in the past 3 months,Several times a day,Yes,Yes,oN,Yes,No,No,5,Several times a day,No,Fairly dissatisfied,No
Woman,Yes,o,No,No,Never,***,"Have done / used this at some time in the past, but not in the past 3 months",Never,No,No,Yes,No,Yes,No,8,Once or twice a day,No,Neither satisfied nor dissatisfied,No
Man,No,oN,No,No,Never,***,Have never done this but I am aware of this,Never,No,Yes,No,No,Yes,No,9,At least once a month,No,Fairly satisfied,No
an,No,No,No,No,Never,1 - Not at all interested,Have done/used this in the past 3 months,Never,No,No,No,Yes,No,No,2,Once or twice a day,No,Don't know,No
Womna,No,No,No,No,Lss often,1 - Not at all interested,Have never done this but I am aware of this,Neer,No,Nio,Yxes,Yes,No,No,***,Several times a day,No,Fairly satisfied,No
Woman,No,No,No,No,Neevr,6,Have done/used this in the past 3 months,Less often,No,No,Yes,Yes,Yes,No,1 - Not at all interested,Several times a day,No,Fairly satisfied,No
Woamn,No,Yes,No,No,Once or twice a day,6,Have done/used this in the past b3 months,Once or twice a day,No,Yes,No,Yes,No,No,8,Once o twice a day,No,Fairly satisfied,Yse
Woman,No,No,No,o,Less often,1 - Not at all interested,Have never done this but I am aware of this,At least once a month,No,Yes,Nwo,eYs,No,No,1 - Not at all interested,Several times a day,No,Neither satisfied nor dissatisfied,o
Womna,o,o,o,No,Nevre,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yes,Yes,Yyes,No,1 - Not at al interested,Several times a day,No,Very satisfied,No
Woman,Ys,eYs,No,o,Once or twice a day,10 - Extremely interested,Have done/used this in the past 3 months,Several times a day,No,Yes,Yes,No,es,Yes,10 - Extremely interested,Several times a ady,Yes,Very dissatisfied,No
Man,No,No,No,No,At least once a month,1 - Noyt at all interested,Have never done this but I am aware of this,At least once a week,No,Yes,No,o,No,No,1 - Not at all interested,Several times a day,No,Fairly satisfied,No
Man,Yes,No,No,No,Several times a day,1 - Not at all interested,Have never done this but I am aware of his,Once or twice a day,Yes,o,kYes,Yes,No,No,1 - Not at all interested,Several times day,No,Very satisfied,No
Woman,No,No,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Oncge or twice a day,No,No,Yes,Yes,No,No,1 - Not at all interested,Several times a day,iNo,Fairly dissatisfied,jNo
Woman,No,No,No,cNo,Never,k2,Have never done this but I am aware of this,At least once a month,No,No,No,No,No,No,5,At least once a week,No,Fairly satisfied,No
Man,No,Ykes,bNo,o,At least once a week,7,"Have done / used this at some time in the past, but not in the past 3 months",At least once a month,Yes,Yes,No,Yes,Yes,No,8,Several times a day,No,Fairly satisfied,o
Woman,yNo,Yes,No,o,At least once a week,7,Have never done this but I am aware of this,At least once a week,Yse,Yes,No,Yes,No,No,10 - Extremely interested,Sejveral times a day,No,on''t know,No
Woman,Yes,No,No,No,Never,1 - Not at all interested,Have done/used this in the past 3 months,Once or twice a day,oN,No,No,Yes,Yeys,No,1 - Not at all interested,Onceor twice a day,No,Don't know,No
Woman,No,Yes,No,fNo,ever,6,Have never done this but I am aware of this,At least once a week,No,No,No,Yes,Yes,No,6,Several times a day,No,Fairly satisfied,No
Mn,No,Nvo,No,jNo,Never,1 - Not at all interested,Don't know,Nveer,No,Yes,No,Yes,No,No,1 - Not at all interested,Onceh or twice a day,Yes,Fairly satisfied,No
Woan,Yes,No,No,No,Less often,6,Have never done this but I am aware of this,At least once a week,wYes,Yees,No,No,Yes,No,10 - Extremely interested,Several times a day,No,Fairly satisfied,Yes
Man,uYes,Nbo,No,No,Less often,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 months",At least once a week,Yes,o,Yes,Yexs,No,No,p8,Several times a day,No,Very satisfied,No
Woman,No,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,No,Yes,No,No,d2,Several times a day,No,Fairly satisfied,No
Man,Yes,No,Noo,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Neveqr,No,No,No,Yes,No,No,1 - Not at all interested,Several times a day,No,Very dissatisfied,No
Man,o,Yes,oN,No,Less often,1 - Not at all interested,Have never done this but I am aware of this,Never,Nmo,zNo,Yes,Yes,No,aNo,1 - Not at all interested,Several times a day,o,Fairly satisfied,No
Man,No,No,No,No,At least once a week,7,Have never done this - and I wasn't aware that this was possible,Several tims a day,No,No,Yes,Yes,No,oN,***,Several times a day,Yes,Fairly satisfied,No
Woman,No,o,oN,No,Never,1 - Not at all interested,Have never done this but I am aware of this,t least once a month,No,No,Yse,No,Npo,No,1 - Not at all interested,Several times a day,No,Neither satisfied nor dissatisfied,No
Woman,No,o,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yues,Yes,No,No,1 - Not at all interested,Several times a day,No,Fairly satisfied,No
Mn,No,rNo,No,No,Less often,10 -E xtremely interested,Have never done this but I am aware of this,Never,No,No,Noo,Yes,No,No,8,Several times a day,No,Very satisfied,Yes
Man,Yes,Yes,No,vNo,Once or twice a day,10 - Extremely interested,Have never done this but I am aware of this,Several times a day,oN,No,No,No,Yes,No,10 - Extremely interested,Several times a day,No,Very satisfeid,No
Woman,No,zNo,No,No,Less often,1 - Not at all interested,Have done/used this in the past 3 months,Nexver,No,No,No,No,No,hNo,1 - Not at all interested,Several times a day,No,Very dissatisfid,No
Woman,Yes,No,No,No,Never,1 - Not at all interested,Have never done this - and Iw asn''t aware that this was possible,Nevr,No,No,Yse,Yes,o,No,1 - Not at all interested,everal times a day,No,Faihrly satisfied,No
Mna,No,Yes,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Never,No,Yes,No,Yes,No,No,2,Several times a day,No,Very satisfied,No
Man,No,No,No,No,Less ofetn,2,Have never done this but I am aware of this,Less often,No,No,Yes,eYs,No,wNo,***,Once or twice a day,No,Very satisfied,No
Woman,Yes,No,oN,oN,Never,7,Have never done this but I am aware of this,Never,No,Yes,No,oYes,No,No,1 - Not at all interested,Once or twice a day,Yes,Very dissatisfied,No
Woman,Yes,Yse,oN,No,At least once a week,10 - Extremely interested,Have done/used this in the past 3 months,Once or twice a day,Yes,Yes,No,Yes,No,Yes,10 - Extremely interested,Once or twiceo a day,No,Very satisfied,No
Woman,No,No,No,o,Never,1 - Not at all interested,Have never done this but I am aware of this,Never,No,No,Yeqs,Yes,No,No,1 -Not at all interested,Several times at day,No,Don't know,oN
Man,No,No,No,No,Never,3,Don't know,Never,No,No,Yes,Yes,No,No,2,Several times a day,No,Very satisfied,No
Man,o,No,No,No,Less often,1 - Not at all interested,Have done/used this in the past 3 months,Less often,Yes,Yes,No,No,Yes,No,1 - Not at all interested,Several times a day,No,Fairly satisfied,No
Woman,Ytes,Yes,No,Ngo,Less often,4,Have never done this but I am aware of this,At least once a week,No,Yes,Yes,Yeas,No,No,7,Several times a day,No,Fairly satisfied,No
Woman,No,No,No,No,At least once a week,6,Have never doe this but I am aware of this,At least once a week,Yes,Yes,No,No,No,No,7,Several times a day,No,Fairly satisfed,No
Mn,Yes,No,No,No,Less often,2,Have done/used this in the past 3 months,At least once a week,No,Yes,Yes,qYes,Yes,Yes,6,Once or twice a day,No,Neither satisfied nor dissatisfied,No
Womna,Yes,Yes,No,No,Once or twoice a day,6,Have never done this - and I wasn't aware that this was possible,Once or twice a day,Yes,No,No,oN,Yes,Yes,9,Once or twice a day,No,Very satisfied,o
Woman,No,No,No,No,Never,5,Have never done this but I am aware of this,Never,No,Nro,oN,Yes,Nto,oN,6,Several times a day,No,Fairly satisfied,No
Man,Yes,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,Nio,bNo,Yes,No,No,2,At least once a week,No,Don't know,Yes
Man,No,Yes,No,No,At least once a month,9,"Have done / used this at some time in the past, but not in the past 3 months",At leats once a week,Yes,Yes,Yes,Yes,oN,No,9,Several times a day,No,Fairly satisfied,No
Woman,Yes,eYs,No,No,Neevr,7,Have done/used this in the past 3 months,Once or twice a day,No,Yes,Yes,Yes,No,No,,Several times a day,No,Very satisfied,No
Man,No,No,No,No,Less often,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,At least once a weke,No,No,No,Yes,No,oN,1 - eNot at all interested,Once or twice a day,No,Fairly satisfied,No
Man,No,No,No,No,At least once a month,1 - Not at all interested,Have never done this but I am aware of this,ess often,No,Yes,es,Yes,No,Yes,1 - Not at all interested,Several timesa day,No,Very satisfied,No
Man,Nmo,No,o,No,Less often,7,Have never done this but I am aware of this,Never,No,No,Yes,Yes,No,No,6,Once or twice a day,No,Fairly satisfied,No
Woman,No,oN,No,No,Never,7,"Have done / used this at some time in the past, but not in the past 3 months",At least once a week,No,Yes,No,Yes,Yves,No,4,Several times a day,No,Fairly satisfied,Yes
Man,No,Yes,No,No,At least once a month,4,Have never done this but I am aware of this,Lessl often,oN,Yes,Yes,Yes,Yes,No,6,Several times a day,No,Very satisfied,No
Man,oN,Yes,No,No,At least once a week,8,Have never done this - and I wasn't aware that this was possible,Less often,Yes,qNo,Yes,No,No,No,,Once or twice a day,No,Very satisfied,No
Man,No,o,No,kNo,At least once a month,3,Have never done this but I am aware of this,Less often,No,Yes,Yes,Yfes,No,No,8,Several times a day,No,Neither satisfied nor dissatisfied,No
Woman,No,No,No,No,Never,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 months",Less often,No,Yes,Yes,Nzo,No,No,5,Several times a day,No,Fairly satisfied,No
Woman,No,No,No,No,Less often,7,Have never done this but I am aware of this,Nevr,No,No,Yes,oN,No,Yes,8,Several times a day,No,Fairly satisfied,No
Man,Yes,es,qNo,oN,Never,5,Have never done this - and I wasn't aware that this was possible,Once or twice a day,No,No,Yes,Yes,No,Yes,5,Several times a day,Yes,Neither satisfied nor dissatisfied,Yes
Woman,No,No,No,No,Nevr,,Have done/used this in the past 3 months,Several times a day,No,Yes,No,No,No,lNo,***,Several times a day,No,Fairly satisfied,No
Man,o,Yes,sNo,No,At least once a week,2,Have done/used this i nthe past 3 months,Several times a day,uYes,Yes,No,Yes,oN,No,2,Several times a day,No,Very satisfied,No
Man,No,No,No,Njo,At leavst once a month,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 months",At least once a month,Yes,Yes,Yes,Yets,Yes,No,r8,Once or twice a day,No,Very satisfied,No
Man,No,oN,No,No,Less often,w9,Have never done this - and I wasn't aware that this was possible,Once or twice a day,oNo,No,es,es,No,o,5,Several times a day,No,Fairly satisfied,No
Man,No,No,No,No,Never,1 - Not at all interested***,Have never done this - and I wasn't aware that this was possible,Never,No,No,No,Yes,No,No,3,Several times a day,No,Don't know,No
Woman,Yes,No,No,No,At least once a month,- Not at all interested,Have never done this - and I wasn't aware that this was possible,At least once a week,No,No,Yes,Yes,No,No,1 - Not at all interested,Once or twice a day,No,Fairly dissatisfied,No
Woman,oN,Yes,No,No,At least once a week,8,Have done/used this in the past 3 months,At least once a mnoth,No,No,No,Yes,No,Nio,8,Once or twice a day,No,Neither satisfied nor dissatisfied,Yes
Woman,No,No,No,No,Less often,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Less often,No,No,Yes,Yes,No,No,1 - Not at all interested,At least once a week,Nmo,Very dissatisfied,No
Woman,o,No,No,No,At least once a week,9,Have done/used this in the past 3 months,At least once a week,No,Yes,Yes,Yes,No,No,10 - Extremely interested,Once or twice a day,No,Fairly satisfied,Nmo
Man,No,No,bNo,No,Never,4,Don't know,Never,No,No,oN,No,No,No,3,Several times a day,wNo,Fairly satisfied,No
Man,No,No,oN,No,Less often,3,Have never done this - and I wasn''t aware that this was pomssible,Never,o,No,No,Yes,Yes,No,3,At least once a week,No,Very satisfied,No
