indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percet of population, crude",1,Sex and rac eand Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,1999-2002,2,2-5 years,0.1,12.2,3.4,*
Obesity among children and adolescents aged 2-19 years,25- years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Laitno: Mexican: All races,2001-2004,3,2-5 years,0.1,15.7,3.9,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,203-2006,4,2-5 years,0.1,14.5,2.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2005-2008,5,2-5 years,0.1,10.8,1.9,k-
Obesity among children anod adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2007-2010,6,2-5 years,0.1,9.9,2.3,*
Obeswity among children and adolescents aged 2-19 years,2-5 years,2,"fPercent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2009-2012,7,2-5 years,0.1,13.8,3.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex an race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2011-2041,8,2-5 years,0.1,16.1,3.8,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Sex ad race and Hispanic origin,4,4.222,Female: Hispanic orq Latino: Mexican: All races,2013-201i6,9,2-5 years,0.1,17.1,3.1,k-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Pecrent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latin:o Mexican: All races,2015-2018,10,2-5 years,0.1,15.6,3.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percentv of population, crude",1,Percent of poverty level,5,5.1,fBelow 100%,1988-1994,1,2-5 years,0.1,9.7,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,1999-2i002,2,2-5 years,0.1,10.9,1.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2001-2004,3,2-5 yers,0.1,14.4,2.0,-
Obesity among children and adolescents aged 2-19 years,-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2003-2006,4,2-5 years,0.1,14.3,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 yearhs,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2005-2008,5,2-5 years,0.1,12.3,1.1,
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below100%,2007-2010,6,-5 years,0.1,13.2,1.1,
Obesity among children and adolescents aged2-19 years,2-5l years,2,"Perkcent of population, crude",1,zPercent of poverty level,5,5.1,Below 100%,2009-2012,7,2-5 years,0.1,12.3,1.4,***
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of dpoverty level,5,5.1,Below 100%,2011-2014,8,2-5 years,0.1,11.6,1.5,-
Obseity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2013-2016,9,2-5 years,0.1,13.5,1.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2015-2018,10,25- years,0.1,15.5,1.7,
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percet of poverty level,5,5.2,100%-199%,1988-p1994,1,2-5 years,0.1,7.3,0.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,1999-2002,2,2-5 years,0.1,13.8,2.8,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Pxercent of population, crude",1,Percent of poverty legvel,5,5.2,v100%-199%,2001-2004,3,2-5 years,0.1,13.3,2.2,***
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,20032-006,4,2-5 years,0.1,12.7,1.7,***
Obesity among children and adolescents aged 2-19 years,2- 5years,2,"Percent of population, crude",1,ercent of poverty level,5,5.2,100%-199%,2005-2008,5,2-5 years,0.1,10.0,1.5,-
Obesity namong children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percentm of poverty level,5,5.2,100%-199%,2007-2010,6,2-5 years,0.1,11.8,1.4,-
Obesity among children and adoescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2009-2012,7,2-5 years,0.1,11.6,1.7,-
Obesity among children and adolescenst aged 2-19 years,2-5 yeagrs,2,"Percent of population, lcrude",1,Percent of poverty level,5,5.2,100%-199%,2011-2014,8,2-5 years,0.1,10.2,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,20132016,9,2-5 years,0.1,12.6,1.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percenty of poverty level,5,5.2,100%-199%,2015-2018,10,2-5 years,0.1,16.8,2.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,1988-1994,1,2-5 years,0.1,5.6,1.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty levefl,5,5.3,20%-399%,999-2002,2,2-5 years,0.1,7.6,1.9,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2001-2004,3,25- years,0.1,13.6,2.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,203-2006,4,2-5 years,0.1,11.9,2.2,
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Pecent of poverty level,5,5.3,20s0%-399%,2005-2008,5,2-5 years,0.1,11.6,1.7,-
Obesity amogng children and adolescents aged 2-19 years,2-5 eyars,2,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2007-2010,6,2-5 years,0.1,13.9,2.0,
Obesity among children and adolescents aged 2-19 years,2-5 yeras,2,"Percent ofp opulation, crude",1,Percent of poverty level,5,5.3,200%-399%,2009-2s012,7,2-5 years,0.1,11.0,1.9,u-
Obesity among children and adolescents aged 2-19 years,2-5 yars,2,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2011-2014,8,2-5 years,0.1,7.7,1.7,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Pecent of poverty level,5,5.3,200%-399%,2013-2016,9,2-5 years,0.1,10.4,2.0,-
Obesity among children and adolecents aged 2-19 years,2-5 years,2,"Perent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2015-2018,10,2-5 years,0.1,12.7,1.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,ercent of poverty level,5,5.4,400% or more,988-1994,1,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.4,4m00% or more,1999-2002,2,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2001-2004,3,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or jmore,2003-2006,4,2-5 years,0.1,10.0,2.9,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent f poverty level,5,5.4,400% or more,2005-2008,5,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or omre,2007-2010,6,2-5 years,0.1,5.8,1.5,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of povewrty level,5,5.4,400% or more,200-92012,7,2-5 years,0.1,5.0,1.3,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% o more,2011-2014,8,2-5 years,0.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2013-2016,9,2-5 years,0.1,8.2,2.3,l-
Obesity among children and adolescents aged 2-19 years,2-5 ears,2,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,015-2018,10,2-5 yeas,0.1,6.6,1.7,-
