agency_number,agency_name,class_field,class_description,statutory_reference,calendar_year,monthvalue,total_amount
10500.0,CAPITOL IMPROVEMENT AUTHORITY,428,Higher Ed Endowed Chairs Progr,"TITLE 62, SEC 34.48, 34.9",2012,3,$539091.94
10500.0,CAPITOL IMPROVEMENT AUTHORITY,429,Dept of Trans. Sinking Fund,,2012,3,$895723.45
10500.0,CAPITOL IMPROVEMENT AUTHORITY,431,Conservation Comm Cons Fd,,2012,3,$11225025.11
10500.0,CAPITOL IMPROVEMENT AUTHORITY,432,Conservation Comm Sinking Fund,,2012,3,$3114.98
10500.0,CAPITOL IMPROVEMENT AUTHORITY,435,Native Amer Cultural & Educ Au,,2012,3,$111498.58
10500.0,CAPITOL IMPROVEMENT AUTHORITY,436,NACEA Sinking Fund,,2012,3,$2062.28
10500.0,CAPITOL IMPROVEMENT AUTHORITY,437,Supreme Court Construction Fun,,2012,3,$1107945.27
10500.0,CAPITOL IMPROVEMENT AUTHORITY,438,Supreme Court Sinking Fund,,2012,3,$1394.58
10500.0,CAPITOL IMPROVEMENT AUTHORITY,439,Dept of Transportation Cons Fu,,2012,3,$2911.93
10500.0,CAPITOL IMPROVEMENT AUTHORITY,440,Operations & Maintenance Fund,"TITLE 62, SEC. 34.9",2012,3,$3425.12
10500.0,CAPITOL IMPROVEMENT AUTHORITY,441,ODOT Construction Fund 2009B,,2012,3,$6629233.26
10500.0,CAPITOL IMPROVEMENT AUTHORITY,442,ODOT Sinking Fund 2009B,,2012,3,$304568.72
10500.0,CAPITOL IMPROVEMENT AUTHORITY,445,OCIA 1994B Construction Fund,"TITLE 62, 34.48, 34.9",2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,446,Capitol Dome Bond - Proceeds,"TITLE 62, SEC 34.48, 34.9",2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,447,Capitol Dome Bond - Revenue Fu,"TITLE 62, SEC 34.48, 34.9",2012,3,$39160.46
10500.0,CAPITOL IMPROVEMENT AUTHORITY,450,OCIA 1994B Revenue Fund,"TITLE 62, SEC 34.48, 34.9",2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,451,OCIA 1999 Revenue Bond Series,"TITLE 62, SEC 34.48, 34.9",2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,452,OCIA 1999 Revenue Bond Series,"TITLE 73, SECTION 301",2012,3,$84536.54
10500.0,CAPITOL IMPROVEMENT AUTHORITY,453,OCIA 1999 Revenue Bond Series,"TITLE 73, SECTION 301",2012,3,$0.05
10500.0,CAPITOL IMPROVEMENT AUTHORITY,454,OCIA 1999 Revenue Bond Series,"TITLE 73, SECTION 301",2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,456,OCIA 1999 Revenue Bond Series,"TITLE 73, SECTION 301",2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,457,OCIA 1999 Revenue Bond Series,"TITLE 73, SECTION 301",2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,458,OCIA 1999D Revenue Bond Fund,TITLE 73 SECTION 311,2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,459,OCIA 1999D Construction Fund,"TITLE 73, SECTION 311",2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,460,OCIA 1999D Revenue Bond Fund,"TITLE 73, SECTION 168.7",2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,461,OCIA 1999D Construction Fund,"TITLE 73, SECTION 168.7",2012,3,$0.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,465,OCIA 2005A Military Dept Admin,"TITLE 62, SECTION 34.48",2012,3,$576964.12
10500.0,CAPITOL IMPROVEMENT AUTHORITY,466,OCIA 2005A Mil Dept - Construc,"TITLE 62, SECTION 34.48",2012,3,$2490.19
10500.0,CAPITOL IMPROVEMENT AUTHORITY,467,OCIA 2005B Att Gen - Admin,"TITLE 62, SECTION 34.48",2012,3,$977.42
10500.0,CAPITOL IMPROVEMENT AUTHORITY,468,OCIA 2005B Att. Gen. - Constru,"TITLE 62, SECTION 34.48",2012,3,$1876.88
10500.0,CAPITOL IMPROVEMENT AUTHORITY,470,OCIA 2002A Series Revenue Bond,"TITLE 73, SECTION 185",2012,3,$0.03
10500.0,CAPITOL IMPROVEMENT AUTHORITY,471,OCIA 2002A Construction Fund,"TITLE 73, SECTION 315 & 321",2012,3,$19968.89
10500.0,CAPITOL IMPROVEMENT AUTHORITY,472,OCIA - Mental Health,TITLE 62 SEC 34.9,2012,3,$654886.55
10500.0,CAPITOL IMPROVEMENT AUTHORITY,473,OCIA - Attorney General,TITLE 62 SEC 34.9,2012,3,$92384.72
10500.0,CAPITOL IMPROVEMENT AUTHORITY,474,OCIA - Native American,TITLE 62 SEC 34.9,2012,3,$35000.00
10500.0,CAPITOL IMPROVEMENT AUTHORITY,475,DOT Hiway&Bridges Const 2010B,TITLE 62 SEC 34.9,2012,3,$64364940.97
10500.0,CAPITOL IMPROVEMENT AUTHORITY,476,OCIA - Historical Society,TITLE 62 SEC 34.9,2012,3,$0.00
