facilitytype,facilitytypedescription,subtype,subtypedescription,permitnumber,premisename,premiseaddress,premisecity,premisestate,premisezip,inspection_area,openingdate,object_id
695,SWIMMING AREA,191,SWIMMING POOL,109911,AXIS ON LEXINGTON,303 AXIS DR,LOUISVILLE,KY,40206,26,1988/06/07 00:00:00,519
695,SWIMMING AREA,191,SWIMMING POOL,109975,FINISH LINE APARTMENTS,5420 EIGHT BELLS LANE,LOUISVILLE,KY,40258,23,1988/06/07 00:00:00,520
695,SWIMMING AREA,191,SWIMMING POOL,109976,FRONTGATE APARTMENTS,7400 SNOW BEND AVE,LOUISVILLE,KY,40228,27,2021/06/16 00:00:00,521
695,SWIMMING AREA,191,SWIMMING POOL,110312,THE LOFT,512 W ORMSBY AVE,LOUISVILLE,KY,40203,24,1988/06/07 00:00:00,522
695,SWIMMING AREA,191,SWIMMING POOL,110473,TOWNEPLACE SUITES,801 W JEFFERSON ST,LOUISVILLE,KY,40202,24,1988/06/07 00:00:00,523
695,SWIMMING AREA,191,SWIMMING POOL,110474,RIALTO AT HURSTBOURNE,309 PALAZZO CIRCLE,LOUISVILLE,KY,40222,29,2022/05/13 00:00:00,524
695,SWIMMING AREA,191,SWIMMING POOL,110557,RESIDENCE INN,2510 TERRA CROSSING BLVD,LOUISVILLE,KY,40245,25,2020/12/21 00:00:00,525
695,SWIMMING AREA,191,SWIMMING POOL,110558,LORY OF LOUISVILLE,201 HERITAGE HILLS TRAIL,LOUISVILLE,KY,40223,25,2020/06/08 00:00:00,526
695,SWIMMING AREA,191,SWIMMING POOL,110572,ELEVATE AT NULU APARTMENTS,510 S SHELBY ST,LOUISVILLE,KY,40202,24,2020/06/08 00:00:00,527
695,SWIMMING AREA,191,SWIMMING POOL,110637,BROOKVIEW AT MIDDLETOWN,400 ECHELON DR,LOUISVILLE,KY,40223,25,2020/06/22 00:00:00,528
695,SWIMMING AREA,191,SWIMMING POOL,110742,THE OAKS AT ST. ANDREWS,6817 BROOKLAWN DR,LOUISVILLE,KY,40214,23,2020/07/06 00:00:00,529
695,SWIMMING AREA,191,SWIMMING POOL,111706,COURTYARDS AT CURRY FARMS,1840 DRESSAGE CIRCLE,LOUISVILLE,KY,40245,25,2021/07/27 00:00:00,530
695,SWIMMING AREA,191,SWIMMING POOL,111717,THE LOUIS FLATS APARTMENTS,10720 BELL TUCKER LANE,LOUISVILLE,KY,40241,21,1988/06/07 00:00:00,531
695,SWIMMING AREA,191,SWIMMING POOL,111748,LYRIC AT NORTON COMMONS,6324 MEETING STREET,PROSPECT,KY,40059,21,1988/06/07 00:00:00,532
695,SWIMMING AREA,197,SPA,111806,JEWISH COMMUNITY CENTER,3600 R DUTCHMANS LANE,LOUISVILLE,KY,40205,27,2022/04/18 00:00:00,533
695,SWIMMING AREA,191,SWIMMING POOL,111807,JEWISH COMMUNITY CENTER,3600R DUTCHMANS LANE,LOUISVILLE,KY,40205,27,1988/06/07 00:00:00,534
695,SWIMMING AREA,191,SWIMMING POOL,112289,BROOKVIEW AT APEX,11602 APEX VIEW DR,LOUISVILLE,KY,40229,27,2021/04/23 00:00:00,535
695,SWIMMING AREA,191,SWIMMING POOL,112532,BRECKINRIDGE SQUARE APARTMENTS,203 BRECKINRIDGE SQUARE,LOUISVILLE,KY,40220,29,1988/06/07 00:00:00,536
695,SWIMMING AREA,195,WATERSLIDE,112594,KY KINGDOM - TORNADO,937 PHILLIPS LANE,LOUISVILLE,KY,40209,24,2021/05/28 00:00:00,537
695,SWIMMING AREA,195,WATERSLIDE,112595,KY KINGDOM - MT SLIDE HAI,937 PHILLIPS LANE,LOUISVILLE,KY,40209,24,2021/05/27 00:00:00,538
