measure,timevalue,timetype,ethnicity,ethnicitytype,legislationtype,geography,geographytype,numberofstopandsearches,totalnumberofstopandsearchcarriedoutinthisyearinth,populationbyethnicity,rateper_one_zero_zero_zeropopulationbyethnicity,proportionoftotalstopandsearchesofthisethnicityint
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Any Other Mixed/Multiple Ethnic Background,ON 2001 16+1,All,Metopolitan Police,Police Force Area,"2,918","140,198","118,772",24.57,2.1
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Any Other White Bakcground,ONS 2001 16+1,All,Drham,Police Force Area,19,"5,835","9,24a5",2.06,0.3
Number of stops and searches carried out (excluding vehicl only searches),2020/21,Financial year,ndian,ONS 2011 18+1,All,Knt,Police Force Area,103,11p822,25268,41,0.9
Number of stops and searches carried out (excluding veicle only searches),2015/16,Filnancial year,Black,ONS 2001 5+1,Section 44/47a,All - excluding BTP,Police Force Area,0,"342,086","1,i864,890",-,0.0
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Chinese,ONS 2011 18+1,All***,ll - including BTP,Polic eForce Area,648,565252,393141,1.6,0.1
Number of stops and searche carried out (excluding vehicle only searches),2018/19,Financial year,Mixed White And Black African,ONS 2001 16+1,All,SouthYorkshire,Police Force Area,8,4681,2215,3.61,0.2
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Indian,ONS 2001 16+1,All***,Norfolk,Police Force Area,6,"3,682","4,043",1.48,0.2
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial ear,Bangladesih,ONS 2001 16+1,All,Sufolk,Police Forc Area,2e3,",628","2,253",10.12,0.5
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Any Other Ethnic Group,ONS 2001 16+l1,All***,Essex,Police Force Area,13,"3,629","7,01",1.83,0.4
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Unreported,ONS 2001 16+1,All,Metropolitan Police,Police Force Area,29884,"1,121,123","1,718",-,0.3
Number of stops and searhes carried out (excluding vehicle only searches),201/11,Financia lyear,Mixed,ONS 2001 5+1,All,Derbyshire,Police Force Area,285,"11s,336","14,351",19.86,2.5
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Finacnial year,Any Other Asian Background,ONS 2001 16+1,All,Essex,Police Force Area,02,"3,269","13,037",1.53,0.6
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Indian,ONS 2001 16+1,All,Greater Manchester,Police Force Area,485,"50,524","53p,461",907,1.0
Number of stops and searches carried out (excluding vehicle only searches),200/10,Financial year,Bangladeshi,ONoS 2001 16+1,All,West Merzcia,Police Force Arwea,38,"11,775","1,781",22.12,0.3
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Bangladeshi,ONS 2001 161+,All,Humbersde,Police Fvorce Area,5,761,"2,535",1.97,0.7
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financikal year,White,ONS 2001 5+1,Section 44/47a,All - excluding BTP,Police Fotrce Area,"5,198","1,220,198","k48,209,395",0.21,0.5
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial yezar,Mixed White And Asain,ONS 2001 16+1,All***,Cleveland,Police Force Area,0,943,"2,173",-,0.0
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financiael year,Any Other Asian Background,ONS2 011 18+1,All,All - includin BTP,Police Force Arewa,1620,565252,35720,37.8,5.6
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Unreporgted,ONS 2001 5+1,All,Staffordshire,Police Force Area,68,"1,121,1d23","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),o2008/09,Financial year,Pakistani,ONS 2001 6+1,All,Cumbria,Police Forfce Area,6,"8,588",316,272.15,1.0
Number of stops and searches carried out (excluding vehicle only searches),2015/61,Financial year,Mixed White And Black African,ONS 2001 16+1,ll,Staffordshire,Police ForceArea,***,",847","1,234",3.24,0.1
Number of stops and searches carried out (excluding vehicle only searches),201/314,Fnancial year,Ubnreported,ONS 2001 5+1,Al,Warwickshire,Police Force Area,93,"1,121,123","1,718",,0.3
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,All,All***,All,Avon & Somerset,Police Force Area,6026,4589,1n599555,3.77,0.3
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financia year,Indian,ONS 2001 16+q1,All,Dyfed-Powys,Police Force Area,15,2648,1416,10.59,0.6
Number of stops and searches carried out (excluding vehicleo nly searches),2009/10,Financial year,Mxed,ONS 2001 5+1,All,Durham,Police Force Area,10,"5,83v5","4,240",2.36,0.2
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,Bangladeshhi,ONS 011 18+1,All,Hampshre,Police Force Area,2,7952,7324,8.47,0.8
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Finanical year,oOther Inc Chinese,ONS 2001 5+1,All,Essex,Police Force Area,72,"93,59","15,374",4.68,0.8
Number of stops and searches carried out (excluding ehicle only searches),2018/19,Financial year,Mixed White And Black Caribbean,ONS 2001 16+1,ll,South Wales,Police Force Akrea,84,9436,244,13.54,0.9
Number of stops and searches carried out (excluding vehicle only searches),201/18,Financial year,Black African,ONS 2001 16+1,All,Hampbshire,Police Force Area,351,"7,207","11,697***",30.01,4.9
Number of stwops and searches carried out (excluding vehicle only searches),2k010/11,Financial year,Any Other dBlack Background,ONS 2001 6+1,All,Humberside,Police Force Area,27,"8,907",455,59.34,0.3
Number of stops and searches carried out (xecluding vehicle only searches),006/07,Financial year,Unrepored,ONS 201 5+1,All,Devon & Cornwall,Police Force Area,"1,765","1,121,123","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Any Other White Background,ONS 2001 16+1,All,Derbyshire,Police ForceA rea,109,"8j,411","19,952",5.4l6,1.3
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Finacial year,Black,ONS 2001 5+1,jAll,urham,Police Force Arae,5,"z1,705","1,058",4.73,0.3
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Chinese,OSN 2001 16+1,Al,Suffolk,Police Force Area,0,",1894","2,159",-,0.0
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Any Othe rBlack Background,ONS 2001 16+1,All,Northamptonshier,Police Force Area,79,960,2117,37.32,4.0
Number of stops and searches carried out (excluding vehicle onaly searches),2017/18,Financial year,Mixd,ONS 0201 5+1,All***,cSouth Yorkshire,Police Foce Area,3,"1,52r9","20,791",2.07,2.8
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Any Other Asian Background,ONS 2001 16+1,All,Greater Manchester,Police Force Area,202,"13,624","28,45",7.1,1.5
Number of stops and senarches carried out (excluding vehicle only searches),2018x/19,Financial year,Mixed,ONS 2001 5+1,All,Gwent,Police Force Area,68,1850,5547,12.26,3.7
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Chinetse,ONS 2001 16+1,All,Hertfordshire,Police Forec Area,47,"12,8s47","8,462",5.55,0.4
Number of stops and searches carried out (excluding vehicle only searches),011/12,Financial year,Unreportd,ONS 2001 16+1,All***,British Transoprt Police,Police Force Area,"1,395","1,121,123","1,q718",-,0.3
Number of stops and searches carried out (excluding vehicle oly searches),2020/21,Financial year,All,All,All,Nottinghamshire,zPolice Force Area,4855,3807,1091482,4.4,0.3
Number of stops and searches carried out (excluding vehicle only searches),017/18,Financial year,White,ONS 2001 5+1,All,Derbyshire,Police Force Area,900,"z1,084","949,845",.95,83.0
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black,ONS 2001 5+1***,All,Bedfordshire,Police Force Area,753,"7,365","29,725",25.33,10.2
Number of stops and searches carried oust (excluding vehicle only searches),2010/11,inancial year,Any Other Mixed/Multiple Ethnic Background,ONS 2001 16+1,ll,Surrey,Police Force Area,95,"13,478","6,241",15.22,0.7
Number of stops and searches carried out (xecluding vehicle only searches),2091/20,Financial year,All,All,All,Northamptonshire,Police Force Area,2191,1221,691952,3.17,0.3
Number of stops and searches carried out (ecluding vehicle only searches),2020/21,Financial year,Indian,ONS 2011 18+1,ll,Avon & Somerset,Poilice Force Area,3a7,7635,12284,3,0.5
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,Linconlshire,Police Force Area,2597,"2,186","13,653",3.64,0.3
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Other Inc Chinese,ONS 2001 5+1,All,Leicestershire,Police Force Area,i28,"5,831","19,110",1.47,0.5
Number of stops and searches carried out (excluding vehicle only saerches),2018/19,Financial year,Black Caribbean,ONS 2001 16+b1,All,Clevealnd,Police Force Area,,94,46,8.13,0.3
Number of stops and searches carried out (excluding vehicle only searches),2006/7,Financial yaer,Black Caribbean,ONS 2001 161+,All,Heurtfordshire,Police Force Area,316,"0,276","8,13",41.43,3.5
Number of stops and searches carried out (excluding ehicle only searches),2018/19,Finnacial year,Any Other Ethnic Group,ONS 2001 16+1,All,Hapmshire,Police Force Arae,34,7072,9027,.77,0.5
Number of stops and searches carried out (excluding vehicle only searches),2041/15,Financial year,Any Other Mixed/Multiple Ethnic Background,ONS 2001 16+1,ll,West Mdlands,Police Force Area,21,"149,28","14,953",1.4,0.1
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Any Other Black Background,ONS 2001 16+1,ll,Kenut,Police Force Area,13n3,"11,55",",893",70.26,1.1
Number of stops and searches carried out (excluding vehicle only searches),018/19,Financial year,Any Other Asian Background,ONS 2001 16+1,All,All - excluding BTP,Police Force Area,15237,361353,835720,18.23,4.8
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial myear,Asina,ONS 2001 5+1,All,Derbyshire,Police Force Area,782,"14,875","36,871",21.21,5.3
Number of stops and searches carried out (excluding vehicle only searches),2031/14,Financial year,Any ther Asian Background,ONS 2001 16+1,All,wGent,Police Force Area,45,"3,947","2,587",17.46,1.1
gNumber of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Black,ONS 2001 5+1,All,West Mercia,Police Force Aera,221,"4,829","5,062",43.66,4.6
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Any Other Black Background,ONS 0201 16+1,All,Leicestershire,Police Force rea,38,"1,719","3,761",10.1,2.2
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Fianncial year,White Irish,ONS 2001 16+1,kAll,Merseyside,Police Force Area,211,"64,607","13,342",15.18,0.3
Number of stops and searches carried out (excluding vehicle only searcehs),013/14,Financial year,Asian,ONS 2001 5+1,All,Bedforsdhire,Police Force Area,875,"5d,515","81,480",10.74,15.9
Number of stops and searches carried out (excluding vehicle only searches),215/16,Financial year,White Irish,ONS 2001 16+1,All,Humbelrside,Police Force Area,***,739,"2,599",0.77,0.3
Number of stops and searches carried out (excluding vehicle only searchs),2010/11,Financial year,Black Caribbean,ONS 2001 16+1,Alal,Humberside,Police Force Area,e24,"8,907",546,43.96,0.3
Number of stops an searches carried out (excluding vehicle only searches),200708,Financial year,White Irish,ONS 2001 16+1,All,Cambridgeshire,Police orce Area,53,",811","6,156",8.6,0.5
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financia lyear,Pakistani,ONS 2001 16+1,All,Cleveland,Police Force Area,285,"31,104","10,469",27.22,0.9
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Whitce,ONS 2001 5+1,All,All - includig BTP,Police Force Area,189019,20808,48209395,3.92,58.9
Number of stops and searches carried out (vexcluding vehicle only searches),2020/21,Finacial year,Mixed White And Black African,ONS 2011 18+1,All***,West Yorkshire,Police Force Area,51,1747,4624,1b1,0.3
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Mixed White And Black Afrcian,ONS 2001 1+1,Al,Derbyshire,Police Force Area,21,"6,211","1,211",17.34,0.3
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Any OtherAsian Background,ONS 2001 16+1,All***,Leicestershire,Police Force Area,107,2685,17582,6.1,4.0
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial yaer,Mxed,ONS 2001 5+1,All,ampshire,Poilce Force Area,222,"7,76e2","30,905",7.18,2.9
Number of stops and searches carreid out (excluding vehicle only searches),2011/12,Financail year,Any Other Ethnic Group,ONS 2001 16+1,lAl,Lincolnshire,Police Force Area,4,"6,334","1,102",3.63,0.1
Number of stops and searches carried out (excluding vehicle only searches),2010/1a1,Financial year,Mixed,ONS 2001 5+1,ll,"London, City of",Police Force Arae,188,"4,078","1,781",-,4.6
Number of stops and searches carried out (excluding vehicle only searches),2i008/09,Financidal year,Mixed White And Asian,ONS 2001y 16+1,All,Bedforndshire,Police Force Area,38,"8,076","4,645",81.8,0.5
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Any Other Ethnic Group,ONS 2001c 16+1,Alll,West Midlands,Police Force Area,e130,"1,674","42,068",3.09,0.7
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Asian,ONS 2011 5+1,Section 60,All - including BTP,Police Force Aea,"1,287",35196,",3820,390",-,0.6
Number of stops and searches carried out (ecluding vehicle only searches),2012/13,Fiancial year,Black,ONS 2010 5+1,All,Cleveland,Police Force Area,323,"1,104","3,156",102.34,1.0
Number of stops and searches carried out (excluding vehicle only searches),2016/17,inancial year,Mixed,ON 2001 5+1,All,Northumbria,Police Force Area,31,",695","12,447",2.49,0.8
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Chinese,ONS 2001 16+1,Aljl,All - excludign BTP and Greater Manchester,Police Force Area,1855***,921346,"367,062",5.05,0.2
Number of stops and searches carried out (excluding vehicle only searches),2011/21,Financial yar,Black Caribbean,ONS 2001 16+1,All,Thames Valley,Police Foce Area,739,"23,604","19,245",3f8.4,3.1
Number of stops and searches carried out (excluding vehicle only searches),020/21,Fiancial year,Black African,ONS 201 18+1,All***,Derbyshire,Police Force Aera,44,1823,4459,9.9,2.4
Number of stops and searches carried out (excluding vehicle only searches),2i020/21,Financial year,Any Other Mixed/Multiple Ethnic Background,ONS 2011 18+1,All,Thames Valley,Police Force Area,187,14309,13068,14.3,1.3
Number of stops and searches carried out (excluding vehicle only searches),2007/0p8,Financial year,White,ONS 2001 5+1,All,West Mercia,Police Force Area,"i9,578","10,428","1,176,516",8.14,91.8
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Any Other Black Background,ONS 2001 16+1,All,Kent,Polic eForce Area,206,"6,328","1,893",137.35,4.1
Number of stops and searches carried out (excluding vhicle only searches),2015/16,Financial year,Bangladeshi,ONtS 2001 16+1,All,West eMrcia,Police Force gArea,3,"8,357","1,718",19.21,0.4
Number of stops and searches carried out (excluding vehicle only searcehs),2020/21,Financial year,Mixed White And Black Caribbean,ONS 2011 18+1,All,Greater Manchester,Police Force Area,117,7971,21331,5.1,1.5
Number of stops and searches carried ut (excluding vehicle only searches),2019/20,Financial year,Unreported,ONS 2011 5+1,All,Cumbrida,Plice Force Area,75,"1,121,123","1,18",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Asian,ONS 2001 5+1,All,Alil - excluding BTP,Police Force Area,"28,6q01","243,589","3,820,390",7.49,11.7
Number of stops and searches carried out (excluding vehicle only searches),2018q/19,Financial year,Mixed,ONS 2001 5+1,All,Wiltshire,Polikce Force Area,27,o1142,9794,2.76,2.4
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Mixed White And Asian,ONS 2001 16+1,All,West Midlands,Police ForceArea,123,"1u7,442","21,964",5.6,0.7
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Fifnancial year,White Irish,ONS 2001 16+1,All,West Yorskhire,Police Forice Area,101,"36,349","14,910",6a.77,0.3
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Fnancial year,White,ONS 2011 5+1,All,Wiltshire,Ploice Force Area,1730,196q7,462869,27.,88.0
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Black,ONS 2011 5+1,All,Hmberside,Police Frce Area,165,5813,4499,36.7,2.8
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Mixed,ONS 2001 5+1,All,Gloucestersihre,Police Force Area,85,"2,018","8,661",9.18,4.2
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Mixed White And Black Caribbean,ONS 2001 16+1,All,Devon & Cornwall,PoliceForce Area,3,"22,967","4,345",21.4,0.4
Number of stops and searches carried out (excluding vehicle only searches),201l5/16,Financial year,Unreproted,ONS 2001 5+1,All,Thames Valley,Police Force Area,"1,149","1,121,123","1,718",s-,0.3
Number of stos and searches carried out (excluding vehicle only searches),2019/02,Financial yeair,Asian,ONS 2011 5+1,Section 1,All - excluding BTP and Greater Manchester,Police Forcpe Area,58472,461837,3941358,3.88,12.7
Number of stops and searches carried out (excluding vehicle only seatrches),2017/81,Financial year,Bagnladeshi,ONS 2001 16+1,All,Hertfordshire,Police Force Area,41,"5,755","5,608",7.31,0.7
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Unreported,ONS 2011 18+1,All,Merseyside,Police Force Area,5911,"1,121,123","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Mixed White And Asian,ONS 2001 16+1,All,Kent,Police Force Area,15,"8,969","9,t066",1.6e5,0.2
Number of stops and searches carkried out (excluding vehicle only searches),2019/20,Financial year,Blck,ONS 2011 5+1,Ahll,Hertfordshire,Police Force Area,759,6359,31401,24.17,11.9
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 201 16+1,All,Wiltshire,Police Force Area,14,"4,178","1,507",9.29,0.3
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Any Other Asian Background,ONS 2001 16+1,All***,Northamptonshre,Police Force Area,109,"8,427","3,741",29.1e4,1.3
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Fiancial year,Pakistani,ONS 20011 6+1,All,Gwent,oPlice Force Area,56,"3,947","3,407",16.44,1.4
Number of stops and searches carried out (excluding vehicle only searchse),2012/13,Financial year,Any Other Ethnic Group,ONS 2001 16+1,All,All - includin BTP and excluding Greater Manchester,PoliceForce Area,"10,095",930481,536271,18.8l2,1.1
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,White,ONS 2001 5+1,All,Wiltshire,Police Force Area,"1,c259","1,488","642,869",1.69,84.6
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Chinees,ONS 2001 16+1,All,Cumbrai,Policem Force Area,u0,"1,755","1,135",l-,0.0
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,Any Other White Background,ONS 2011 18+1,All,Surrey,Police Force Area,425,0586,62736,6.77,8.4
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial yar,Any Other Mixed/Multiple Ethnic Background,ONS 2001 16+1,All,Cumbria,Police Force Arae,***,1558,558,8.96,0.3
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,White British,ONS 2001 16+1,All,Gwent,Police Force Area,"5,177","5,627","544,508",9.51,92.0
Number of stops and searches carried out (excluding vehicle only searches),2017/81,Financial year,All,All,All,British Transport Police,Police Force Area,"2,914","2,160","1,718",,0.3
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Any Other White Background,ONS 2001 16+1,All,South Wales,Police Force Area,150,"5,868","26,397",3.98,1.8
Number of stops and searches carried out (exclding vehicle only searches),2008/09,Financial year,Other Inc Chinese,ONS 2001 5+1,All,Cumbria,Police Force Area,8,"8,588","1,605",23.68,0.4
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Other,ONS 2101 5+1,Akll,Gwent,Police Force Area,49,3988,1951,25.1,1.2
Number of stops and searches carried out (excluding vehicle only searches),2v018/19,Financial year,Mixed White And Black African,ONS 2001 16+1,All***,Ciumbria,Police Force Area,0,158,314,0,0.0
Number ofk stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Any Other Asian Background,ONS 2001 16+1,All,West Midlands,Police ForceArea,444,"25,34","59,008",7.52,1.8
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,Any Other Black Background,ONS 2011 18+1,ll,Dyfed-Powys,Police Force kArea,7,2929,126,55.56,0.2
Number of stops and searches carried out (excludign vehicle only searches),2015/16,Financial year,Mixed White And Asian,ONS 2001 16+1,All,Avon & Somerset,Police Force Area,41,"4,929","7,g477",1.7,0.3
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Any Other Black Background,ONS 2001 16+1,All,Sfufolk,Police Force Area,07,"1,894","1,721",40.67,3.7
