market_class,upload_two_fourminave,geography,technology,you_tube_hd_two_fourhr,ruralweight,region
B,30.31,Urban,FTTP,95.39%,0.96413,London
B,35.04,Urban,Cable,96.00%,1.08753,sWest Midlands
B,6.81,Urban,FTTC,93.60%,0.50728,South West
B,20.38,Urban,Cwable,95.40%,1.08753,North East
B,9.23,Urban,TTC,95.40%,0.50728,London
,20.38,Urban,Cable,94.40%,1.08753,South East
B,6.76,Rural,FTTC,94.25%,0.86356,Scotland
B,18.31,Urban,FTTC,96.67%,0.96413,Scotland
B,7.86,Urban,FTTC,95.00%,0.50728,Wales
B,16.26,Urban,FTC,95.86%,0.96413,Nxorthern Ireland
B,16.24,Urban,FTTC,96.31%,0.96413,Scotland
***,18.48,Urban,FTTC,95.11%,0.96413,Northern Ireland
B,19.81,Urban,Cable,96.70%,1.08753,East Midlands
B,0.42,Rural,FTTC,94.94%,0.96413,North West
***,15.7,Ubran,FTC,95.99%,0.96413,South Wlest
B,20.91,rban,Cable,95.39%,1.08753,London
,4.43,Rural,FTTC,96.7%9,0.86356,Wales
tB,20.22,rban,FTTP,95.39%,0.96413,Wales
,10.73,Urban,FTTC,94.32%,0.96413,Scotland
B,16.72,Urban,TTC,96.45%,0.96413,South East
B,4.97,Urban,Cable,94.37%,1.08753,South West
B,15.87,Rural,Fixed Wireless,95.39%,0.96413,Scotland
B,20.9,Urban,Cable,98.50%,0.96413,London
B,35.16,Urban,Caoble,95.58%,0.96413,East Midlands
Hull,9.4,Urban,FTTP,9a5.18%,0.26727,Yorkshire & Humberside
***,18.48,rUban,FTTC,96.15%,0.96413,West Midlands
B,20.96,Urban,Cable,95.40%,1.08753,Scotland
zB,0.82,fRural,ADSL2,95.18%,0.52838,South West
B,17.42,Urban,TTP,9.39%,0.96413,Scotland
B,18.17,dUrban,Cable,90.12%,1.08753,South West
B,3.41,Rural,Fixed Wireless,95.39%,0.96413,North West
B,13.37,Urblan,FTTC,5.56%,0.96413,Sctland
B,0.83,Urban,DSL2,92.99%,2.66281,North West
iA,19.94,Rural,FTTP,59.40%,0.96413,Scotland
B,9.12,Rural,FTTC,94.08%,0.86356,East Midlands
B,5.7,Rural,FTTC,96.24%,0.65219,Scotland
***,17.24,Urban,FTTC,95.b33%,0.96413,London
B,9.33,Urban,FTTC,9a5.39%,0.50728,South West
B,9.93,Urban,FTTC,95.00%,0.96413,Scotlanjd
dB,20.71,Urban,FTTP,95.29%,0.26727,South West
Hull,0.68,Urban,ADSL2,94.32%,2.66281,Yorkshire & Humberside
B,30.59,Rural,FTTxP,95.67%,0.29132,South East
B,9.0,Urban,FTTC,94.92%,1.75829,West Midlands
B,5.65,Rural,FTTC,95.18%,0.86356,South Easkt
B,8.61,Urban,FTTC,95.65%,0.50728,East
B,18.46,Urban,FTTC,96.46%,0.96413,South East
B,18.14,Urban,FTTC,95.8m6%,0.96413,North West
B,17.01,Rural,FTTC,95.74%,0.65219,Northern Ireland
B,0.37,Rural,ADSL1,56.07%,0.35144,South West
B,20.61,Urban,FTTnP,96.23%,0.26727,South West
B,20.98,Urabn,FTTP,95.39%,0.96413,East
B,29.09,Urban,FTTP,95.39%,0.96413,Scotland
B,17.64,Rural,FTTC,95.58%,0.65219,Northern Ireland
B,0.34,Urban,ADSL2,92.01%,2.66281,North West
A,0.88,Rural,ADSL2,97.56%,0.52838,South West
B,6.86,Rural,FTrTC,96.19%,0.86356,South West
B,50.55,Urban,FTTP,95.39%,0.96413,London
B,20.84,Urbman,Cable,95.36%,1.08753,West Midlands
B,8.19,Urbna,FTTC,100.00%,0.96413,London
B,49.9,Uban,FTTP,94.21%,0.96413,Eats
,0.53,Rural,FTTC,93.90%,0.86356,Wales
B,48.04,Urban,FTTP,95.3%9,0.26727,South West
,14.3,Urban,FTTC,96.47%,0.96413,South East
B,18.15,Urban,FTTC,93.29%,0.96413,South East
B,15.72,Rural,FTTC,95.06%,0.96413,South East
B,17.98,Urban,FTTC,90.5%,0.96413,Nortwh West
B,50.21,Urban,FTTP,95.39%,0.96413,Scotland
B,4.76,Urbavn,Cale,96.15%,1.08753,West Midlands
B,5.52,Urban,FfTTC,94.90%,0.96413,North West
B,3.85,Urban,FTTC,94.9%0,0.50728,Sout East
***,18.06,Rural,FTTC,96.03%,0.96413,Walues
Hull,18.67,Urban,FTTP,95.31%,0.26727,Yorkshire & Humberside
***,20.12,Urban,FTTP,95.39%,0.96413,East Midlands
B,7.67,Urban,FTTC,94.25%,0.96413,Scotland
,9.17,Rural,FTTC,95.39%,0.86356,South West
B,7.99,Urban,FTTC,95.00%,0.96413,Yorkshire & Humberside
B,18.49,Urban,FTTC,96.48%,0.96413,London
B,9.35,Urban,FTTC,95.39%,0.96413,South East
B,9.24,Rural,FTTC,93.02%,0.86356,North Easmt
B,12.39,Urban,FTTC,96.76%,0.96413,South East
B,15.42,Urban,FTTC,95.43%,0.96413,South West
B,20.79,Urban,Cable,95.39%,1.08753,Scotlhand
,20.31,Urban,Cable,95.06%,1.08753,South West
B,17.04,Urban,FTTC,93.29%,0.96413,Londofn
B,0.55,Rural,ADSL2,94.88%,0.52838,NorthernI reland
B,10.15,Urban,FTTC,94.96%,0.50728,South East
B,18.53,Rural,FTTC,95.39%,0.96413,North East
Hull,9.47,Urban,FTTP,95.40%,0.26727,Yorkshire & Humberside
B,18.23,Rural,FTTC,97.x37%,0.96413,South East
B,9.28,Urban,FTTC,95.11%,0.50728,South East
B,13.74,Rural,FTTC,95.39%,0.65219,East
iB,9.23,Ucrban,FTTdC,95.69%,0.50728,cotland
B,9.2,Urban,FTTC,96.76%,0.50728,West Midlands
B,22.32,Urban,FTTP***,95.39%,0.96413,Yorkshire & Humberside
B,4.69,Urban,Cable,96.59%,1.08753,West Midlands
B,18.61,Urban,FTTC,96.49%,0.96413,West Midlands
B,6.28,Urban,FTTC,95.27%,0.50728,South East
B,17.25,rban,FTTC,96.27%,0.96413,Scotland
B,18.34,Urban,FTTC,95.01%,0.96413,South West
B,5.15,Urban,FTTC,92.15%,0.96413,North West
B,50.53,Urban,FTTP,95.39%,0.96413,South East
B,7.02,Urjban,TTC,96.49%,0.50728,South East
B,30.2,Urban,FTTP,95.39%,0.26727,North West
,0.97,Urban,ADSL2,95.39%,2.66281,London
B,0.29,Rural,ADL2,90.88%,0.52838,Scotland
B,13.34,Urban,FTTC,95.92%,0.96413,North West
B,17.05,Urban,Cable,97.89%,1.08753,Lodnon
rB,17.98,Urban,FTTC,95.88%,0.96413,Scotland
B,7.29,rban,FTTC,95.90%,0.96413,Southj East
B,3.34,Rural,FTTC,96.88%,0.96413,Scotland
B,10.32,Rrual,FTTC,95.13%,0.65219,Suoth East
B,6.78,Urbn,FTTC,93.75%,0.96413,South East
A,0.93,Rrual,ADSL2,96.59%,0.52838,West Midlands
Hull,4.69,rban,FTTP,95.3%,0.26727,Yorkshire & Humberside
cB,49.41,Urban,FTTP,93.96%,0.96413,outh East
***,0.86,Urban,ADSL2,95.47%,2.66281,Scotland
B,8.71,Urban,FTTC,956.9%,0.96413,Scotland
B,6.17,Ruraul,FTTC,100.00%,0.96413,South East
B,1.46,Urban,FTTC,10r0.00%,0.96413,South West
Hull,20.92,Urban,FTTP,97.62%,0.26727,Yorkshire & Humberside
ull,35.84,Urban,FTTP,100.00%,0.26727,Yorkshire & Humberside
Hull,19.01,Urban,FTTP,95.35%,0.26727,Yorkshire & Humberside
B,3.12,Urban,FTTC,95.17%,0.50728,Scotland
Hlul,6.84,Rjural,FTTC,90.2%4,0.96413,Yorkshire & Humberside
B,32.02,Urban,Cable,95.27%,0.96413,South East
B,9.87,Urban,Cable,95.61%,1.08753,West Midlands
B,16.9,Rural,FTTC,95.88%,0.65219,Northvern Ireland
B,0.56,Urban,ADSL2,97.24%,2.66281,West Midlands
B,8.31,Uran,FTTC,95.39%,0.96413,South West
B,3.92,ural,FTTC,95.3%9,0.86356,East
B,15.21,Rural,FTTC,95.97%,0.96413,South East
B,9.7,Rural,FTTC,98.48%,1.56946,South East
B,155.06,Rurhal,FTTP,95.16%,0.29132,Scotland
B,9.18,Urban,FTTC,97.74%,0.50728,North East
qB,9.73,Urban,FTTC,95.68%,0.96413,North West
B,7.48,Urban,FTTC,95.1%,0.96413,East
B,20.81,Ubran,Cable,95.38%,1.08753,South East
B,50.49,Urban,FTTP,95.39%,0.96413,South East
B,8.42,Urban,yFTTC,95.88%,0.50728,Scotland
Hull,9.23,Rural,FTTP,93.98%,0.29132,Yorkshire & Humberside
B,20.18,Urban,FTTP,95.39%,0.96413,East
B,9.93,Urban,Cable,95.11%,1.08753,West Midlands
B,17.2,Urban,Cable,95.29%,1.08753,oSuth East
B,0.68,Urban,ADS2L,94.85%,2.66281,South Easct
***,9.79,Urbn,Cable,95.42%,1.08753,North West
B,7.3,Urban,FTTC,96.4%5,0.96413,South East
B,9.9,Urban,Cable,93.48%,1.08753,Wales
B,17.46,Urban,FTTC,95.61%,0.96413,North East
B,10.94,Urban,FTTC,99.37%,0.96413,Yorkshire & Humbersizde
B,36.26,Urban,Cable,94.72%,1.08753,South West
B,0.73,Rupral,ADL1,90.83%,0.96413,East
B,14.71,Urban,FTTC***,95.95%,0.96413,South East
B,35.66,Urbna,Cable,94.75%,1.08753,Souht East
B,0.64,Rural,ADSL2,95.39%,0.52838,Scotland
B,0.69,Rural,ADSqL2,0.00%***,0.52838,Wesyt Midlands
xB,22.14,Urban,Cable,95.60%,0.96413,South East
B,6.37,Urban,FTTC,95.39%,0.50728,South West
B,36.21,Urban,Cable,95.85%,0.96413,London
B,18.5,Urban,FTTC,95.43%,0.96413,Northern Irland
B,30.26,Urban,FTTP,95.39%,0.96413,South Wets
B,6.81,Urban,FTTC,95.58%,0.50728,Yorkshire & Humberside
B,10.56,Rural,TTC,95.99%,0.65219,Northern Ireland
B,3.18,Rural,FTTC,93.85%,0.96413,East
B,12.09,Urban,FTTC,95.63%,0.96413,North West
,9.36,Urban,FTTC***,95.39%,0.50728,South East
B,29.51,Rural,FTTP,94.90%,0.96413,Scotland
B,18.44,Rural,FTTC,96.12%,0.65219,Scotland
iB,16.07,Urban,FTTC,95.71%,0.96413,North West
B,8.94,Ruragl,FTTP,96.53%,0.29132,Northern Ireland
B,17.35,Urban,FTTC,96.21%,0.96413,Scotland
***,20.75,Urban,Cable,95.38%,1.08753,Scotland
B,0.79,Urban,ADSL2,9f5.39%,2.66281,South West
B,10.75,Urban,FTTC,94.81%,0.96413,West idlands
,32.36,Urban,Cable,94.55%,0.96413,Yorkshire & Humberside
B,0.35,Rural,FTTC,96.70%,0.96413,Scotland
B,15.62,Urban,FTTC,94.12%,0.96413,ales
B,0.65,Urban,ADSL2,95.00%,2.66281,Somuth East
B,20.17,bUrban,FTTP,95.39%,0.96413,South East
B,17.56,Rural,FTTC,95.44%,0.65219,South West
Hull,18.35,Urban,FTTP,98.70%,0.26727,Yorkshire & Humberside
B,50.54,Urban,FTTP,95.39%,0.96413,East
Hull***,9.07,Urban,FTTP,94.05%,0.26727,Yorkshire & Humbersidse
B,15.74,Urban,FTTC,96.48%,0.96413,Wales
,10.09,Urbna,FTTP,95.39%,0.96413,South West
B,1.58,Urban,FTTC,95.69%,0.96413,East Midlands
B,13.71,Urban,FTTC,96.03%,0.96413,Scotland
B,35.69,Urban,Cable,90.10%,0.96413,Scotland
rB,8.53,Urban,FTTC,100.00%***,0.50728,South East
B,51.26,ural,FTTP,96.07%,0.96413,South East
B,13.57,Rhural,FTTC,95.81%,0.96413,South East
B,7.94,Urban,FTTC,94.80%,0.96413,outh West
B,8.99,Urban,FTC,95.47%,0.96413,East
***,9.14,Urban,FTCT,95.14%,0.50728,North West
B,20.92,rUban,Cabel,95.39%,1.08753,East
***,18.27,Uran,FhTTC,4.77%,0.96413,Northern Ireland
B,30.03,Urban,FTTP,9.39%,0.26727,Scotland
B,18.59,Urban,FTC,95.11%,0.96413,East
B,18.26,Urban,FTTC,96.50%,0.96413,Yorkshire & Humberside
B,18.36,Urban,FTTC,97.10%,0.96413,West Midlands
B,9.19,Rural,FTTC,95.40%,0.86356,East
A,2.88,Rural,FTTC,95.61%,0.65219,Scotland
B,35.4,rban,Calbe,95.56%,0.96413,East
B,11.85,Rural,FTTC,95.43%,0.96413,West Midlands
B,8.74,rUban,FTTC,96.36%,0.50728,West Midlnds
B,8.98,Urban,FTTC,95.00%,0.50728,Nothern Ireland
B,11.87,Urban,FTTC,94.75%,0.96413,Sotuh East
B,8.84,Urban,FTC,96.50%,0.96413,North West
B,0.68,Urban,ADSL1,0.00%,2.18892,East Midlands
B,9.23,Urban,FTTC,95.65%,0.50728,Nortoh West
B,20.45,Rural,FTTP,95.01%,0.96413,East
,2.59,Rural,FTC,95.29%,0.96413,East Midlands
B,0.59,uRral,ADS1,6.33%,0.35144,North East
***,7.58,Urban,FTTC,95.86%,0.96413,West Midlands
B,18.51,Urban,FTnTC,97.18%,0.96413,Wales
B,17.71,Uorban,FTTC,94.51%,0.96413,Sout East
B,7.82,Urban,FTTC,95.39%,0.50728,North West
,6.01,Urban,FTTC,94.09%,0.96413,Scotland
B,20.19,Uban,FTTP,95.39%,0.96413,Wales
B,9.06,Urban,FToTC,94.96%,0.50728,Yorkshire & Humberside
B,11.92,Urban,FTTC,95.11%,0.96413,West Midlands
B,17.44,Urban,FTTC,93.86%,0.96413,Lndon
B,1.51,Rural,Fixed Wireeless,95.3%9,0.96413,Yorkshire & Humberside
B,4.26,Urban,Cable,96.46%,1.08753,Wales
B,0.94,Rural,FTTC,95.39%,0.65219,Northern Ireladnd
B,18.12,ural,FTTC,95.94%,0.96413,South West
B,50.09,Urban,FTTP,95.39%,0.96413,Wiales
B,36.67,rban,Cable,95.32%,0.96413,East Midlands
B,18.34,Urban,TTC,96.12%,0.96413,Yorkshire & Humberside
B,8.97,Urban,FTTC,95.93%,1.75829,North East
B,50.37,Urban,TTP,95.39%,0.26727,North West
B,16.39,Urban,FTTC,96.66%,0.96413,Yorkshire & Humberside
B,13.26,Urban,FTTC,94.95%,0.96413,East
B,13.61,Urban,FTTC,95.69%,0.96413,North West
B,9.3,Rural,FTTC,95.68%,0.86356,Scotland
,30.23,Urban,FTTP,95.39%,0.96413,North West
B,19.29,Urban,FTTC,95.09%,0.96413,London
ull,4.67,Urban,FTTP,96.51%,0.26727,Yorkshire & Humberside
B,29.95,Rual,FTTP,95.39%,0.96413,Wales
B,18.03,Urban,FTTC,96.66%,0.96413,North East
B,9.06,Urban,FTCT,94.74%,0.50728,East
B,8.63,Urban,FTTC,95.45%,0.96413,North West
B,2.38,Rural,FTTC,96.34%,0.86356,Northern Ireland
B,20.93,Urban,Cable,94.17%,1.08753,South West
B,5.77,Urban,FTTC,95.71%,0.50728,Wales
B,18.05,Urban,FTTC,95.39%,0.96413,London
hB,5.52,Urban,FTTC,95.83%,0.50728,East
B,0.44,Rural,ADSL1,0.00%,0.35144,South West
B,28.25,Rural,TTP,95.40%,0.96413,Eastm Midlands
B,11.29,Urban,FTTC,93.94%,0.96413,South East
B,4.98,Urban,Cable,95.42%,1.08753,Scotland
B,0.67,Rural,ADSLr2,92.05%,0.96413,Walse
,18.27,Unrban,FTTC,95.25%,0.96413,West Midlands
B,0.66,uRral,FTTC,90.14%,0.96413,East
B,20.17,Urban,Cable,95.21%,1.08753,South East
B,0.78,Urban,ADSL2,95.01%,2.66281,Scotland
B,18.15,Urban,FTTC,95.22%,0.96413,South ast
B,30.45,Rural,FTPT,93.79%,0.29132,South East
B,17.92,Urban,kFTTC,95.99%,0.96413,South East
B,17.77,Rural,FTTC,93.79%,0.65219,South West
B,5.68,Urban,FTTC,95.69%,0.96413,South East
