agency_number,agency_name,class_field,class_description,statutory_reference,calendar_year,monthvalue,total_amount
71500,TEACHERS RETIREMENT SYSTEM,340,Teachers Retirement System Ded,TITLE 62 SECTION 34.93,2011,7,$46382771.90
74000,STATE TREASURER,200,St Treasurer's Revolv Fund,"TITLE 62, SEC. 89.5",2011,7,$726393.04
74000,STATE TREASURER,210,State Land Reimbursement Fund,"TITLE 62, SEC. 194",2011,7,$0.00
74000,STATE TREASURER,215,Sec Lend & Cust Fee Revol Fund,"TITLE 62, SECTION 90",2011,7,$114095.62
74000,STATE TREASURER,220,Oklahoma Taxpayer Relief Revol,"TITLE 68, SECTION 2355.2",2011,7,$25000.00
74000,STATE TREASURER,260,Unclaimed Property Fund,"TITLE 60, SECTION 668",2011,7,$4092121.50
74000,STATE TREASURER,265,Unclaimed Prop Clearinghse Fnd,"TITLE 60, SECTION 668.1",2011,7,$0.00
74000,STATE TREASURER,270,Statewide Circuit Eng Dist Rev,,2011,7,$0.00
74000,STATE TREASURER,275,Seed for OK Kids,,2011,7,$251943.03
74000,STATE TREASURER,315,EDGE Fund,,2011,7,$253.29
74000,STATE TREASURER,820,OCIA 1998 Lease Rev Sinking Fd,"TITLE 73, SEC. 177.1",2011,7,$0.00
74000,STATE TREASURER,822,OCIA 1999A Rev Bnd Sinking Fnd,"TITLE 73, SECTION 301",2011,7,$1487692.92
74000,STATE TREASURER,824,OCIA 1999B Rev Bnd Sinking Fd,"TITLE 73, SECTION 301",2011,7,$167126.01
74000,STATE TREASURER,826,OCIA 1999C Rev Bnd Sinking Fnd,"TITLE 73, SECTION 301",2011,7,$27316.65
74000,STATE TREASURER,828,OCIA Fac Rev Bnd Snk Fnd 1999D,"TITLE 73, SECTION 151, 168,178,182 & 301",2011,7,$70904.47
74000,STATE TREASURER,829,OCIA Fac Rev Bnd Snk Fnd 2003C,"TITLE 73, SECTION 153-A",2011,7,$1263268.47
74000,STATE TREASURER,830,OCIA Fac Rev Bnd Snk Fnd 2003D,"TITLE 73, SECTION 153-A",2011,7,$189924.82
74000,STATE TREASURER,831,OCIA Fac Rev Bnd Snk Fnd 2003E,"TITLE 73, SECTION 153-A",2011,7,$1354807.83
74000,STATE TREASURER,832,OCIA Fac Rev Bnd Snk Fnd 2004A,"TITLE 73, SECTION 151 ECT",2011,7,$9683573.21
74000,STATE TREASURER,833,OCIA Fac Rev Bnd Snk Fnd 2005A,"TITLE 73, SECTION 163",2011,7,$58759.54
74000,STATE TREASURER,834,OCIA Fac Rev Bnd Snk Fnd 2005C,"TITLE 173, SECTION 161",2011,7,$158936.22
74000,STATE TREASURER,835,OCIA Fac Rev Bnd Snk Fnd 2005D,"TITLE 173, SECTION 161",2011,7,$178432.25
74000,STATE TREASURER,837,OCIA 2006 REVENUE BOND SINKING,"TITLE 73, SECTION 161",2011,7,$138936.01
74000,STATE TREASURER,838,OCIA 2005F REVENUE BOND SINKIN,"TITLE 73, SECTION 161",2011,7,$18894141.60
74000,STATE TREASURER,839,OCIA 2005G Revenue Bond Sinkin,TITLE 73 SECTION 161,2011,7,$162258.07
74000,STATE TREASURER,842,2006D VRDO Revenue Bond Sinkin,TITLE 73 SECTION 161,2011,7,$1064487.44
74000,STATE TREASURER,843,2006C Revenue Bond Sinking Fun,TITLE 73 SECTION 161,2011,7,$126952.48
74000,STATE TREASURER,865,St Ok Inst Bldg Bonds 65 Fund,"TITLE 62, SEC. 57.63",2011,7,$29332.55
74000,STATE TREASURER,868,St Ok Building Bonds-68 Fund,"TITLE 62, SEC. 57.125",2011,7,$17168.73
74000,STATE TREASURER,872,Cap Impvmnt Auth Rev Bonds 86,"TITLE 73, SEC. 153",2011,7,$45108.97
74000,STATE TREASURER,875,Cap Impvmnt Auth Lease Revenue,"TITLE 73, SEC. 153",2011,7,$56491.22
74000,STATE TREASURER,876,Cap Impvmnt Auth Bldg Bonds,"TITLE 73, SEC. 168 D",2011,7,$201.56
74000,STATE TREASURER,878,Cap Impvmnt Bldg Bnds Sink Fun,"TITLE 73, SEC. 153",2011,7,$210.26
74000,STATE TREASURER,893,OK Bldg Refunding Bonds-2003,"TITLE 73, SECTION 155",2011,7,$27508.79
74000,STATE TREASURER,894,OCIA 94A Rev Refund Sink Fund,"TITLE 62, SEC. 7.5",2011,7,$244188.37
74000,STATE TREASURER,895,OCIA Fac Rev Bond Sinking Fd,"TITLE 73, SEC 178-182",2011,7,$0.15
74000,STATE TREASURER,896,OCIA Fac Rev Bond Reserve Fund,"TITLE 73, SEC 178-182",2011,7,$9804.05
74000,STATE TREASURER,897,OCIA St Off Bldg Bond Sinking,"TITLE 73, SEC 168.5",2011,7,$17485.16
75000,TULSA COMMUNITY COLLEGE,290,Educ & Gen Oper Revolv Fund,"TITLE 70, SEC. 3901",2011,7,$983842.69
75000,TULSA COMMUNITY COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$650394.57
75000,TULSA COMMUNITY COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$46539.30
75000,TULSA COMMUNITY COLLEGE,470,Bldg Leasehold Fund Cap Outlay,"TITLE 70, SEC. 4413 C AND 3206 J",2011,7,$89039.00
75000,TULSA COMMUNITY COLLEGE,475,Revenue Bonds Student Center,"TITLE 70, SEC. 4001, 4004, 4006",2011,7,$4938.72
75000,TULSA COMMUNITY COLLEGE,479,Capital Bond Projects,,2011,7,$0.00
75000,TULSA COMMUNITY COLLEGE,483,Tulsa Comm Coll District Bonds,"TITLE 62, SEC. 7.5",2011,7,$5000.00
75000,TULSA COMMUNITY COLLEGE,490,American Recov. & Reinv. Act,,2011,7,$0.00
75300,UNIFORM BUILDING CODE COMMISSION,285,OK Unif Bldg Code Comm Rev Fnd,,2011,7,$458576.26
75300,UNIFORM BUILDING CODE COMMISSION,490,American Recov. & Reinv. Act,,2011,7,$0.00
75500,USED MOTOR VEHICLE & PARTS,200,Ok Used Motor Veh & Parts Fund,"TITLE 47, SEC. 582 F",2011,7,$742128.34
76000,UNIVERSITY OF OKLAHOMA,290,Educ & Gen Oper Revolv Fund,"TITLE 70, SEC. 3901",2011,7,$31546897.71
76000,UNIVERSITY OF OKLAHOMA,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$0.00
76000,UNIVERSITY OF OKLAHOMA,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$21149686.13
76000,UNIVERSITY OF OKLAHOMA,460,Donated Funds Capital Impvmnts,"TITLE 70, SEC. 3305",2011,7,$1955177.80
76000,UNIVERSITY OF OKLAHOMA,476,Reg Of OU Stud Facil Rev Bonds,"TITLE 70, SEC. 4001",2011,7,$88910785.81
76000,UNIVERSITY OF OKLAHOMA,479,Capital Bond Projects,,2011,7,$0.00
76000,UNIVERSITY OF OKLAHOMA,490,American Recov. & Reinv. Act,,2011,7,$3687899.31
76000,UNIVERSITY OF OKLAHOMA,495,Federal Construction Fund,"TITLE 70, SEC. 3305",2011,7,$0.00
76000,UNIVERSITY OF OKLAHOMA,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$5220833.58
76000,UNIVERSITY OF OKLAHOMA,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$3700894.17
76100,UNIV. OF OKLA. LAW CENTER,290,Educ & Gen Oper Revolv Fund,"TITLE 70, SEC. 3901",2011,7,$996194.82
76100,UNIV. OF OKLA. LAW CENTER,490,American Recov. & Reinv. Act,,2011,7,$0.00
77000,UNIV. OF OKLA. HEALTH SCIENCE CENTER,290,Educ & Gen Oper Revolv Fund,"TITLE 70, SEC. 3901",2011,7,$60333236.04
77000,UNIV. OF OKLA. HEALTH SCIENCE CENTER,293,Comp Univ Capital Projects Rev,TITLE 62 SECTION 46.1,2011,7,$0.00
77000,UNIV. OF OKLA. HEALTH SCIENCE CENTER,296,Comp. Cancer Ctr Debt Service,"TITLE 62, CH 1, SEC 160.1",2011,7,$8889415.97
77000,UNIV. OF OKLA. HEALTH SCIENCE CENTER,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$68635499.21
77000,UNIV. OF OKLA. HEALTH SCIENCE CENTER,475,Bond Projects Fund,"TITLE 70, SEC. 4006",2011,7,$10231505.78
77000,UNIV. OF OKLA. HEALTH SCIENCE CENTER,490,American Recov. & Reinv. Act,,2011,7,$2622348.53
77100,OUHSC PROF. PRAC. PLAN.,444,Auxiliary Travel & Payroll,"TITLE 74, SECTION 500.3",2011,7,$9785267.97
77200,BD. OF CHEM. TEST ALCOHOL/DRUG,200,Revolving Fund,"TITLE 47, CH 67, SEC 759",2011,7,$7948.93
77300,OSU-COLLEGE OF OSTEOPATHIC MED.,290,Educ & Gen Oper Revolving Fund,"TITLE 70, SEC. 3901",2011,7,$4407688.12
77300,OSU-COLLEGE OF OSTEOPATHIC MED.,293,Comp Univ Capital Projects Rev,TITLE 62 SECTION 46.1,2011,7,$0.00
77300,OSU-COLLEGE OF OSTEOPATHIC MED.,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$1307945.35
77300,OSU-COLLEGE OF OSTEOPATHIC MED.,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$2052751.78
