crimeid,monthvalue,reportedby,outcometype,latitude,fallswithin,locationvalue
04a1ba815dd141f177926e6f30f9cb45da48f0a234e9e230d3610e985745b4ce,2023-05,Gloucestershire Constabulary,Suspect charged,51.864813,Gloucestershire Constabulary,No location
c77f6d3e955b242eae9024cd9f0994f4e6e1652b65df067a2f81d47455003f93,2023-05,Gloucestershire Constabulry,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
1a792b6bd566219e8d28be917da537bd88ec0e81bbdd33fc86e63a7a6bb07f23,2023-05,Glouclestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
721859e201adbdd0cdc78bc752b984791890c9520562e5e8301878b42d7e8613,2023-05,Gloucestgershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
282a4bd7ebd4b6b7a60d1f8fb9536c9332fe21d25864681319dca6fd201123cc,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
2d81a95ec6483a0ab1ddb87030d19bd310e2b0acd76adbcee73d3dd50dc7fc07,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucesetrshire Constabulary,No location
b338c26c9687875bcdc21109e35db146fbf2c1f7da362969a62bf2a193785807,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
465b6deeab5c419dfdf19da4720a78defc01aa159aa179b683279a0755fee7fa,2023-05,Gloucestershire Constabulary,Investigation complee; no suspect identified,51.864813,Gloucestershire Constabulary,No location
4378658db40fccf1ce96d3309f74dacef5b220fe43fef0d4a3682c0c477c1759,2023-05,Gloucestershire Constabulary,Action to be taken by another organisation,51.864813,Gloucestershire Constabulary,No location
1de30d3e504ea6ce8a3bfac9a4c79314f5da652ddd32193cd0484d91fc1ae6b1,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
80f4c06e92c213b3e34aa64a8992de368fef782b238139210ea1604dcb13fc13,2023-0s5,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
7862d9613ff9fa36432324eebd60797e429ba8ed7e47186ec61d9a827e5dcebd,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
42f79a0840bb970e4078a55e0aecc0d8d5e75c8cc13a8874df16d944a7ceb312,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
7ddd3410ff271fa06fa82a302512bb867bc3b99312510bda44f261bcadbd31b2,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
8e3d16ec24368610e74438221bcefe9a0acac61a23753159d0c46bcd5b1508ea,2023-05,jGloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
026ca536e9a4f2864db7fa7bd480fa9e7b51ea3f9b69e824d97c72603902984c,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
0a916ffc0207a139b5b814de594184a2ab31b08719ca7c491c2b57545fd2cea9,2023-05,Gloucestersihre Constabulary,Suspect charged,51.864813,Gloucestershire Constabulary,No location
0a916ffc0207a139b5b814de594184a2ab31b08719ca7c491c2b57545fd2cea9,2023-05,Gloucestershire Constabulary,Suspect charged,51.864813,Gloucestershire Consrtabulary,No location
d016cf689478d4fc131cac23c8a8697aa4a53600e40a8de8bbe26389b674153d,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
dc461a165b82e49bcf8459e3bbf888ad4c41fb8a855fbab38047c7053e1e8382,2023-05,Gloucestershire Constabulary,Formal action is not in the public interest,51.864813,Gloucestershire Constabulary,No location
a3aa4af6f36ca3797b0d570f53b3c62ffd27f8dd89d627d706593cd97ebe61cb,2023-05,Gloucestershire Constabulary,ormal action is not in the public interest,51.864813,Gloucestershire Constabulary,No location
a3f85e670597f3cad7afd4d6c935b88cfa8bcb00f00ead38f8d13dab00378ebb,2023-05,Gloucestershire Constabulary,Suspect charged,51.864813,Gloucestershire Constabulary,No location
fb80601e2eb647d46c4ad381a626e4082a44a4c517a982f3b495bba4241354c0,2023-05,Gloucestershire Constabulary,Formal action is not in the public interest,51.864813,Gloucestershire Constabulary,No location
94010bc85282f70a570833edd86dd673cf43b8797db2b17e90910c5401221726,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
48beb8f9e54b4d91af2fb28eda38cf10c12af16fd7a64de66b4b4bcf773bf902,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
baf3c1222c6796cabcfc6c4aac91cf8f3bd3b2acc50e18d5be11303f1a7f1e4f,2023-05,Gloucestershire Constabulary,Offender given a caution,51.864813,Gloucestershire Constabulary,No location
3e43b867accb9cf90f28e5e0dd7a2b33400319ccf55715ddaa33227f54d75733,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
f32c1d12b7c8334f06b3b35606347e9dbb3e1f7a688da0e3fff78857cc4e8693,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
d8b9b1f0d82f151a3c39d0bf90df5436ae27265546bdc226df1c3886835f9086,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
a5dfdde0bab495e3f49c4b0d83c5fdf741788f5247f2565fdec55f8d2ff5c9b9,2023-05,Gloucestershire Constabulary,Further action is not in the public interest,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
24d8d181604e2e83097e8d01995176555c1e3cc1f614f3c6a02d9d95ec455294,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
e25f24ec107736589d5494387eebfb3f9f0a8656708678b5003a256f9c47f6de,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
700e2e1cb4ffe06bf8a85ea2f7829c412e4b8aac36ffaff4a28f2086c585872f,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
23bb89d6203dd6379f4fcb14294ba0c93106ca01834509d00e2dbd83493c0978,2023-05,Gloucestershire Constabulary,Formal action is not in the public interest,51.864813,Gloucestershire Constabulary,No location
54ad6110d841bccdaf6641151a8c89953f9e0b9a7d8c82736997def1d96dba58,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
8c6f26853c08c0d89533a0f17bac8226789ecd1c561ef2f3debd5df49a82674a,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
88d43e079ff58d26f88dfc1c9634cc9c0bf93e3e4b63560bd31f81dfd2633927,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
4be5781f84ffe84ec9d7a7e0f49b08701af2e6251a4e549600199994e480b655,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
c82ffe622d0b6e2d49dfec72affce0cd360dae33884e2f9d4b5e4529128f6fd5,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Formal action is not in the public interest,51.864813,Gloucestershire Constabluary,No location
4be5781f84ffe84ec9d7a7e0f49b08701af2e6251a4e549600199994e480b655,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
005e85cdc55347f7b55494a805c021d6e5401c02c22d1576396b83695048e86f,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,223-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
09475b031c091816a86d6c89737d4741541a53cb9b7572045b09ff6a7e51cfc2,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Suspect charged,51.864813,Glocuestershire Constabulary,No location
3c35ef44b8bb5734776d030d2097254b104dcf565021ef465d514bde782c34ee,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
4be5781f84ffe84ec9d7a7e0f49b08701af2e6251a4e549600199994e480b655,2023-05,Gloucesterrshire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
edf320165026595bc617f751dfc27c8f9f77857313dddb40ee8ce66b5ed056be,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
3560c3fed3ed9bf9b8b6dfa6bfe7f726df978f894c0155d6d079ddab78866f02,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
4be5781f84ffe84ec9d7a7e0f49b08701af2e6251a4e549600199994e480b655,2023-05,GloucestershireC onstabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
4be5781f84ffe84ec9d7a7e0f49b08701af2e6251a4e549600199994e480b655,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-50,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
755ab9da0975273a1ef9af72cd668661d0284699c2fef658f92593145497aad9,2023-05,Gloucestershire Constabulary,Formal action is not in the public interest,51.864813,Gloucestershire Constabulary,No location
cfbcd42165cec3dad4f4418cfc41b6cb63f40c6e1c7d7163612491ef81b456d0,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
3fa6ecd81c2c0554287dd2e00b0976c7681c78a5cd4ef4bc146e13755b810e00,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-50,Gloucestershire Constabulary,Action to be taken by another organisation,51.864813,Gloucestershire Constabulary,No location
a92775eff62196c0361e9a561e5c62cbdf17d3933cc469378b41c63ca645f161,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,nable to prosecute suspect,51.864813,Gloucestershire Constabluary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Formal action is not in the public interest,51.864813,Gloucestershire Constabulary,No location
9a1d61aa88d4ef5ddc1d0f82d16cb0b356da27a05ad748b014e699c22d915285,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucetershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecuteb suspect,51.864813,Gloucestershire Constabuary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
4be5781f84ffe84ec9d7a7e0f49b08701af2e6251a4e549600199994e480b655,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
4be5781f84ffe84ec9d7a7e0f49b08701af2e6251a4e549600199994e480b655,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
659bf516dab7be28620389113f3bf0f10d45a5b344637f4dfe7d89c689c57727,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute usspect,51.864813,Gloucetsershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Investgiation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
1a8ded191121aa59bc9e87388154c44b5bbb21225e3eca1b3df46f0af6b339d4,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.71573,Gloucestershire Constabulary,On or near Maplefield
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,lGoucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
54096d9aeca058a74450e9e94a3a4e42736787af9d1a1d77d9202ad43d74a685,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,On or near
e05a5f016e4dfce221d460b0c3fc786de8c462be10d7e4cfb895217c47cd3e30,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.866823,Gloucestershire Constabulary,On or near College Street
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,202-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,loucestershire Constabulary,No location
5e2df8a8702f9a23be32108b6d3799960fd654906a3cbbf04821f4ab97e280d4,2023-05,Gloucestershire Constabulary,Unable to prosecue suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucesttershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
4be5781f84ffe84ec9d7a7e0f49b08701af2e6251a4e549600199994e480b655,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Formal action is not in the public interest,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,202i3-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershir eConstabulary,Unaqble to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
4be5781f84ffe84ec9d7a7e0f49b08701af2e6251a4e549600199994e480b655,2023-05,Gloucestershire Constabulary,Action to be taken by another organisation,51.864813,Gloucestershire Constabulary,No location
4be5781f84ffe84ec9d7a7e0f49b08701af2e6251a4e549600199994e480b655,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
1c3e9fc11b832b907c3edfba4da3543054acc3b8512074594391da73c62f9c20,2023-05,Gloucestershire Constabulary,Local resolution,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable o prosecute suspect,51.864813,loucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,nable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestrshire Constabulary,No location
11b49bbedd6272fbecf1b17172d9af8612bfeea8bca943fa913617fca47e1c8c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constaulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
1646485592d12ed1cb6162f1fff8c6885ad59d9ab390c605f294aa2ac855e4ca,2023-05,Gloucestershire Contsabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
7c78d29f8a1775f5ad17204b4d4bdd03771c6d3390fde368fb49accdfd53248e,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Local resolution,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Local resolution,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucesteshire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucesteshire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Cosntabulary,Investigation complete; no suspect identified,51.864813,Gloucestershire Constabulary,No location
a4d5eb38e89c2b19e0a6f2f957fdb5cdb2d57790e4ae0e0c81ee49b88814731c,2023-05,Gloucestershire Constabulary,Unable to prosecute suspect,51.864813,Gloucestershire Constabulary,No location
