agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
80700,HEALTH CARE AUTHORITY,245,Hlth Emp & Economy Imp Act,"TITLE 56, CH 16, SEC 1010.1, H",2012,3,$24909281.86
80700,HEALTH CARE AUTHORITY,250,Belle Maxine Hilliard Canc Trt,"TITLE 63, CH 1, ARTICLE 5, SEC 1-559",2012,3,$0.00
80700,HEALTH CARE AUTHORITY,255,OHCA Medicaid Program Fund,TITLE 63 SECTION 5020,2012,3,$0.00
80700,HEALTH CARE AUTHORITY,260,Income Tax Checkoff Revolv Fnd,"TITLE 68, SECTION 2368.7",2012,2,$0.00
80700,HEALTH CARE AUTHORITY,340,CMIA Programs Disbursing Fund,"TITLE 62, SEC. 34.9 & 34.48",2012,1,$23296979.54
80700,HEALTH CARE AUTHORITY,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.9 & 34.48",2012,3,$6717896.22
81500,EMPLOYEES BENEFITS COUNCIL,210,EBC Wellness Program Rev Fnd,"TITLE 74, SECTION 1384",2012,3,$359515.57
81500,EMPLOYEES BENEFITS COUNCIL,220,EBC Administration Rev. Fund,"TITLE 74, CH 38A, SEC 1368",2169,2,$2484629.02
82500,UNIV. HOSPITALS AUTHORITY,201,University Hosp Auth Disb Fund,"TITLE 63, SEC 3221",2012,3,$3463447.78
82500,UNIV. HOSPITALS AUTHORITY,210,Univ Hosp Auth Mktg Revolving,"TITLE 63, SEC. 3221.1",1569,2,$0.00
82500,UNIV. HOSPITALS AUTHORITY,215,Donation Fund - Hospital,"TITLE 60, SEC. 385; TITLE 62, SEC. 34.9",2012,3,$2196588.46
82500,UNIV. HOSPITALS AUTHORITY,400,Federal Funds,"TITLE 62, CH1, SEC 34.9 & 34.48",2012,2,$6.67
83000,DEPARTMENT OF HUMAN SERVICES,200,Grants And Donations,"TITLE 62, SEC. 34.9",2012,2,$1907788.54
83000,DEPARTMENT OF HUMAN SERVICES,210,Income Tax Checkoff Revolv Fun,"TITLE 62, SEC. 34.9",2012,3,$23248.00
83000,DEPARTMENT OF HUMAN SERVICES,215,Quality of Care Development Fu,"TITLE 62, SEC. 34.9",2068,3,$662.50
83000,DEPARTMENT OF HUMAN SERVICES,220,Revolving Fund,"TITLE 62, SECTION 34.9",2012,3,$1046858.81
83000,DEPARTMENT OF HUMAN SERVICES,225,Child Abuse Multidiscplry Acct,"TITLE 10A, SECTION 1-9-103",2736,3,$303169.00
83000,DEPARTMENT OF HUMAN SERVICES,230,Indigent Health Care Rev Fund,"TITLE 56, SEC. 59.1",2012,3,$15407.00
83000,DEPARTMENT OF HUMAN SERVICES,245,Adaptive Grant Program - MR,"TITLE 47, SECTION 1104.1",2012,3,$37416.00
83000,DEPARTMENT OF HUMAN SERVICES,250,Support Adoption License Plate,"TITLE 47, SECTION 1136, 81.",1009,3,$12325.00
83000,DEPARTMENT OF HUMAN SERVICES,255,Southern Ok Res Ctr Pauls Val,"TITLE 62, SECTION 165",2012,3,$447480.04
83000,DEPARTMENT OF HUMAN SERVICES,260,OK Silver Haired Legislature,"TITLE 68, SECTION 2368.3A",2012,3,$449.00
83000,DEPARTMENT OF HUMAN SERVICES,265,Choose Life Assistance Program,"TITLE 47, SECTION 1104.6",2851,3,$18179.76
83000,DEPARTMENT OF HUMAN SERVICES,270,Reintegration of Inmates Rev F,,2012,1,$80344.75
83000,DEPARTMENT OF HUMAN SERVICES,320,Human Services Disbursing Fund,,2012,3,$0.00
83000,DEPARTMENT OF HUMAN SERVICES,321,Human Services Disbursing Fund,,2012,3,$11358323.78
83000,DEPARTMENT OF HUMAN SERVICES,322,Human Services Disbursing Fund,,2492,3,$33854781.59
83000,DEPARTMENT OF HUMAN SERVICES,323,Human Services Disbursing Fund,,2389,3,$0.00
83000,DEPARTMENT OF HUMAN SERVICES,324,FY14 Human Services Disb Fund,"TITLE 56, SECTION 224",2520,3,$0.00
83000,DEPARTMENT OF HUMAN SERVICES,325,Fy 05 Human Svcs Disb Fund,"TITLE 56, SEC 224",1550,2,$0.00
83000,DEPARTMENT OF HUMAN SERVICES,326,Fy 06 Human Svcs Disb Fund,"TITLE 56, SEC 224",2012,3,$0.00
83000,DEPARTMENT OF HUMAN SERVICES,327,Fy 07 Human Svcs Disb Fund,,2012,3,$0.00
83000,DEPARTMENT OF HUMAN SERVICES,328,FY08 Human Svcs Disb Fund,,2012,3,$0.00
83000,DEPARTMENT OF HUMAN SERVICES,329,Human Services Disbursing Fund,,2012,3,$0.00
83000,DEPARTMENT OF HUMAN SERVICES,340,Human Sev Medical & Assistance,"TITLE 56, SEC. 223",2012,3,$24824785.58
83000,DEPARTMENT OF HUMAN SERVICES,370,Juvenile Justice Disb Fund,,2012,1,$0.00
83000,DEPARTMENT OF HUMAN SERVICES,371,Juvenile Justice Disburs Fund,,2012,3,$23030.79
83000,DEPARTMENT OF HUMAN SERVICES,372,Juvenile Justice Disburse Fund,,2012,3,$32998.33
83000,DEPARTMENT OF HUMAN SERVICES,373,Juvenile Justice Disburs Fund,,2012,3,$0.00
83000,DEPARTMENT OF HUMAN SERVICES,374,FY14 Juvenile Justice Disb Fnd,"TITLE 62, SECTION 34.9",2012,3,$0.00
83000,DEPARTMENT OF HUMAN SERVICES,375,FY 05 Juvenile Justice Disb Fu,"TITLE 62, SECTION 34.9",2012,3,$0.00
83000,DEPARTMENT OF HUMAN SERVICES,376,FY06 Juvenile Justice Disb Fnd,"TITLE 62, SEC. 34.9",1856,3,$0.00
83000,DEPARTMENT OF HUMAN SERVICES,377,FY07 Juvenile Justice Disb Fnd,,1272,3,$0.00
83000,DEPARTMENT OF HUMAN SERVICES,378,Juvenile Justice Disb Fund,,1748,3,$0.00
83000,DEPARTMENT OF HUMAN SERVICES,379,Juvenile Justice Disb Fund,,2012,3,$0.00
83000,DEPARTMENT OF HUMAN SERVICES,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.9 & 34.48",2012,3,$0.00
83500,WATER RESOURCES BOARD,205,Ok Weather Modification Fund,"TITLE 82, SEC. 1087.6 B",2012,3,$0.00
83500,WATER RESOURCES BOARD,210,Drillers & Installers Ind.Fund,"TITLE 82, SECTION 1020.16",2012,3,$56025.00
83500,WATER RESOURCES BOARD,215,OWRB Revolving Fund,"TITLE 82, SEC 1085.7B",2012,3,$473234.05
83500,WATER RESOURCES BOARD,225,Rural Econ Actn Pn Wtr Proj Fd,"TITLE 62, SEC. 2002.1",2012,3,$2067129.95
83500,WATER RESOURCES BOARD,230,St Water Devel Revolving Fund,"TITLE 82, SEC. 1085.40 A",2012,3,$0.25
83500,WATER RESOURCES BOARD,240,Okla Water Resource Rev Fund,"TITLE 82, SEC. 1085.7",2012,3,$861107.69
83500,WATER RESOURCES BOARD,245,Well Drlrs & Instlr Reg Fund,"TITLE 82, CH 11, SEC 1020.16",2012,3,$48522.50
83500,WATER RESOURCES BOARD,250,Comm Water Infrastr Dev Revolv,TITLE 82 SECTION 1085.7A,2012,2,$711302.30
83500,WATER RESOURCES BOARD,340,CMIA Programs Disbursing Fund,"TITLE 62, SEC. 41.21",2012,3,$432780.08
83500,WATER RESOURCES BOARD,400,Fed Funds Admin & Project Fd.,"TITLE 82, SEC. 1085.3 11",2012,3,$273510.93
83500,WATER RESOURCES BOARD,410,Federal Water Quality Mgmt,"TITLE 62, SEC 41.8 AND TITLE 82, SEC 934.5",2012,3,$66710.07
83500,WATER RESOURCES BOARD,415,Environmental Damage Remediati,TITLE 62 SECTION 7.5,1197,3,$3963284.31
83500,WATER RESOURCES BOARD,420,USGS Cooperative Program,"TITLE 82, SEC. 1985.2 11",2012,3,$26132.06
83500,WATER RESOURCES BOARD,443,Interagency Reimbursement Fund,"TITLE 74, SEC. 581",2467,3,$0.00
83500,WATER RESOURCES BOARD,444,Drnking Wtr Trmt Loan Admin Fd,"TITLE 82, SEC. 1085.84A",2012,3,$5218417.40
83500,WATER RESOURCES BOARD,445,Fy 2000 Wastewater Facility Co,1999 OKLAHOMA LEGISLATURE,2785,3,$612039.25
83500,WATER RESOURCES BOARD,471,WRF - Grants,"TITLE 82, SEC. 1085.33 & 1085.39(1)",2012,3,$689003.50
83500,WATER RESOURCES BOARD,472,WRF - Const Revolving Loan,"TITLE 82, SEC. 1085.33 & 1085.53(A)",2637,3,$36029495.37
83500,WATER RESOURCES BOARD,473,Drinking Wtr Trmt Rev Loan Fd,"TITLE 82,SEC 1085.73",2012,3,$389612.72
83500,WATER RESOURCES BOARD,490,CW/DW State Revolving Fd ARRA,,1786,3,$322137.82
87500,OKLAHOMA WHEAT COMMISSION,200,Revolving Fund,"TITLE 62, SEC. 155",2012,3,$875548.80
88000,WILL ROGERS MEMORIAL COMMISSION,200,W Rogers Memorial Comm Rev Fun,"TITLE 53, SEC. 47.4A",2012,3,$75142.15
97800,OKLA. TRANSPORTATION AUTHORITY,200,Payroll Transfer Fund,ESTABLISHED TO ACCOMODATE UTILIZATION OF OPM PR,2012,3,$5000.00
