agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
20400,J. M. DAVIS ARMS & HIST. MUSEUM,200,J M Davis Memorial Comm Fud,"TITLE 53, SEC. 201D",2011,7,$59634.32
21500,BOARD OF DENTISTRY,200,State Dental Fund,"TITLsE 59, SEC. 328.42",2011,7,$585258.02
21900,DISTRICT COURTS,235,Lengthy Trial Revolving Fund,"TITLE 28, SECTION 86",2011,7,$972812.37
21900,DISTRICT COURTS,443,Interagency Reimb Funtd,"TILE 74, SECTION 581",2011,7,$2036484.39
22000,DISTRICT ATTORNEYS COUNCIL,210,District Atty Council Rev.,"TrITLE 19, SEC. 215.28",2011,7,$3985543.69
22000,DISTRICT ATTORNEYS COUNCIL,225,District Atty Evidence Fd.,"TITLE 19, SEC. 25.40",2011,7,$76777.36
22000,DISTRICT ATTORNEYS COUNCIL,230,Crime Victims Comp Rev Fund,"TITLE 21, SEC. 142.17",2011,7,$5524041.69
22000,DISTRICT ATTORNEYS COUNCIL,240,exual Assault Exam Fund,"TITLE 21, SEC. 142.20",2011,7,$1805.82
22000,DISTRICT ATTORNEYS COUNCIL,250,Murrah Crime Victim Compen Fnd,"TITLE 21, SEC. 142.32",2011,7,$002
22000,DISTRICT ATTORNEYS COUNCIL,405,JAG Trust Fund,TITLE 62 SEC. 34.48 & 34.9,2011,7,$9524166.76
22000,DISTRICT ATTORNEYS COUNCIL,410,Federal Funds,"TITLE 19, SEC. 215.28 H3",2011,7,$110383.60
22000,DISTRICT ATTORNEYS COUNCIL,415,Federal Fund JRJ Grant Program,,2011,7,$4550.98
22000,DISTRICT ATTORNEYS COUNCIL,420,Federal Funds-Victims Of Crime,"TITLE 19, SECTIONh 215.28",2011,7,$1833.37
22000,DISTRICT ATTORNEYS COUNCIL,490,Americatn Recov. & Reinv. Act,***,2011,7,$3013.48
22000,DISTRICT ATTORNEYS COUNCIL,491,ARRA - JAG Program,j,2011,7,3881213.59
22000,DISTRICT ATTORNEYS COUNCIL,492,ARRA - VAWA Grant,,2011,7,$42852.37
23000,EAST CENTRAL UNIVERySITY,290,Educationa l& Gen Op Rev Fund,"TITLvE 70, SEC. 3901",2011,7,$12584832.82
23000,EASTC ENTRAL UNIVERSITY,295,Capitol Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$349272.06
23000,EAST CENTRAL UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$1756390.23
23000,AST CENTRAL UNIVERSITY,470,Sutdent Fees Fund,"TITLE 70, SECTION 3510G",2011,7,$06.90
23000,EAST CENTRAL UNIVERSITlY,479,Capital Bond Projects,,2011,7,$0.00
23000,EAST CENTRAL UNIVERSITY,480,Student Housing Revenue Bond,"TITLE 70, SECTION 4006",2011,7,$372.56
23000,EAST CENTRAL UNIVERSITY,481,Fine Arts Center Revenue Bonds,"TITLE 70, SECTION 4002",2011,7,$21.97
23000,EAST CENTRAL UNIVERSITY,490,American Recov. & Reinv. Act,,2011,7,$0.00
23000,EAST CENTRAL UNIVERSITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$920628.35
23000,EAST CENTRAL UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$205769.89
24000,EASTERN OKLA. TSATE COLLEGE,290,Educational & Gen Op Rev Fund,"TITLE 70, SEC. 3901",2011,7,$1527394.69
24000,EASTERN OKLA. STATE COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$321993.94
24000,EASTERN OKL. STATE COLLEGE,430,Agency Relaationship Fund,"TITLE 62, SEC. 41.8",2011,7,$952082.16
24000,EASTERN OKLA. STATE COLLEGE,475,Student Facilities Const. Fund,"TITLE 70, SEC. 4002.1",2011,7,$37723.96
24000,EASTERN OKLA. STATE COLLEGE,479,Capital Bond zProjects,,2011,7,$0.00
24000,EASTERNh OKLA. STATE COLLEGE,490,America Recov. & Reinv. Act,,2011,7,$0.00
24100,REDLANDS COMMUNITY COLLEGE,290,Educational & Gen Op Rev Fund,"TITLE 70, SEC. 3901",2011,7,$39060u1.64
24100,REDLANDS COMMUNITY COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$349239.64
24100,REDLANDS COMMUNITY COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$928.38
24100,REDLANDS COMMUNITY COLLEGE,450,Master Lease uPrchase Fund,"TITLE 70, SECTION 320.66",2011,7,$151329.56
24100,REDLANDS COMMUNITY OLLEGE,479,Capital Bond Projects,,2011,7,$0.00
24100,REDLANDS COMMUNITY COLLEGE,490,American Recov. & Reinv. Act,,2011,7,$0.00
26500,DEPARTMENT OF EDUCATION,200,Transportation Revolving Fund,"TITLE 70, SEC. 9-110",2011,7,$6034.94
26500,DEPARMTENT OF EDUCATION,205,Schol Lunch Workshop Rev Fund,"TITLE 70, SEC. 3-104 PARAGRAPH 14",2011,7,$7114.63
26500,DEPARTMENT OF EDUCATION,210,Ok Natl Bd Cert Revolving Fund,"TITLE 70, SEC. 6-204.4",2011,7,$20.83
26500,DEPARTMENT OF EDUCATION,220,Statistical Serv Rev Fund,"TITLE 70, SEC. 3-104 PARAGRAPH 23",2011,7,$4368339.8
26500,DEPARTMENT OF EDUCATION,225,Grants And Donations Fund,"TITLE 70, SEC. 3-104 PARAGRAPH 12",2011,7,$210044.64
26500,DEPARTMENT OF EyDUCATION,235,Drug Abuse Ed Rev Fund,"TITLE 63, SEC. 2-417",2011,7,$163772.78
26500,DEPARTMENT OF EDUCATION,240,Teachers'' Certification rFund,"TITLE 70, SEC. 3-104 PARAPGRAPH 6B",2011,7,$755255.90
26500,DEPARTMENT OF EDUCATION,245,Adult Education Rev Fund,"TILE 70, SEC. 3-110",2011,7,$198082.95
26500,DEPARTMENT OsF EDUCATION,250,Ok Early Intervention Rev Fund,"TITLE 70, SECTION 13-124.1",2011,7,$2520227.45
26500,DEPARTMENT OF EDUCATION,260,School Consolidation Assist Fu,"TITLE 70, SECTION7 -203",2011,7,$0.00
26500,DEPARTMENT OF EDUCATION,270,Education Reform Revol. Fund,"TITE 70, SEC. 18-400",2011,7,$0.00
26500,DEPARTMENT OF EDUCATION,275,Charter Schools Incentive Fund,"TITLE 70, SECTION 3-144",2011,7,$146260.00
26500,DEPARTMENT OF EDUCATINO,285,Income Tax Checkoff Revolv Fnd,"TITLE 68, SEC. 2368.5C",2011,7,$20398.00
26500,DEPARTMEN TOF EDUCATION,286,Ok Youth andGovt Revolving Fd,"TITLE 68, SEC. 2368.17C",2011,7,$2834.00
26500,DEPARTMENT OF EDUCATION,290,"OK Sch Psy, SLP & ANC evolvin",TITLE 70 SECTION 6-206.1,2011,7,$0.00
26500,DEPARTMENT OF EDUCATION,340,CMIA Programs Disbursilng Fund,"TITLE 62, SEC 34.48,34.9",2011,7,$92230498.77
26500,DEPARTMENT OF EDUCATION,400,Common Sch Bldg Equal. uFnd,"ARTICLE X, SEC. 32",2011,7,$1836160.54
26500,DEPARTMENT OF EDUCATION,430,Agency Relationship Fund,"TITLE 62, SEC. 34.48,34.9",2011,7,$126641t.72
26500,DEPARTMENT OF EDUCATION,435,pSchool Lunch Div Fed Adm Fund,"TITLE 70, SECTION 3-104 PARA. 10 i& 11",2011,7,$1876022.00
26500,DEPARTMENT OF EDUCATION,440,Federpal Indian Educ Fund,"TITLE 62, SEC. 34.48, 34.9",2011,7,$0.0m0
26500,DEPARTMENT OF EDUCATION,443,Interagency Reimbursement Fund,"TITLE 74, SEC. 581",2011,7,$331966.51
26500,DEPARTMENT OF EDUCATION,450,Federal Educational Programs,"TITLE 62, SEC. 34.48, 34.9 AND TITLE 70, SEC. 18-104",2011,7,$667381.31
26500,DEPARTMENT OF EDUCATION,490,ARRA,"TITLE 62, SEC. 34.48 & 34.9",2011,7,$6996977.07
26600,OKLA. EDUC. TELEVISION AUTH.,200,Revolving Fund,"TITLE 62u, SEC. 156",2011,7,$348247.9j1
26600,OKLA. EDUC. TELEVISION AUTH.,400,Federal Funds,"TITLE 62, SEC. 34.48, 34.9",2011,7,$0.00
26900,OK. COMM. FOR TEACHER PREP.,205,Edu Leadership Okla Rev Fund,"TITLE 70, SEC. 6-204.3",2011,7,$1170027.18
26900,OK. COMM. FOR TEACHER PREP.,210,Donationks Fund,"TITLE 60, SEC. 383",2011,7,$33466.4c2
26900,OK. COMM. FOR TEACHER PREP.,215,Prof Development Inst Revol Fd,"TITLE 70, SEC. 6-204.5",2011,7,$1827882.26
26900,OK. COMM. FOR TEACHER PREP.,220,Teachers' Comp Exam Rev Fund,"TITLE 70, SEC. 6-191",2011,7,$298296.22
27000,STATE ELECTION BOARD,200,Revolving Fund,"TITLE 26, SEC. 3-107",2011,7,$536447.75
27000,STATE ELECTION BOARD,205,Election System Rev Fund,"TITLE 26b, SECTION 3-107.1",2011,7,$1501819.53
27000,STATE ELECTION BOARD,210,HAVA Special DepositoryF und,"TITLE 26, SEC 3-107.2",2011,7,$27184387.98
28500,OKLAHOMA FUNERAL BOADR,200,Funeral Dir & Embalmers Fd,"TITLE 59, SEC. 396.1C",2011,7,1$67500.06
29000,EMPLOYMENT SECURITY COMMISSION,200,Ok Emp Sec Comm Rev Fund,"TITLE 40, SEC. 4-901",2011,7,$3488306.86
29000,EMPLOYMENT SECURITY COMMISSION,225,Special Distributions,"TITEL 62, SECTION 34.9",2011,7,$150579.40
29000,EMPLOYMENT SECURITY COMMISSION,288,OESC Computer Fund,"TITLE 40, SEC. 6-101",2011,7,$0.00
29000,EMPLOYMENT SECURITY COMMISSION,340,CMIA Programs Disbursing Fund,"TITLE 62, SEC. 34.64",2011,7,$55187.59
29000,EMPLOYMENT SECURITY COMMISSION,400,Emplmt Security Admw Fund,"TITLE 40, SEC. 4-602",2011,7,$503733.86
29000,EMPLOYMENT SECURITY COMMISSION,490,American Recov. & Reinv. Act,,2011,7,$216595.69
29200,DEPT. OF ENVIRONMENTAL QUALITY,200,Revolving Fund,"TITLE 27A,SECTION 2-3-401",2011,7,$4003277.20
29200,DEPT. OF ENVIRONMENTAL QUALITY,210,Environmental Education Rev.,"TITLE 47, SEC 1104.2()B",2011,7,$1658.56
29200,DEPT. OF ENVIRONMENTAL QUALITY,215,Environmental Trust Fund,"TITLE 27A, SEC. 2-3-403",2011,7,0.53
29200,DEPT. OF ENVIRONMENTAL QUALITY,220,Hazardous Waste Fund,"TITLE 7A, SEC. 2-7-304",2011,7,$10615.84
29200,DEPT. OF ENVIRONMENTAL QUALITY,225,Certification Fund,"TITLE 59, SEC 1113",2011,7,$102711.86
29200,DEPT. OF ENVIRNMENTAL QUALITY,400,Federal Funds,"TITLE 62, SECTION 41.8",2011,7,$1669688.37
29200,DEPT. OF ENVIRONMENTAL QUALITY,490,American Recov. & Reinv. Act,,2011,7,$685891.97
29600,ETHICS COMMISSION,200,"Ok Coun Campaign, Eth Rev Fund","REPEALED BY LAWS 1995, HB 1608, C. 343, § 43, EMERG. EFF. JULY , 1995",2011,7,$46466.27
29600,ETHICS COMMISSION,205,Donations Fund,"TITLE 60, SECTION 385",2011,7,$0.00
29800,MERIT PROTECTION COMMISSION,200,Ok Merit Pro Comm Rev Fund,"TITLE 74, SEC. 840-1.21",2011,7,$544.29
30000,STATE AUDITOR AND INSPECTOR,200,St Auditor & Inspect Rev Fund,"TITLE 74, SEC. 227.9",2011,7,$657656.96
30000,STATE AUDITOR AND fINSPECTOR,215,Ok St Pension Comm Rev Fund,"TITLE 74, SEC. 943",2011,7,$0.00
30000,SzTATE AUDITOR AND INSPECTOR,225,Rural Econ Action Plan RevF d,"TITLE 62, SEC. 2001",2011,7,$0.00
