agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
48500,NORTHEASTERN STATE UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,4,$2157317.23
49000,NORTHERN OKLAHOMA COLLEGE,290,Education & Gen Oper Rev Fund,"TITLE 70, SEC. 3901",2011,7,$5808839.47
49000,NORTHERN OKLAHOMA COLLEGE,295,Capital Improvement Revolv Fun,"TITLE 70, SEC. 3901",2011,7,$350000.00
49000,NORTHERN OKLAHOMA COLLEGE,340,Bond Transfer Fund,"TITLE 62, SECTION 7.5",2011,7,$0.00
49000,NORTHERN OKLAHOMA COLLEGE,400,Cimmaron Broadband Project,"TITLE 62, SECTION 41.8",2011,7,$0.00
49000,NORTHERN OKLAHOMA COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$18745.92
49000,NORTHERN OKLAHOMA COLLEGE,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2011,7,$0.20
49000,NORTHERN OKLAHOMA COLLEGE,490,American Recov. & Reinv. Act,,2011,6,$0.00
49000,NORTHERN OKLAHOMA COLLEGE,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",1364,7,$545010.60
49000,NORTHERN OKLAHOMA COLLEGE,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2381,8,$1442123.07
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,290,Educ & Gen Op Revolv Fund,"TITLE 70, SEC. 3901",1117,7,$2259394.13
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$23381.93
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$394656.00
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2011,7,$0.00
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,479,Capital Bond Projects,,2011,7,$0.00
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,490,American Recov. & Reinv. Act,,2011,7,$0.00
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$777778.13
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$476563.93
50900,BD. OF EXAM. FOR LT CARE ADMIN,200,Bd Of Exam For Long-Term Care,"TITLE 63, SEC. 330.62",2011,7,$611744.49
51000,OKLA. BOARD OF NURSING,200,Revolving Fund,"TITLE 62, SEC. 155",2011,7,$2417898.48
51500,OK. PUBLIC EMPLOYEES RET. SYS.,200,Public Empl Retiremt Rev Fund,"TITLE 74, SEC. 921",1034,7,$77272.89
51500,OK. PUBLIC EMPLOYEES RET. SYS.,205,Ok St Emp Def Sav Inc Plan Fd,"TITLE 74, SEC. 1707",2553,7,$129047.19
51600,ST. & EDUC. EMP. GRP. INS. BD.,210,St Empl Gr Health Ins Rev Fund,"TITLE 74, SEC1312.1 AND TITLE 62,SEC.7.5",2963,6,$170725.48
51600,ST. & EDUC. EMP. GRP. INS. BD.,215,Medical Exp Liability Rev Fund,"TITLE 19, SECTION 746.1",2011,7,$1816769.88
52000,BOARD OF EXAMINERS IN OPTOMETRY,200,Optometry Bd Rev Fund,"TITLE 59, SEC. 587",2011,7,$261418.40
52500,STATE BD. OF OSTEOPATHIC EXAM.,200,Revolving Fund,"TITLE 62, SEC. 155",2203,7,$597847.75
53000,OKLA. PANHANDLE STATE UNIV.,290,Educ & Gen Oper Rev Funds,"TITLE 70, SEC. 3901",2011,7,$164714.43
53000,OKLA. PANHANDLE STATE UNIV.,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$16450.68
53000,OKLA. PANHANDLE STATE UNIV.,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",1954,7,$2484.29
53000,OKLA. PANHANDLE STATE UNIV.,479,Capital Bond Projects,,2847,7,$22.26
53000,OKLA. PANHANDLE STATE UNIV.,490,American Recov. & Reinv. Act,,2011,7,$0.00
53000,OKLA. PANHANDLE STATE UNIV.,600,Const-Purch Bldg; Purch Eqmt,"TITLE 70, SEC. 3904",2011,7,$774365.28
53000,OKLA. PANHANDLE STATE UNIV.,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$414433.36
53100,ROSE STATE COLEGE,290,Educ & Gen Oper Rev Fund,"TITLE 70, SEC. 3901",2011,7,$9740164.90
53100,ROSE STATE COLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,5,$540174.64
53100,ROSE STATE COLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$984170.67
53100,ROSE STATE COLEGE,479,Capital Bond Projects,,2011,7,$100439.49
53100,ROSE STATE COLEGE,490,American Recov. & Reinv. Act,,2011,7,$0.00
53500,OKLA. PEANUT COMMISSION,200,Revolving Fund,"TITLE 62, SEC. 155",2011,7,$54604.01
54800,OFFICE OF PERSONNEL MANAGEMENT,205,Office Of Pers Mgmt Rev Fund,"TITLE 74, CH 27A, SEC. 840-1.20",2011,7,$168611.57
54800,OFFICE OF PERSONNEL MANAGEMENT,215,OCSW Revolving Fund,"TITLE 62, SEC 34.9",2011,3,$22772.97
54800,OFFICE OF PERSONNEL MANAGEMENT,225,Benefits Council Reimbursement,"TITLE 62, SEC 7.5",2011,8,$0.00
55700,POLICE PENSION & RET. SYSTEM,200,Police Pens & Retirement Fund,"TITLE 11, SEC. 50-130",2011,7,$0.00
56000,STATE PHARMACY BOARD,200,Revolving Fund,"TITLE 62, SEC. 155",2011,7,$2856181.84
56300,BD. OF PRIV. VOCATIONAL SCHOOLS,205,Private Vocational Schools Fnd,"TITLE 70, SECTION 21-116",2011,7,$596004.44
56600,DEPARTMENT OF TOURISM AND RECREATION,200,OK Today Magazine Rev Fund,"TITLE 62, SECTION 34.9",2135,7,$0.00
56600,DEPARTMENT OF TOURISM AND RECREATION,211,1993 Tourism Bond Revolving Ac,"TITLE 74, SEC. 1861.2, 1993 O.S.S.",2011,7,$1366649.11
56600,DEPARTMENT OF TOURISM AND RECREATION,215,Ok Tourism & Recreation Fund,"TITLE 74, SEC. 1811.1",2011,7,$6145688.93
56600,DEPARTMENT OF TOURISM AND RECREATION,225,Ok Tourism Promotion Rev Fund,"TITLE 68, SEC. 50014",2011,7,$6370864.67
56600,DEPARTMENT OF TOURISM AND RECREATION,230,Golf Course Operations Rev Fd,"TITLE 74, SEC. 1811.A (1991)",2011,7,$1131296.03
56600,DEPARTMENT OF TOURISM AND RECREATION,240,Tourism Equipment Revolv Fund,"TITLE 74, SECTION 1851.1",2011,7,$129707.09
56600,DEPARTMENT OF TOURISM AND RECREATION,245,Tourism & Rec Envir Loan Proc,"TITLE 74, SECTION 1851.2",2011,7,$0.00
56600,DEPARTMENT OF TOURISM AND RECREATION,250,State Park System Imprv Rev Fd,"TITLE 74, SECTION 1811.16",2011,7,$577021.56
56600,DEPARTMENT OF TOURISM AND RECREATION,261,Scenic Rivers Comm Rev Fund,"TITLE 82, SEC. 1462C",2011,7,$0.00
56600,DEPARTMENT OF TOURISM AND RECREATION,265,Color Oklahoma Revolving Fund,"TITLE 47, SECTION 1104.8",2011,7,$0.00
56600,DEPARTMENT OF TOURISM AND RECREATION,266,OK Tour & Rec Depart Cap Ex Re,TITLE 74 SECTION 2254.1,2011,7,$8116370.73
56600,DEPARTMENT OF TOURISM AND RECREATION,267,OK Tourism Capital Imp Rev Fun,TITLE 68 SECTIONS 1353 AND 1403,2011,7,$13625563.95
56600,DEPARTMENT OF TOURISM AND RECREATION,360,Oklahoma State Park Trust Fund,,2953,9,$18324548.41
56600,DEPARTMENT OF TOURISM AND RECREATION,443,Interagency Reimbursement Fund,"TITLE 74, SEC. 581",1316,7,$17910.03
56600,DEPARTMENT OF TOURISM AND RECREATION,460,1993 Tourism Bond Proceeds Fun,"TITLE 62, CH 1, SEC 34.9",2011,6,$3944.70
56600,DEPARTMENT OF TOURISM AND RECREATION,475,Land & Water Conserv Fund,"TITLE 62, SEC. 34.48",2011,7,$1132962.26
56800,SCENIC RIVERS COMMISSION,260,Scenic Rivers Comm Rev Fund,"TITLE 82, SECTION 1462A",2011,7,$22610.00
56800,SCENIC RIVERS COMMISSION,261,Scenic Rivers Commission,"TITLE 82, SECTION 1462C",2011,7,$161376.70
57000,PROF. ENGI. & LAND SURVEYORS,200,Prof. Engin. & Land Surv Fund,"TITLE 59, SEC. 475.9",2011,7,$653430.32
57500,BD. OF PSYCHOLOGISTS EXAMINERS,200,Psychologists Licensing Fund,"TITLE 59, SEC. 1360",2011,7,$98814.76
58000,DEPARTMENT OF CENTRAL SERVICES,201,General Purpose Revolving Fund,"TITLE 62, SEC. 34.9",2011,7,$1965347.91
58000,DEPARTMENT OF CENTRAL SERVICES,205,Risk Mgmt Revolving Fund,"TITLE 74, SEC. 85.58K",2011,7,$56143111.26
58000,DEPARTMENT OF CENTRAL SERVICES,210,St Surplus Prop Rev Fund,"TITLE 80, SEC. 34.6",2337,7,$1156429.57
58000,DEPARTMENT OF CENTRAL SERVICES,215,State Construction Revolv Fund,"TITLE 61, SEC. 208.2",2011,7,$2517230.58
58000,DEPARTMENT OF CENTRAL SERVICES,220,Capitol Cafeteria Rev Fund,"TITLE 74, SEC. 75",2011,7,$899.86
58000,DEPARTMENT OF CENTRAL SERVICES,223,Foster Families Protection Fd,"TITLE 74, SEC. 85.58J",2011,7,$62722.51
58000,DEPARTMENT OF CENTRAL SERVICES,225,State Use Committee Revolving,"TITLE 62, SECTION 34.9",2265,5,$267659.41
58000,DEPARTMENT OF CENTRAL SERVICES,230,Oklahoma Print Shop Fund,"TITLE 74, SEC. 111 AND 581",2011,7,$447254.92
58000,DEPARTMENT OF CENTRAL SERVICES,231,Postal Service Revolving Fund,"TITLE 74, SEC. 76 C",2011,7,$173733.37
58000,DEPARTMENT OF CENTRAL SERVICES,240,Asbestos Abatemt Revolv Fund,"TITLE 74, SEC. 63.2",2011,7,$0.00
58000,DEPARTMENT OF CENTRAL SERVICES,244,Statewide Surplus Property Fd,"TITLE 74, SEC. 62.5",2011,7,$1750485.13
58000,DEPARTMENT OF CENTRAL SERVICES,245,Bldg And Facility Revolv Fund,"TITLE 74, SEC. 63.1",2011,7,$4866468.94
58000,DEPARTMENT OF CENTRAL SERVICES,250,State Motor Pool Fund,"TITLE 47, SECTION 78C",2011,7,$1949655.64
58000,DEPARTMENT OF CENTRAL SERVICES,251,Alt Fuels Technician Cert.,"TITLE 74, SECTION 130.22",2011,7,$77857.20
58000,DEPARTMENT OF CENTRAL SERVICES,255,Ok Motor Lic Agent Indem Fund,"TITLE 47, SEC. 1143.1",2011,7,$920167.85
58000,DEPARTMENT OF CENTRAL SERVICES,260,Risk Mgmt Fire Protection Rev,"TITLE 74, SEC. 85.58D",2011,7,$4749921.92
58000,DEPARTMENT OF CENTRAL SERVICES,262,Risk Mgmt Political Subdivisio,"TITLE 74, SECTION 85.58L",2011,7,$5047.45
58000,DEPARTMENT OF CENTRAL SERVICES,265,Bid Document & Bond Forf Fund,"TITLE 61, SEC. 106-107",2011,7,$2.48
58000,DEPARTMENT OF CENTRAL SERVICES,270,Reg Of St Vendors Revol Fund,"TITLE 74, SEC. 85.33",2011,4,$125847.37
58000,DEPARTMENT OF CENTRAL SERVICES,271,Vendor Fees and Rebates,"SB 646, SECTION 5A TITLE 74, SECTION 85.33A",2011,7,$2465968.22
58000,DEPARTMENT OF CENTRAL SERVICES,272,Purchasing Training Fund,TITLE 85.51 D,2011,8,$167859.13
58000,DEPARTMENT OF CENTRAL SERVICES,275,St Recycling Revolv Fund,"TITLE 63, SEC. 85.56",2011,6,$124732.53
