peoplewithcontactwithinreviewperiod,clusterdays,maxcontactstoinitialclusterassignment,mindaysinendedclusterepisodes,maxdaystoinitialclusterassignment,dischargesfromhospitalnetfollowedupwithin_sevendays,oncpa,clusterepisodesendednetwith_ho_nos
*,*,*,*,*,*,*,*
195,6070,33,1,125,*,10.8,10
130,3885,*,5,*,*,20.6,5
*,30,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,150,*,*,*,*,*,*
35,1350,*,*,*,*,20,*
5,240,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,*,*,*,*,*,*,*
-,20,*,*,*,*,*,*
*,95,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
55,2640,-,*,-,*,*,*
*,30,*,*,*,*,*,*
395,12005,*,1,*,*,92.6,5
230,7060,17,1,35,*,4.8,*
*,30,*,*,*,*,*,*
40,1645,*,*,*,*,18.2,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
190,6290,*,13,*,*,56.1,*
*,80,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
235,7205,9,3,68,*,80.4,15
30,8110,*,1,*,*,1.9,*
*,30,*,*,*,*,*,*
-,*,*,*,*,*,*,*
40,1255,*,*,*,*,*,*
55,1600,*,*,*,*,94.4,*
165,5725,4,6,10,*,47.8,*
10,380,-,*,-,*,69.2,*
385,16870,9,4,215,*,20.7,10
10,270,*,*,*,*,77.8,*
315,9440,*,1,*,*,88,*
*,155,*,*,*,*,*,*
*,135,*,*,*,*,*,*
5,310,*,1,*,*,*,*
165,5265,48,4,158,*,63,15
*,30,*,*,*,*,*,*
*,90,*,*,*,*,*,*
-,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
15,605,*,*,*,*,*,*
*,*,*,*,*,*,*,*
15,510,*,2,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
10,435,*,*,*,*,*,*
235,7180,*,*,*,*,82.2,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,30,*,*,*,*,*,*
55,1800,*,48,*,*,80.3,*
15,460,*,*,*,*,66.7,*
235,7505,1,3,342,*,*,*
*,30,*,*,*,*,*,*
*,80,*,*,*,*,*,*
245,7615,109,42,363,*,36.4,*
*,30,*,*,*,*,*,*
25,1015,14,2,21,*,39.4,15
*,60,*,*,*,*,*,*
*,30,*,*,*,*,*,*
55,2580,2,37,0,*,6.3,5
*,30,*,*,*,*,*,*
-,20,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,20,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,90,*,*,*,*,*,*
*,115,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,30,*,*,*,*,*,*
15,680,*,*,*,*,*,*
425,13635,6,46,198,*,6.1,15
190,5345,33,2,447,*,13.7,5
-,5,*,*,*,*,*,*
45,1495,5,1,121,*,20.4,*
65,2035,*,*,*,*,25.4,*
100,3190,*,86,*,*,71.7,*
5,210,*,*,*,*,*,*
*,30,*,*,*,*,*,*
125,4005,*,*,*,*,14.8,*
*,120,*,*,*,*,*,*
270,8600,11,25,548,*,27,15
*,95,*,*,*,*,*,*
*,50,*,*,*,*,*,*
*,200,-,*,-,*,*,*
20,580,*,2,*,*,26.3,*
*,60,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,35,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
200,6090,7,12,386,*,11,25
*,30,*,*,*,*,*,*
435,10215,55,-,912,15,32.8,45
5,605,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,60,*,*,*,*,*,*
205,6340,*,*,*,5,61.2,*
*,5,*,*,*,*,*,*
35,1040,3,6,52,*,60.6,10
*,30,*,*,*,*,*,*
260,7930,2,8,84,*,2.6,5
*,30,*,*,*,*,*,*
40,1165,*,*,*,*,33.3,*
*,60,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,30,*,*,*,*,*,*
70,2200,*,32,*,*,98.6,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,50,*,*,*,*,*,*
640,20050,62,1,145,5,47,25
235,7325,4,3,6,5,74.1,15
15,595,*,27,*,*,45,*
*,275,*,19,*,*,*,*
16085,541210,72,-,649,130,31.2,390
*,30,*,*,*,*,*,*
5,465,*,*,*,*,68.8,*
1165,38290,9,1,160,*,3.8,75
35,1680,*,*,*,*,33.9,*
*,*,*,*,*,*,*,*
10,645,*,6,*,*,50,*
*,*,*,*,*,*,*,*
4995,154105,394,-,940,35,20.8,290
*,30,*,*,*,*,*,*
860,26930,45,2,460,10,9.1,20
345,16580,17,1,62,*,2.5,10
*,50,*,*,*,*,*,*
65,2030,*,295,*,*,42.9,*
115,4260,13,27,52,*,25.9,*
*,60,*,*,*,*,*,*
25,1275,*,*,*,*,41.5,*
80,2635,*,*,*,*,63.2,*
25,905,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
1810,61975,262,1,474,*,2.7,25
-,*,*,*,*,*,*,*
330,10440,*,*,*,*,2,*
5,210,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
190,5970,4,1,56,*,*,10
*,60,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
235,8325,49,1,594,*,12,10
*,10,*,*,*,*,*,*
*,*,*,*,*,*,*,*
145,4860,9,10,37,*,51.6,10
5,180,*,*,*,*,83.3,*
-,15,*,*,*,*,*,*
*,30,*,*,*,*,*,*
20,1405,*,*,*,*,36.2,*
185,5960,32,1,224,*,9.3,15
*,90,*,*,*,*,*,*
85,2635,*,121,*,*,54.5,*
140,4410,12,9,831,*,63.4,20
*,30,*,*,*,*,*,*
5,210,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,120,-,*,-,*,*,*
5,180,*,*,*,*,*,*
*,30,*,*,*,*,*,*
305,11580,4,*,280,*,1.6,*
135,4050,3,38,74,*,5.8,*
*,*,*,*,*,*,*,*
*,65,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
10,290,*,*,*,*,70,*
*,5,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
180,5490,*,*,*,*,42.1,*
95,2980,9,7,117,*,12.6,*
*,215,*,*,*,*,85.7,*
25,1000,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,15,*,*,*,*,*,*
-,5,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,80,*,*,*,*,*,*
*,90,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,60,*,*,*,*,*,*
105,3200,5,2,11,*,29,5
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
15,550,*,25,*,*,*,*
20,545,*,*,*,*,*,*
*,30,*,*,*,*,*,*
105,4015,*,3,*,*,6.1,*
485,14555,13,1,304,5,78,20
*,60,*,*,*,*,*,*
80,2485,*,6,*,*,32.5,5
5,180,*,*,*,*,*,*
40,1595,*,*,*,*,62.7,*
10,260,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,15,-,*,-,*,*,*
*,60,*,*,*,*,*,*
*,120,*,*,*,*,*,*
905,28790,2,8,60,*,1.3,20
40,1165,*,*,*,*,33.3,*
*,30,*,*,*,*,*,*
10,300,*,*,*,*,50,*
*,90,*,*,*,*,*,*
*,20,*,*,*,*,*,*
*,30,*,*,*,*,*,*
5,210,*,*,*,*,*,*
980,27695,45,1,620,5,5.8,35
*,10,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,60,-,*,-,*,*,*
275,8580,*,15,*,*,48.8,*
160,4970,6,9,44,*,85,15
80,2465,59,15,139,*,15.7,*
35,1085,*,*,*,*,43.2,*
*,30,*,*,*,*,*,*
95,3380,15,1,423,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
45,1540,*,98,*,*,60.4,*
20,830,*,1,*,*,*,5
*,30,*,*,*,*,*,*
*,10,*,*,*,*,*,*
170,5465,4,13,40,*,76,5
*,90,*,*,*,*,*,*
155,4630,29,11,57,*,30.8,*
*,*,*,*,*,*,*,*
*,40,*,*,*,*,*,*
5,145,*,*,*,*,*,*
880,32200,16,-,433,*,41.2,20
170,6420,*,7,*,*,11.2,15
*,30,*,*,*,*,*,*
10,280,*,*,*,*,55.6,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
15,530,*,*,*,*,50,*
910,44640,3,1,556,*,1.5,*
*,220,-,*,-,*,*,*
-,*,*,*,*,*,*,*
*,5,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,55,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,90,*,*,*,*,*,*
-,*,*,*,*,*,*,*
305,9030,*,138,*,*,85.2,10
-,20,*,*,*,*,*,*
20,595,*,*,*,*,42.9,*
250,9055,*,19,*,*,10.5,10
150,14075,*,9,*,*,40.3,20
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
120,3580,*,4,*,*,26,*
*,60,*,*,*,*,*,*
1235,46875,51,1,700,*,22.6,25
*,240,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
10,360,*,*,*,*,*,*
*,30,*,*,*,*,*,*
140,4890,14,*,217,*,66.5,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
370,11220,2,1,30,*,62.7,25
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
5,195,*,*,*,*,85.7,*
225,7065,*,2,*,*,28.4,*
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,60,*,*,*,*,*,*
195,6050,*,11,*,*,63.2,5
230,7970,5,6,496,*,20.4,15
120,4095,30,1,350,*,33.8,*
*,*,*,*,*,*,*,*
*,60,*,*,*,*,*,*
10,275,*,*,*,*,62.5,*
*,*,*,*,*,*,*,*
55,1680,*,5,*,*,92.5,5
20,665,*,26,*,*,66.7,*
*,120,*,*,*,*,*,*
*,125,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,125,*,*,*,*,*,*
-,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,145,*,*,*,*,*,*
*,35,*,*,*,*,*,*
75,2595,*,-,*,*,13.3,*
*,*,*,*,*,*,*,*
165,5175,4,1,8,*,18.3,*
*,30,*,*,*,*,*,*
20,1100,*,*,*,*,30.6,*
*,60,*,*,*,*,*,*
5,205,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
65,1815,29,7,264,*,34.8,*
-,*,*,*,*,*,*,*
-,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
70,2200,16,19,44,*,95.8,*
*,*,*,*,*,*,*,*
220,6695,6,5,29,*,18.2,15
50,1615,*,*,*,*,8.8,*
*,270,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
25,960,*,*,*,*,17.9,*
115,3880,*,70,*,*,27.6,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
165,5050,*,12,*,*,42.4,10
*,60,*,*,*,*,*,*
*,60,-,*,-,*,*,*
*,30,*,*,*,*,*,*
5,395,*,2,*,*,*,*
*,5,*,*,*,*,*,*
*,30,*,*,*,*,*,*
65,2065,4,*,21,*,*,*
30,915,*,*,*,*,*,*
*,*,*,*,*,*,*,*
25,915,*,*,*,*,43.8,*
*,30,*,*,*,*,*,*
85,3300,*,44,*,*,14.7,*
*,130,*,*,*,*,*,*
15,1085,*,23,*,*,18.4,5
*,*,*,*,*,*,*,*
95,3220,*,6,*,*,27,15
325,10290,5,4,150,*,*,*
*,*,*,*,*,*,*,*
20,845,*,*,*,*,51.9,*
20,500,*,*,*,*,66.7,*
*,*,*,*,*,*,*,*
15,525,*,*,*,*,*,*
1115,35230,10,12,296,*,3.2,30
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,70,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,165,*,*,*,*,*,*
*,110,*,*,*,*,*,*
*,90,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,60,*,*,*,*,*,*
5,765,*,*,*,*,30.8,*
5,320,*,*,*,*,70,*
*,30,*,*,*,*,*,*
*,80,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
45,1385,*,*,*,*,*,*
55,1665,*,*,*,*,14,*
*,95,*,*,*,*,*,*
*,30,*,*,*,*,*,*
250,7560,*,27,*,*,13.8,10
*,30,*,*,*,*,*,*
100,3120,17,1,9,*,27.9,5
20,760,-,3,-,*,*,*
160,5165,*,1,*,*,8.9,10
270,8755,8,1,38,*,18.2,10
*,*,*,*,*,*,*,*
35,1405,9,8,97,*,*,5
155,5340,*,22,*,*,33.3,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
80,2520,*,13,*,*,67.9,15
280,9425,5,1,501,*,2.6,*
5,165,*,*,*,*,*,*
430,13325,6,9,49,*,10.5,15
10,590,*,*,*,*,*,*
140,4420,12,1,316,*,*,*
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
2915,94190,28,-,389,10,32.3,180
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
25,790,*,2,*,*,72,5
*,60,*,*,*,*,*,*
*,*,*,*,*,*,*,*
-,*,*,*,*,*,*,*
1925,60140,49,-,382,10,13.6,40
*,*,*,*,*,*,*,*
*,10,*,*,*,*,*,*
135,4195,25,4,13,*,3.5,*
575,18060,6,12,266,*,51.2,10
*,90,*,*,*,*,*,*
*,90,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
300,8770,14,5,209,*,34.7,*
*,60,*,*,*,*,*,*
-,5,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
-,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
-,*,*,*,*,*,*,*
*,60,*,*,*,*,*,*
155,4505,1,54,1,*,*,*
-,*,*,*,*,*,*,*
5,265,*,*,*,*,*,*
-,*,*,*,*,*,*,*
440,13570,*,5,*,*,46.1,15
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
15,355,*,*,*,*,50,*
*,30,*,*,*,*,*,*
5,605,*,*,*,*,63.2,*
-,*,*,*,*,*,*,*
*,120,*,*,*,*,*,*
*,30,*,*,*,*,*,*
795,24610,3,1,107,*,*,30
35,1320,*,7,*,*,83.3,*
*,*,*,*,*,*,*,*
1805,69075,22,1,120,*,2.2,10
*,30,*,*,*,*,*,*
-,*,*,*,*,*,*,*
25,1330,*,*,*,*,13,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
205,8285,4,91,307,*,2.5,*
20,630,*,*,*,*,*,*
*,90,*,*,*,*,*,*
*,30,*,*,*,*,*,*
-,30,*,*,*,*,*,*
*,60,*,*,*,*,*,*
200,6605,12,10,546,5,17.7,5
-,25,*,*,*,*,*,*
*,90,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
10,445,*,*,*,*,53.3,*
*,30,*,*,*,*,*,*
20,1770,*,*,*,*,36.7,*
*,120,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,315,*,20,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
5,225,*,*,*,*,*,*
475,14460,6,2,27,5,48,25
*,30,*,*,*,*,*,*
940,28350,21,1,30,*,59.8,45
*,90,*,*,*,*,*,*
*,30,*,*,*,*,*,*
55,2220,*,172,*,*,*,5
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,25,*,*,*,*,*,*
*,*,*,*,*,*,*,*
15,435,*,*,*,*,43.8,*
10,470,-,*,-,*,*,*
*,120,*,*,*,*,*,*
3615,111625,31,-,821,20,14.7,120
15,460,*,*,*,*,40,*
*,30,*,*,*,*,*,*
105,3440,8,25,290,*,68.8,*
*,30,*,*,*,*,*,*
*,90,*,*,*,*,*,*
95,3080,19,1,45,*,16,*
*,30,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
20,690,*,1,*,*,*,*
10,420,9,3,4,*,*,*
*,*,*,*,*,*,*,*
115,3705,24,27,188,*,60.2,*
*,*,*,*,*,*,*,*
40,1485,*,*,*,*,50,*
*,185,*,*,*,*,*,*
*,30,*,*,*,*,*,*
100,3355,2,2,115,*,10.2,5
*,5,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
5,150,-,*,-,*,*,*
*,70,*,*,*,*,*,*
*,90,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
5,390,*,*,*,*,50,*
*,60,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
30,970,*,65,*,*,66.7,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,30,*,*,*,*,*,*
1445,50170,44,-,222,25,29.1,*
380,11870,39,50,158,*,9.9,*
205,6280,*,*,*,*,67.9,*
-,15,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,240,*,*,*,*,*,*
100,3415,2,2,115,*,10.1,10
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*
5,210,*,*,*,*,85.7,*
230,8790,28,21,29,*,23.8,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
-,5,*,*,*,*,*,*
20,600,*,*,*,*,61.9,*
175,5365,45,17,125,*,86.3,*
*,30,-,*,-,*,*,*
*,*,*,*,*,*,*,*
245,9255,7,1,30,*,11.9,15
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,40,-,*,-,*,*,*
*,120,*,*,*,*,*,*
10,710,*,*,*,*,75,*
*,30,*,*,*,*,*,*
60,1770,126,*,396,*,77,*
65,1955,*,353,*,*,13.6,*
20,680,2,1,1,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
-,5,-,*,-,*,*,*
-,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
2660,92950,12,-,547,15,26.7,70
70,2270,*,*,*,*,41.3,*
15,880,*,68,*,*,60.7,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
465,13790,*,228,*,10,59.1,5
-,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
20,3705,*,*,*,*,14.4,*
*,60,*,*,*,*,*,*
145,4640,4,6,339,*,3.8,5
5,450,*,1,*,*,69.2,*
*,30,*,*,*,*,*,*
10,570,*,1,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
295,9910,2,20,0,*,2.7,10
*,*,*,*,*,*,*,*
-,*,*,*,*,*,*,*
-,*,*,*,*,*,*,*
90,6630,*,*,*,*,6.6,*
*,30,*,*,*,*,*,*
155,6430,1,-,0,*,32.2,*
-,15,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,30,*,*,*,*,*,*
1555,61505,63,-,522,20,29.2,*
20,825,*,*,*,*,*,*
-,5,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
40,1420,*,11,*,*,14.6,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
135,6765,*,1,*,*,42.5,5
-,5,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
135,7225,5,98,775,*,13.8,*
705,39675,37,19,293,*,13.8,*
*,135,*,*,*,*,*,*
55,2280,*,22,*,*,11.5,*
*,180,*,*,*,*,83.3,*
*,30,-,*,-,*,*,*
45,3810,*,7,*,*,*,10
*,40,*,*,*,*,*,*
*,30,*,*,*,*,*,*
90,2755,*,*,*,*,79.3,*
*,*,*,*,*,*,*,*
*,80,*,*,*,*,*,*
40,1565,16,2,433,*,59.2,*
280,8655,*,*,*,*,25.7,*
*,*,*,*,*,*,*,*
180,5615,2,1,21,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
2125,68280,*,*,*,*,35.2,*
*,*,*,*,*,*,*,*
255,7770,2,82,5,*,3.1,10
140,4270,*,*,*,*,85.2,*
-,*,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
-,*,*,*,*,*,*,*
110,3865,*,41,*,*,17.2,5
20,615,*,1,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
15,450,*,*,*,*,46.7,*
*,180,*,*,*,*,*,*
50,1860,*,*,*,*,58.1,*
50,1730,*,*,*,*,58.2,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
-,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
20,635,*,*,*,*,40.9,*
*,20,*,*,*,*,*,*
*,60,*,*,*,*,*,*
*,105,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,85,*,*,*,*,*,*
-,25,-,*,-,*,*,*
5420,184200,106,-,776,35,26.2,170
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,30,*,*,*,*,*,*
*,*,*,*,*,*,*,*
*,15,*,*,*,*,*,*
-,5,*,*,*,*,*,*
535,18915,-,1,-,*,4.5,15
915,27080,17,1,491,*,0.5,15
*,30,*,*,*,*,*,*
50,2085,*,*,*,*,15.5,*
*,60,*,*,*,*,*,*
425,15965,13,14,148,10,29.4,20
*,*,*,*,*,*,*,*
*,195,*,*,*,*,*,*
150,4540,68,1,293,*,6,15
*,30,*,*,*,*,*,*
40,1330,*,*,*,*,59.1,*
15,465,-,*,-,*,*,*
120,4275,*,3,*,*,*,*
*,30,*,*,*,*,*,*
*,30,*,*,*,*,*,*
40,1360,21,1,20,*,50,*
*,30,*,*,*,*,*,*
*,30,-,*,-,*,*,*
*,*,*,*,*,*,*,*
180,5810,*,86,*,*,*,*
810,90040,20,-,200,*,23.5,20
*,*,*,*,*,*,*,*
440,15715,4,1,101,*,20.4,30
*,*,*,*,*,*,*,*
155,4765,*,18,*,5,89.2,5
295,9220,7,1,129,*,1.6,10
*,30,*,*,*,*,*,*
40,1855,*,2,*,*,32.8,10
175,6000,*,29,*,*,42.6,5
10,280,*,*,*,*,*,*
*,60,*,*,*,*,*,*
20,615,*,29,*,*,*,*
*,60,*,*,*,*,*,*
