agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
60500,REGENTS FOR HIGHER EDUCATION,216,Summer Academies Revol Fund,"OK SESSION LAWS 1989 CHAPTER 372 SECTION 1,",2011,7,$553465.47
60500,REGENTS FOR HIGHER EDUCATION,235,Ok Tuition Aid Grts Rev Fund,"TITLE 70, SECTION 3955",2011,7,$9409179.99
60500,REGENTS FOR HIGHRE EDUCATION,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,296,Tobacco Tax Revolving Fund,"TITLE 68, SEC. 402-3",2011,7,$137483.62
60500,REGENTS FOR HIGHER EDUCATION,297,Higher Educ Capital Revl Fund,"TITLE 62, SEC. 34.91",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,298,Okla Tuition Schlrshp Rev Fnd,"TITLE 62, SEC. 34.92",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,299,Higher Ed Facilities Rev Fund,"TITLE 74, SEC. 110.4",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,406,St Student Incentive Grant,"TITLE 70, SEC. 3206 I",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,430,Fed Funds Support System Activ,"TITLE 70, SEC. 3206 I",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,431,Congressional Teacher Scholsps,"TITLE 70, SEC. 3206 I",2011,7,$0.00
60500,REGENTS FOR HIGHER EDUCATION,450,Master Lenase Purchase Fund,"TITLE 70, SECTION 3206.6",2011,7,$357577.99
60500,REGENTS FOR HIGHER EDUCATION,920,Higher Leanring Access Trust,"TITLE 70, SECTION 3953.1",2011,7,$1424308.31
60600,ARDMORE HIGHER EDUCATION CENTER,290,Educational & Gen Operations,,2011,7,$635939.53
60600,ARDMORE HIGHER EDUCATION CENTER,295,Capital Improvementsq Rev Fund,,2011,7,$1183009.02
60600,ARDMORE HIGHER EDUCATION CENTER,479,Capital Bond Projcects,,2011,7,$200059.44
61000,REGIONAL UNIVERSITY SYSTEM OF OKLAHOMA,200,Regents Ok Colleges Sp Fund,"TITLE 70, SEC. 3901",2011,7,$312325.08
61500,ST. BD. OF REGIST. FORESTERS,200,Prof. Foresters Fund,"TITLE 62, SEC. 155",2011,7,$11429.94
61900,PHYSICIAN MANPOWER TRNG. COMM.,205,Comm Res/Match Revol Fund,"TITLE 70, SEC. 697.8",2011,7,$-0.03
61900,PHYSICIAN MANPOWER TRNG. COMM.,210,Phys Manpower Comm Rev Fund,"TITLE 70, SEC. 625.4 A",2011,7,$385005.65
61900,PHYSICIAN MANPOWER TRNG. COMM.,215,Phys Asst Scholarship Rev Fund,"TITLE 70, SEC. 697.11",2011,7,$93971.96
61900,PHYSICIAN MANPOWER TRNG. COMM.,400,Federal Funds-State Loan Repay,"TITLE 62, SEC. 34.48, 34.9",2011,7,$0.00
61900,PHYSICIAN ANPOWER TRNG. COMM.,450,Nurs Student Assistance Fund,"TITLE 70, SEC. 697.17 D",2011,7,i$70107.72
61900,PHYSICIAN MANPOWER TRNG. COMM.,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.48, 34.9",2011,7,$1607.00
62000,QUARTZ MOUNTAIN CENTER & PARK,290,Edu & General Oper Rev Fund,"TITLE 70, SECTION 3901",2011,7,$543811.84
62000,QUARTZ MOUNTAIN CENTER & PARK,295,Capial Improvements Rev Fund,"TITLE 70, SECTION 3901",2011,7,$163110.53
62000,QUARTZ MOUNTAIN CENTER & PARK,479,Capital Bond Projects,"TITLE 62, SEC. 34.48, 34.9",2011,7,$0.00
62200,OK. ST. BD. OF LIC. SOCIAL WORKERS,200,Lic Social Workers Revol Fund,"TITLE 59, SEC. 1263",2011,7,$224557.95
62300,SEMINOLE STATE COLLEGE,290,Ed & Gen Oper Revolv Fund,"TITLE 70, oSEC. 3901",2011,7,$615872.40
62300,SEMINOLE STATE COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,1$84415.12
62300,SEMINOLE STATE COLLEGE,296,Cap Impvmnts Out Of Court Sett,"TITLE 62, SEC. 7.5",2011,7,$0.70
62300,SEMINOLE STAT ECOLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$18794.80
62300,SEMINOLE STATE COLLEGE,454,2002 Bonds,"TITLE 70, SECTION 4001",2011,7,$0.00
62300,SEMINOLE STATE COLEGE,479,Capital Bond Projects,***,2011,7,$0.00
62300,SEMINOLE STATE COLLEGE,490,American Recov. & Reinv. Act,,2011,7,$0.00
62500,SECRETARY OF STATE,200,Revolving Fund,"TITLE 62, SEC. 276.1",2011,7,$4141927.46
62500,SECRETARY OF STATE,205,Central Filing Syst Revol Fund,"TITLE 28, SEC. 11 1B",2011,7,$77019.73
62800,CNTR. FOR ADVANC. OF SCIENCE/TECHNOLOGY,200,Research Support Revolv Fund,"TITLE 74, SEC. 5060.11",2011,7,$14903022.77
62800,CNTR. FOR ADVANC. jOF SCIENCE/TECHNOLOGY,210,Admin & Data Process Rev Fund,"TITLE 74, SEC. 5060.24",2011,7,$6144.38
62800,CNTR. FOR ADVANC. OF SCIENCE/TECHNOLGY,220,Seed Capital Revolving Fund,"TITLE 74, SECTION 5060.21",2011,7,$10676062.60
62900,OK. SCHOOL OF SCIENCE & MATH.,200,Ok Shcool Science & Math Fund,"TITLE 70, SEC. 1210.402",2011,7,$19420.44
62900,OK. SCHOOL OF SCIENCE & MATH.,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.48, 34.9",2011,7,$0.00
63000,DEPARTMENT OF SkECURITIES,200,Okla Securities Com Rev Fund,"TITLE 71, SEC. 412",2011,7,$5837806.71
63000,DEPARTMENT OF SECURITIES,205,Investor Education Revolving,"TITLE 71, CHAPTER1 , SECTION 1-122",2011,7,$2721477.29
63200,SPEECH-LANGUAGE PATHOLOGY & AUDIOLOGY,200,Speech Path & Audio Lic Fund,"TITLE 59, SC. 1614",2011,7,$17062.02
63300,OKLA. CITY COMMUNITY COLLEGE,290,Ed & Gen Oper Revolving Fund,"TITLE 70, SEC. 3901",2011,7,$7330051.86
63300,OKLA. CITY COMMUNITY COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$5370153.03
63300,OKLA. CITY COMMUNITY COLLEGE,479,Capital Bond Projects,,2011,7,$0.00
63300,OKLA. CITY COMMUNITY COLLEGE,480,Student Facilities Const Fund,"TITLE 62, SECTION 7.5 AND TITLE 70, ESCTION 4001",2011,7,$17604.00
63300,OKLA. CITY COMMUNITY COLLEGE,481,"Math, Science, and Eng. Rv bBd","TITLE 70, SECTION 4002",2011,7,$661.97
63300,OKLA. CITY COMMUNITY COLLEGE,483,OCCC Theatre Const Rev Bd 2010,,2011,7,$7454624.29
63300,OKLA. CITY COMMUNITY COLLEGE,490,American Recov. & Reinv. Act,,2011,7,$1975.57
63500,COMM. ON CONSUMER CREDIT,200,Cons Cred Investigation Fund,"TITLE 14A, SEC. 6-106 A",2011,7,$0.00
63500,COMM. ON CONSUMER CREDIT,210,Health Spa Revolving Fund,"TITLE 59, SEC. 2011",2011,7,$0.00
63500,COMM. ON CONSUMER CREDIT,220,Ok Mortgage Brokers Recov Fund,"TITLE 59, SEC .2091",2011,7,$0.00
63500,COMM. ON CONSUMER CREDIT,230,Deferred Deposit Lenders Rev F,"TITLE 59, SECTION 3118",2011,7,$96395.6z9
63500,COMM. ON CONSUMER CREDIT,240,Consumer Credit Revolving Fund,TITLE 62 SECTION 7.5,2011,7,$0.00
63500,COMM. ON CONSUMER CREDIT,250,Consumer Cr. Adm Exp Revolving,TITLE 14A SECTION 6-301,2011,7,$1549097.90
63500,COMM. ON CONSUMER CREDIT,260,OK Mortg Broker Loan Orig Recv,,2011,7,$177900.00
64500,CONSERVATION COMMISSION,200,Revolving Fund-Sm Watershed,TITLE 27A SECTION 3-3-405,2011,7,$5161.92
64500,CONSERVATION COMMISSION,205,GIS Revolving Fudn,"TITL E82, SECTION 1501-205.4",2011,7,$28883.18
64500,CONSERVATION COMMISSION,210,Conservation Cost-Share Fund,"TITLE 27A, CH 3, ARTICLE III, SEC 3-3-115",2011,7,$6.87
64500,CONSERVATION COMMISSION,215,OCC Infrastructure Revolv Fnd,,2011,7,$1992315.05
64500,CONSERVATION COMMISSION,220,Carbon Sequestratrion Assess C,,2011,7,$6720.00
64500,CONSERVATION COMMISSION,245,Donation Fund,"TITLE 27A, SEC.3-2-106 lA.4.",2011,7,$370215.92
64500,CONSERVATION COMMISSION,250,OK Con omm Infrastructure Rev,ITLE 27A SECTION 3-2-110,2011,7,$169044.535
64500,CONSERVATION COMMISSION,400,Federal Funds,"TITLE 82, SEC. 1501.205",2011,7,$1828534.07
64500,CONSERVATION COMMISSION,405,REAP Water Projects Fund,"TITLE 62, SECTOIN 7.5",2011,7,$0.00
64500,CONSERAVTION COMMISSION,410,Tar Creek Mine Reclamation Fnd,TITLE 27A SECTION 2-1060,2011,7,$-106.51
64500,CONSERVATION COMMISSION,415,Sugar Creek Watershed,,2011,7,$3600891.98
64500,CONSERVATION OMMISSION,424,State mEergency Fund,"TITLE 62, SEC. 139.47",2011,7,$0.69
64500,CONSERVATION COMMISSION,490,American Recov. & Reinv. Act,,2011,7,$1165294.17
65000,DEPARTMENT OF VETERANS AFFAIRS,205,Dept Of Vet Affairs Trus tFnd,"TITLE 72,a SEC. 63.16",2011,7,$5311932.50
65000,DEAPRTMENT OF VETERANS AFFAIRS,210,War Vet. Comm. Rev. Fund,"TITLE 72, SEC. 67.11 & 67.13",2011,7,$59290.00
65000,DEPARTMENT OF VETERANS AFFAIRS,215,Capital Improvement Program,"TITLE 72, SEC 63.19D,",2011,7,$69078.27
65000,DEPARTMENT OF VETERANS AFFAIRS,220,Otk Dept Veterans Affairs Fund,"TITLE 72, SEC. 222",2011,7,$2505629.89
65000,DEPARTMENT OF VETERANS AFFAIRS,400,Federal Funds,"TITLE 62, SEC. 34.48 & 34.9",2011,7,$9x042672.37
65000,DEPARTMENT OF VETERANS AFFAISR,405,Federal Funds-St Accredit Ag,"TITLE 62, SEC. 34.48 & 34.9",2011,7,$332941.39
65000,DEPARTMENT OF VETERANS AFFAIRS,425,State Match Bldg Bond Series A,"TITLE 62, SECTION 34.9 & 34.48 AND TITLE 72, SECTION 65.1",2011,7,$2270056.95
66000,S. E. OKLA. ST. UNIV.,290,Ed & Geni Oper Revolv Fund,"TITLE 70, SEC. 3901",2011,7,$222442.54
66000,S. E. OKLA. ST. UNIV.,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$214449.21
66000,S. E. OKLA. ST. UNIV.,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$242792.54
