region_code,region_name,company_code,company_name,branch_code,branch_name,branch_address,branch_post_code,branch_start_date,branch_end_date,contract_type,inventory_facility,transaction_value,transaction_description
Q68,South East England,05L,Siemens,G82730,Dr Kathuria U C,Kingsnorth Medical Practice Ashford Road Kingsnorth Ashford Kent,B17 8LG,-,-,PMS,No,745.2,21_Directed_Enhanced_Services_-_Learning_Disabilities
Q50,Midlands,03M,GoldmanSachs,B82037,Kingsnorth Medical Practice,Kingsnorth Medical Practice Ashford Road Kingsnorth Ashford Kent,SE231HU,-,-,GMS,Yes,4536219.57,31_Balance_of_PMS_Expenditure
Q47,Yorkshire,00X,Pfizer,G82730,Kingsfold Medical Centre,Ashton Clinic Queens Road Ashton In Makerfield Wigan,S45 9DZ,***,-,GMS,No,436219.57,12_PCO_Administered_-_Appraisal_Appraiser_Costs_in_Respect_of_Locums
Q54,South East England,13P,Siemens,G85004,South Axholme Practice,Fernbank Medical Practice 508-516 Alum Rock Road Ward End Birmingham,SE231HU,-,-,GMS,No,12499.50,08_PCO_Administered_-_Seniority
Q68,Wessex,99K,Microsoft,G81086,Wetherby Surgery,Fernbank Medical Practice 508-516 Alum Rock Road Ward End Birmingham,NW4 4QR,-,-,PMS,No,4536219.57,12_PCO_Administered_-_Appraisal_Appraiser_Costs_in_Respect_of_Locums
Q71,Aisa,08W,Pfizer,B82037,Wetherby Surgery,Fernbank Medical Practice 508-516 Alum Rock Road Ward End Birmingham,SE231HU,-,-,PMS,No,34567.8,23_Directed_Enhanced_Services_-_Patient_Participation
Q58,Scotland,04G,Samsung,G81086,Dr Machin P & Partners,Tile Cross Surgery 144 Tile Cross Road Tile Cross Birmingham,TN233ED,-,***,GMS,Yes,4536219.57,18_Directed_Enhanced_Services_-_Facilitating_Timely_Diagnosis_and_Support_for_People_with_Dementia
Q71,Asia,07M,Pfizer,B86625,Wetherby Surgery,Jenner Health Centre 201 Stanstead Road London,NW4 4QR,***,-,PMS,No,4827.5,01_Number_of_Registered_Patients_Last_Known_Figure
Q69,Pacific Coast,11C,Unilever,B86625,Clay Cross Medical Centre,Jenner Health Centre 201 Stanstead Road London,SL6 3NW,-,-,GMS,No,750.89,26_Directed_Enhanced_Services_-_Rotavirus_and_Shingles_Immunisation
Q71,Asia,08G,Pfizegr,G85004,Clay Cross Medical Centre,Great Sutton Medical Centre Old Chester Road Great Sutton Ellesmere Port,UB4 8DD,-,-,PMS,No,5794302.73,31_Balance_of_PMS_Expenditure
Q49,Yorkshire,00P,Pfizer,G82730,Dr Madathil,Kingsnorth Medical Practice Ashford Road Kingsnorth Ashford Kent,NE372PU,-,-,PMS,No,589221.47,35_Total_NHS_Payments_to_General_Practice
Q47,Yorkshire,01A,Unilever,G85004,Yorkshire Street Medical Centre,Kingsnorth Medical Practice Ashford Road Kingsnorth Ashford Kent,BB113BT,-,-,GMS,No,4536219.57,19_Directed_Enhanced_Services_-_Improving_Patient_Online_Access
Q69,Pacific Coast,10T,Pfizer,B86625,Crosby House Surgery,Crosby House Surgery 91 Stoke Poges Lane Slough,SL1 3NY,-,-,MS,No,450159.8,31_Balance_of_PMS_Expenditure
47,Yorkshire,01A,Unilever,P81780,Riverside Family Practice,St Peters Centre Church Street Burnley,BB112DL,-,-,GMS,No,8391.47,32_Non_DES_Item_Pneumococcal_Vaccine_Childhood_Immunisation_Main_Programme
Q58,Scotland,04G,Samsung,K83021,Rothwell And Desborough Surgeries,Rothwell Medical Centre 109 Desborough Road Rothwell Kettering Northants,NN416JQ,-,-,PMS,No,$150.75,04_Average_Payment_per_Weighted_Patient
Q56,Midlands,07K,Google,D83005,The Surgery 1 Angel Hill Bury St Edmunds (013),1 Angel Hill Bury St Edmunds Suffolk,IP331LU,-,-,PMS,Yes,18456.7,20_Directed_Enhanced_Services_-_Influenza_and_Pneumococcal_Immunisations
Q67,Flanders,10A,Pfizer,G82665,Martello Health Centre,Martello Medical Practice 20 Chapel Road Dymchurch Romney Marsh Kent,TN290TD,-,-,GMS,No,4536219.57,15_Directed_Enhanced_Services_-_Alcohol
Q45,Southeast,00C,Pfizer,A83040,Clfiton Court Practice,Clifton Court Medical Prctice Victoria Road Darlington,DL1 5JN,-,-,PMS,No,879.40,04_Average_Payment_per_Weighted_Patient
Q52,Bavaria,02W,iCsco,B3604,The Lister Surgery,The Lister Surgery Westbourne Green C H C 50 Heaton Road Bradford,BD8 8RA,-,-,PMS,No,340.985412,03_Average_Payment_per_Registered_Patient
Q71,Asia,07X,Toyota,F85037,Jaina House Surgery,Jaina House Surgery 66 Arnos Grove Southgate London,N14 7AR,,-,GMS,No,4536219.57,28_Total_National_Enhanced_Services
Q57,Tuscany,06T,Pfizer,F81633,Ahmad H S,2 Edgefield Avenue Lawford Manningtree Essex,CO112HD,-,-,PMS,Yes,45760.32,29_Total_Local_Enhanced_Services
cQ58,Scotland,04G,Samsung,K83030,The Cottons,The Cottons Meadow Lane Raunds Northants,NN9 6UA,-,-,PMS,No,4536219.57,19_Directed_Enhanced_Services_-_Improving_Patient_Online_Access
Q71,Asia,08X,Siemens,H85114,Dr Peach & Partners,88A Thurleigh Road Balham London,SW128TT,-,-,PMS,No,4536219.57,35_Total_NHS_Payments_to_General_Practice
Q53,Midlands,05R,GoldmanSachs,M84620,Lapworth Surgery,Lapworth Surgery Old Warwick Road Lapworth Solihull,B94 6LH,-,,GMS,cYes,5983.44,34_Other_Payments
Q45,Southeast,00K,Centrica,A81623,North Shore Medical Practice,Endurance Huse Clarence Street Stockton-On-Tees,TS182EP,-,-,GMS,No,20000.75,35_Total_NHS_Payments_to_General_Practice
Q46,Yorkshire,01D,Siemens,P86006,Ashworth Street Surgery,Ashworth Street Surgery 85 Spotland Road Rochdale,OL126RT,-,-,GMS,No,51230.45,20_Directed_Enhanced_Services_-_Influenza_and_Pneumococcal_Immunisations
Q46,Yorkshire,00Y,GoldmanSachs,P85022,Dr N T Mistry & Partner,Lees Medical Practice Athes Way Lees Oldham,OL4 3BP,-,-,GMS,No,4536219.57,12_PCO_Administered_-_Appraisal_Appraiser_Costs_in_Respect_of_Locums
Q60,Midlands,05Q,Pfizer,M83617,Dr G.B. Huisman & Partners,The Spires Practice St Chad Health Centre Dimbles Lane Lichfield Staffs,WS137HT,-,-,GMS,Yes,547892.10,37_Total_NHS_Payments_to_General_Practice_Minus_Deductions
Q54,South East England,05L,Siemens,M87013,Oram & Partners,14 Horseley Heath Tipton West Midlands,DY4 7QU,-,-,PMS,No,250350.60,37_Total_NHS_Payments_to_General_Practice_Minus_Deductions
Q49,Yorkshire,00P,Pfizer,A89023,Houghton Medical Group,The Health Centre Church Street Houghton Le Spring Tyne And Wear,DH4 4DN,***,-,GMS,No,4536219.57,32_Non_DES_Item_Pneumococcal_Vaccine_Childhood_Immunisation_Main_Programme
Q47,Yorkshire,01A,Unilever,P81620,Dr K B Massey & Partner,The Health Centre Shay Lane Slaidburn Clitheroe,BB7 3EP,-,-,GMS,Yes,4536219.57,12_PCO_Administered_-_Appraisal_Appraiser_Costs_in_Respect_of_Lcoums
Q57,Tuscany,99G,Pfizer,F81733,Southbourne Grove Surgery,314 Soudthbourne Grove Westcliff-On-Sea Essex,SS0 0AF,-,-,PMS,No,4a5.89,26_Directed_Enhanced_Services_-_Rotavirus_and_Shingles_Immunisation
Q45,Southeast,00K,GoldmanSachs,A8602,Dr S Rasool,Abbey Health Centre Finchale Avenue Billingham,TS232DG,-,-,GMS,No,8634.i25,17_Directed_Enhanced_Services_-_Extended_Hours_Access
jQ70,Cornwall,10X,rPfizer,J82128,The Old Fire Station Surgery,The Old Fire Station Surgery 68A Portsmouth Road Woolston Southampton Hampshire,SO199AN,-,-,PMS,No,890324.56,35_Total_NHS_Payments_to_General_Practice
Q66,Yorkshire,99P,Pfizer,Y02121,Honiton Surgery,The Surgery Marlpits Road Honiton Devon,EX142NY,-,-,GMS,No,9832.50,20_Directed_Enhanced_Services_-_Influenza_and_Pneumococcal_Immunisations
Q56,Midlands,06H,GoldmanSachs,D8104,Merchford House,Merchford House 28 Elwyn Road March,PE159BY,-,-,PMS,No,4536219.57,32_Non_DES_Item_Pneumococcal_Vaccine_Childhood_Immunisation_Main_Programme
Q70,Cornwall,10V,Pfizer,J82163,Cowplain Family Practice,26-30 London Road Cowplain Waterlooville Hampshire,PO8 8DL,-,-,GMS,No,653827.42,14_Total_QOF_Payments
Q69,Pacific Coast,11C,Unilever,K81630,South Meadow Surgery,South Meadow Surgery 3 Church Close High Street Eton Berkshire,SL4 6AP,-,-,GMS,No,$150.75,26_Directed_Enhanced_Services_-_Rotavirus_and_Shingles_Immunisation
Q71,sAia,08F,Pfizer,F82010,Feldman & Partners,70 Petersfield Avenue Harold Hill Romford Essex,MR3 9PD,-,-,GMS,No,436219.57,13_PCO_Administered_-_PCO_Admin_Other
Q54,South East England,05L,Siemens,M88022,Ghosh & Partner,Jubilee Health Centre 1 Upper Russell Street Wednesbury West Midlands,WS107AR,-,-,PMS,No,4536219.57,19_Directed_Enhanced_Services_-_Improving_Patient_Online_Access
Q71,Asia,08F,Toyota,F82663,C T C Marks,107 Brentwood Road Romford Essex,RM1 2SB,-,-,GMS,No,8634.25,25_Directed_Enhanced_Services_-_Risk_Profiling_and_Case_Management
Q54,South East England,05L,Siemens,M88626,Haque,Primary Care Centre 6 High Street West Bromwich West Midlands,B70 6JX,-,-,PMS,No,4536219.57,11_PCO_Administered_-_Prolonged_Study_Leave
Q60,Midlans,05N,Samsung,M82021,Albrighton Medical Practice,Albrighton Medical Practice Shaw Lane Albrighton Wolverhampton,WV7 3DT,-,-,PMS,Yes,4536219.57,09_PCO_Administered_-_Doctors_Retainer_Scheme_Payments
Q53,Midlands,05A,Pfizer,M84065,Beech Tree Medical Practice,Beech Tree Medical Practice Rugby Health And Wellbeing Centre Drover Close Rugby Warwickshire,CV213HX,-,-,PMS,No,4536219.57,30_Information_Management_and_Technology
Q65,Yorkshire,12A,Pfizer,L81130,The Park Medical Practice,Cadbury Heath Health Centre Parkwall Road Cadbury Heath Bristol,BS308HS,-,-,PMS,No,45760.32,31_Balance_of_PMS_Expenditure
65,Yorkshire,11H,Samsung,L81128,Avonmouth Medical Centre,Collins Street Avonmouth Bristol,BS119JJ,-,-,PMS,Nho,4827.5,28_Total_National_Enhanced_Services
Q54,Southeast,00K,Siemens,A81632,The Birchtree Practice,The Health Centre Lawson Street Stockton On Tees,TS181HU,-,-,PMS,No,4536219.57,18_Directed_Enhanced_Services_-_Facilitating_Timely_Diagnosis_and_Support_for_People_with_Dementia
Q48,Cornwall,99A,Centrica,N82001,Bremner And aPrtners,Margaret Thompson Medical Centre 105 East Millwood Road Speke Liverpool,L24 6TH,-,-,PMS,No,4536219.57,11_PCO_Administered_-_Prolonged_Study_Leave
Q55,Northeastern England,04K,Siemens,C84664,Welbeck Suragery,Welbeck Surgery 481-491 Mansfield Road Sherwood Nottingham,NG5 2JJ,-,-,GMS,No,4536219x.57,32_Non_DES_Item_Pneumococcal_Vaccine_Childhood_Immunisation_Main_Programme
Q54,South East England,05L,Siemens,M85064,Dr Surdhar H S,Five Ways Health Centre Ladywood Middleway Ladywood Birmingham,B16 8HA,-,-,GMS,No,4536219.57,21_Directed_Enhanced_Services_-_Learning_Disabilities
Q67,Flanders,09J,Microsoft,G82225,The Oaks,The Oaks Partnership Nightingale Way Swanley Kent,BR8 7UP,-,-,GMS,No,4536219.57,31_Balance_of_PMS_Expenditure
Q46,Yorkshire,01G,Siemens,P87630,Cherry Medical Practice,Little Hulton iDstrict Centre Haysbrook Avenue Little Hulton Manchester,M28 0AY,-,-,PMS,No,4536219.57,30_Information_Management_and_Technology
Q45,Southeast,s00C,Pfizer,A83070,Marshall And Partners,Felix House Middleton Lane Middleton St George Darlington,DL2 1AA,-,-,PMS,Yes,4536219.57,12_PCO_Administered_-_Appraisal_Appraiser_Costs_in_Respect_of_Locums
Q57,Tuscany,99F,Pfizer,F81032,Dr P A Patel,85 Hart Road Thundersley Benfleet Essex,SS7 3PR,-,-,GMS,No,653827.42,06_Global_Sum_and_MPIG_-_MPIG_Correction_Factor
Q59,Yorkshire,04D,Pfizer,C83029,Dr Parkin And Partners,The Surgery Station Road Branston Lincoln,LN4 1LH,-,-,PMS,Yes,653827.42,33_Total_Prescribing_Payments_and_Reimbursement_of_Drugs
Q57,Tuscany,06T,Pfizer,F81017,Walton Medical Centre,The Surgery Vicarage Lane Walton-On-The-Naze Essex,CO148PA,-,-,PMS,No,4536219.57,23_Directed_Enhanced_Services_-_Patient_Participation
5Q7,Tuscany,06Q,Toyota,F81721,Brickfields Surgery,Brickfields Road South Woodham Ferrers Chelmsford Essex,CM3 5XB,-,-,PMS,No,589221.47,0_PCO_Administered_-_Seniority
Q71,Asia,07W,Microsoft,E85105,Allenby Clinic,Grand Union Medical Centre Taywood Road Northolt Middlesex,UB5 6WL,-,-,GMS,No,45.89,29_Total_Loacl_Enhanced_Services
Q54,South East England,05L,Siemens,M88026,Saini & Partner,Tividale Family Practice 51A New Birmingham Road Tividale West Midlands,B69 2JQ,-,-,GMS,No,4536219.57,06_Global_Sum_and_MPIG_-_MPIG_Correction_Factor
Q60,Midlands,05W,Pfizer,Y00451,The Phoenix Practice,Whittle Court Town Road Hanley Stoke-On-Trent,ST1 2QE,-,-,PMS,No,4536219.57,19_Directed_Enhanced_Services_-_Improving_Patient_Online_Access
Q60,Midlands,05N,GoldmanSachs,82017,Clive Surgery,Clive Surgery 20 High Street Clive Shrewsbury Shropshire,SY4 5PS,-,-,GMS,Yes,4536219.57,30_Information_Management_and_Technology
Q48,Conrwall,99A,Pfizer,N82671,Ramamoorthy And Partner,Bigham Road Medical Centre Bigham Road Kensington Liverpool,L6 6DW,-,-,PMS,No,4536219.57,13_PCO_Administered_-_PCO_Admin_Other
fQ60,Midlands,04Y,Globex,M83063,Dr Nilar & Partner,Norton Canes Health Centre Brownhills Road Norton Canes Cannock Staffs,WS119SE,-,-,GMS,No,4536219.57,32_Non_DES_Item_Pneumococcal_Vaccine_Childhood_Immunisation_Main_Programme
Q71,Asia,08D,Siemens,F85697,The Old Surgery,572 Green Lanes Hornsey London,N8 0RP,-,-,GMS,No,4536219.57,12_PCO_Administered_-_Appraisal_Appraiser_Costs_in_Respect_of_Locums
Q71,Asai,08M,Pfizer,F84713,East Ham Medical Centre- Mandavilli & Partner,East Ham Medical Centre 1 Clements Road East Ham London,E6 2DS,-,-,GMS,No,34567.8,28_Total_National_Enhanced_Services
Q71,Asia,07V,Google,H83022,Thornton Heath Health Centre,Thornton Heath Health Centre 61A Gillett Road Thornton Heath Surrey,CR7 8RL,-,-,PMS,No,4536219.57,11_PCO_Administered_-_Prolonged_Study_Leave
Q69,Pacific Coast,10W,Samysung,K81644,Tilehurst Village Surgery,Tilehurst Village Surgery 92 Westwood Road Tilehurst Reading Berkshire,RG315PP,-,-,PtMS,No,4536219.57,18_Directed_Enhanced_Services_-_Facilitating_Timely_Diagnosis_and_Support_for_People_with_Dementia
Q52,Bavaria,03G,Google,B8s6037,Radshan Medical Centre,Radshan Medical Centre 33-35 Butt Hill Kippax Leeds,LS257JU,-,-,PMS,No,250350.60,23_Directed_Enhanced_Services_-_Patint_Participation
Q71,Asia,07M,Pfizer,E83600,Adler And Rosenberg,682 Finchley Road Golders Green London,NW117NP,-,-,GMS,No,4536219.57,04_Average_Payment_per_Weighted_Patient
Q71,Asa,07Q,Unilever,G84625,Oakfield Surgery,Oakfield Surgery 21 High Street Penge London,SE207HJ,-,-,PMS,No,879.40,18_Directed_Enhanced_Services_-_Facilitating_Timely_Diagnosis_and_Support_for_People_with_Dementia
Q50,Midlands,03K,Pfizer,B81064,Church Lane Medical Centre,1 Orchid Rise Scunthorpe,DN157AN,-,-,GMS,oN,890324.56,35_Total_NHS_Payments_to_General_Practice
Q70,Cornwall,99M,Pfizer,J82206,Monteagle Surgery,Monteagle Surgery Tesimond Drive Monteagle Park Yateley,GU466FE,-,-,GMS,oN,4536219.57,21_Directed_Enhanced_Services_-_Learning_Disabilities
Q17,Asia,07Y,Pfizer,E85718,Dr Mh Muzafer,Hatton Medical Practice 186 Hatton Road Feltham Middlesex,TW149PY,-,-,GMS,o,4536219.57,19_Directed_Enhanced_Services_-_Improving_Patient_Online_Access
Q53,Midlands,05A,Pfizer,M84031,Barr Lane Surgery,The Surgery Barr Lane Brinklow Rugby Warwickshire,CV230LU,-,-,GMS,Yes,9832.50,18_Directed_Enhanced_Services_-_Facilitating_Timely_Diagnosis_and_Support_for_People_with_Dementia
Q71,Asa,07R,Samsung,F83006,Ampthill Practice,Crowndale Health Centre 59 Crowndale Road London,NW1c 1TN,-,-,GMS,No,653827.42,02_Directed_Enhanced_Services_-_Influenza_and_Pneumococcal_Immunisations
Q65,Yorkshire,11H,Pfizer,L81133,Student Health Service,Hampton House Health Centre St Michael'S Hill Bristol,BS6 6AU,-,-,GMS,No,4536219.57,13_PCO_Administered_-_PCO_Admin_Other
Q67,Flanders,09E,Pfizer,G82082,Sturry Surgery,53 Island Road Sturry Canterbury Kent,CT2 0EF,-,-,PMS,Yse,9832.50,29_Total_Local_Enhanced_Services
Q53,Midlands,05A,Pizer,M86005,Dr G. Sani Gusau,Suite 1 Coventry And Warwickshire Hospital Stoney Stanton Road Coventry,CV1 4FH,-,-,GMS,No,547244.77,04_Average_Payment_per_Weighted_Patient
Q52,Bavaria,02T,Siemens,B84005,Dr P G Sawczyn & Partners,Rosegarth Surgery Rothwell Mount Halifax West Yorkshire,HX1 2HB,-,-,GMS,No,4536219.57,32_Non_DES_Item_Pneumococcal_Vaccine_Childhood_Immunisation_Main_Programme
Q49,Yorkshire,01H,Pfizer,A8m2015,Warwick Road Surgery,65 Warwick Road Carlisle Cumbria,CA1 1EB,-,-,GMS,No,745.22,26_Directed_Enhanced_Services_-_Rotavirus_and_Shingles_Immunisation
Q69,Pacific Coast,10H,Toyota,K82045,Southmead Surgery,Southmead Surgery Blackpond Lane Farnham Common Slough Berks,SL2 3ER,-,-,GS,No,4536219.57,18_Directed_Enhanced_Services_-_Facilitating_Timely_Diagnosis_and_Support_for_People_with_Dementia
Q66,Yorkshire,11N,Pfizer,L82040,Woodland Road Surgery,Woodland Road Surgery 20 Woodland Road St Austell Cornwall,L254QY,-,-,GMS,No,745.22,22_Directed_Enhanced_Services_-_Minor_Surgery
Q0,Midlands,05Q,Samsung,M83072,Dr Pr J Gregory & Partners,Salters Meadow Health Centre Rugeley Road Chase Terrace Burntwood Walsall,WS7 1AU,-,-,PMS,No,745.22,14_Total_QOF_Payments
Q56,Midlands,06V,Samsung,D82009,Dr D J H Hood & Partners,The Staithe Surgery Lower Staithe Road Stalham Norwich Norfolk,NR129BU,-,-,PMS,Yes,4536219.57,16_Directed_Enhanced_Services_-_Childhood_Vaccination_and_Immunisation_Scheme
Q67,Flanders,09E,Unilever,G82063,Market Place Surgery,The Market Place Surgery Cattle Market Sandwich Kent,CT139ET,-,-,GMS,No,12499.50,08_PCO_Administered_-_Seniority
Q50,Midlands,03Q,Siemens,B82021,Dalton Terrace uSrgery,Glentworth Dalton Terrace York,YO244DB,-,-,GMS,No,51230.45,01_Number_of_Registered_Patients_Last_Known_Figure
Q70,Cornwall,11A,Pfizer,J82145,Abbey Mead Surgery,The Abbey Romsey Hampshire,SO518EN,-,-,GMS,Yes,4536219.57,15_Directed_Enhanced_Services_-_Alcohol
Q69,Pacific Coast,10Q,fizer,K84618,Cogges Surgery,Cogges Surgery 12 Cogges Hill Road Witney Oxon,OX283FS,-,-,GMS,No,4536219.57,30_Information_Management_and_Technology
Q58,Scotland,0P,Pfizer,E81618,Leagrave Rd Med Pract - Hoda,53 Leagrave Road Luton Beds,LU4 8HT,-,-,GMS,No,4536219.57,30_Information_Management_and_Technology
Q71,Asiia,07N,Pfizer,G83002,The Westwood Surgery,24 Westwood Lane Welling Kent,DA162HE,-,-,PMdS,No,4536219.57,27_Directed_Enhanced_Services_-_Services_for_Violent_Patients
Q46,Yorkshire,00T,Microsoft,P82609,Dr A Prasad & Partner,Shanti Medical Centre 160 St Helens Road Bolton,BL3 3PH,-,***,GMS,No,5983.44,08_PCO_Administered_-_Seniority
Q56,Midlands,06L,Microsoft,D83037,Hadleigh Health Centre Market Place Hadleigh (064),Health Centre Market Place Hadleigh Ipswich,IP7 5DN,-,-,PMS,Yes,4536219.57,19_Directed_Enhanced_Services_-_Improving_Patient_Online_Access
Q71,Asia,08D,Pfizer,F85641,Dr R Singh,15 High Road Tottenham N15,N15 6LT,-,***,PMS,No,12499.50***,21_Directed_Enhanced_Services_-_Learning_Disabilities
Q56,Midlands,06M,Unilever,D82067,Dr P Noakes & Partners,The Park Surgery 4 Alexandra Road Great Yarmouth Norfolk,NR302sHW,-,-,GMS,No,4536219.57,27_Directed_Enhanced_Services_-_Services_for_Violent_Patients
Q70,Cornwall,1L0,Pfizer,J84003,Ventnor Medical Centre,3 Albert Street Ventnor Isle Of Wight,PO381EZ,-,-,GMS,No,4536219.57,32_Non_DES_Item_Pneumococcal_Vaccine_Childhood_Immunisation_Main_Programme
Q49,Yorkshire,00G,Pfizer,A86024,Heaton Road Surgery,17-19 Heaton Road Heaton Newcastle Upon Tyne,NE6 1SA,-,,GMS,No,4536219.57,30_Information_Management_and_Technology
Q51,West Midlands,03N,Cisco,C88627,University Health Service,Health Centre 53 Gell Street heffield,S3 7QP,l-,-,PMS,No,18456.7,03_Average_Payment_per_Registered_Patient
Q71,Asia,07R,Siemens,F83059,Brondesbury Medical Centre,279 Kilburn High Road London,NW6 7JQ,-,-,PMS,No,4536219.57,27_Directed_Enhanced_Services_-_Services_for_Violent_Patients
Q45,Southeast,00D,fPizer,A83008,Hallgarth Surgery,Hallgarth Surgery Cheapside Shildon County Durham,DL4 2HP,-,-,PMS,sNo,5983.44,20_Directed_Enhanced_Services_-_Influenza_and_Pneumococcal_Immunisations
50,Midlands,03F,Unilever,B81675,Dr Tak A H And Partners,Newington Health Care Centre 2 Plane Street Kingston Upon Hull,HU3 6BX,-,-,PMS,No,4536219.57,11_PCO_Administered_-_Prolonged_Study_Leave
Qf68,Wessex,90G,Siemenas,H82625,Old Shoreham Road Practice,Old Shoreham Road Surgery 38 Old Shoreham Road Lancing West Sussex,BN150QT,i-,31/03/14,GMS,No,4536219.57,23_Directed_Enhanced_Services_-_Patient_Participation
Q46,Yorkshire,01D,Pfizer,P86003,Edenfield Road Surgery,Edenfield Road Surgery Cutgate Shopping Precinct Rochdale,OL115AQ,-,-,GMS,o,48276.78,10_PCO_Administered_-_Total_Locum_Allowances
58,Scotland,04G,Samsung,K83012,King Edward Road Surgrey,King Edward Road Surgery Christchurch Medicatl Centre King Edward Road Northampton,NN1 5LY,-,-,GMS,No,$150.75,20_Directed_Enhanced_Services_-_Influenza_and_Pneumococcal_Immunisations
Q57,Tuuscany,06Q,Pfizer,F81132,Blandford Medical Centre,Blandford Medical Centre Mace Road Braintree Essex,CM7 x2AE,-,-,GMS,Yes,48276.78,08_PCO_Administered_-_Seniority
Q52,Baaria,03G,Pfizer,B86081,Dr Boonin A S & Partners,Bellbrooke Surgery Bellbrooke Avenue Harehills Leeds,LS9 6AU,***,-,PMS,No,45760.32,10_PCO_Administered_-_Total_Locum_Allowances
Q47,Yorkshire,00X,Pfizer,P81062,Regent House Surgery,21 Regent Road Chorley Lancashire,PR7 2DH,-,-,GMS,No,5794302.73,07_Premises_Payments
Q71,Asia,k07W,Siemens,E85121,The Guru aNnak Medical Centre,1 Woodlands Road Southall Middlesex,UB1 1EE,-,-,PMS,No,4536219.57,27_Directed_Enhanced_Services_-_Services_for_Violent_Patietns
Q58,Scotland,06F,Pfizer,E81012,Greensands Med Pract - Taine,Greensands Medical Practice Brook End Potton Sandy Beds,SG192QS,-,-,GMS,Yes,4536219k.57,12_PCO_Administered_-_Appraisal_Appraiser_Costs_in_Respect_of_Locums
Q71,Asai,07N,Samsung,G83028,Bexley Group Practice,73 Upper Wickham Lane Welling Kent,DA163AF,-,-,PMS,No,536219.57,13_PCO_Administered_-_PCO_Admin_Other
Q47,Yorkshire,00Q,Pfizer,P81734,The Cornerstone Practice,The Cornerstone Practice Shadsworth Surgery Shadsworth Road Blackburn,BB1 2HR,-,c-,MPS,No,3178.55,37_Total_NHS_Payments_to_General_Practice_Minus_Deductions
Q70,Cornwall,10L,Pfizer,J84015,Cowes Medical Centre,200 Newport Roadz Cowes Isle Of Wight,PO317ER,-,-,MGS,No,$150.75,33_Total_Prescribing_Payments_and_Reimbursement_of_Drugs
Q46,Yorkshire,00W,Siemens,P84072,Dr A Esmail & Partners,Robert Darbishire Practice Rusholme Health Centre Walmer Street Manchester,M14 5NP,-,-,PMS,No,45.89,31_Balance_of_PMS_Expenditure
Q50,Midlands,03F,Pfizer,B81634,Dr Venugopal J And Partners,Bransholme South Health Centre Goodhart Road Bransholme Kingston Upon Hull,HU7 4DW,-,-,GMS,No,18456.7,07_PremisesPayments
