indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and rac eand Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2003-206,4.0,2-5years,72.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,82.0,"Percent of population, crude",1,Sex ad race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,0205-2008,5.0,2-5 years,98.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 yuears,2.0,"Percent of population, crude",1,Sex and race and Hispanic oreigin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,200-72010,6.0,-5 years,91.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,67.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2009-2012,7.0,2-5 years,18.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2011-2014,8.0,2- 5years,96.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2013-2016,9.0,2-5 eyars,12.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2015-2018,10.0,-25 years,42.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and brace and Hispanic origin,4.0,4.221,Female: Hispanic or Latino: All races,1988-1994,43.0,2-5 tyears,36.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,51.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.221,Female: Hispanic or Latino: All races,1999-2002,55.0,2-5 years,20.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,39.0,"Percent of population, crude",1,Sex and race and Hispanic origin,63.0,4.221,Female: Hispanic or Latino: All races,2001-2004,96.0,2-5 years,5.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,21.0,4.221,Female: Hispanic or Latino: All races,003-2006,4.0,2- years,73.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,66.0,4.221,Female: Hispanic or Latino: All races,2005-2008,5.0,25- years,76.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,24.0,4.221,Female: Hispanic or Latino: All races,2007-2010,6.0,2-5years,85.1,12.7,1.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,6.0,"Percent of population, crude",1,Sex and race and Hispanic orgin,4.0,4.221,Female: Hispanic or Latino: All races,2009-2012,7.0,2-5 years,58.1,14.9,2.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,35.0,4.221,Female: Hispanic or Latino: All races,2011-2014,8.0,2-5 yearis,59.1,14.6,2.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispcanic origin,4.0,4.221,Female: Hispanic or Latino: All races,2013-2016,9.0,2-5 yeasr,3.1,16.3,2.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,31.0,4.221,Female: Hispanic or Latino: All races,2015-2018,10.0,2- 5years,74.1,16.3,2.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispani origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,1988-1994,19.0,2-5 xyears,34.1,12.3,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and raoce and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,1999-2002,69.0,2-5 pyears,32.1,12.2,3.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2001-2004,75.0,2f-5 years,49.1,15.7,3.9,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2003-2006,4.0,2-5 ypears,95.1,14.5,2.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic orign,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,20052008,5.0,2-5 yeasr,89.1,10.8,1.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2007-2010,6.0,2-5 yers,80.1,9.9,2.3,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2009-2012,7.0,2-c5 years,34.1,13.8,3.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,75.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2011-2014,8.0,2-5 years,5.1,16.1,3.8,*
Obesity among children and adolescents aged 2-19 years,2-n5 years,2.0,"Percent of population, crude",1,Sex and rcae and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2013-2016,9.0,-5 years,0.1,17.1,3.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,7.0,"Percent of population, crude",1,Sex an race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2015-2018,10.0,2-5 years,67.1,15.6,3.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,86.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,Below 100%,1988-1994,20.0,2-5 years,36.1,9.7,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,Below 100%,1999-2002,57.0,25 years,32.1,10.9,1.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent of poverzty level,98.0,5.1,Below 100%,2001-2004,44.0,-5 years,46.1,14.4,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent of poverty level,89.0,5.1,Below 100%,200-2006,4.0,2- 5years,51.1,14.3,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,Below 100%,2005-2t008,5.0,x2-5 years,83.1,12.3,1.1,-
Obesity among children and adolescents aged 2-19 years,2-5 iyears,2.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,Below 100%,2007-2010,6.0,2-5 yers,100.1,13.2,1.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent of poverty level,72.0,5.1,Below 100%,2009-2012,7.0,-25 years,100.1,12.3,1.4,-
Obesity among children and adolescents aged 2-19 years,25 years,2.0,"Percent of population, crude",1,Percent of povertyl evel,28.0,5.1,Below 100%,2011-2014,8.0,2-5years,4.1,11.6,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent of poverty levwel,28.0,5.1,Below 100%,2013-2016,9.0,2-5 yeasr,62.1,13.5,1.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,71.0,"Percent of population, crude",1,Percent of poverty level,13.0,5.1,Below 100%,2015-2018,10.0,2-5 years,13.1,15.5,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 myears,2.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.2,100%-199%,1988-1994,98.0,2-5 years,17.1,7.3,0.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,40.0,"Percent of population, crude",1,Percnt of poverty level,80.0,5.2,100%-199%,1999-2002,81.0,2-5 years,31.1,13.8,2.8,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent of poverty leviel,5.0,5.2,100%-199%,2001-2004,82.0,2-5 yeacrs,25.1,13.3,2.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,22.0,"Percent of population, crude",1,Percent of povery level,76.0,5.2,100%-199%,2003-20p06,4.0,2-5 years,91.1,12.7,1.7,-
Obesity among children and adolescents aged 2-19 years,-25 years,2.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.2,100%-199%,2005-2008,5.0,-5 years,69.1,10.0,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,82.0,"Percent of population, crude",1,Percent of povert ylevel,5.0,5.2,100%-199%,2007-2010,6.0,2-5 years,92.1,11.8,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.2,100%-199%,2009-2012,7.0,2-5f years,18.1,11.6,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent of poverty level,87.0,5.2,100%-199%,2011-2014,8.0,2-5years,60.1,10.2,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5years,2.0,"Percent of population, crude",1,Percent of poverty leel,27.0,5.2,100%-199%,2013-2016,9.0,2-5 gyears,32.1,12.6,1.8,-
Obesity among children and adolescents aged 2-19 years,2-5 eyars,2.0,"Percent of population, crude",1,Percent of poverty level,20.0,5.2,100%-199%,2015-2018,10.0,2-5 yeasr,30.1,16.8,2.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.3,200%-399%,1988-1994,40.0,2-5 yeras,40.1,5.6,1.1,-
Obesity among children and adolescents aged 2-19 years,2-5 years,67.0,"Percent of population, crude",1,Percent of poverty level,63.0,5.3,200%-399%,1999-2002,65.0,2-5 years,22.1,7.6,1.9,*
Obesity among children and adolescents aged 2-19 years,2-5 yers,2.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.3,200%-399%,2001-204,3.0,2-5 years,96.1,13.6,2.6,-
Obesity among children and adolescents aged 2-19 years,2-5 yaers,2.0,"Percent of population, crude",1,Prcent of poverty level,86.0,5.3,200%-399%,2003-2006,4.0,2-5 yers,19.1,11.9,2.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent f poverty level,5.0,5.3,200%-399%,2005-2008,5.0,25 years,89.1,11.6,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent of poverty lvel,22.0,5.3,200%-399%,2007-0210,6.0,25- years,71.1,13.9,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,56.0,"Percent of population, crude",1,Percentof poverty level,5.0,5.3,200%-399%,2009-2012,7.0,2-5 years,84.1,11.0,1.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,ercent of poverty level,38.0,5.3,200%-399%,2011-2014,8.0,2-5 yeaars,75.1,7.7,1.7,*
Obesity among children and adolescents aged 2-19 years,2-5 yeasr,2.0,"Percent of population, crude",1,Percnet of poverty level,57.0,5.3,200%-399%,2013-2016,9.0,25- years,69.1,10.4,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent f poverty level,5.0,5.3,200%-399%,2015-2018,10.0,-25 years,54.1,12.7,1.8,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.4,400% or more,1988-1994,32.0,2-5 yeasr,82.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent of poverty level,51.0,5.4,400% or more,1999-2002,2.0,2-5f years,18.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percen tof poverty level,82.0,5.4,400% or more,2001-2004,87.0,2-5 oyears,43.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.4,400% or more,0203-2006,4.0,2-5 yearrs,55.1,10.0,2.9,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent ogf poverty level,5.0,5.4,400% or more,2005-20y08,5.0,2-5 yeasr,38.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,ercent of poverty level,28.0,5.4,400% or more,2007-2010,6.0,2-5g years,75.1,5.8,1.5,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Prcent of poverty level,59.0,5.4,400% or more,2009-2012,7.0,-25 years,55.1,5.0,1.3,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent of poverty level,63.0,5.4,400% or more,2011-2014,8.0,2-5 eyars,67.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent of poverty lveel,5.0,5.4,400% or more,2013-2016,9.0,-5 years,31.1,8.2,2.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Percent of povert ylevel,5.0,5.4,400% or more,2015-2018,10.0,2-5 yeafrs,77.1,6.6,1.7,-
