objectid,cyclevalue,id_three_zero_five_b,namevalue,locationvalue,milessquare,marineaquaticlife,recreation,fishconsumption,shellfish,shape_length,shape_area
95,2008,CT-E1_011-SB,"LIS EB Inner - Mumford Cove (Inner), Groton","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Inner Mumford Cove along east side of Bluff Point State Park shore, and North of Groton Long Point to saltwater limit near RR crossing, Groton.",0.2189958,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,17747.2107938251,6105252.72566075
96,2008,CT-E1_021,"LIS EB Inner - Pattagansett Rvr (mouth), East Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Pattagansett River from outlet at RR crossing, US to saltwater limit at Route 156 crossing, East Lyme.",0.04826603,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,16943.0398792269,1345579.891656
97,2008,CT-E2_021,"LIS EB Shore - Plum Bank, Old Saybrook","See Map for Boundaries. Eastern portion of LIS from Plum Bank Creek to Cornfield Point (includes Town Beach), out approximately 1000 ft offshore.",0.18227534,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,12262.3702120912,5081545.11457672
98,2008,CT-E2_022,"LIS EB Shore - Indiantown Harbor, Old Saybrook","See Map for Boundaries. Eastern portion of LIS from Long Rock to Plum Bank Creek (includes the mouth of Oytser River and Back River, and Plum Bank Creek), out approximately 1000 ft offshore.",0.38943097,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,28446.8328214907,10856712.6241672
99,2008,CT-E1_003,"LIS EB Inner - Inner Wequetequock Cove, Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Inner Wequetequock Cove from RR crossing US to Saltwater limit, in two lopes adjacent to Route 1, Stonington.",0.09438988,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,19178.115042433,2631438.84704397
100,2008,CT-E1_007-SB,"LIS EB Inner - Mystic River (Mouth), Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Mouth of Mystic River Estuary from RR crossing, US to Saltwater limit, above Route 95 crossing, adjacent to Mill Street, Stonington (Old Mystic).",0.45311904,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,46973.1376835794,12632234.0170407
101,2008,CT-E1_008-SB,"LIS EB Inner - Mystic Harbor, Groton","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Mystic Harbor from Morgan Point to RR crossing at mouth of Mystic River (includes waters North of Mason Island), Groton.",0.95408071,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,57194.8888637775,26598243.9123062
102,2008,CT-C2_013,"LIS CB Shore - Indian Neck, Branford","See Map for Boundaries. Central portion of LIS from Clam Island to Brown Point area (includes Haycock Point), out approximately 1000 ft offshore, Branford.",0.56739428,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,36936.9040296934,15818044.8647062
103,2008,CT-C3_010,"LIS CB Midshore - Indian Neck, Branford","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Indian Neck, Little Point), out to 50 ft contour, Branford.",8.55352909,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,69642.302086243,238458705.48073
104,2008,CT-W3_003,"LIS WB Midshore - Bridgeport Hbr, West, Bridgeport","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Grover Hill, Fayerweather Island, Seaside Beach area), out to 50 ft contour, Bridgeport. Odd shape due to 50 ft contour.",6.05886735,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,64565.8310752551,168911527.666804
105,2008,CT-C2_006,"LIS CB Shore - Madison Beaches (East), Madison","See Map for Boundaries. Central portion of LIS from West Warf to Webster Point area (includes West Warf and East Warf Beaches, Tuxis Island, and tidal Fence Creek ), out approximately 1000 ft offshore, Madison.",0.39865693,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,36611.9739566144,11113917.5848109
