facilitytype,facilitytypedescription,subtype,subtypedescription,permitnumber,premisename,premiseaddress,premisecity,premisestate,premisezip,inspection_area,openingdate,object_id
695,SWIMMING AREA,191,SWIMMING POOL,101551,HOME 2 SUITES,240 S. HANCOCK ST,LOUISVILLE,KY,40202,28,1988/06/07 00:00:00,238
695,SWIMMING AREA,197,SPA,101552,OMNI LOUISVILLE - LEVEL 3,400 S. 2ND STREET,LOUISVILLE,KY,40202,24,2018/03/08 00:00:00,239
695,SWIMMING AREA,191,SWIMMING POOL,101553,OMNI LOUISVILLE - LEVEL 3 POOL,400 S. 2ND STREET,LOUISVILLE,KY,40202,24,2018/03/08 00:00:00,240
695,SWIMMING AREA,191,SWIMMING POOL,101554,THE RESIDENCES AT OMNI - LEVEL 16 POOL,200 WEST LIBERTY ST,LOUISVILLE,KY,40202,24,2018/05/21 00:00:00,241
695,SWIMMING AREA,191,SWIMMING POOL,101641,LOUISVILLE BROADWAY APTS LLC / HIGHLAND STATION,1172 E BROADWAY,LOUISVILLE,KY,40204,28,2018/05/22 00:00:00,242
695,SWIMMING AREA,191,SWIMMING POOL,101819,ASPENWOOD APARTMENTS,3300 ASPEN VALLEY CIRCLE,LOUISVILLE,KY,40241,21,2017/02/27 00:00:00,243
695,SWIMMING AREA,191,SWIMMING POOL,101828,QUALITY INN,1301 KENTUCKY MILLS DR,LOUISVILLE,KY,40299,22,2017/02/28 00:00:00,244
695,SWIMMING AREA,191,SWIMMING POOL,101850,HOME 2 SUITES,3000 CRITTENDEN DR,LOUISVILLE,KY,40209,23,2018/05/25 00:00:00,245
695,SWIMMING AREA,191,SWIMMING POOL,101851,BRADFORD MILL LOFTS,1124 REUTLINGER AVE,LOUISVILLE,KY,40204,28,1988/06/07 00:00:00,246
695,SWIMMING AREA,191,SWIMMING POOL,101962,THE GEORGE,6600 SEMINARY WOODS PLACE,LOUISVILLE,KY,40241,21,2017/03/21 00:00:00,247
695,SWIMMING AREA,191,SWIMMING POOL,102015,THE PARK AT HURSTBOURNE APTS -VARSITY CLUB,6121 BIG BEN DR,FERN CREEK,KY,40291,27,2017/03/29 00:00:00,248
695,SWIMMING AREA,191,SWIMMING POOL,102049,SOUTHGATE LANDING,10960 SOUTHGATE MANOR DR,LOUISVILLE,KY,40229,27,2017/03/30 00:00:00,249
695,SWIMMING AREA,191,SWIMMING POOL,102157,THE ENCLAVE AT BRECKENRIDGE,7204 CHURCHILL PARK DR,LOUISVILLE,KY,40220,28,2017/04/14 00:00:00,250
695,SWIMMING AREA,191,SWIMMING POOL,102469,STATION J-TOWN,9601 BALSAM WAY,JEFFERSONTOWN,KY,40299,22,2017/05/16 00:00:00,251
695,SWIMMING AREA,191,SWIMMING POOL,102843,THE LODGES,14500 ENGLISH PARK CIR,JEFFERSONTOWN,KY,40299,22,1988/06/07 00:00:00,252
695,SWIMMING AREA,191,SWIMMING POOL,102861,THE PARK AT HURSTBOURNE,5301 HAMES TRACE,FERN CREEK,KY,40291,22,2013/05/16 00:00:00,253
695,SWIMMING AREA,191,SWIMMING POOL,102919,HYATT REGENCY,311 S 4TH ST,LOUISVILLE,KY,40202,24,2017/07/06 00:00:00,254
695,SWIMMING AREA,197,SPA,103196,U OF L HOT WALK THRU,2800 S FLOYD ST,LOUISVILLE,KY,40209,24,2018/07/31 00:00:00,255
695,SWIMMING AREA,197,SPA,103197,U OF L - COLD WALK THRU,2800 S FLOYD ST,LOUISVILLE,KY,40209,24,2018/07/31 00:00:00,256
695,SWIMMING AREA,191,SWIMMING POOL,103302,TOWNEPLACE SUITES / FAIRFIELD INN & SUITES,10110 CHAMPION FARMS DR,LOUISVILLE,KY,40241,21,2018/04/18 00:00:00,257
695,SWIMMING AREA,191,SWIMMING POOL,103312,WINGATE INN,3200 KEMMONS DR,LOUISVILLE,KY,40218,28,2018/05/23 00:00:00,258
695,SWIMMING AREA,197,SPA,103340,U OF L FOOTBALL 0-5 HYDROWORX,2800 S FLOYD ST,LOUISVILLE,KY,40202,24,2018/07/31 00:00:00,259
695,SWIMMING AREA,197,SPA,103341,U OF L FOOTBALL HOT PLUNGE WHITE HYDROWORX,2800 S FLOYD ST,LOUISVILLE,KY,40209,24,2018/07/31 00:00:00,260
695,SWIMMING AREA,197,SPA,103342,U OF L FOOTBALL COLD PLUNGE WHITE HYDROWORX,2800 S FLOYD ST,LOUISVILLE,KY,40209,24,2018/07/31 00:00:00,261
695,SWIMMING AREA,191,SWIMMING POOL,103431,WINGATE BY WYNDHAM,12301 ALLIANT COURT,JEFFERSONTOWN,KY,40299,22,2017/08/31 00:00:00,262
695,SWIMMING AREA,191,SWIMMING POOL,103432,BAXTER APARTMENTS,1221 E BROADWAY,LOUISVILLE,KY,40204,28,1988/06/07 00:00:00,263
695,SWIMMING AREA,191,SWIMMING POOL,29476,HOLLY HOUSE CONDOMINIUMS,1924 GOLDSMITH LN.,LOUISVILLE,KY,40218,28,1988/06/07 00:00:00,264
695,SWIMMING AREA,198,SPLASH PAD,85551,METRO PARKS FAIRDALE SPRAY POOL,709 FAIRDALE RD,FAIRDALE,KY,40118,23,2010/03/30 00:00:00,265
695,SWIMMING AREA,191,SWIMMING POOL,29259,CASA GRANDE OF THIERMAN,161 THIERMAN LN,LOUISVILLE,KY,40207,26,1988/06/06 00:00:00,266
695,SWIMMING AREA,199,WADING POOL,29482,HUNTING CREEK COUNTRY CLUB,6807 FOXCROFT DR,PROSPECT,KY,40059,21,1988/08/03 00:00:00,267
695,SWIMMING AREA,191,SWIMMING POOL,29260,PLAINVIEW APTS,1000 STONE SPRING WAY,LOUISVILLE,KY,40223,25,1988/06/06 00:00:00,268
695,SWIMMING AREA,198,SPLASH PAD,85808,METRO PARKS RIVERVIEW PARK SPRAYGROUND,8203 GREENWOOD RD,LOUISVILLE,KY,40258,23,2010/04/30 00:00:00,269
695,SWIMMING AREA,191,SWIMMING POOL,29485,HURSTBOURNE GRAND APTS,8916 MARKSFIELD RD.,LOUISVILLE,KY,40222,29,1988/08/02 00:00:00,270
