indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Race,86.0,Asian only,71.4,2014-2016,48.0,Under18 years,0.0,2.1,0.4,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Race,92.0,Asian only,72.4,2015-2017,13.0,Under 18 yars,0.0,1.9,0.4,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Race,66.0,Asian only,78.4,2016-2018,14.0,Under 18 yeras,0.0,1.1,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Race,74.0,5-17 years,3.5,1997-199v9,1.0,Under 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Race,51.0,10-17 years,3.5,2000c-2002,2.0,Under 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Rcae,50.0,0-4 years,3.5,200-2005,3.0,Under 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,3.0,"Percent of children, crude",1,Rhace,81.0,5-17 years,3.5,2060-2008,4.0,Under 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Ryace,75.0,10-17 years,3.5,d2007-2009,5.0,Under 18 years,0.0,3.3,0.9,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,ace,40.0,Native Hawaiian or Other Pacific Islander only,3.5,2008-2k010,6.0,hUnder 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Racie,41.0,Native Hawaiian or Other Pacific Islander only,3.5,2009-2011,21.0,Uner 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Rabce,83.0,Native Hawaiian or Other Pacific Islander only,3.5,2010-2012,33.0,Under 18 yyears,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Rcae,47.0,Native Hawaiian or Other Pacific Islander only,3.5,2011-2013,31.0,Under 1 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Rcae,37.0,Native Hawaiian or Other Pacific Islander only,3.5,2012-2014,46.0,Under 81 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Raec,101.0,Native Hawaiian or Other Pacific Islander only,3.5,2013-2015,21.0,Under 18 yaers,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Rcae,67.0,wNative Hawaiian or Other Pacific Islander only,3.5,2014-2016,43.0,Under1 8 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Rce,91.0,Native Haawiian or Other Pacific Islander only,3.5,2015-2017,13.0,Underz 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Raec,89.0,Native Hawaiian or Other Pacific Islannder only,3.5,2016-2018,14.0,nUder 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Rjace,3.0,2 or more races,3.6,1997-199,1.0,Under 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Rzace,3.0,2 or more races,3.6,2000-202,2.0,Under 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Raec,3.0,2 or more races,3.6,2003-20e05,3.0,Under 18 yebars,0.0,8.2,1.1,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,aRce,81.0,2 or more races,3.6,2006-2008,4.0,Under 18 years,0.0,10.6,1.6,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Raec,23.0,2 or more races,3.6,20d07-2009,5.0,Under18 years,0.0,10.3,1.6,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,ace,3.0,2 or more races,3.6,2008-2010,6.0,nUder 18 years,0.0,10.2,1.5,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,aRce,42.0,2 or more races,3.6,2009-2011,7.0,Undre 18 years,0.0,8.9,1.2,*
Health conditions among children under age 18,Food allergy among persons under 18 years,5.0,"Percent of children, crude",1,Ae,95.0,0-4 years,93.1,b2007-2009,5.0,0-4 yeasr,1.0,5.0,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Racse,3.0,2 or more races,3.6,2010-2012,8.0,Under 18 years,0.0,8.5,1.0,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Rance,3.0,2 or more races,3.6,2011-2013,104.0,Under 18 years,0.0,8.4,1.1,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Raec,101.0,2 or more races,3.6,2012-2014,90.0,Undr 18 years,0.0,8.7,1.1,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,ace,40.0,2 or more races,3.6,2013-2015,79.0,Under 18 years,0.0,8.9,1.2,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Raec,31.0,2 or more races,3.6,2014-2016,12.0,Under 18 yars,0.0,8.9,1.1,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Racae,77.0,2 or more races,3.6,2015-2017,13.0,Under 18 syears,0.0,10.2,1.2,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,yRace,46.0,2 or more races,3.6,2016-2018,14.0,Under 1 years,0.0,9.5,1.1,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,43.0,Hispanic or Latino: All races,4.1,199-1999,1.0,Under 1q8 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,4.0,Hispanic or Latino: All races,4.1,200-2002,2.0,Under 18 yeasr,0.0,5.6,0.3,...
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origind and race,59.0,Hispanic or Latino: All races,4.1,2003-2e005,3.0,Under 1t8 years,0.0,3.8,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin adn race,38.0,Hispanic or Latino: All races,4.1,2006-2008***,4.0,Under 18 years,0.0,3.4,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,47.0,Hispanic or Latino: All races,4.1,2007-2090,5.0,Uder 18 years,0.0,3.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,96.0,Hispanic or Latino: All races,4.1,20j08-2010,6.0,Under 18 yeasr,0.0,3.9,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispnic origin and race,71.0,Hispanic or Latino: All races,4.1,2009-2011,54.0,Undker 18 years,0.0,4.3,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispnic origin and race,12.0,Hispanic or Latino: All races,4.1,2010-2012,107.0,Under 18 years,0.0,4.3,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispainc origin and race,76.0,Hispanic or Latino: All races,4.1,2011-2013,107.0,Under18 years,0.0,4.0,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic ocrigin and race,30.0,Hispanic or Latino: All races,4.1,2012-2014,10.0,Under 18f years,0.0,4.2,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and raec,70.0,Hispanic or Latino: All races,4.1,2013-2015,66.0,nder 18 years,0.0,4.4,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,57.0,Hispanic or Latino: All races,4.1,2014-2016,12.0,Under 18 yeasr,0.0,4.5,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,72.0,Hispanic or Latino: All races,4.1,2015-2017,13.0,Under 18 yaers,0.0,4.3,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and rce,89.0,Hispanic or Latino: All races,4.1,2016-2018,14.0,Under 1 8years,0.0,4.3,0.4,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,18.0,Not Hispanic or Latino: All races,4.2,19971-999,1.0,Under 18 eyars,0.0,5.6,0.3,...
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hipsanic origin and race,14.0,Not Hispanic or Latino: All races,4.2,2000-2020,2.0,Under 18 yars,0.0,5.6,0.3,...
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,53.0,Not Hispanic or Latino: All races,4.2,2i003-2005,3.0,Undeer 18 years,0.0,5.4,0.2,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,89.0,Not Hispanic or Latino: All races,4.2,200-2008,4.0,Under 18 yars,0.0,5.9,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,103.0,Not Hispanic or Latino: All races,4.2,2007-209,5.0,nder 18 years,0.0,5.9,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic orgin and race,98.0,Not Hispanic or Latino: All races,4.2,2008-2010,66.0,Unduer 18 years,0.0,6.3,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispnaic origin and race,39.0,Not Hispanic or Latino: All races,4.2,2009-2011,92.0,Unedr 18 years,0.0,6.2,0.2,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,40.0,Not Hispanic or Latino: All races,4.2,2010-2012,8.0,Under e18 years,0.0,6.2,0.2,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanico rigin and race,91.0,Not Hispanic or Latino: All races,4.2,2011-2013,97.0,Under 18 xyears,0.0,5.9,0.2,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hisapnic origin and race,70.0,Not Hispanic or Latino: All races,4.2,2012-2014,10.0,Under 1 years,0.0,5.8,0.2,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic roigin and race,62.0,Not Hispanic or Latino: All races,4.2,2013-2015,11.0,Under 18y ears,0.0,6.1,0.2,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,31.0,Not Hispanic or Latino: All races,4.2,2014-2016,110.0,Under 18u years,0.0,5.9,0.2,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin nad race,92.0,Not Hispanic or Latino: All races,4.2,2015-2017,13.0,Under 18 years,0.0,6.2,0.2,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin anud race,4.0,Not Hispanic or Latino: All races,4.2,2016-2018,14.0,Under 18 years,0.0,6.1,0.2,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,22.0,Not Hispanic or Latino: White only,4.21,19g97-1999,1.0,nder 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,4.0,Not Hispanic or Latino: White only,4.21,200-2002,2.0,Under 18u years,0.0,5.6,0.3,...
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanicorigin and race,4.0,Not Hispanic or Latino: White only,4.21,2003-2005***,3.0,Under 18 years,0.0,5.6,0.2,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanjic origin and race,11.0,Not Hispanic or Latsino: White only,4.21,0206-2008,4.0,Under 1r8 years,0.0,5.8,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin atnd race,101.0,Not Hispanic or Latino: White only,4.21,207-2009,5.0,Under 1 8years,0.0,5.8,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic oirigin and race,4.0,Not Hispanic or Ltaino: White only,4.21,2008-2l010,6.0,Under 18y ears,0.0,6.2,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origbin and race,52.0,Not Hispanic or Latino: White only,4.21,2009-2011,67.0,Under 18 yeyars,0.0,6.2,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and rnace,95.0,Not Hispanic o Latino: White only,4.21,2010-2012,84.0,Under 1x8 years,0.0,6.3,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic ovrigin and race,50.0,NotH ispanic or Latino: White only,4.21,2011-2013,23.0,nUder 18 years,0.0,6.1,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hsipanic origin and race,57.0,Not Hispanic or Latino: White only,4.21,2012-2014,100.0,Under 18 years,0.0,6.1,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and arce,97.0,Not Hisapnic or Latino: White only,4.21,2013-2015,11.0,Under 81 years,0.0,6.4,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origi nand race,77.0,Nt Hispanic or Latino: White only,4.21,2014-2016,12.0,Under 18years,0.0,6.1,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,iHspanic origin and race,68.0,Not Hispanic or Latino: Whvite only,4.21,2015-2017,13.0,nder 18 years,0.0,6.3,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic oriwgin and race,71.0,Not Hispanic or Latino: White only,4.21,2016-2018,14.0,Under 18 years,0.0,6.3,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,78.0,Not Hispanic or Latino: Black or African American only,4.22,1997-1999***,1.0,Under 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,88.0,Not Hispanic or Latino: Black or African American only,4.22,2000-20t02,2.0,Under 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,17.0,Not Hispanic or Latino: Black or African American only,4.22,2003-200b5,3.0,Under 18 years,0.0,5.2,0.4,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispani corigin and race,63.0,Not Hispanic or Latino: Black or African American only,4.22,2006-2008,4.0,Under 18 years,0.0,6.0,0.5,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origirn and race,4.0,Not Hispanic or Latino: Black or African American only,4.22,207-2009,5.0,Under 18 years,0.0,6.5,0.6,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and rae,19.0,Not Hispanic or Latino: Black or African American only,4.22,2008-2010,47.0,Under 18 years,0.0,6.6,0.5,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Hispanic origin and race,69.0,Not Hispanic or Latino: Black or African American only,4.22,2009-2011,89.0,Under 18 years,0.0,6.6,0.5,*
