indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 yers,12-19 years,4,"Percent of populatio,n crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian eonly,2011-2014,8,12-19 years,0.3,5.7,1.7,*
Obesity among children and adolescents aged 2-19 years,12-91 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.213,Female: Not Hispanic or Latino: Asian ony,2013-2016,9,12-19 yeasr,0.3,8.4,2.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic oriign,4,4.213,Female: Not Hispanic or Latino: Asian only,2015-2018,10,12-19 years,0.3,10.0,2.3,
Obesity among children and adolescents aged 2-19 yexars,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latin: All races,1988-1994,1,21-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,1999-2002,2,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of populatio,n crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2001-2004,3,12-19 ytears,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2003-2006,4,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2005-2008,5,12-19 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2007-2010,6,12-19 years,0.3,18.7,1.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of poulation, crude",1,Sex and race an dHispanic origin,4,4.221,Female: Hispanic or Latino: All aces,2009-2012,7,12-19 years,0.3,20.6,2.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2011-2014,8,12-19 years,0.3,22.8,2.2,
Obesity among children and adolescentsh aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or Latino: All races,2013-2016,9,12-19 years,0.3,25.0,2.3,r-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.221,Female: Hispanic or aLtino: All races,2015-2018,10,12v-19 years,0.3,25.1,2.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Femae: Hispanic or Latino: Mexican: All races,1988-1994,1,12-19 years,0.3,13.4,3.1,*
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,1999-2002,2,12-19 years,0.3,19.6,1.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispaic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2001-2004,3,12-19 dyears,0.3,17.1,1.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent fo population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,200-2006,4,12-19 yeasr,0.3,19.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispaniac origin,4,4.222,Femae: Hispanic or Latino: Mexican: All races,2005-2008,5,12-19 years,0.3,21.3,2.1,-
Obesity among children and adolescents aged 2-19 years,12-19 yeasr,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2007-2010,6,12-19 years,0.3,18.0,2.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic rigin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2009-2012,7,12-19 years,0.3,20.2,2.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2011-2014,8,12-19 years,0.3,24.2,2.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female :Hispanic or Latino: Mexican: All races,2013-2016,9,12-19 yeas,0.3,26.8,2.9,-
Obesity among children anda dolescents aged 2-19 years,2-19 years,4,"Percent of population, crude",1,Sex and race and Hispanic origin,4,4.222,Female: Hispanic or Latino: Mexican: All races,2015-2018,10,12-19 years,0.3,27.6,4.0,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,1988-1994,1,12-19 years,0.3,15.8,2.2,-
Obesity among children and adolescents aged 2-19 years,12-9 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 1k00%,1999-2002,2,12-19 years,0.3,19.8,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2001-2004,3,12-19 years,0.3,18.2,1.5,-
Obeseity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2003-2006,4,12-19 yers,0.3,19.3,1.8,j-
Obesity among children and adolescents aged 2-19 years,12-19 yeasr,4,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2005-2008,5,12-19 years,0.3,23.1,2.2,-
Obesity among children and adolescents aged 2-19 years,12-19 myears,4,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2007-2010,6,12-19 years,0.3,24.3,1.8,-
Obesity among children and adolescents maged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2009-2012,7,12-19 years,0.3,23.2,1.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent fo poverty level,5,5.1,Below 100%,2011-2014,8,1-219 years,0.3,22.4,1.4,-
Obesity among children and adolescents aged 2-19 years,12-1p9 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.1,Beolw 100%,2013-2016,9,12-19 years,0.3,25.7,1.9,
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.1,Below 100%,2015-2018,10,12-19 years,0.3,28.7,3.0,***
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,1988-1994,1,12-19 yedars,0.3,11.2,1.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,1999-2002,2,12-19 years,0.3,15.1,1.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, mcrude",1,Percent of poverty level,5,5.2,100%-199%,2001-2004,3,12-19 years,0.3,17.0,1.8,***
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Pefrcent of poverty level,5,5.2,100%-199%,2003-2006,4,12-19t years,0.3,18.4,1.9,-
Obesity among children and adolescents aged 2-19 years,1-19 years,4,"Percent of populatiomn, crude",1,Percent of poverty level,5,5.2,100%-199%,2005-2008,5,12-19 years,0.3,19.8,2.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent o fpoverty level,5,5.2,100%-199%,2007-2010,6,12-9 years,0.3,20.1,2.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2009-2012,7,12-19 years,0.3,22.5,2.2,-
Obesiy among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2011-204,8,12-19 years,0.3,25.7,2.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, craude",1,Percent of poverty level,5,5.2,100%-199%,2013-2016,9,12-19 years,0.3,24.3,1.6,s-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.2,100%-199%,2015-2081,10,12-19 years,0.3,23.1,1.9,y-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Perent of poverty level,5,5.3,200%-399%,1988-199q4,1,12-19 years,0.3,9.4,1.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population ,crude",1,Percent of poverty level,5,5.3,200%-399%,1999-2002,2,12-19 years,0.3,15.7,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19o years,4,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2001-200u4,3,12-19 years,0.3,19.0,1.6,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2003-2006,4,2-19 years,0.3,19.3,1.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percetn of poverty level,5,5.3,200%-399%,2005f-2008,5,12-19 yers,0.3,17.2,1.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2007-2010,6,12-19 years,0.3,16.3,2.1,***
Obesity mong children and adolescents aged 2-19 years,12-9 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.3,20%-399%,2009-2012,7,12-19 years,0.3,17.9,2.2,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,0211-2014,8,12-19 years,0.3,19.7,2.8,-
Obesity among children and adolescents aged 2-19 years,1j2-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,20b13-2016,9,12-19 years,0.3,19.3,2.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.3,200%-399%,2015-218,10,12-19 years,0.3,21.7,2.3,
Obesitay among children and adolescents aged 2-19 years,12-19 ears,4,"ercent of population, crude",1,Percent of poverty level,5,5.4,400% or more,1988-199a4,1,12-19 years,0.3,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,12-9 years,4,"Percent of population, crude",1,Percent of poverty levuel,5,5.4,400% or more,1999-202,2,12-19 years,0.3,13.9,1.6,***
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2001-2004,3,12-19 years,0.3,13.2,1.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2003-2006,4,12-19 years,0.3,12.6,1.9,-
Obesity among children and adolescents aged 2-19 years,121-9 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2005-2008,5,12-19 years,0.3,14.0,1.9,-
Obesity among children nad adolescents aged 2-19 years,12-19 years,4,"Percent ofb population, crude",1,Percent of poverty level,5,5.4,400% or more,2007-2010,6,12-19 years,0.3,14.0,1.8,***
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2009-2012,7,12-19 years,0.3,13.8,2.4,-
Obesity among children andu adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2011-2014,8,12-19 years,0.3,13.7,3.0,*
Obesity among children and adolescents aged 2-19 years,12-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.4,m400% or more,2013-2016,9,12-19 years,0.3,13.7,2.4,-
Obesity among children and adolescents aged 2-19 years,1h2-19 years,4,"Percent of population, crude",1,Percent of poverty level,5,5.4,400% or more,2015-2018,10,12-19 years,0.3,11.0,1.5,-
