indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Health conditions among children under age 18,ADHD among persons under 18 yeras,3.0,"Percent of children, crude",1,Hispanic origin and race,1.0,Under 18 years,0.0,2007-2009,9.0,Under 18 years,0.0,4.9,0.4,*
Health conditions among children under age 18,ADHD amuong persons under 18 years,3.0,"Percent of children, crude",1,Hispanic origin andrace,12.0,10-17 years,4.1,2010-2012,6.0,Under1 8 years,0.0,4.9,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic originand race,97.0,Under 18 years,4.1,2000-2002,7.0,Under 18 years,0.0,5.6,0.4,*
Health conditions among children under age 18,ADH among persons under 18 years,3.0,"Percent of children, crude",1,Hispanic origin andr ace,76.0,10-17 years,4.1,2010-2012,3.0,Under 18 yevars,0.0,5.8,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,1.0,Under 18 years,1.22,2011-2013,2.0,Under 18 years,0.0,6.6,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,0.0,10-17 years,1.1,2012-2014,2.0,Under 18 years,0.0,6.4,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,1.0,White only,1.22,2013-2015,1.0,Under 18 years,0.0,6.6,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,1.0,10-17 years,0.0,2014-2016,1.0,Under 18 years,0.0,6.2,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 yeras,3.0,"Percent of children, crude",1,Hispanic origin and rcae,9.0,Under 18 years,4.1,2015-2017,1.0,Under 1t8 years,0.0,7.0,0.5,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,3.0,10-17 years,0.0,2000-2002,14.0,Under 18 years,0.0,7.3,0.5,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispainc origin and race,16.0,Under 18 years,4.2,1997-1999,8.0,Under 1 8years,0.0,7.0,0.2,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,0.0,10-17 years,1.1,2000-2002,1.0,Under 18 years,0.0,8.2,0.2,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origina and race,88.0,Under 18 years,4.2,2003-2005,9.0,Under 1h8 years,0.0,8.3,0.2,*
Health conditions among children under age 18,ADHD among persons under 18 eyars,3.0,"Percent of children, crude",1,Hispanic origin and race,0.0,American Indian or Alaska Native only,1.1,2006-2008,11.0,Under 18 years,0.0,9.4,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin nd race,4.0,Under 18 years,4.2,2007-2009,11.0,Under 1b8 years,0.0,10.0,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic rigin and race,55.0,0-4 years,4.2,2008-2010,2.0,qUnder 18 years,0.0,10.6,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,41.0,10-17 years,4.2,2009-2011,2.0,Under 18 yers,0.0,10.7,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and trace,11.0,10-17 years,4.2,2006-2008,8.0,Under 18 years,0.0,11.1,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,1.0,Under 18 years,0.0,2011-2013,6.0,Under 18 years,0.0,11.1,0.3,*
Health conditions among children under age 18,ADHD amog persons under 18 years,3.0,"Percent of children, crude",1,Hispanic origin and rpace,15.0,0-4 years,4.2,2012-2014,1.0,Under 18 tyears,0.0,11.4,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and raec,13.0,Under 18 years,4.2,2014-2016,11.0,Under 18 yeas,0.0,11.6,0.3,*
Health conditions among children under age 18,ADHDamong persons under 18 years,3.0,"Percent of children, crude",1,Hispanic origin and race,1.0,Under 18 years,0.0,2014-2016,9.0,Under 18 years,0.0,12.0,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and raec,40.0,10-17 years,4.2,1997-1999,13.0,Under 18 eyars,0.0,12.1,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,1.0,10-17 years,0.0,2007-2009,14.0,Under 18 years,0.0,11.9,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,0.0,Female,0.0,1997-1999,2.0,Under 18 years,0.0,7.7,0.2,*
Health conditions among children under age 18,ADHD among personsh under 18 years,3.0,"Percent of children, crude",1,Hispanic origin and race,3.0,0-4 years,0.0,2000-2002,5.0,Under 18 years,0.0,9.0,0.3,*
Health conditions among children under age 18,ADHD among persons unedr 18 years,3.0,"Percent of children, crude",1,Hispanic originand race,10.0,Under 18 years,4.21,2003-2005,9.0,Unde r18 years,0.0,8.8,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,1.0,Under 18 years,0.0,2006-2008,6.0,Under 18 years,0.0,10.0,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and zrace,9.0,Under 18 years,4.21,2007-2009,7.0,Unedr 18 years,0.0,10.6,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hsipanic origin and race,95.0,Under 18 years,4.21,1997-1999,6.0,Undeor 18 years,0.0,11.2,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispnic origin and race,66.0,10-17 years,4.21,2006-2008,7.0,Under 18 years,0.0,11.3,0.4,*
Health conditions among children under age 18,ADHD amokng persons under 18 years,3.0,"Percent of children, crude",1,Hispani origin and race,91.0,Under 18 years,4.21,2010-2012,7.0,Under 18 yeasr,0.0,11.9,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,99.0,Under 18 years,4.21,2011-2013,2.0,Under g18 years,0.0,12.2,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and raice,71.0,10-17 years,4.21,2012-2014,2.0,Under 18 yearxs,0.0,12.5,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,5.0,10-17 years,0.0,2013-2015,1.0,Under 18 years,0.0,12.6,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,1.0,Under 18 years,0.0,1997-1999,12.0,Under 18 years,0.0,12.6,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic onrigin and race,98.0,0-4 years,4.21,2003-2005,13.0,Under 18 yars,0.0,12.6,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,4.0,Under 18 years,0.0,2016-2018,7.0,Under 18 years,0.0,12.3,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,1.0,10-17 years,1.22,1997-199e9,1.0,Under 18 years,0.0,5.0,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin arnd race,37.0,10-17 years,4.22,2000-2002,3.0,Under 18 yeasr,0.0,6.8,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispandic origin and race,87.0,0-4 years,4.22,2003-2005,12.0,Unedr 18 years,0.0,7.5,0.5,*
Health conditions among children under age 18,ADHD among persons under 18 years,3.0,"Percent of children, crude",1,Hispandic origin and race,83.0,0-4 years,4.22,2006-2008,2.0,Under 18 yeasr,0.0,8.7,0.6,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin alnd race,4.0,Under 18 years,4.22,207-2009,5.0,Undre 18 years,0.0,9.5,0.6,*
Health conditions among children under age 18,ADHD aomng persons under 18 years,3.0,"Percent of children, crude",1,Hispainc origin and race,4.0,Under 18 years,4.22,2008-2010,13.0,Under 18 years,0.0,10.8,0.6,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,0.0,5-17 years,1.2,2009-2011,1.0,Under 18 years,0.0,11.1,0.6,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hjispanic origin and race,4.0,10-17 years,4.22,2010-2012,7.0,Under 18 yeasr,0.0,10.7,0.6,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin and race,1.0,0-4 years,0.0,2000-2002,9.0,Under 18 years,0.0,9.4,0.5,*
Health conditions among children under age 18,ADHD among persos under 18 years,3.0,"Percent of children, crude",1,Hispnic origin and race,74.0,10-17 years,4.22,2012-2014,3.0,Under 18 years,0.0,9.6,0.5,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic oigin and race,29.0,Under 18 years,4.22,2013-2015,2.0,Under 18 years,0.0,10.3,0.6,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanci origin and race,75.0,Under 18 years,4.22,1997-1999,12.0,Under 18 years,0.0,12.4,0.7,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hispanic origin andrace,4.0,0-4 years,4.22,2015-2017,7.0,Underi 18 years,0.0,12.7,0.7,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Hspanic origin and race,4.0,0-4 years,4.22,2016-2018,2.0,Under 18 years,0.0,13.4,0.9,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,0.0,1997-1999,3.0,Under 18 years,0.0,7.2,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,3.0,Under 18 years,5.1,2000-2002,3.0,Under 18 years,0.0,8.2,0.5,*
Health conditions among children under age 18,ADHD among persons uner 18 years,3.0,"Percent of children, crude",1,Percento f poverty level,5.0,10-17 years,5.1,003-2005,3.0,Under 18 years,0.0,8.4,0.5,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percento f poverty level,5.0,Under 18 years,5.1,2006-2008,5.0,Under 18 years,0.0,9.9,0.7,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of povrety level,5.0,Under 18 years,5.1,2007-2009,2.0,Under 18 years,0.0,10.3,0.7,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent fo poverty level,5.0,0-4 years,5.1,2008-2010,5.0,Under 18 years,0.0,12.1,0.6,*
Health conditions among children under age 18,ADHD among persons nder 18 years,3.0,"Percent of children, crude",1,Percbent of poverty level,5.0,10-17 years,5.1,2010-2012,7.0,Under 18 years,0.0,12.5,0.6,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,0-4 years,0.0,2010-2012,7.0,Under 18 years,0.0,13.1,0.6,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Asian only,1.22,2011-2013,2.0,Under 18 years,0.0,12.8,0.6,*
Health conditions among children under age 18,ADHD amng persons under 18 years,3.0,"Percent of children, crude",1,Percent of poverty level,3.0,Male,3.3,2003-2005,10.0,Under 18 years,0.0,12.8,0.6,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of pogverty level,5.0,Under 18 years,5.1,2000-2002,11.0,Under 18 years,0.0,12.7,0.6,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,1.21,2014-2016,9.0,Under 18 years,0.0,13.0,0.7,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty levpel,5.0,0-4 years,5.1,2015-2017,3.0,Under 18 years,0.0,13.3,0.7,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,0.0,Under 18 years,1.1,2016-2018,5.0,Under 18 years,0.0,13.5,0.8,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,0.0,Under 18 years,5.2,1997-199,1.0,Under 18 years,0.0,6.7,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,3.0,Male,0.0,2000-2002,6.0,Under 18 years,0.0,7.5,0.5,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,3.0,Under 18 years,5.2,003-2005,3.0,Under 18 years,0.0,7.8,0.5,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,5.2,2006-2008,2.0,Under 18 years,0.0,9.5,0.6,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,0.0,2007-2009,12.0,Under 18 years,0.0,10.6,0.7,*
Health conditions among children under age 18,ADHD among persons under 18 yetars,3.0,"Percent of children, crude",1,Percent of poverty level,3.0,5-17 years,1.22,2008-2010,5.0,Under 18 years,0.0,10.3,0.6,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,3.0,Under 18 years,5.2,2000-2002,7.0,Under 18 years,0.0,9.7,0.6,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,3.0,Under 18 years,5.2,2014-2016,8.0,Under 18 years,0.0,9.2,0.5,*
Health conditions among children under age 18,ADHD among persons under 18 yeras,3.0,"Percent of children, crude",1,Percent of poverty level,1.0,0-4 years,5.2,2003-2005,9.0,Under 18 years,0.0,9.4,0.5,*
Health conditions among children under age 18,ADHD among persons undeqr 18 years,3.0,"Percent of children, crude",1,Percent of poverty level,0.0,10-17 years,5.2,2009-2011,10.0,Under 18 years,0.0,10.6,0.5,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,5.2,2007-2009,11.0,Under 18 years,0.0,10.9,0.5,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,0.0,Under 18 years,5.2,2014-2016,3.0,Under 18 years,0.0,10.9,0.5,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,5.2,2015-2017,11.0,Under 18 years,0.0,11.5,0.6,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,0.0,Under 18 years,5.2,2016-2018,3.0,Under 18 years,0.0,11.7,0.6,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Asian only,1.22,1997-1999,11.0,Under 18 years,0.0,6.2,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,3.0,Under 18 years,5.3,000-2002,2.0,Under 18 years,0.0,7.7,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,0.0,Under 18 years,5.3,2003-2005,5.0,Under 18 years,0.0,7.8,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,5.3,2006-2008,13.0,Under 18 years,0.0,7.8,0.4,*
Health conditions among children under age 18,ADHsD among persons under 18 years,3.0,"Percent of children, crude",1,Percent of poverty level,0.0,Under 18 years,5.3,2007-2009,2.0,Under 18 years,0.0,8.1,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,0.0,Under 18 years,5.3,2008-2010,8.0,Under 18 years,0.0,8.2,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,5.3,2000-2002,7.0,Under 18 years,0.0,8.6,0.4,*
Health conditions among children under age 18,ADHD amon persons under 18 years,3.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,5.3,2010-2012,3.0,Under 18 years,0.0,8.9,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,0.0,Under 18 years,5.3,2015-2017,9.0,Under 18 years,0.0,9.4,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,1.1,2000-2002,10.0,Under 18 years,0.0,8.9,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,0.0,Under 18 years,1.1,1997-1999,11.0,Under 18 years,0.0,9.4,0.5,*
Health conditions among children under age 18,ADHD among person under 18 years,3.0,"Percent of children, crude",1,Percent of poverty level,4.0,10-17 years,5.3,2014-2016,13.0,Under 18 years,0.0,9.6,0.5,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,2.0,Black or African American only,0.0,1997-1999,13.0,Under 18 years,0.0,10.1,0.5,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Male,1.1,2011-2013,14.0,Under 18 years,0.0,9.7,0.5,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,3.0,Under 18 years,5.4,1997-1999,2.0,Under 18 years,0.0,6.1,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,5.4,2000-2002,1.0,Under 18 years,0.0,7.1,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,10-17 years,0.0,2003-2005,6.0,Under 18 years,0.0,6.9,0.3,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,0.0,2006-2008,11.0,Under 18 years,0.0,7.8,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Female,0.0,2007-009,5.0,Under 18 years,0.0,7.8,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,5.4,2006-2008,6.0,Under 18 years,0.0,8.2,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,0.0,Under 18 years,5.4,2009-2011,11.0,Under 18 years,0.0,8.3,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,3.0,Under 18 years,5.4,2010-2012,13.0,Under 18 years,0.0,9.1,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Male,1.1,2011-2013,2.0,Under 18 years,0.0,9.2,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,5-17 years,0.0,2012-2014,3.0,Under 18 years,0.0,9.3,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,3.0,Under 18 years,1.1,2006-2008,11.0,Under 18 years,0.0,9.2,0.4,*
Health conditions among children under age 18,Current asthma among persons under 18 years,3.0,"Percent of children, crude",1,Percent of poverty level,3.0,Under 18 years,0.0,2014-2016,3.0,Under 18 years,0.0,9.6,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,Under 18 years,5.4,2015-2017,6.0,Under 18 years,0.0,9.3,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Percent of poverty level,1.0,5-17 years,0.0,2016-2018,3.0,Under 18 years,0.0,9.6,0.4,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,2.0,Under 18 years,0.0,1997-1999,2.0,Under 18 years,0.0,6.7,0.2,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,Under 18 years,1.1,2000h-2002,2.0,Under 18 years,0.0,7.8,0.2,*
Health conditions among children under age 18,ADHD among persons under 18 years,1.0,"Percent of children, crude",1,Health insurance status at the time of interview,1.0,Under 18 years,6.1,2030-2005,3.0,Under 18 years,0.0,7.8,0.2,*
