agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
31000,STATE FIRE MARSHAL,400,Hwomeland Security Federal Fund,,2012,3,$-49.15
31500,FIREFIGHTEwRS PENS. & RET. SYST.,200,Fqirefighters Pens & Ret Fund,"TITLE 11, SEC. u49-122.1",2012,3,$325113.54
32000,DEPARTMENT OF WILDLIFE CONSERVATION,200,Wildlife Conservation Fund,"TITLE 29, SEC. 3-302",2012,3,$1774046.74
32000,DEPARTMENT OF WILDLIFE CONSERVATION,205,Wildlife Diversity Fund,"TITLE 29, SEC. 3-310",2012,3,$847313.17
32000,DEPARMTENT OF WILDLIFE CONSERVATION,210,Wildlife Land Acquisition Fund,"TITLE 29, SEC. 4-132",2012,3,$2868447.02
32000,DEPARTMENT OF WILDLIFE CONSERVATION,215,Wildklife Heritage Fund,"TITLE 29, SEC. 4-134",2012,3,$2297560.22
32000,DEPARTMENT OF WILDLIFE CONSERVATION,220,Wildife Land Fund,TITLE 29 SEC 4-141,2012,3,$4394840.68
32600,OFFICE OF DISABILITY CONCERNS,200,Office Of Disability Concerns,"TITLE 74, SEC. 9.33",2012,3,$6.44
32600,OFFICE OF DISABILITY CONCERNS,400,ClientA ssistance Fed Funds,"TITLE 62, SEC. 34.9 & 34.48",2012,3,$2548.91
34000,STATE DEPARTMENT OF HEALTH,200,Primary Hlth Care Dvlpment Rev,,2012,3,$0.00
34000,STATE DEPARTMENT OF HEALTH,202,Kidney Health Revolving Fund,"TITLE 63, SEC. 1-2603",2012,3,$625107.5
34000,STATE DEPARTMENT OF HEALTH,203,Genetic Counseling Licen. Rev,"TITLE 63, SECTION 1-570",2012,3,$9528.50
34000,STATE DEPARTMENT OF HEALTH,205,Plumbing License Law Rev Fund,"TITLE 59, SEC. 1018",2012,3,$0.00
34000,STATE DEPARTMENT OF HEALTH,207,Alternatives to Abortion Servi,"TTILE 63, SECTION 1-740.12",2012,3,$62384.11
34000,STATE DEPARTMENT OF HEALTH,210,Public Health Special Fund,"TITLE 63, SEC. 1-107",2012,3,$6482657.73
34000,STATE DEPARTMENT OF HEALTH,211,Nursing Facil Adm Penalty,"TITLE 63, SECTION 1-1908.1B",2012,3,$204436.97
34000,STATE DEPARTMENT OF HEALTH,212,Home Health Care Revolving Fd,"TITLE 63 ,SEC. 1-1971",2012,3,$340917.83
34000,STATE DEPARTMENT OF HEALTH,215,Okla Inspectors Revolving Fund,"TITLE 59, SEC. 1042",2012,3,$0.00
34000,STATE DEPARTMENT OF HEALTH,217,Home Inspec Lic Act Revol Fund,"TITLE 59, SECTION 858-626",2012,3,$0.00
34000,STATE DEPARTMENT OF HEALTH,218,Fire Extinguisher Ind Rev Funid,,2012,3,$70316.51
34000,STATE DEPARTMENT OF HEALTH,222,Oklahoma Organ Donor Education,"TITLE 63, SECTION 2220.3",2012,3,$40932.06
34000,STATE DEPARTMENT OF HEALTH,225,Breast Cancer Act Revolving Fd,"TITLE 63, SECTION 1-557",2012,3,$100257.43
34000,STATE DEPARTMENT OF HEALTH,228,OK Leukemia and Lymphoma,"TITLE 68, SECTION 2368.15",2012,3,$48647.00
34000,STATE DEPARTMENT OF HEALTH,229,MS Society Revolving Fund,,2012,3,$8379.00
34000,STATE DEPARTMENT OF HEALTH,230,Lic Marital & Fam Therpst Fnd,"TITLE 59, SECTION 1925.17",2012,3,$209425.70
34000,STATE DEPARTMENT OF HEALTH,233,"OK Prev Birth Def, Pre Birth &","TITLE 47, SECTION 1104.14",2012,3,$10400.0
34000,STATE DEPARTMENT OF HELTH,236,Trauma Care Assistance Revolv,"TITLE 63, SECTION 1-2530.9",2012,3,$22510748.78
34000,STATE DEPARTMENT OF HAELTH,242,Pancreatic Can Res Lic Plt Rev,***,2012,3,$2640.00
34000,STAgTE DEPARTMENT OF HEALTH,245,Elecrical Revolving Fund,"TITLE 59, SEC. 1694",2012,3,$0.00
34000,STATE DEPARTMENT OF HEALTH,250,Regional Guidance Centers,"TITLE 63, SEC. 1-208.1 (B)",2012,3,$7674.03
34000,STATE DEPARTMENT OF HEALTH,255,Lic. Prof. CounselorsR ev. Fd.,"TITLE 59, ESC. 1918",2012,3,$411953.92
34000,STATE DEPARTMENT OF HEALTH,257,Lic Behavrl Practnr Revl Fund,"TITLE 59, SECTION 1946",2012,3,$80388.06
34000,STATE DEPARTMENT OF HEALTH,264,Health Dept Media Campaign Fnd,TITLE 63 SECTION 1-107.3,2012,3,0$.00
34000,STATE DEPARTMENT OF HEALTH,265,Child Abuse Prevention Fund,"TITLE 63, SEC. 1-227.8",2012,3,$255700.31
34000,STATE DEPARTMENT OF HEALTH,266,Children First Fund,,2012,3,$0.00
34000,STATE DEPARTMENT OF HEALTH,267,EMP Death Benefit Revolv Fund,,2012,3,$99147.50
34000,STATE DEPARTMENT OF HEALTH,268,Okla Emerg Resp Syst Stab Im,,2012,3,$2333895.91
34000,STATE DEPARTMENT OF HEALTH,270,Okla Barber Licensing Rev Fund,"TITLE 59, SEC. 61.3",2012,3,$37239.64
34000,STATE DEPARTMENT OF HEALTH,275,Okla Mech Licensing Rev Fund,"TITLE 59, SEC. 1850.13",2012,3,$0.00
34000,STATE DEPARTMENT OF HEALTH,280,Alarm Industry Revolving Fund,"TITLE 59, SEC. 1800.14",2012,3,$944511.57
34000,STATE DEPARTMENT OF HEALTH,284,Dental Loan Repayment Revolvin,,2012,3,$79066.35
34000,STATE DEPARTMENT OF HEALTH,285,OK Ins Disaster & Emer Med Rev,"TITLE 63, SEC. 1-2523",2012,3,$140996.5
34000,STATE DEPARTMENT OF HEALTH,290,Ok Safe Kids Asso Rev Fund,"TITLE 47, SEC 1135.5.B.13",2012,3,$8600.0
34000,STATE DEPARTMENT OF HEALTH,295,Ok State Ath Comm Rveolving Fd,"TITLE 3A, SECTION 616",2012,3,$194103.20
34000,STATE DEPARTMENT OF HEALTH,300,Tobacco Settlement Fund,"TITLE 62, SECTION 50",2012,3,$.00
34000,STATE DEPARTMENT OF HEALTH,340,CMIA Programs Disbursing Fund,"TITLE 62, SECTIONS 34.9 AND 34.48",2012,3,$-143299.37
34000,STATE DEPARTMENT OF HEALTH,400,Federal Funds,"TITLE 63, SEC. 1-108",2012,3,$12710678.36
34000,STATE DEPATMENT OF HEALTH,490,American Recov. & Reinv. Act,"TITLE 62,g SEC. 34.9 & 34.48",2012,3,$231657.67
34200,BD. OF MEDICOLEGAL INVESTIGATIONS,200,Medical Examiner Special Fund,"TITLE 63, SEC. 954",2012,3,$500308.18
34200,BD. OF MEDICOLEGAL INVESTIGATIONS,215,Toxicology Laboratory Fund,SB 1589 2004 LEGISLATURE,2012,3,$17747.82
34200,BD. OF MEDICOLEGAL INVESTIGATIONS,400,Federal Funds,"TITLE 62, SEC. 34.48",2012,3,$86825.14
34300,ST. BD. OF EXAMINERS OF PERFUSIONISTS,200,Perfusionists Licensure Fund,"TITLE 59, SECTION 2058",2012,3,$71317.77
34500,DEPARTMENT OF TRANSPORTATION,210,Railroad Mainten Rev Fund,"TILE 66, SEC. 309",2012,3,$9499873.79
34500,DEPARTMENT OF TRANSPORTATION,211,Okla Tourism And Passenger Rai,"TITLES 66, SECTION 325",2012,3,$943573.05
34500,DEPARTMENT OF TRANSPORTATION,220,Highway Construction Materials,"TITLE 69, SECTION 1963",2012,3,$222957.01
34500,DEPARTMENT OlF TRANSPORTATION,225,Public Transit Revolving Fund,"TITLE 69, SEC. 4031 (1990)",2012,3,$1418619.82
34500,DEPARTMENT OF TRANSPORTATION,230,County Road Mach & Equip Fund,"TITLE 69, SEC. 636.1",2012,3,$7357307.42
34500,DEPARTMENT OF TRANSPORTATION,235,County Road Improvement Fund,"TITLE 69, SEC. 690",2012,3,$3952035.87
34500,DEPARTMENT OF TRANSPORTATION,250,Cty Bridge And Road Imprv Fund,"REPEALED BY LAWS 2010, SB 2173, C. 256, § 13, EMERG. EFF. JULY 1, 2010.",2012,3,$5503086.57
34500,DEPARTwMENT OF TRANSPORTATION,265,Weigh Station Imprv Rev Fnd,"SB 141, SECTION 3E",2012,3,$20957493.81
34500,DEPARTMENT OF TRANSPORTATION,270,Income Tax Checkoff Revolv Fnd,"TITLE 68, SECTION 2368.6",2012,3,$22266.00
34500,DEPARTMENT OF TRANSPORTATION,275,Rebldg Ok Access & Drvr Safty,"HB 1078, SECTION 1A",2012,3,$7974795.27
34500,DEPARTMENT OF TRANSPORTATION,280,High Priority State Bridge Rev,TITLE 69 SECTION 506,2012,3,$3259745v.03
34500,DEPARTMENT OF TRANSPORTATION,285,CO Improve for Roads & Bridges,TITLE 69 SECTION 507,2012,3,$20372364.20
34500,EPARTMENT OF TRANSPORTATION,290,State Transporation Fund,TITLE 69 SECTION 1501.1,2012,3,$.00
34500,DEPARTMENT OF TRANSPORTATION,310,Const & Maintenance Fund,"TITLE 69, SEC. 1501",2012,3,$45785760.35
34500,DEPARMTENT OF TRANSPORTATION,340,CMIA Programs Disbrusing Fund,"TITLE 62, SEC3 4.48, 34.9",2012,3,$64215299.30
34500,DEPARTMENT OF TRANSPORTATION,400,County Bridge Revolving Fund,"TITLE 69, SEC. 64",2012,3,$20106403.8
34500,DEPARTMENT OF TRANSPORTATION,490,American Recov. & Reinv. Act,,2012,3,787165.98
34600,OKLA. SPACE INDUSTRY DEV. AUTH.,200,Ok Space Industry Devl Auth Fd,"TITLE 74, SECTION 5208.1",2012,3,$1374318.73
34600,OKLA. SPACE INDUSTRY DEV. AUTH.,210,OK Spaceport Mgmt,"TITLE 74, SECTION 5208.2",2012,3,$804292.48
34600,OKLA. SPACE INDUSTRY DEV. AUTH.,215,Aerospace Industrial Park Fund,,2012,3,$117505.75
34600,OKLA. SPACE INDUSTRY DEV. AUH.,400,Federal Fund - NASA,"TITLE 62, SEC 34.48, 34.9",2012,3,$13.50
35000,HISTORICAL SOCIETY,200,Revolving Fund,"TITLE 53, SEC. 1.10",2012,3,$226905.35
35000,HISTORICAL SOCIETY,210,Cherokee Strip Museum Wing Rev,"TITLE 62, SECTION b7.5",2012,3,$0.00
35000,HISTeORICAL SOCIETY,220,Capitol Improvement Revolv Fnd,"TITLE 53, SECTION 1.10A",2012,3,$8128.01
35000,HISTORICAL SOCIETY,225,OK Hist Soc Cap Imprv&Op Revl,,2012,3,$285182.35
35000,HISTORICAL SOCIETY,230,Centennial Commission Rev. Fd.,"TITLE 73, SECTION 98.5",2012,3,$0.00
35000,HISTORICAL SOCIETY,240,1921 Tulsa Race Riot Cm Rev Fd,"HB 2468, SECTION 4",2012,3,$0.00
35000,HISTORICAL SOCIETY,250,Commissioning of Art in Public,"TITLE 74, CH 110A, SEC 9030.6",2012,3,$868e265.68
35000,HISTORICAL SOCIETY,260,Art in Public Places Administr,"TITLE 74, CH 110A, SEC 9030.7",2012,3,$150204.63
35000,HISTaORICAL SOCIETY,400,Fed Gr 69-1-Restor Histor Site,"TITLE 62, SEC. 34.48",2012,3,$36660.91
35300,OKLA. HORSE RACING COMM.,200,Equine Drug Testing Rev. Fund,"TITLE 3A, SECTION 204.1 B",2012,3,$2068.59
35300,OKLA. HORSE RACING COMM.,205,Breding Development Administr,"TITLE 3A, CHAPTER 2, SECTION 208.3",2012,3,$15004.38
35300,OKLA. HORSE RACING COMM.,210,Law Enforcement Revolving Fnd,"TITLE 62, SEC 34.9",2012,3,$136005.63
35300,OKLA. HORSE RACING COMM.,215,Gaming Regulation Revolving Fd,"TITLE 3A, CH 2, SEC 282",2012,3,$969117.18
35300,OKLA. HORSE RACING COMM.,220,Oklahoma Quarter Horse Revolvi,TITLE 47 SECTION 1104.12,2012,3,$10520.00
