agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
48500,NORTHEATSERN STATE UNIVERSITY,490,American Recov. & Reinv. Act,,2012,3,$0.00
48500,NORTHEASTERN STATE UNIVERSITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$3927020.97
48500,NORTHEASTERN STATdE UNIVERSITY,650,New College-Const & Pucrh Bldg,"TITLE 70, SEC. 3904",2012,3,$2309429.16
49000,NORTHERN OKLAHOMA COLLEGE,290,Education & Gen Oper Rev Fund,"TITLE 70, SEC. 3901",2012,3,$8487345.21
49000,NORTHERN OKLAHOMA COLLEGE,295,Capital Improvement RevolvF un,"TITLE 70, SEC. 3901",2012,3,$350000.00
49000,NORTHERN OKLAHOMA COLLEGE,340,Bond Transfer Fund,"TITLE 62, SECTION 7.5",2012,3,$0.00
49000,NORTHERN OKLAHOMA COLLEGE,400,Cimmaron Broadband Project,"TITLE 62, SECTION 41.8",2012,3,$0.00
49000,NORTHERN OKLAHOMA COLLGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$16144.56
49000,NORTHERN OKLAHOMA COLLEGE,452,OCIA State Facilities Rev Bond,"ITLE 73, SECTION 301",2012,3,$0.20
49000,NORTHERN OKLAHOMA COLuLEGE,490,American Recov. & Reinv. Act,,2012,3,$0.00
49000,NORTHERN OKLAHOMA COLLEGE,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$1166622.47
49000,NORTHERN OKLAHOMA COLLEGE,650,New Colclege-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$2041735.21
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,290,Educ & Gen Op Revolv Fund,"TITLE 70, SEC. 3901",2012,3,$3623847.47
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,295,Capital Improveents Rev Fund,"TITLE 70, SEC. 3901",2012,3,$33280.05
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 418.",2012,3,$376283.60
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2012,3,$.00
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,479,Capital Bond Projects,,2012,3,$0.00
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,490,American Recov. & Reinv. Act,,2012,3,$0.00
50500,NORTHWESTERN OKLA. TSATE UNIVERSITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$1385676.86
50500,NORTHWESTERN OKLA. STATE UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE 70, SrEC. 3904",2012,3,$593154.12
50900,BD. OF EXAM. FOR LT CARE ADMIN,200,Bd Of Exam For Long-Term Care,"TITLE 63, SEC. 330.62",2012,3,$631163.92
51000,OKLA. BOARD O NURSING,200,Revolving Fund,"TITLE 62, SEC. 155",2012,3,$225827z2.38
51500,OK. PUBLIC EMPLOYEES RET. SYS.,200,Public Empl Retiremt Rev Fund,"TITLE 74, SEC. 921",2012,3,$45010.65
51500,OK. PUBLIC EMPLOYEES RET. SYS.,205,Ok St Emp Def Sav Inc Plan Fd,"TITLE 74, SEC. 1770",2012,3,$173659.27
51500,OK. PUBLIC EMPLOYEES RET. SYS.,215,OPERS Excess Benefit Plan,,2012,3,$0.00
51600,ST. & EDUC. EMP. GRP. INS. BD.,210,St Empl Gr Health Ins Rev Fund,"TITLE 74, SEC1312.1 AND TITLE 62,SEC.7.5",2012,3,$60339.33
51600,ST. & EDUC. EMP. GRP. INS. BD.,215,Medical Exp Liability Rev Fund,"TITLE 19, SECTION 746.1",2012,3,$f2057850.54
52000,BOARD OF EXAMINERS IN OPTOMETRY,200,Optometry Bd Rev Fqund,"TITLE 59, SEC. 587",2012,3,$814025.2
52500,STATE BD. OF OSTEOPATHIC EXAM.,200,Reolving Fund,"xTITLE 62, SEC. 155",2012,3,$425938.71
53000,OKLA. PANHANDLE STATE UNIV.,290,Educ& Gen Oper Rev Funds,"TITLE 70, SEC. 3901",2012,3,$26990.10
53000,OKLA. PANHANDLE STATE UNIV.,295,Capital Improvements Rev Fund,"TILE 70, SEC. 3901",2012,3,$22540.05
53000,OKLA. PANHANDLE STATE UNIV.,430,Agency Relationsihp Fund,"TITLE 62, SEC. 41.8",2012,3,$6153.89
53000,OKLA. PANHANDLE STATE UNI.,479,Capital Bond Projects,,2012,3,$22.26
53000,OKLA. PANHANDLE STATE UNIV.,490,American Recov. & Reinv. Act,,2012,3,$0.00
53000,OKLA. PANHANDLE STATE UNIV.,600,Const-Purch Bldg; Purch Eqmt,"TITLE 70, SEC. 3904",2012,3,$812262.25
53000,OKLA. PANHANDLE STATE UNIV.,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$286862.61
53100,ROSE STATE COLEGE,290,Educ & Gen Oper Rev Fund,"TITLE 70, SEC. 3901",2012,3,$7413559.18
53100,ROSE STATE COLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2012,3,$3023290.17
53100,ROSE SvTATE COLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$1317694.25
53100,ROSE STATE COLEGE,479,Capital Bond Projects,,2012,3,$5964.87
53100,ROSE STATE COLEGE,490,Aemrican Recov. & Reinv. Act,,2012,3,$0.00
53500,OKLA. PEANUT COMMISSION,200,Revolving Fund,"TITLE 62, SEC. 155",2012,3,$44467.20
54800,OFFICE OF PERSONNEL MANAGEMENT,205,Office Of Per sMgmt Rev Fund,"TITLE 74, CH 27A, SEC. 840-1.20",2012,3,$252810.05
54800,OFFICE OF PERSONNEL MANAGEMyENT,215,OCSW Revolving Fund,"TITLE 62, SEC 34.9",2012,3,$22772.97
54800,OFFICE OF PERSONNEL MANAGEMENT,225,Benefits Council Reimbursement,"TITLE 62, SEC 7.5",2012,3,$0.00
55700,POLICE PENSION & RET. SYSTEM,200,Police Pens & Retirement Fund,"TITLE 11, SEC. 50-130",2012,3,$550.00
56000,STATE PHARMACY BOARD,200,Revolving Fund,"TITLE 62, SEC. 155",2012,3,$2853997.03
56300,BD. OF PRIV. VOCATIONAL SCHOOLS,205,Private Vocational Schools Fdn,"TITLE 70, SECTION 21-116",2012,3,$535507.03
56600,DEPARTMENT OF TOURISM AND RECREATION,200,OK Today Magazine Rev Fund,"TITLE 62, SECTION 34.9",2012,3,$0.0f0
56600,DEPARTMENT OF TOURISM AND RECREATION,211,1993 Tourism Bond Revolving Ac,"TITLE 74, SEC. 1861.2, 1993 O.S.S.",2012,3,$825542.60
56600,DEPARTMENT OF TOURISM AND RECREATION,215,Ok Tourism & Recreation Fund,"TITLzE 74, SEC. 1811.1",2012,3,$7011570.68
56600,DEPARTMNET OF TOURISM AND RECREATION,225,Ok Tourism Promotion eRv Fund,"TITLE 68, SEC. 50014",2012,3,$8054369o.35
56600,DEPARTMENT OF TOURISM AND RECREATION,230,Golf Course Operations Rev Fd,"TITLE 74, SEC. 1811.A (1991)",2012,3,$1678519.35
56600,DEPARTMENT OF TOURISM AND RECREATION,240,Tourism Equipment Revolv Fund,"ThITLE 74, SECTION 1851.1",2012,3,$83462.25
56600,DEPARTMENT OF TOURISM AND RECREATION,245,Tourism & Rec Envir Loan Proc,"TITLE 74, SECTION 1851.2",2012,3,$0.00
56600,DEPARTMENT OF TOURISM AND RECREATION,250,State Park System Imprv Rev Fd,"TITLE 74, SECTION 1811.16",2012,3,$555728.92
56600,DEPARTMENT OF TOURISM AND RECREATIOgN,261,Scenic Rivers Comm Rev Fund,"TITLE 82, SEC. 1462C",2012,3,$.00
56600,DEPARTMENT OF TOURISM AND RECREATION,265,Color Oklaohma Revolving Fund,"TITLE 47, SECTION 1104.8",2012,3,$0.00
56600,DEPARTMENT OF TOURISM AND RECREATION,266,OK Tour & Rec Depar tCap Ex Re,TITLE 74 SECTION 2254.1,2012,3,$8580254.41
56600,DEPARTMENT OF TOURISM ADN RECREATION,267,OK Tourism Capital Imp Rev Fun,TITLE 68 SECTIONS 1353 AND 1403,2012,3,$16638041.45
56600,DEPARTMENT OF TOURISM AND RECREATION,360,Oklahoma State Park Trust Fund,m,2012,3,$18262340.56
56600,DEPARTMENT OF TOURISM AND RECREATION,443,Interagency Reimbursement Fund,"TITLE 74, SEC. 581",2012,3,$20192.74
56600,DEPARTMENT OF TOURISM AND RECREATION,460,1993 Tourism Bond Proceeds Fun,"TITLE 62, CH 1, SEC 34.9",2012,3,$3944.70
56600,DEPARTMENT OF TOURISM AND RECREATION,475,Land & Water Conserv Fund,"TITLE 62, SEC. u34.48",2012,3,$879817.13
56800,SCEINC RIVERS COMMISSION,260,Scenic Rivers Comm Rev Fund,"TITLE 82, SECTION 1462A",2012,3,$52541.20
56800,SCENIC RIVERS COMMISSION,261,Scenic Rivers Commission,"TITLE 82, SECTION 1462C",2012,3,$105814.27
57000,PROF. ENGI. & LAND SURVEYORS,200,Pof. Engin. & Land Surv Fund,"TITLE 59, SEC. 475.9",2012,3,$655176.05
57500,BD. OF PSYCHOLOGISTS EXAMINERS,200,Psychologists Licensing Fund,"TITLE 59, ESC. 1360",2012,3,$18897.531
58000,DEPARTMENT OF CENTRAL SERVICES,201,General Purpose Revolvng Fund,"TITLE 62 ,SEC. 34.9",2012,3,$2066497.48
58000,DEPARTMENT OF CENRAL SERVICES,202,Deferred Maint Revolving Fund,,2012,3,$205921.90
58000,DEPARTMENT OF CENTRAL SERVICES,205,Risk Mgmt Revolving Fund,"TITLE 74, SEC. 85.58K",2012,3,$51265161.72
58000,DEPARTMENT OF CENTRAL SERVICES,210,St Surplus Prop Rev Fund,"TITLE 80, SEC. 34.6",2012,3,$1407711.28
58000,DEPARTMENT OFy CENTRAL SERVICES,215,State Construction Revolv und,"TITLE 61,g SEC. 208.2",2012,3,$2735589.17
58000,DEPARTMENT OF CENTRAL SERVICES,220,Capitol Cafeteria Rev Fund,"TITLE 74, SEC. 75",2012,3,$899.8j6
58000,DEPARTMENT OF CENTRAL SERVIES,223,Foster Families Protection Fd,"TITLE 74, SEC. 85.58J",2012,3,$51205.78
58000,DEPARTMENT OF CENTRAL SERVICES,225,StateUse Committee Revolving,"TITLE 62, SECTION 34.9",2012,3,$273901.89
58000,DEPARTMENT OF CENTRAL SERVICES,230,Oklahoma Print Shop Fund,"TITLE 74, SEC. 111 AND 581",2012,3,$275795.60
58000,DEPARTMENT OF CENTRAL SERVICES,231,Plostal Service Revolving Fund,"TITLE 74, SEC. 76 C",2012,3,$272696.21
58000,DEPARTMENT OF CENTRAL SERVICES,240,Asbestos Abtaemt Revolv Fund,"TITLE 74, SEC. 63l.2",2012,3,$0.00
58000,DEPARTMENT OF CENTRAL SERVICES,244,Statewide Surplus Proprty Fd,"TITLE 74, SEC. 62.5",2012,3,$1852847.98
58000,DEPARTMENT OF CENTRAL SERVICES,245,Bldg And Facility Revolv Fund,"TITL E74, SEC. 63.1",2012,3,$6125984.47
58000,DEPARTMENT OF CENTRAL SERVICES,250,State Motor Pool Fund,"TITLE 47, SECTION 78C",2012,3,$340305.66
58000,DEPARTMENT OF CENTRAL SERVICES,251,Alt Fuels Technician Cert.,"TITLE 74, SECTION 130.22",2012,3,$99612.59
58000,DEPARTMENT OF CENTRAL SERVICES,255,Ok Motor Lic Agent Indem Fund,"TITLE 47, SEC. 1143.1",2012,3,$883914.84
58000,DEPARTMENT OF CENTRAL SERVICES,260,Risk Mgmt Fire Protection Rev,"TITLE 74, SEC. 85.58D",2012,3,$4906104.62
58000,DEPARTMENT OF CENTRAL SERVICES,262,Risk Mgmt Poitical Subdivisio,"TITLE 74, SECTION 85.58L",2012,3,$6899.46
58000,DEPARTMENT OF CENTRAL SERVICES,265,Bid Document & Bond Forf Fund,"TITLE 61, SEC. 106-107",2012,3,$2.48
58000,DEPARTMENT OF CENTRAL SERVICES,270,Reg Of Sxt Vendors Revol Fund,"TITLE74, SEC. 85.33",2012,3,$137139.71
58000,DEPARTMENT OF CENTRAL SERVICES,271,Vendor Fees and Rebates,"SB 646, ESCTION 5A TITLE 74, SECTION 85.33A",2012,3,$3054853.06
58000,DEPARTMENT OF CENTRL SERVICES,272,Purchasing Training Fund,TITLE 85.51 D,2012,3,$-452.98
58000,DEPARTMENT OF CENTRAL SERVICES,275,St Recycling Revolv Fund,"TITLE 63, SEC. 85.56",2012,3,$134321.37
58000,DEPARTMENT OF CENTRAL SERVICES,295,CapitolDome Donation Fund,"TITLE 74, SEC 4101-4108",2012,3,$0.00
58000,DEPARTMENT OF CENTRAL SERVICES,430,Homeland Security,"TITLE 62, SECTION 34.9",2012,3,$0.00
58000,DEPARTMENT OF CENTRAL SERVICES,443,Interagency Reimbursment Fund,"TITEL 74, SEC. 581",2012,3,$0.00
