Id,Name,Year,Actors,Cast,Language,Country,Duration,RatingValue,RatingCount,ReviewCount,FilmingLocations
tt0320691,Underworld,2003,"Kate Beckinsale,Scott Speedman,Shane Brolly","Kate Beckinsale,Scott Speedman,Michael Sheen,Shane Brolly,Bill Nighy,Erwin Leder,Sophia Myles,Robbie Gee,Wentworth Miller,Kevin Grevioux,Zita Görög,Dennis J. Kozeluh,Scott McElroy,Todd Schneider,Sándor Bolla",English,"UK,Germany,Hungary,USA",121 min,7.0,"194,551","800 user,225 critic","Budapest, Hungary"
tt0401855,Underworld: Evolution,2006,"Kate Beckinsale,Scott Speedman,Bill Nighy","Kate Beckinsale,Scott Speedman,Tony Curran,Derek Jacobi,Bill Nighy,Steven Mackintosh,Shane Brolly,Brian Steele,Zita Görög,Scott McElroy,John Mann,Michael Sheen,Sophia Myles,Richard Cetrone,Mike Mukatis","English,French,Hungarian",USA,106 min,6.8,"145,752","498 user,205 critic","Britannia Beach, British Columbia, Canada"
tt1323594,Despicable Me,2010,"Steve Carell,Jason Segel,Russell Brand","Steve Carell,Jason Segel,Russell Brand,Julie Andrews,Will Arnett,Kristen Wiig,Miranda Cosgrove,Dana Gaier,Elsie Fisher,Pierre Coffin,Chris Renaud,Jemaine Clement,Jack McBrayer,Danny McBride,Mindy Kaling",English,USA,95 min,7.7,"345,095","284 user,297 critic",
tt1453405,Monsters University,2013,"Billy Crystal,John Goodman,Steve Buscemi","Billy Crystal,John Goodman,Steve Buscemi,Helen Mirren,Peter Sohn,Joel Murray,Sean Hayes,Dave Foley,Charlie Day,Alfred Molina,Tyler Labine,Nathan Fillion,Aubrey Plaza,Bobby Moynihan,Noah Johnston",English,USA,104 min,7.4,"208,302","254 user,371 critic","Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA"
tt0120363,Toy Story 2,1999,"Tom Hanks,Tim Allen,Joan Cusack","Tom Hanks,Tim Allen,Joan Cusack,Kelsey Grammer,Don Rickles,Jim Varney,Wallace Shawn,John Ratzenberger,Annie Potts,Wayne Knight,John Morris,Laurie Metcalf,Estelle Harris,R. Lee Ermey,Jodi Benson","English,Arabic,Spanish",USA,92 min,7.9,"349,182","501 user,188 critic","Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA"
tt1233219,"My Son, My Son, What Have Ye Done",2009,"Michael Shannon,Willem Dafoe,Chloë Sevigny","Michael Shannon,Willem Dafoe,Chloë Sevigny,Udo Kier,Michael Peña,Grace Zabriskie,Brad Dourif,Irma P. Hall,Loretta Devine,Candice Coke,Gabriel Pimentel,Braden Lynch,James C. Burns,Noel Arthur,Julius Morck",English,"USA,Germany",91 min,6.3,"7,135","46 user,118 critic","San Diego Convention Center - 111 West Harbor Drive, San Diego, California, USA"
tt1095217,Bad Lieutenant: Port of Call New Orleans,2009,"Nicolas Cage,Eva Mendes,Russell M. Haeuser","Nicolas Cage,Eva Mendes,Val Kilmer,Xzibit,Fairuza Balk,Shawn Hatosy,Jennifer Coolidge,Tom Bower,Vondie Curtis-Hall,Brad Dourif,Denzel Whitaker,Irma P. Hall,Shea Whigham,Michael Shannon,Joe Nemmers","English,Spanish",USA,122 min,6.7,"62,359","208 user,274 critic",USA
tt1074638,Skyfall,2012,"Daniel Craig,Javier Bardem,Naomie Harris","Daniel Craig,Judi Dench,Javier Bardem,Ralph Fiennes,Naomie Harris,Bérénice Marlohe,Albert Finney,Ben Whishaw,Rory Kinnear,Ola Rapace,Helen McCrory,Nicholas Woodeson,Bill Buckhurst,Elize du Toit,Ian Bonar",English,"UK,USA",143 min,7.8,"463,639","1,467 user,731 critic","London, England, UK"
tt0120611,Blade,1998,"Wesley Snipes,Stephen Dorff,Kris Kristofferson","Wesley Snipes,Stephen Dorff,Kris Kristofferson,N'Bushe Wright,Donal Logue,Udo Kier,Arly Jover,Traci Lords,Kevin Patrick Walls,Tim Guinee,Sanaa Lathan,Eric Edwards,Donna Wong,Carmen Thomas,Shannon Lee","English,Russian",USA,120 min,7.1,"176,103","572 user,179 critic","Long Beach, California, USA"
tt1756529,Get Lamp,2010,"Ernest Adams,Scott Adams,Hollywood Anderson","Ernest Adams,Scott Adams,Hollywood Anderson,Jim Aspnes,Richard Bartle,Bob Bates,Michael Berlyn,Marc Blank,Ian Bogost,Amy Briggs,Tom Brucker,Mary Ann Buckles,Adam Cadre,David Cornelson,Chris Crawford",English,USA,,6.6,219,"4 user,3 critic",
tt0808299,High Score,2006,"Bill Carlton,Robert Mruczek,Terry Nelson","Bill Carlton,Robert Mruczek,Terry Nelson,Todd Rogers,Jayson Smith,Alison Vick,Jordan Vick",English,USA,52 min,7.1,207,"2 user,3 critic","Portland, Oregon, USA"
tt3393786,Jack Reacher 2,2016,"Tom Cruise,Cobie Smulders,Danika Yarosh","Tom Cruise,Cobie Smulders,Danika Yarosh,Aldis Hodge",English,USA,,,,,"Louisiana, USA"
tt0325710,The Last Samurai,2003,"Tom Cruise,Ken Watanabe,Billy Connolly","Ken Watanabe,Tom Cruise,William Atherton,Chad Lindberg,Ray Godshall Sr.,Billy Connolly,Tony Goldwyn,Masato Harada,Masashi Odate,John Koyama,Timothy Spall,Shichinosuke Nakamura,Togo Igawa,Satoshi Nikaido,Shintaro Wada","English,Japanese","USA,New Zealand,Japan",154 min,7.7,"294,740","922 user,189 critic","Santa Clarita, California, USA"
tt0092099,Top Gun,1986,"Tom Cruise,Tim Robbins,Kelly McGillis","Tom Cruise,Kelly McGillis,Val Kilmer,Anthony Edwards,Tom Skerritt,Michael Ironside,John Stockwell,Barry Tubb,Rick Rossovich,Tim Robbins,Clarence Gilyard Jr.,Whip Hubley,James Tolkan,Meg Ryan,Adrian Pasdar",English,USA,110 min,6.9,"203,621","379 user,161 critic","California, USA"
tt0120889,What Dreams May Come,1998,"Robin Williams,Cuba Gooding Jr.,Annabella Sciorra","Robin Williams,Cuba Gooding Jr.,Annabella Sciorra,Max von Sydow,Jessica Brooks Grant,Josh Paddock,Rosalind Chao,Lucinda Jenney,Maggie McCarthy,Wilma Bonet,Matt Salinger,Carin Sprague,June Carryl,Paul P. Card IV,Werner Herzog",English,"USA,New Zealand",113 min,7.0,"79,168","615 user,122 critic","Alameda, California, USA"
tt0064418,"Hello, Dolly!",1969,"Barbra Streisand,Walter Matthau,Michael Crawford","Barbra Streisand,Walter Matthau,Michael Crawford,Marianne McAndrew,Danny Lockin,E.J. Peaker,Joyce Ames,Tommy Tune,Judy Knaiz,David Hurst,Fritz Feld,Richard Collier,J. Pat O'Malley,Louis Armstrong",English,USA,146 min,7.2,"9,255","106 user,27 critic","Metro-North Station, Poughkeepsie, New York, USA"
tt0062994,Funny Girl,1968,"Barbra Streisand,Omar Sharif,Kay Medford","Barbra Streisand,Omar Sharif,Kay Medford,Anne Francis,Walter Pidgeon,Lee Allen,Mae Questel,Gerald Mohr,Frank Faylen,Mittie Lawrence,Gertrude Flynn,Penny Santon,John Harmon,Thordis Brandt,Bettina Brenna",English,USA,151 min,7.5,"12,144","75 user,51 critic","Stage 4, Columbia/Sunset Gower Studios - 1438 N. Gower Street, Hollywood, Los Angeles, California, USA"
tt0034583,Casablanca,1942,"Humphrey Bogart,Ingrid Bergman,Paul Henreid","Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,Conrad Veidt,Sydney Greenstreet,Peter Lorre,S.Z. Sakall,Madeleine Lebeau,Dooley Wilson,Joy Page,John Qualen,Leonid Kinskey,Curt Bois","English,French,German,Italian",USA,102 min,8.6,"356,710","1,067 user,233 critic","Hotel Monte Vista, Flagstaff, Arizona, USA"
tt0062622,2001: A Space Odyssey,1968,"Keir Dullea,Gary Lockwood,William Sylvester","Keir Dullea,Gary Lockwood,William Sylvester,Daniel Richter,Leonard Rossiter,Margaret Tyzack,Robert Beatty,Sean Sullivan,Douglas Rain,Frank Miller,Bill Weston,Ed Bishop,Glenn Beck,Alan Gifford,Ann Gillis","English,Russian","USA,UK",160 min,8.3,"381,808","1,679 user,274 critic","Shepperton Studios, Shepperton, Surrey, England, UK"
tt0180093,Requiem for a Dream,2000,"Ellen Burstyn,Jared Leto,Jennifer Connelly","Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans,Christopher McDonald,Louise Lasser,Marcia Jean Kurtz,Janet Sarno,Suzanne Shepherd,Joanne Gordon,Charlotte Aronofsky,Mark Margolis,Michael Kaycheck,Jack O'Connell,Chas Mastin",English,USA,102 min,8.4,"521,173","1,898 user,228 critic","Brooklyn, New York City, New York, USA"
tt0090756,Blue Velvet,1986,"Isabella Rossellini,Kyle MacLachlan,Dennis Hopper","Isabella Rossellini,Kyle MacLachlan,Dennis Hopper,Laura Dern,Hope Lange,Dean Stockwell,George Dickerson,Priscilla Pointer,Frances Bay,Jack Harvey,Ken Stovitz,Brad Dourif,Jack Nance,J. Michael Hunter,Dick Green",English,USA,120 min,7.8,"121,390","669 user,171 critic","128 Northern Boulevard, Wilmington, North Carolina, USA"
tt0120663,Eyes Wide Shut,1999,"Tom Cruise,Nicole Kidman,Todd Field","Tom Cruise,Nicole Kidman,Sydney Pollack,Marie Richardson,Rade Serbedzija,Todd Field,Vinessa Shaw,Sky du Mont,Fay Masterson,Leelee Sobieski,Thomas Gibson,Madison Eginton,Jackie Sawiris,Leslie Lowe,Peter Benson",English,"UK,USA",159 min,7.3,"210,746","1,484 user,272 critic",UK
tt0056193,Lolita,1962,"James Mason,Shelley Winters,Sue Lyon","James Mason,Shelley Winters,Sue Lyon,Gary Cockrell,Jerry Stovin,Diana Decker,Lois Maxwell,Cec Linder,Bill Greene,Shirley Douglas,Marianne Stone,Marion Mathie,James Dyrenforth,Maxine Holden,John Harrison","English,French","UK,USA",152 min,7.7,"62,308","203 user,99 critic","Albany, New York, USA"
tt0022458,Tabu: A Story of the South Seas,1931,"Anne Chevalier,Matahi,Hitu","Matahi,Anne Chevalier,Bill Bambridge,Hitu",English,USA,86 min,7.6,"3,097","19 user,33 critic","Bora Bora, Leeward Islands, French Polynesia"
tt2490326,Cooties,2014,"Elijah Wood,Rainn Wilson,Alison Pill","Elijah Wood,Rainn Wilson,Alison Pill,Jack McBrayer,Leigh Whannell,Nasim Pedrad,Ian Brennan,Jorge Garcia,Cooper Roth,Miles Elliot,Morgan Lily,Sunny May Allison,Armani Jackson,Peter Kwong,Kate Flannery",English,USA,88 min,5.8,"4,625","34 user,68 critic","Los Angeles, California, USA"
tt0923752,The King of Kong: A Fistful of Quarters,2007,"Steve Wiebe,Billy Mitchell,Mark Alpiger","Steve Wiebe,Mark Alpiger,Adam Wood,Walter Day,Steve Sanders,Steven Krogman,Robert Mruczek,Doris Self,Todd Rogers,Brian Kuh,Zack Hample,Billy Mitchell,Barbara Mitchell,Jon Farley,Nicole Wiebe",English,USA,79 min,8.2,"29,293","100 user,154 critic",USA
tt1183696,Second Skin,2008,"Dan Bustard,Ashley Esqueda,Andrew Monkelban","Dan Bustard,Ashley Esqueda,Andrew Monkelban,Nick Yee",English,USA,94 min,6.7,674,"5 user,18 critic",
tt1836974,Ecstasy of Order: The Tetris Masters,2011,"Thor Aackerlund,Pat Contri,Harry Hong","Thor Aackerlund,Pat Contri,Harry Hong,Jesse Kelkar,Robin Mihara,Ben Mullen,Jonas Neubauer,Alexey Pazhitnov,Henk Rogers,Chris Tang,Dana Wilcox",English,USA,,7.6,975,"5 user,4 critic","Los Angeles, California, USA"
tt2312464,The Video Craze,2013,"Bryan Armitage,Nathan Barnatt,Chris Connally","Bryan Armitage,Nathan Barnatt,Chris Connally,Dave Danzara,Walter Day,Paul Dean,Cat DeSpira,Joshua Docherty,Chris Donner,Keith Elliott,Ben Gold,Rachel Green,Zack Green,Kalan Harvest,Steve Hertz",English,USA,90 min,6.6,65,3 user,
tt0462246,Darkon,2006,"Skip Lipman,Kenyon Wells,Daniel McArthur","Skip Lipman,Kenyon Wells,Daniel McArthur,Rebecca Thurmond,James Iddings,Gary Black,Domenic Prince,Andrew Mattingly,Frank Kanach,Leah Kanach,Michael Wells,Nancy Lee Wells",English,USA,93 min,6.8,905,"13 user,17 critic","Baltimore, Maryland, USA"
tt2427898,The Space Invaders: In Search of Lost Time,2012,"Chris Alcott,Pete Ashdown,Jean Baudin","Chris Alcott,Pete Ashdown,Jean Baudin,Deb Bazzano,Tom Bazzano,Tim Burnham,Randall Christie,Damon Claussen,Mark Davidson,Paul Dean,Mark Dreher,Walt Granacki,Dan Gutchess,Jeff Hendrix,Steve Hertz",English,USA,85 min,6.8,56,"1 user,2 critic",
tt2395228,The King of Arcades,2014,"Ralph H. Baer,Tim Balderamos,Greg Bond","Ralph H. Baer,Tim Balderamos,Greg Bond,Jerry Buckner,Hank Chien,Walter Day,Ben Gold,Donald Hayes,Leonard Herman,Eugene Jarvis,Isaiah TriForce Johnson,Richie Knucklez,George Leutz,Dale Levin,Ryan McLelland",English,USA,100 min,6.6,332,"5 user,10 critic","Flemington, New Jersey, USA"
tt3908598,Lamb,2015,"Ross Partridge,Oona Laurence,Tom Bower","Ross Partridge,Oona Laurence,Tom Bower,Ron Burkhardt,Jennifer Lafleur,Scoot McNairy,Joel Murray,Lindsay Pulsipher,Jennifer Spriggs,Jess Weixler",English,USA,96 min,7.4,129,11 critic,
tt2403021,The Green Inferno,2013,"Lorenza Izzo,Ariel Levy,Aaron Burns","Lorenza Izzo,Ariel Levy,Aaron Burns,Kirby Bliss Blanton,Magda Apanowicz,Ignacia Allamand,Daryl Sabara,Nicolás Martínez,Sky Ferreira,Eusebio Arenas,Richard Burgi,Matías López,Ramón Llao,Antonieta Pari,John Mark Allan",English,"Chile,USA",100 min,5.8,"4,425","47 user,149 critic","Santiago, Chile"
tt0094737,Big,1988,"Tom Hanks,Elizabeth Perkins,Robert Loggia","Tom Hanks,Elizabeth Perkins,Robert Loggia,John Heard,Jared Rushton,David Moscow,Jon Lovitz,Mercedes Ruehl,Josh Clark,Kimberlee M. Davis,Oliver Block,Erika Katz,Allan Wasserman,Mark Ballou,Gary Howard Klar",English,USA,104 min,7.3,"141,023","191 user,97 critic","Garden State News 666 Anderson Ave, Cliffside Park, New Jersey, USA"
tt0364045,Taking Lives,2004,"Angelina Jolie,Ethan Hawke,Kiefer Sutherland","Angelina Jolie,Ethan Hawke,Kiefer Sutherland,Gena Rowlands,Olivier Martinez,Tchéky Karyo,Jean-Hugues Anglade,Paul Dano,Justin Chatwin,André Lacoste,Billy Two Rivers,Richard Lemire,Julien Poulin,Marie-Josée Croze,Christian Tessier","English,French","USA,Australia",103 min,6.2,"61,876","310 user,141 critic","Gare Windsor, Montréal, Québec, Canada"
tt0172493,"Girl, Interrupted",1999,"Winona Ryder,Angelina Jolie,Clea DuVall","Winona Ryder,Angelina Jolie,Clea DuVall,Brittany Murphy,Elisabeth Moss,Jared Leto,Jeffrey Tambor,Vanessa Redgrave,Whoopi Goldberg,Angela Bettis,Jillian Armenante,Drucie McDaniel,Alison Claire,Christina Myers,Joanna Kerns",English,"USA,Germany",127 min,7.3,"116,168","380 user,133 critic","Hanover, Pennsylvania, USA"
tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,2010,"Jim Sturgess,Hugo Weaving,David Wenham","Emily Barclay,Abbie Cornish,Essie Davis,Adrienne DeFaria,Joel Edgerton,Deborra-Lee Furness,Sacha Horler,Bill Hunter,Ryan Kwanten,Anthony LaPaglia,Miriam Margolyes,Helen Mirren,Sam Neill,Barry Otto,Richard Roxburgh",English,"USA,Australia",97 min,7.0,"61,754","158 user,188 critic","Fox Studios, Moore Park, Sydney, New South Wales, Australia"
tt0432283,Fantastic Mr. Fox,2009,"George Clooney,Meryl Streep,Bill Murray","George Clooney,Meryl Streep,Jason Schwartzman,Bill Murray,Wallace Wolodarsky,Eric Chase Anderson,Michael Gambon,Willem Dafoe,Owen Wilson,Jarvis Cocker,Wes Anderson,Karen Duffy,Robin Hurlstone,Hugo Guinness,Helen McCrory","English,French",USA,87 min,7.8,"125,748","238 user,324 critic","England, UK"
tt3862750,The Perfect Guy,2015,"Sanaa Lathan,Michael Ealy,Morris Chestnut","Sanaa Lathan,Michael Ealy,Morris Chestnut,L. Scott Caldwell,Charles S. Dutton,John Getz,Tess Harper,Kathryn Morris,Rutina Wesley,Holt McCallany,Jessica Parker Kennedy,David Starzyk,Ronnie Gene Blevins,Wilmer Calderon,Gordon Clapp",English,USA,100 min,5.1,"1,908","18 user,27 critic","Los Angeles, California, USA"
immortals_2011,Immortals,2010 2011 2012,"Henry Cavill,Mickey Rourke,John Hurt","Henry Cavill,Mickey Rourke,Stephen Dorff,Freida Pinto,Luke Evans,John Hurt,Joseph Morgan,Anne Day-Jones,Greg Bryk,Alan Van Sprang,Peter Stebbings,Daniel Sharman,Isabel Lucas,Kellan Lutz,Steve Byers","English,Greek",USA,,"5/10,5/10","131,158","397 user,278 critic","Montréal, Québec, Canada"
tt2131532,Hidden,2015,"Alexander Skarsgård,Andrea Riseborough,Emily Alyn Lind","Alexander Skarsgård,Andrea Riseborough,Emily Alyn Lind,Heather Doerksen,David Lewis,William Ainscough,Steven Elliot",English,USA,84 min,6.4,"2,547","21 user,6 critic","Vancouver, British Columbia, Canada"
american_ultra,American Ultra,2014 2015 2016,"Jesse Eisenberg,Kristen Stewart,Connie Britton","Jesse Eisenberg,Kristen Stewart,Topher Grace,Connie Britton,Walton Goggins,John Leguizamo,Bill Pullman,Tony Hale,Stuart Greer,Michael Papajohn,Monique Ganderton,Nash Edgerton,Paul Andrew O'Connor,Freddie Poole,Ilram Choi",English,"USA,Switzerland",1 hr. 39 min.,"5.4/10,6/10","13,532","74 user,180 critic","New Orleans, Louisiana, USA"
tt0099700,Gremlins 2: The New Batch,1990,"Zach Galligan,Phoebe Cates,John Glover","Zach Galligan,Phoebe Cates,John Glover,Robert Prosky,Robert Picardo,Christopher Lee,Haviland Morris,Dick Miller,Jackie Joseph,Gedde Watanabe,Keye Luke,Kathleen Freeman,Don Stanton,Dan Stanton,Shawn Nelson",English,USA,106 min,6.3,"61,611","140 user,103 critic","Burbank, California, USA"
tt0084516,Poltergeist,1982,"JoBeth Williams,Heather O'Rourke,Craig T. Nelson","Craig T. Nelson,JoBeth Williams,Beatrice Straight,Dominique Dunne,Oliver Robins,Heather O'Rourke,Michael McManus,Virginia Kiser,Martin Casella,Richard Lawson,Zelda Rubinstein,James Karen,Lou Perryman,Clair E. Leucart,Dirk Blocker",English,USA,114 min,7.4,"95,536","315 user,209 critic","4267 Roxbury Street, Forest Hills, Simi Valley, California, USA"
tt0096061,Scrooged,1988,"Bill Murray,Karen Allen,John Forsythe","Bill Murray,Karen Allen,John Forsythe,John Glover,Bobcat Goldthwait,David Johansen,Carol Kane,Robert Mitchum,Nicholas Phillips,Michael J. Pollard,Alfre Woodard,Mabel King,John Murray,Jamie Farr,Robert Goulet",English,USA,101 min,7.0,"56,108","150 user,85 critic","New York City, New York, USA"
tt0327554,Catwoman,2004,"Halle Berry,Sharon Stone,Benjamin Bratt","Halle Berry,Benjamin Bratt,Sharon Stone,Lambert Wilson,Frances Conroy,Alex Borstein,Michael Massee,Byron Mann,Kim Smith,Christopher Heyerdahl,Peter Wingfield,Berend McKenzie,Chase Nelson-Murray,Manny Petruzzelli,Harley Reiner","English,Spanish",USA,104 min,3.3,"82,071","646 user,209 critic","4th Street, Downtown, Los Angeles, California, USA"
