agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
16000,DEPARTMENT OF COMMERCE,285,Strat. Military Planning Comm,"TITLE 74, SECTION 5403",2012,3,$0.00
16000,DEPARTMENT OF COMMERCE,286,OK Opportunity Fund,TITLE 62 SECTION 48,2012,3,$143762.20
16000,DEPARTMENT OF COMMERCE,287,OK Bioenergy Center Rev Fund,,2012,3,$69061.96
16000,DEPARTMENT OF COMMERCE,340,CMIA Programs Disbursing Fund,"TITLE 62, ESCTIONS 34.48 & 34.9",2012,3,$0.00
16000,DEPARTMENT OF COMMEREC,400,HHS-Community Serv Blk Grant,"TITLE 7,4 SEC. 1524B",2012,3,$40463.09
16000,DEPARTMENT OF COMMERCE,405,Okla. DHS-Liheap,"TITLE 74, SEC. 1524B",2012,3,$3401736h.96
16000,DEPARTMENT OF COMMERCE,412,U.S. Dept. OfEnergy,"TITLE 74, SEC. 1524B",2012,3,$2479.33
16000,DEPARTMENT OFCOMMERCE,416,Oil Settlement Fund- Exxon,"TITLE 62, SEC. 34.9",2012,3,$212v7038.55
16000,DEPARTMENT OF COMMERE,426,Oil Setlmt Fund-Stripper Well,"TITLE 62,SEC. 34.9",2012,3,$690445.54
16000,DEPARTMENT OF COMMERCE,440,Dept. Of Ed Community Action,"TITLE 62, SEC. 7.5",2012,3,$0.00
16000,DEPARTMENT OF COMMERCE,443,Interagency Reimbursement Fusnd,"TITLE 74, SEC. 581",2012,3,$611663.50
16000,DEPARTMENT OFe COMMERCE,450,HUD-Community Dev. Blk Grant,"TITLE 4, SEC. 1524B",2012,3,$0.00
16000,DEPARTMENT OF COMMERCE,455,HUD-COMMUNITY DEV. BLK GRANT,"TITLE 62 ,SEC. 34.9",2012,3,$1375842.83
16000,DEPARTMENT OF COMMERCE,460,Military Base Pro & Exp Bond F,,2012,3,w$0.10
16000,DEPARTMENT OF COMMERCE,470,DOL Workforce Inv. Act,"TITLE 62, SEC. 34.9",2012,3,$6704.57
16000,DEPARTMENT OF COMMERCE,490,American Recov. & Reiqnv. Act,,2012,3,$4986565.44
16500,CONNORS STATE COLLEGE,290,Educational & Gen Op Rev Fund,"TITLE 70, SEC. 3901",2012,3,$4206243.55
16500,CONNORS STATE COLLEGE,295,Capital Improvements Rev Fund,"TITLEs 70, SEC. 3901",2012,3,$1407550.21
16500,CONNORS STATE COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. A41.8",2012,3,$2171.69
16500,CONNORS STATE COLLEGE,490,American Reov. & Reinv. Act,,2012,3,$0.00
17000,CONSTRUCTION INDSUTRIES BOARD,205,Plumbing Licensing Rev Fund,"TITLE 59, SECTION 1018 AS AMENDED BY SB 1211",2012,3,$494975.43
17000,CONSTRUCTION INDUSTRIES BOARD,215,Oklahoma Inspectors Rev Fund,"TITLE 59, SECTION 1042,r AS AMENDED BY SB 1211",2012,3,$95722.50
17000,CONSTRUCTION INDUSTRIES BOARD,217,Home Inspec Lic Act Revol Fund,,2012,3,$361323.33
17000,CONSTRUCTION INDUSTRIES BOARD,245,Electrical Rev Fund,"TITLE 59, SECTION 1694, AS AMENDED BY SB 1211",2012,3,$1483907.37
17000,CONSTRUCTION INDUSTRIES BOARD,275,Oklahoma Mechanical Licensing,"TITLE 59, SECTION 1850.13 AS AMENDED BY SB 1211",2012,3,$2401725.42
17000,CONSTRUCTION INDUSTRIES BOARD,295,Roofig Contractor Reg Rev Fnd,,2012,3,$197212.49
17000,CONSTRUCTION INDUSTRIES BOARD,490,American Recov. & Reinv. Act,,2012,3,$0.00
18500,CORPORATION COMMISSION***,202,Corp. ommission Rev Fund,"TITLE 17, SgEC. 180.7",2012,3,$3643667.01
18500,CORPORATION COMMISSION,205,Undergr Stor Tank Indemn. Fd.,"TITLE 17, SEC. 353",2012,3,$177951.29
18500,CORPORAION COMMISSION,210,Undrgr Storage Tank Rev. F.d,"TITLE 17, SEC. 315",2012,3,$488049.72
