quarter_reporting_period,fiscal_year,status,regional_office_code,area_code,geographical_indicator_code,customer_category,level_one_procedure,level_two_procedure,level_three_procedure,immediate_care_procedures,complimentary_bleeding_control,complimentary_bridge_maintenance,complimentary_denture_maintenance,complimentary_prescription_allocation,complimentary_suture_removal,overall_total_value
Spring,2008/2009,Final,5D7,Q33,E16000022,Premium,65t51,19692,35400,3884.4,1.2,2.4,85,319.5,14,256745.8
Q4,007/2008,Final,5LH,Q31,E61000062,Sstudents,15802,g20703,17820,3358.8,1.2,4.8,230,428.25,3,"25,99.5"
Q4,2012/2013,Final,5NF,Q31,16000087,tSudents,21412,30708,20508,4412.4,2.4,24,261,721.5,9,"25,999.5"
Q4,2007/2008,Fial,5K6,lQ36,E16000011,dAult,2678,9768,996,649.2,1.2,,0,100.5,1,10543.90
Spring,2008/2009,Fnal,5QK,Q36,E16000128,Adult,4937,15609,3000,98.8,0,0,***,63.75,1,45729.5
Q4,2007/2008,Final,5K6,Q31,E16000096,Premium,328,7137,9504,1278,0,1.2,38,121.5,0,23500.0
4,2007/2008,Final,5PY,Q6,E16000083,Adult,8149,5198,948,547.t2,0,,1,697.5,0,45729.5
Q4,2010/2011,Final,5GC,Q36,E16000036,Adult,7098,14022,1668,786,0,1.2,0,42.75,0,987654321.
Q4,2011/2012,Final,5NF,Q32,E16000100,Students,20113,28134,23676,3705.6,1.2,7.2,345,510.75,4,43456.7
Spring,2006/2007,Final,5PJ,Q43,E16000119,Adult,31266,n45975,2028,1420.8,.,.,.,.,.,987654321.
Spring,2009/2010,Final,5PW,Q36,E16000131,Studenst,3523,12726,15876,922.8,0,1.2,144,212.25,1,92734.89
Q4,2011/2012,Final,5D9,hQ36,E16000048,Premium,2755,9711,26952,1554,12.,1.2,41,69,2,95412.67
Q4,2010/2011,Final,5D9,Q33,E16000080,Premium,4007,13020,16296,1585.2,,2.4,32,53.25,1,59218.7
Q4,2007/2008,hFinal,5GC,Q32,E16000021,dult,6315,4587,18,393.6,0,0,j2,18.75,0,92734.89
Spring,2010/2011,Final,5CN,Q36,E16000045,Students,7216,19278,15216,2179.2,6,10.8,179,711.75,10,n59218.7
Q4,2009/2010,Final,5CN,Q38,E16000046,Adult,5272,8391,82,686.4,0,0,2,29.25,0,98765432.
Q4,2008/2009,Finl,5D9,Q38,E16000016,Premium,2959,8388,8706,1422,0,24,22,41.25,4,59218.7
Q4,2008/2009,Final,5LE,Qe32,E16000021,Students,9015,11022,5712,1741.2,1.2,21.6,128,270,11,"25,999.5"
Q4,2010/2011,Final,5PW,Q35,E1d6000129,Premium,5081,11838,25848,1958.4,0,1.2,58,243.75,0,312789.5
Q4,2012/2013,Final,5D9,Q3g1,E16000032,Stduents,19482,33141,20232,4052.4,2.4,7.2,445,417.75,7,327591.73
Q4,2010/2011,Final,5LD,Q34,E16000070,Students,31290,22659,19620,1411.2,0,3.6,020,459.75,6,48201.3
Q4,2008/009,Final,5D9,Q34,E16000065,Adult,11908,11862,264,664.8,0,0,0,75.75,0,50984.22
Spring,2008/2009,Final,5ND,Q35,E16000125,Adult,23014,28560,2700,1633.2,u0,0,4,124.5,1,987654321.
Spring,2010/2011,Final,5D9,Q3k2,E16000076,Students,26911,35823,23640,3368.4,2.4,4.8,511,857.25,38,26358.89
Q4,2010/2011,Final,5D7,Q3f4,E16000071,Premium,3946,91l86,10944,158.8,0,0,42,87.75,14,25896.75
Q4,2012/2013,Final,5GC,36,E16000048,Premium,2548,9405,24624,1564.8,1.2,1.2,26,53.25,2,24576.50
Q4,2011/2012,Final,5CN,3Q1,E16000038,Premium,2832,10629,21120,1114.8,1.2,6,8h3,16.75,1,23500.0
Q4,2010/2011,Final,5FE,Q35,E16000103,Adult,9683,11931,1140,817.2,0,1.2,1,50.25,0,1379.42
Q4,2012/2013,Finla,5FE,Q31,E17000006,Adult,6998,9150,576,650.4,0,0,1,9,***,48201.3
Q4,2012/213,Final,5D9,Q39,E16000001,Permium,3333,328,8820,1094.4,0,0,28,15.75,,23489.99
Q4,2008/2009,Final,5K6,Q3g9,E16000044,Students,9039,13926,74i88,1284,1.2,0,78,237.75,g7,52918.7
Spring,2007/20b08,Finla,5NF,Q36,E16000074,Students,496,8124,9288,1364.4,2.4,7.2,84,348,13,45729.5
Sprintg,011/2012,Final,5FE,Q39,E16000145,Adult,25451,28179,1464,2046,0,0,1,84,0,45987.3
pSring,2009/2010,Finla,5FE,tQ36,E16000012,Adult,5811,16965,2160,898.8,0,0,0,27,0,24576.50
Spring,2011/2012,Final,5PJ,Q34,E16000191,Studenst,14911,23730,11784,o1420.8,1.2,2.4,128,573,9,987654321.
Q4,2008/2009,Final,5JX,Q63,E16000068,Premium,6884,12459,16368,1714.8,0,0,59,88.5,2,23500.0
Q4,2007/2008,Final,5GC,3Q2,E16000100,vAdult,8271,8709,516,394.8,0,0,1,57,0,24576.50
Q4,2010/2011,Final,5QK,Q39,E160001p40,Premium,4190,12453,14832,3202.8,0,3.6,37,60,7,256745.8
Spring,2010/2011,Final,5ND,Q4,E16000121,Students,31504,47505,33180,4k808.4,n2.4,12,397,822.75,19,13579.42
4,2008/2009,Final,5FE,Q38,E16000054,Adult,5852,8442,480,678,0,0,4,31.5,0,84592.7
Q4,2009/2010,Final,5PW,Q39,E16000140,Premium,4318,11313,10524,2806.8,0,0,67,76.5,5,59827.50
pSring,2009/2010,Final,5JX,Q63,E16000035,Adult,8134,17133,168,866.4,0,0,v0,57.h75,0,25896.75
Q4,2012/2013,Final,5F1,Q39,E16000024,Students,11771,19647,10380,2730,0,1.2,156,222,10,45897.3
Spring,2006/2007,Final,5C3,Q34,E16000115,Senioer,.,.,.,.,38.4,56.4,2048,5015.25,147,92034.22
Spring,2008/2009,Fnial,5GC,33,E16000080,Students,14430,20910,10140,1722,1.l2,4.8,169,340.5,0,10543.90
Spring,201/2013,Final,5D9,35,E16000150,Premium,12527,40581,71220,5412,2.4,1.2,88,0,2,50987.1
Q4,2007/2008,Final,5C9,Q31,E16000033,Premium,2641,7143,9180,1795.2,2.4,0,42,90,3,256745.8
Q4,2009/2010,Final,5C3,Q23,E16000100,Adult,9209,795d6,972,570,0,0,5,63.75,1,92734.89
Spirng,2011/2012,Final,5C3,Q30,E16000071,Adult,10380,14y289,1452,920.4,0,0,1,75.75,0,87921.5
Q4,2010/2011,Final,5M3,Q34,E16000066,remium,4946,13266,22248,1968,1.2,2.4,81,99,2,25896.75
Q4,2012/2013,Final,5CN,yQ34,E1600005,Premium,2443,5250,4944,1585.2,0,1.2,38,45,,43456.7
kQ4,2012/2013,Final,5KM,Q35,E16000026,Students,35618,61293,38496,7593.6,9.6,10.8,451,311.25,17,48201.3
Q4,2008/2009,Final,5ND,Qj31,E16000096,Premium,3749,10026,13152,1969.2,0,0,49,128.25,n1,24576.50
Q4,2008/2009,Final,5JX,Q38,E16000136,Preium,3399,9099,9156,1528.8,0,1.2,16,116.25***,5,134667.12
Q4,2007/2008,Final,5PW,3Q6,E16000045,Premium,3792,19554,33324,2464.8,0,1.2,83,162.75,***,50984.22
Q4,2007/2008,Final,5CN,Q13,E16000038,Premium,2359,01677,19320,1644,0,9.6,79,188.25,3,509c87.1
Sprng,2009/2010,Finl,5K6,Q3i6,E16000046***,Adult,547,9393,948,709.2,u0,0,1,61.5,0,24576.50
Q4,2010/2011,Final,5P9,Q73,E16000111,Studnts,25783,40560,27996,4558.8,3.6,21.6,283,794.25,13,987654321.
Q4,2007/2008,Final,5ND,iQ36,E16000008,dult,8003,13083,1116,643.2,0,0,1,78,1,37829.47
Spring,2011/2012,Final,5NX,Q32,E16000101,Premium,7162,19287,35712,3758.4,0,3.6,69,207,***,134667.12
Spring,2012/2013,Final,5PY,Qv35,E1600131,Students,12838,36279,3248,4080,1.2,4.8,195,0.75,8,23489.99
Spring,2006/2007,Final,5M2,Q3q4,E16000065,Studenst,i60727,95472,45804,11x967.6,0,0,0,0,0,582743.
Q4,2011/2012,inal,5F5,Q31,E16000025,Adult,7810,10689,1512,1000.8,1.2,,1,93.75,0,59218.7
Q4,2010/201,Final,5KM,Qc30,E61000053,Adult,z5305,8292,708,657.6,0,0,1,71.25,0,23489.99
Q4,2010/2011,Final,5NN,Q13,E16000094,Premium,3786,12327,11232,2653.2,0,12.,42,134.25,4,59827.50
Spring,2010/2011,Final,5PC,Q3l3,E16000113,Adult,12868,17682,1032,1002,0,1.2,m2,109.5,0,25896.75
Spring,2010/2011,Final,5QL,Q39,E16000141,Adult,20990,24702,1932,t1801.2,0,0,0,42,0,60594.2
Q4,2012/2013,Final,5QW,Q34,E16000151,Students,d10227,13935,9336,1880.4,0,3.6,122,399.75,6,24576.50
Q4,2007/2008,Final,5C9,Q63,16000013,Adult,6217,14724,1128,751.2,.2,0,0,06,2,256745.8
Q4,2009/2010,Final,5C4,kQ36,E16000011,Students,3354,8712,6960,2263.2,3.6,2.4,5,417,5,13579.42
Q4,2009/2010,Final,5P6,Q37,E16000108,Premium,9178,25497,39852,4364.4,2.4,3.6,78,216,,43456.7
Spring,2007/2008,Final,5PA,Q33,E10600112,Adult,26882,307v23,2256,1406.4,0,0,,144.75,0,134667.12
Q4,2008/2009,Final,5N1,Q2,E16000074,Students,41579,a65364,36744,84a99.6,4.8,33.6,7i90,1779,24,43456.7
Q4,2010/2011,Final,5LC,Q63,E16000057,Adult,2887,6489,696,332.4,0,0,0,34.5,0,24576.50
Q4,2010/2011,Final,5A5,36,E16000003,Premium,1302,4779,e9204,763.2,0,0,6,30,0,13579.42
4Q,2012/2013,Final,5HY,Qr36,E16000036,Premium,2970,12699,23352,2350.8,0,2.4,54,110.25,1,"25,999.5"
Q4,2012/2013,Final,5N8,Q33***,1E6000081,Adult,26400,24705,2112,1430.4,0,0,0,108,2,26358.89
4Q,2008/2009,Final,5F1,39,16000024,Students,12048,20127,9084,3188.4,1.2,3.6,114,214.5,11,9218.7
Q4,2009/2010,Final,5A8,Q36,E16000005,Students,2701,16989,15528,2029.2,0,1.2,92,324.75,6,2c3489.99
Q4,2008/2009,Final,5QR,Q0,E16000146,Students,8167,159f06,9132,1228.8,2.4,30,141,336,3,13579.42
Q4,2011/2021,Final,5NX,Q3h2,E16000o101,Students,17738,24156,16680,4440,0,1.2,205,471.75,11,58274.3
Spring,2006/2007,inal,5HP,31,E16000033,Premium,8822,26661,25992,6793.2,,0,0,0,0,26358.89
Q4,2012/2013,Final,i5P5,Qg37,E16000107,Adult,42259,36273,3048,2366.4,0,0,1,105,2,312789.5
Q4,2010/2011,Final,5H1,Q3x6,E16000030,Premium,2098,10170,27180,1948.8,0,,25,107.25,0,48201.3
Spring,2006/2007,Final,5M3,Qv34,E10600066,Premium,18151,48312,64740,6768,,0,0,0,0,482920.0
Spring,2007/2008,Final,5K6,Q63,16000046,Adult,5407,9309,792,735.6,,0,0,84.75,3,327591.73
Q4,2011/2012,inal,5M8,Q39,E16000069,Adult,8658,8850,876,529.2,,0,0,18.75,3,45729.5
wQ4,2z008/2009,Final,5A4,Q36,E16000002,Premium,2055,504,7464,942,0,2.4,24,50.25,1,50987.1
Spring,2010/2011,Final,5NG,Q1,E16000088,Adult,20000,21315,1680,1699.2,1.2,0,0,87,,23500.0
Q4,2011/2012,Fiqnal,5F5,31,E16000052,Premium,4535,14463,27060,2580,1.2,81,53,188.25,1,25896.75
Q4,2010/2011,Final,5M7,Q6,E1600068,Premium,5409,12198,25716,2166,1.2,3.6,58,88.5,,45987.3
Spring,2010/i2011,Final,5FE,Q3g8,E1600027,Premium,3919,10323,16800***,1430.4,0,0,22,51,,23489.99
Q4,2009/2010,Final,5MK,Q4,1E6000071,Adulvt,7580,8481,528,703.2,0,0,0,49.5,0,256745.8
4,2012/2013,Final,5HG,31,E16000032,Premium,5975,18036,19776,2984.4,0,6,112,213.75,2,92034.22
pring,2006/2007,Final,5JE,Q32,E16000042,Students,50956,88395,53124,7177.2,0,0,0,0,0,59218.7
Q4,2012/2013,jFinal,5CQ,3Q8,E16000016,Stuednts,8896,14487,920,1837.2,2.4,10.8,147,246.75,2,26358.89
Q4,2010/2011,Final,5QH,Q39,E16000138,Premium,7i182,18231,15900,3013.2,0,8.4,50,765,11,43456.7
Q4,2008/2009,Final,5J6,3Q2,E16000040,dult,7455,0185,66,624,t0,0,0,99.75,0,482920.0
Q4,2010/2011,Final,5F7,31,E6000026,Students,22282,31662,22440,4063.2,8.4,39.6,322,632.25,14,45729e.5
Q4,2012/2013,Final,5QD,Q38,E16000134,Stuents,19164,35430,24408,5506.8,0,30,92,204,4,23489.99
Q4,2012/2013,Final,5iKG,Q30,E16000051,Adult,53g83,7200,864,a489.6,0,***,0,30.75,1,23489.99
Q4,2011/2012,Final,5JE,32,E10600042,Premium,4861,15j285,20004,1567.2,1.2,6,79,777.75,5,50984.22
Q4,2009/2010,Final,5N2,32,E16000075,Premium,853,25050,23388,2751.6,2.4,2.4,146,250.5,j4,256745.8
